gene ID,log2_foldChange,p_value,adjusted p_value,Protein ID,Locus Tag,Annotation,resolved_locus_tag,resolution_method
gene-H6G84_RS05480,-1.399014735,3.2542e-14,2.02744e-13,WP_006195022.1,,photosystem II reaction center protein K,,unresolved
gene-H6G84_RS13615,-2.916721372,6.10367e-36,1.9013700000000001e-34,WP_011055119.1,Synpcc7942_B2633 anL01,DUF3854 domain-containing protein,Synpcc7942_B2633,tier1:gene ID
gene-H6G84_RS13620,-1.138973316,1.65358e-09,6.45764e-09,WP_011055120.1,Synpcc7942_B2656 anL02,hypothetical protein,Synpcc7942_B2656,tier1:gene ID
gene-H6G84_RS13625,-2.750255073,7.40099e-13,4.09654e-12,WP_011055121.1,Synpcc7942_B2657 anL03,hypothetical protein,Synpcc7942_B2657,tier1:gene ID
gene-H6G84_RS13630,-2.608031685,1.75889e-31,4.2451100000000005e-30,WP_011055123.1,anL05,DUF1254 domain-containing protein,,unresolved
gene-H6G84_RS13640,-2.036605475,2.05743e-07,6.36473e-07,WP_011055126.1,Synpcc7942_B2636 anL08,hypothetical protein,Synpcc7942_B2636,tier1:gene ID
gene-H6G84_RS13655,-1.523228857,7.07821e-11,3.18698e-10,WP_011055129.1,Synpcc7942_B2638 anL11,BrnT family toxin,Synpcc7942_B2638,tier1:gene ID
gene-H6G84_RS13660,-0.405678145,0.029439418,0.043334176,WP_011055130.1,Synpcc7942_B2639 anL12,BrnA antitoxin family protein,Synpcc7942_B2639,tier1:gene ID
gene-H6G84_RS13665,0.035676043,0.866951682,0.885460754,WP_011055132.1,Synpcc7942_B2640 anL15,DUF2442 domain-containing protein,Synpcc7942_B2640,tier1:gene ID
gene-H6G84_RS13680,-0.070846744,0.864446248,0.883912786,WP_011055135.1,Synpcc7942_B2643 anL18,DJ-1/PfpI family protein,Synpcc7942_B2643,tier1:gene ID
gene-H6G84_RS13690,-1.027927671,3.19284e-05,7.55621e-05,WP_011055137.1,,DUF305 domain-containing protein,,unresolved
gene-H6G84_RS13695,-0.570806715,0.00120274,0.002262739,WP_011055138.1,,HAMP domain-containing histidine kinase,,unresolved
gene-H6G84_RS13705,-1.464480478,4.13422e-07,1.23611e-06,WP_011055140.1,Synpcc7942_B2649 anL24,ANL24,Synpcc7942_B2649,tier1:gene ID
gene-H6G84_RS13710,-3.587117496,1.0000000000000001e-28,1.1000000000000001e-27,WP_011055141.1,,winged helix-turn-helix domain-containing protein,,unresolved
gene-H6G84_RS13720,-0.0777172,0.634221783,0.680448601,WP_011055144.1,Synpcc7942_B2651 pANL28 sex3028,tyrosine-type recombinase/integrase,Synpcc7942_B2651,tier1:gene ID
gene-H6G84_RS13725,0.076076346,0.648553951,0.693603207,WP_011055145.1,sepT1 Synpcc7942_B2653 anL29,type II toxin-antitoxin system PemK/MazF family toxin,Synpcc7942_B2653,tier1:gene ID
gene-H6G84_RS13730,0.345023375,0.036369603,0.052695601,WP_011055146.1,sepA1 anL29.5,hypothetical protein,SYNPCC7942_RS13330,multi:Locus Tag
gene-H6G84_RS13735,0.230218067,0.165497164,0.207860714,WP_011055147.1,Synpcc7942_B2615 anL30,nucleotidyltransferase domain-containing protein,Synpcc7942_B2615,tier1:gene ID
gene-H6G84_RS13740,0.080657203,0.70495333,0.742654334,WP_011055148.1,parB Synpcc7942_B2626 anL31,ParB/RepB/Spo0J family partition protein,Synpcc7942_B2626,tier1:gene ID
gene-H6G84_RS13745,-0.490091197,0.035429615,0.051417085,WP_011055149.1,parA Synpcc7942_B2637 anL32,ParA family protein,Synpcc7942_B2637,tier1:gene ID
gene-H6G84_RS13750,-0.826211657,0.000297083,0.000613162,WP_011055150.1,sepA2 Synpcc7942_B2648 anL33,hypothetical protein,Synpcc7942_B2648,tier1:gene ID
gene-H6G84_RS13755,-1.326844639,4.67311e-07,1.38334e-06,WP_011055151.1,sepT2 vapC Synpcc7942_B2659 anL34,type II toxin-antitoxin system VapC family toxin,Synpcc7942_B2659,tier1:gene ID
gene-H6G84_RS13760,-1.015531881,0.000150169,0.000321584,WP_011055152.1,Synpcc7942_B2654 anL35,sulfurtransferase,Synpcc7942_B2654,tier1:gene ID
gene-H6G84_RS13765,0.141326288,0.518577133,0.571010332,WP_011055153.1,cyd Synpcc7942_B2661 anL36,SufS family cysteine desulfurase,Synpcc7942_B2661,tier1:gene ID
gene-H6G84_RS13770,-0.124447775,0.876364849,0.894052335,WP_011055154.1,enc sprI Synpcc7942_B2662 pANL38,protein SrpI,Synpcc7942_B2662,tier1:gene ID
gene-H6G84_RS13505,-1.601973145,1.03344e-06,2.90818e-06,WP_011055155.1,,serine acetyltransferase,,unresolved
gene-H6G84_RS13510,-1.678800591,7.1311e-11,3.20541e-10,WP_011055156.1,srpG Synpcc7942_B2664 pANL40,cysteine synthase A,Synpcc7942_B2664,tier1:gene ID
gene-H6G84_RS13515,-0.896405994,0.026334761,0.039064688,WP_011055157.1,Synpcc7942_B2616 anL42,four-helix bundle copper-binding protein,Synpcc7942_B2616,tier1:gene ID
gene-H6G84_RS13520,-4.013716177,7.56846e-16,5.52477e-15,WP_011055158.1,Synpcc7942_B2617 anL43,ANL43,Synpcc7942_B2617,tier1:gene ID
gene-H6G84_RS13525,-3.102282416,4.03905e-22,4.70462e-21,WP_011055159.1,Synpcc7942_B2618 anL44,Rrf2 family transcriptional regulator,Synpcc7942_B2618,tier1:gene ID
gene-H6G84_RS13530,-2.327513059,7.12431e-12,3.62852e-11,WP_011055160.1,Synpcc7942_B2619 anL45,carbonic anhydrase,Synpcc7942_B2619,tier1:gene ID
gene-H6G84_RS13535,-0.818892372,0.050499027,0.070830835,WP_011055161.1,srpA Synpcc7942_B2620 pANL46,catalase family peroxidase,Synpcc7942_B2620,tier1:gene ID
gene-H6G84_RS13540,-0.667083905,0.078801363,0.106944707,WP_011055162.1,srpB Synpcc7942_B2621 pANL47,MgtC/SapB family protein,Synpcc7942_B2621,tier1:gene ID
gene-H6G84_RS13545,-0.694025616,0.042658352,0.060820502,WP_011055163.1,srpC Synpcc7942_B2622 pANL48,chromate transporter,Synpcc7942_B2622,tier1:gene ID
gene-H6G84_RS13550,-1.61554773,5.66363e-07,1.66005e-06,WP_011055164.1,srpD Synpcc7942_B2623 anL49,cysteine synthase A,Synpcc7942_B2623,tier1:gene ID
gene-H6G84_RS13555,-1.501363692,1.81853e-07,5.65178e-07,WP_011055165.1,srpE Synpcc7942_B2624 anL50,gamma-glutamyltransferase family protein,Synpcc7942_B2624,tier1:gene ID
gene-H6G84_RS13560,-1.604641897,0.000340902,0.000696626,WP_011055166.1,srpF Synpcc7942_B2625 anL51,DUF4242 domain-containing protein,Synpcc7942_B2625,tier1:gene ID
gene-H6G84_RS13565,-0.912580936,0.003012581,0.005313169,WP_011055167.1,srpJ Synpcc7942_B2627 anL52,acyl-CoA/acyl-ACP dehydrogenase,Synpcc7942_B2627,tier1:gene ID
gene-H6G84_RS13570,-0.613247178,0.262100841,0.313188293,WP_011055168.1,srpK Synpcc7942_B2628 anL53,ABC transporter ATP-binding protein,Synpcc7942_B2628,tier1:gene ID
gene-H6G84_RS13575,-1.150699994,8.40681e-05,0.000186594,WP_011055169.1,srpL Synpcc7942_B2629 anL54,ABC transporter substrate-binding protein,Synpcc7942_B2629,tier1:gene ID
gene-H6G84_RS13580,-1.642413542,4.22104e-08,1.42062e-07,WP_011055170.1,srpM Synpcc7942_B2630 anL55,ABC transporter permease,Synpcc7942_B2630,tier1:gene ID
gene-H6G84_RS13585,-1.931114676,8.96408e-09,3.23214e-08,WP_011055171.1,anL55.5,hypothetical protein,SYNPCC7942_RS13460,multi:Locus Tag
gene-H6G84_RS13595,-0.764749308,6.70882e-06,1.72817e-05,WP_011055173.1,Synpcc7942_B2652 anL56.5,BrnA antitoxin family protein,Synpcc7942_B2652,tier1:gene ID
gene-H6G84_RS13600,-1.491954125,4.86623e-12,2.54622e-11,WP_011055174.1,anL57,hypothetical protein,SYNPCC7942_RS14205,multi:Locus Tag
gene-H6G84_RS11345,-1.389521084,5.05964e-09,1.87739e-08,WP_011242314.1,isiB Synpcc7942_1541,flavodoxin FldA,Synpcc7942_1541,tier1:gene ID
gene-H6G84_RS11350,-1.10753284,1.11911e-10,4.9392e-10,WP_011242315.1,isiA Synpcc7942_1542,chlorophyll a/b binding light-harvesting protein,Synpcc7942_1542,tier1:gene ID
gene-H6G84_RS11365,0.646323587,0.000432037,0.000866987,WP_011242318.1,Synpcc7942_1546,RNB domain-containing ribonuclease,Synpcc7942_1546,tier1:gene ID
gene-H6G84_RS11380,0.083058098,0.642004286,0.687421855,WP_011242320.1,Synpcc7942_1549,translesion error-prone DNA polymerase V autoproteolytic subunit,Synpcc7942_1549,tier1:gene ID
gene-H6G84_RS11400,0.526266364,0.00112785,0.002135343,WP_011242324.1,Synpcc7942_1553,PHP domain-containing protein,Synpcc7942_1553,tier1:gene ID
gene-H6G84_RS11405,0.539659468,0.000272272,0.000563692,WP_011242325.1,clpP1 syc0012_c,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,,unresolved
gene-H6G84_RS11435,0.271539131,0.076358385,0.103945179,WP_011242330.1,Synpcc7942_1559,acyltransferase,Synpcc7942_1559,tier1:gene ID
gene-H6G84_RS11440,-0.698136818,0.001309721,0.002445116,WP_011242331.1,,hypothetical protein,,unresolved
gene-H6G84_RS11515,0.360129742,0.038757059,0.055847116,WP_011242339.1,syc0026_c,cupredoxin domain-containing protein,,unresolved
gene-H6G84_RS11535,-0.472936851,0.036314678,0.052644492,WP_011242343.1,dhg2 Synpcc7942_1573,glucose 1-dehydrogenase,Synpcc7942_1573,tier1:gene ID
gene-H6G84_RS11540,-0.411496404,0.005334234,0.009027424,WP_011242344.1,Synpcc7942_1574,glucosidase,Synpcc7942_1574,tier1:gene ID
gene-H6G84_RS11550,-0.419899215,0.023245691,0.034888071,WP_011242346.1,eriC Synpcc7942_1576,H(+)/Cl(-) exchange transporter ClcA,Synpcc7942_1576,tier1:gene ID
gene-H6G84_RS11580,-1.061315436,1.14414e-07,3.649e-07,WP_011242351.1,SEC0015 Synpcc7942_1581,M14 family metallopeptidase,Synpcc7942_1581,tier1:gene ID
gene-H6G84_RS11630,0.652886058,1.48496e-05,3.67671e-05,WP_011242360.1,SED0024 Synpcc7942_1590,Tab2/Atab2 family RNA-binding protein,Synpcc7942_1590,tier1:gene ID
gene-H6G84_RS11635,0.464981805,0.002122371,0.003846976,WP_011242361.1,rpsA rps1 Synpcc7942_1591 sed0025,S1 RNA-binding domain-containing protein,Synpcc7942_1591,tier1:gene ID
gene-H6G84_RS11650,1.280231593,7.72617e-14,4.62018e-13,WP_011242364.1,Synpcc7942_1594 SEC0028,long-chain acyl-[acyl-carrier-protein] reductase,Synpcc7942_1594,tier1:gene ID
gene-H6G84_RS11655,1.764870777,4.64e-26,7.53e-25,WP_011242365.1,accA Synpcc7942_1595 sec0029,acetyl-CoA carboxylase carboxyltransferase subunit alpha,Synpcc7942_1595,tier1:gene ID
gene-H6G84_RS11660,1.179647146,2.5434e-13,1.45905e-12,WP_011242366.1,,SDR family oxidoreductase,,unresolved
gene-H6G84_RS11665,2.498453731,4.41001e-50,3.47483e-48,WP_011242367.1,folE Synpcc7942_1597 sec0031,GTP cyclohydrolase I FolE,Synpcc7942_1597,tier1:gene ID
gene-H6G84_RS11670,2.682283357,1.8278999999999999e-65,3.76688e-63,WP_011242368.1,Synpcc7942_1598,PhzF family phenazine biosynthesis protein,Synpcc7942_1598,tier1:gene ID
gene-H6G84_RS11675,1.747976905,1.3384799999999999e-21,1.50033e-20,WP_011242369.1,Synpcc7942_1599,SpoIID/LytB domain-containing protein,Synpcc7942_1599,tier1:gene ID
gene-H6G84_RS11680,0.471904501,0.006208374,0.010389785,WP_011242370.1,Synpcc7942_1600,DUF4922 domain-containing protein,Synpcc7942_1600,tier1:gene ID
gene-H6G84_RS11685,-0.858858467,0.002167202,0.00392028,WP_011242371.1,Synpcc7942_1601,DUF2256 domain-containing protein,Synpcc7942_1601,tier1:gene ID
gene-H6G84_RS11735,0.126623674,0.590459207,0.638869231,WP_011242381.1,Synpcc7942_1611,NAD(P) transhydrogenase subunit alpha,Synpcc7942_1611,tier1:gene ID
gene-H6G84_RS11740,-0.464170753,0.055932491,0.078002677,WP_011242382.1,Synpcc7942_1612,NAD(P) transhydrogenase subunit alpha,Synpcc7942_1612,tier1:gene ID
gene-H6G84_RS11750,1.065968529,5.14856e-09,1.90775e-08,WP_011242384.1,rpmH rpl34 Synpcc7942_1614,50S ribosomal protein L34,Synpcc7942_1614,tier1:gene ID
gene-H6G84_RS11755,0.389635653,0.008696878,0.014215336,WP_011242385.1,rnpA Synpcc7942_1615,ribonuclease P protein component,Synpcc7942_1615,tier1:gene ID
gene-H6G84_RS11760,1.051232664,9.78473e-12,4.91807e-11,WP_011242386.1,Synpcc7942_1616,PH domain-containing protein,Synpcc7942_1616,tier1:gene ID
gene-H6G84_RS11765,1.377550345,3.09756e-15,2.13325e-14,WP_011242387.1,Synpcc7942_1617,membrane protein insertase YidC,Synpcc7942_1617,tier1:gene ID
gene-H6G84_RS11770,1.553430294,7.497e-25,1.1158e-23,WP_011242388.1,Synpcc7942_1618,hypothetical protein,Synpcc7942_1618,tier1:gene ID
gene-H6G84_RS11780,1.403733989,1.23758e-19,1.2012600000000002e-18,WP_011242391.1,Synpcc7942_1620,AAA family ATPase,Synpcc7942_1620,tier1:gene ID
gene-H6G84_RS11785,-0.990405415,3.64864e-07,1.1016e-06,WP_011242392.1,Synpcc7942_1621,B12-binding domain-containing radical SAM protein,Synpcc7942_1621,tier1:gene ID
gene-H6G84_RS11790,0.707678696,1.17673e-06,3.28724e-06,WP_011242393.1,Synpcc7942_1622,U32 family peptidase,Synpcc7942_1622,tier1:gene ID
gene-H6G84_RS11795,-0.678090076,0.003239165,0.00567576,WP_011242394.1,Synpcc7942_1623,hypothetical protein,Synpcc7942_1623,tier1:gene ID
gene-H6G84_RS11805,0.484752057,0.001211519,0.002276059,WP_011242396.1,Synpcc7942_1625,glycosyltransferase family 4 protein,Synpcc7942_1625,tier1:gene ID
gene-H6G84_RS11810,0.418263245,0.004821406,0.00821141,WP_011242397.1,Synpcc7942_1626,hypothetical protein,Synpcc7942_1626,tier1:gene ID
gene-H6G84_RS11820,0.27535527,0.158376271,0.200136807,WP_011242400.1,Synpcc7942_1628,cytochrome b/b6 domain-containing protein,Synpcc7942_1628,tier1:gene ID
gene-H6G84_RS11825,-0.197701637,0.292752244,0.345638781,WP_011242401.1,Synpcc7942_1629,hypothetical protein,Synpcc7942_1629,tier1:gene ID
gene-H6G84_RS11830,-0.879828621,1.99511e-05,4.85899e-05,WP_011242402.1,petJ cytA Synpcc7942_1630,c-type cytochrome,Synpcc7942_1630,tier1:gene ID
gene-H6G84_RS11835,-0.621042435,1.30455e-05,3.25711e-05,WP_011242403.1,Synpcc7942_1631,tetratricopeptide repeat protein,Synpcc7942_1631,tier1:gene ID
gene-H6G84_RS11840,0.959336548,1.77021e-08,6.20732e-08,WP_011242404.1,Synpcc7942_1632,hypothetical protein,Synpcc7942_1632,tier1:gene ID
gene-H6G84_RS10940,-0.046964004,0.808714319,0.837978058,WP_011242410.1,Synpcc7942_1460,Ycf34 family protein,Synpcc7942_1460,tier1:gene ID
gene-H6G84_RS10925,1.01024621,3.2894e-06,8.8123e-06,WP_011242413.1,Synpcc7942_1457,1-acyl-sn-glycerol-3-phosphate acyltransferase,Synpcc7942_1457,tier1:gene ID
gene-H6G84_RS10920,1.044738718,2.35201e-10,1.00978e-09,WP_011242414.1,Synpcc7942_1456,ACP S-malonyltransferase,Synpcc7942_1456,tier1:gene ID
gene-H6G84_RS10915,-0.050402551,0.720032235,0.756160861,WP_011242415.1,fabH Synpcc7942_1455,ketoacyl-ACP synthase III,Synpcc7942_1455,tier1:gene ID
gene-H6G84_RS10910,0.03743569,0.801076815,0.831493525,WP_011242416.1,plsX Synpcc7942_1454,phosphate acyltransferase PlsX,Synpcc7942_1454,tier1:gene ID
gene-H6G84_RS10895,0.469230885,0.00048447,0.000964977,WP_011242419.1,Synpcc7942_1451,hypothetical protein,Synpcc7942_1451,tier1:gene ID
gene-H6G84_RS10885,0.449934804,0.002537364,0.004528712,WP_011242421.1,lpxD Synpcc7942_1449,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,Synpcc7942_1449,tier1:gene ID
gene-H6G84_RS10860,0.580746804,0.002317402,0.004172257,WP_011242426.1,cbbA Synpcc7942_1443,fructose-bisphosphate aldolase class II,Synpcc7942_1443,tier1:gene ID
gene-H6G84_RS10850,0.502538938,0.052586465,0.073604566,WP_011242427.1,Synpcc7942_1442,VOC family protein,Synpcc7942_1442,tier1:gene ID
gene-H6G84_RS10845,0.52185853,0.006716367,0.01114817,WP_011242428.1,,adenosylcobinamide-phosphate synthase CbiB,,unresolved
gene-H6G84_RS10840,0.068429865,0.707455483,0.744704613,WP_011242429.1,thrB Synpcc7942_1440,homoserine kinase,Synpcc7942_1440,tier1:gene ID
gene-H6G84_RS10835,1.989331099,3.72907e-10,1.55368e-09,WP_011242430.1,ndhD1 Synpcc7942_1439,NAD(P)H-quinone oxidoreductase subunit 4,Synpcc7942_1439,tier1:gene ID
gene-H6G84_RS10825,-0.489289393,0.003610275,0.006280472,WP_011242433.1,Synpcc7942_1437,DUF6439 family protein,Synpcc7942_1437,tier1:gene ID
gene-H6G84_RS10815,-0.83163181,7.11568e-09,2.60779e-08,WP_011242435.1,menD Synpcc7942_1435,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase,Synpcc7942_1435,tier1:gene ID
gene-H6G84_RS10810,-0.612072277,0.000382776,0.00077393,WP_011242436.1,Synpcc7942_1434,hypothetical protein,Synpcc7942_1434,tier1:gene ID
gene-H6G84_RS10805,-0.027665484,0.856917892,0.877219347,WP_011242437.1,argC Synpcc7942_1433,N-acetyl-gamma-glutamyl-phosphate reductase,Synpcc7942_1433,tier1:gene ID
gene-H6G84_RS10795,0.413983988,0.008539957,0.01398444,WP_011242439.1,rot Synpcc7942_1431,peptidylprolyl isomerase,Synpcc7942_1431,tier1:gene ID
gene-H6G84_RS10790,-0.827478613,4.47768e-07,1.33286e-06,WP_011242440.1,syc0126_d,hypothetical protein,,unresolved
gene-H6G84_RS10785,0.192703104,0.202902119,0.25014946,WP_011242441.1,Synpcc7942_1429,hypothetical protein,Synpcc7942_1429,tier1:gene ID
gene-H6G84_RS10775,0.666516822,1.67743e-05,4.13036e-05,WP_011242442.1,purK Synpcc7942_1428,5-(carboxyamino)imidazole ribonucleotide synthase,Synpcc7942_1428,tier1:gene ID
gene-H6G84_RS10770,0.16073303,0.414911588,0.469602089,WP_011242443.1,,ribulose bisphosphate carboxylase small subunit,,unresolved
gene-H6G84_RS10765,-0.070386007,0.727383714,0.762685311,WP_011242444.1,cbbL rbcL Synpcc7942_1426,form I ribulose bisphosphate carboxylase large subunit,Synpcc7942_1426,tier1:gene ID
gene-H6G84_RS10760,0.469507481,0.00129387,0.00241721,WP_011242445.1,,carbon dioxide-concentrating mechanism protein CcmK,,unresolved
gene-H6G84_RS10755,-0.382201694,0.023540618,0.035251713,WP_011242446.1,ccmN Synpcc7942_1424,hypothetical protein,Synpcc7942_1424,tier1:gene ID
gene-H6G84_RS10745,0.424008723,0.022426587,0.033715391,WP_011242448.1,ccmL Synpcc7942_1422,EutN/CcmL family microcompartment protein,Synpcc7942_1422,tier1:gene ID
gene-H6G84_RS10740,0.138501535,0.444174721,0.497884551,WP_011242449.1,ccmK2 ccmK ccmK1 Synpcc7942_1421,carbon dioxide-concentrating mechanism protein CcmK,Synpcc7942_1421,tier1:gene ID
gene-H6G84_RS10715,0.769933757,8.27342e-06,2.1109e-05,WP_011242453.1,topA Synpcc7942_1416,type I DNA topoisomerase,Synpcc7942_1416,tier1:gene ID
gene-H6G84_RS10710,0.573857845,0.002107907,0.003823347,WP_011242454.1,ndhB Synpcc7942_1415,NAD(P)H-quinone oxidoreductase subunit N,Synpcc7942_1415,tier1:gene ID
gene-H6G84_RS10705,0.277594184,0.071993707,0.098365166,WP_011242455.1,Synpcc7942_1414,ABC transporter ATP-binding protein,Synpcc7942_1414,tier1:gene ID
gene-H6G84_RS10695,0.31474897,0.025035797,0.037346823,WP_011242457.1,Synpcc7942_1412,YbjN domain-containing protein,Synpcc7942_1412,tier1:gene ID
gene-H6G84_RS10680,-1.547935919,1.76772e-14,1.12487e-13,WP_011242460.1,Synpcc7942_1409 futA2,Fe(3+) ABC transporter substrate-binding protein,Synpcc7942_1409,tier1:gene ID
gene-H6G84_RS10675,-1.2666795,3.26169e-08,1.10889e-07,WP_011242461.1,syc0147_c,class I SAM-dependent methyltransferase,,unresolved
gene-H6G84_RS10670,-3.068120636,1.93058e-42,8.47875e-41,WP_011242462.1,Synpcc7942_1407;futB,iron ABC transporter permease,Synpcc7942_1407,locus_tag:Locus Tag
gene-H6G84_RS10640,0.486448507,0.001055151,0.00200621,WP_011242468.1,Synpcc7942_1401,VOC family protein,Synpcc7942_1401,tier1:gene ID
gene-H6G84_RS10625,0.060331089,0.676918417,0.718773063,WP_011242471.1,Synpcc7942_1398,glycosyltransferase,Synpcc7942_1398,tier1:gene ID
gene-H6G84_RS10615,-0.572918385,0.0067085,0.011142015,WP_011242473.1,Synpcc7942_1396,hypothetical protein,Synpcc7942_1396,tier1:gene ID
gene-H6G84_RS10605,0.107922583,0.436950369,0.490535101,WP_011242475.1,Synpcc7942_1394,PDZ domain-containing protein,Synpcc7942_1394,tier1:gene ID
gene-H6G84_RS10595,-0.34754359,0.151049783,0.191965071,WP_011242477.1,Synpcc7942_1392,choice-of-anchor I family protein,Synpcc7942_1392,tier1:gene ID
gene-H6G84_RS10590,-0.682104972,2.5382e-05,6.0767e-05,WP_011242478.1,Synpcc7942_1391,YifB family Mg chelatase-like AAA ATPase,Synpcc7942_1391,tier1:gene ID
gene-H6G84_RS08035,0.247587029,0.176472256,0.220302504,WP_011242481.1,Synpcc7942_1388,carbonic anhydrase family protein,Synpcc7942_1388,tier1:gene ID
gene-H6G84_RS08040,0.329182198,0.029508126,0.043411461,WP_011242482.1,,ATP-dependent sacrificial sulfur transferase LarE,,unresolved
gene-H6G84_RS08075,-0.533976066,0.000602056,0.001185091,WP_011242490.1,,solute carrier family 26 protein,,unresolved
gene-H6G84_RS08080,-0.360133693,0.015769968,0.024406554,WP_011242491.1,accC Synpcc7942_1379,acetyl-CoA carboxylase biotin carboxylase subunit,Synpcc7942_1379,tier1:gene ID
gene-H6G84_RS08095,-0.878578395,1.51086e-07,4.72298e-07,WP_011242493.1,syc0179_c,bifunctional (p)ppGpp synthetase/guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase,,unresolved
gene-H6G84_RS08105,0.916407986,6.04477e-10,2.44992e-09,WP_011242495.1,Synpcc7942_1375,NAD(P)H-dependent oxidoreductase,Synpcc7942_1375,tier1:gene ID
gene-H6G84_RS08110,-0.008289243,0.95884603,0.965332024,WP_011242496.1,Synpcc7942_1374,RluA family pseudouridine synthase,Synpcc7942_1374,tier1:gene ID
gene-H6G84_RS08115,-3.172756607,7.21375e-61,1.2078499999999999e-58,WP_011242497.1,Synpcc7942_1373,HupE/UreJ family protein,Synpcc7942_1373,tier1:gene ID
gene-H6G84_RS08140,-0.969072897,2.3827e-10,1.02132e-09,WP_011242501.1,Synpcc7942_1368,SH3 domain-containing protein,Synpcc7942_1368,tier1:gene ID
gene-H6G84_RS08145,0.187037193,0.338939007,0.393995315,WP_011242502.1,Synpcc7942_1367,cytochrome P450,Synpcc7942_1367,tier1:gene ID
gene-H6G84_RS08150,-0.313377995,0.038375861,0.055333117,WP_011242503.1,menA Synpcc7942_1366,2-carboxy-1%2C4-naphthoquinone phytyltransferase,Synpcc7942_1366,tier1:gene ID
gene-H6G84_RS08175,0.804103244,2.17298e-08,7.55047e-08,WP_011242507.1,Synpcc7942_1361,pentapeptide repeat-containing protein,Synpcc7942_1361,tier1:gene ID
gene-H6G84_RS08185,-0.253107738,0.066885709,0.092221726,WP_011242509.1,Synpcc7942_1359,Coenzyme F420 hydrogenase/dehydrogenase%2C beta subunit C-terminal domain,Synpcc7942_1359,tier1:gene ID
gene-H6G84_RS08205,0.809961766,1.82786e-08,6.40108e-08,WP_011242514.1,Synpcc7942_1355,EAL domain-containing protein,Synpcc7942_1355,tier1:gene ID
gene-H6G84_RS08210,0.286203071,0.06720217,0.092610398,WP_011242515.1,Synpcc7942_1354,MFS transporter,Synpcc7942_1354,tier1:gene ID
gene-H6G84_RS08220,-0.892550422,5.31242e-07,1.55882e-06,WP_011242517.1,acsA Synpcc7942_1352,acetate--CoA ligase,Synpcc7942_1352,tier1:gene ID
gene-H6G84_RS08235,-0.04760204,0.853703105,0.874931377,WP_011242519.1,Synpcc7942_1349,alpha/beta fold hydrolase,Synpcc7942_1349,tier1:gene ID
gene-H6G84_RS08245,0.722804786,8.38506e-06,2.13532e-05,WP_011242520.1,Synpcc7942_1347,2-hydroxyacid dehydrogenase,Synpcc7942_1347,tier1:gene ID
gene-H6G84_RS08250,0.87716787,7.06819e-06,1.81376e-05,WP_011242521.1,ndhE Synpcc7942_1346,NADH-quinone oxidoreductase subunit NuoK,Synpcc7942_1346,tier1:gene ID
gene-H6G84_RS08260,0.856164019,8.57509e-07,2.43871e-06,WP_011242523.1,ndhI Synpcc7942_1344,NAD(P)H-quinone oxidoreductase subunit I,Synpcc7942_1344,tier1:gene ID
gene-H6G84_RS08265,0.876569766,3.88332e-06,1.03311e-05,WP_011242524.1,ndhA Synpcc7942_1343,NADH-quinone oxidoreductase subunit NuoH,Synpcc7942_1343,tier1:gene ID
gene-H6G84_RS08280,1.014671938,9.91116e-11,4.40332e-10,WP_011242527.1,def Synpcc7942_1340,peptide deformylase,Synpcc7942_1340,tier1:gene ID
gene-H6G84_RS08285,0.442913138,0.001508085,0.002790165,WP_011242528.1,Synpcc7942_1339,hypothetical protein,Synpcc7942_1339,tier1:gene ID
gene-H6G84_RS08305,0.924876758,2.92535e-05,6.96005e-05,WP_011242533.1,Synpcc7942_1335,aminotransferase class IV,Synpcc7942_1335,tier1:gene ID
gene-H6G84_RS08315,1.062067117,1.88855e-12,1.01799e-11,WP_011242535.1,queC Synpcc7942_1333,7-cyano-7-deazaguanine synthase QueC,Synpcc7942_1333,tier1:gene ID
gene-H6G84_RS08320,0.675398986,3.65135e-06,9.73329e-06,WP_011242536.1,queE Synpcc7942_1332,7-carboxy-7-deazaguanine synthase QueE,Synpcc7942_1332,tier1:gene ID
gene-H6G84_RS08325,0.190196493,0.294039088,0.346712463,WP_011242537.1,Synpcc7942_1331,chlorophyll a/b-binding protein,Synpcc7942_1331,tier1:gene ID
gene-H6G84_RS08340,1.279033267,3.00488e-11,1.4123e-10,WP_011242540.1,Synpcc7942_1328,DUF1622 domain-containing protein,Synpcc7942_1328,tier1:gene ID
gene-H6G84_RS08370,-1.164007,3.86093e-09,1.45069e-08,WP_011242545.1,psaE Synpcc7942_1322,photosystem I reaction center subunit IV,Synpcc7942_1322,tier1:gene ID
gene-H6G84_RS08380,0.864477097,8.80353e-08,2.84152e-07,WP_011242547.1,Synpcc7942_1320,CHAD domain-containing protein,Synpcc7942_1320,tier1:gene ID
gene-H6G84_RS08385,0.259290607,0.261703173,0.312992322,WP_011242548.1,pyrR Synpcc7942_1319,bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR,Synpcc7942_1319,tier1:gene ID
gene-H6G84_RS08405,1.153822282,1.33877e-11,6.59297e-11,WP_011242552.1,,FADH(2)-oxidizing methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase TrmFO,,unresolved
