gene ID,log2_foldChange,p_value,adjusted p_value,Protein ID,Locus Tag,Annotation,resolved_locus_tag,resolution_method
gene-H6G84_RS11710,1.5977868,2.16603e-15,1.5002e-14,WP_231621298.1,,fasciclin domain-containing protein,,unresolved
gene-H6G84_RS11845,-1.449845834,4.8073900000000006e-18,4.16796e-17,WP_231621299.1,,hypothetical protein,,unresolved
gene-H6G84_RS10645,-2.098874147,1.2458e-18,1.11622e-17,WP_231621302.1,,zinc ribbon domain-containing protein,,unresolved
gene-H6G84_RS08055,-0.085158361,0.536890419,0.589237785,WP_231621303.1,,META domain-containing protein,,unresolved
gene-H6G84_RS08090,-0.841753187,1.0298e-07,3.30398e-07,WP_231621304.1,,lipid-A-disaccharide synthase,,unresolved
gene-H6G84_RS08170,1.007331721,6.08983e-09,2.24411e-08,WP_231621305.1,,hypothetical protein,,unresolved
gene-H6G84_RS08215,1.915123045,6.36e-26,1.0268e-24,WP_231621308.1,,DUF3120 domain-containing protein,,unresolved
gene-H6G84_RS08335,0.991152424,3.7264e-11,1.73316e-10,WP_231621309.1,,TPM domain-containing protein,,unresolved
gene-H6G84_RS08965,-0.726808369,0.02557226,0.037996719,WP_231621315.1,,DUF2281 domain-containing protein,,unresolved
gene-H6G84_RS09135,0.691193884,4.72066e-06,1.24475e-05,WP_231621316.1,,apolipoprotein N-acyltransferase,,unresolved
gene-H6G84_RS09610,0.774065817,2.20389e-08,7.64795e-08,WP_231621318.1,,glycosyltransferase family 2 protein,,unresolved
gene-H6G84_RS09835,0.979448217,6.78851e-07,1.95974e-06,WP_231621319.1,,photosystem II reaction center PsbP family protein,,unresolved
gene-H6G84_RS09895,-0.570509992,0.010240167,0.016526149,WP_231621320.1,,tetratricopeptide repeat protein,,unresolved
gene-H6G84_RS09900,0.611552874,3.09503e-05,7.34418e-05,WP_231621321.1,,DMT family transporter,,unresolved
gene-H6G84_RS10040,0.126269024,0.479465822,0.533647253,WP_231621322.1,,hypothetical protein,,unresolved
gene-H6G84_RS10525,-0.140781611,0.496805539,0.550886605,WP_231621325.1,,calcium-binding protein,,unresolved
gene-H6G84_RS11945,0.398858682,0.024379019,0.036466439,WP_231621326.1,,Rne/Rng family ribonuclease,,unresolved
