Operon profiles of Prochlorococcus MED4,,,,,,,,,,,,,,,,,,,,,,,,,
Operon_ID,start,end,strand,length,Num. of genes,sysName,,,,,,,,,,,,,,,,,,,
95,352020,351526,-,495,2,HyPMM40,HyPMM41,,,,,,,,,,,,,,,,,,
96,352975,355473,+,2499,2,PMM0370,PMM0371,,,,,,,,,,,,,,,,,,
97,355490,356820,+,1331,2,PMM0372,PMM0373,,,,,,,,,,,,,,,,,,
98,358167,357535,-,633,2,PMM0376,PMM0377,,,,,,,,,,,,,,,,,,
99,358754,358218,-,537,2,PMM0378,Yfr11,,,,,,,,,,,,,,,,,,
100,359055,358796,-,260,2,HyPMM42,HyPMM43,,,,,,,,,,,,,,,,,,
101,360486,359300,-,1187,4,HyPMM44,HyPMM45,PMM0379,PMM0380,,,,,,,,,,,,,,,,
102,361597,360886,-,712,2,PMM0381,PMM0382,,,,,,,,,,,,,,,,,,
103,367616,363007,-,4610,3,PMM0384,PMM0385,PMM0386,,,,,,,,,,,,,,,,,
104,368511,368348,-,164,2,RNA_32,RNA_31,,,,,,,,,,,,,,,,,,
105,370993,373283,+,2291,2,PMM0391,PMM0392,,,,,,,,,,,,,,,,,,
106,374367,375756,+,1390,2,PMM0395,PMM0396,,,,,,,,,,,,,,,,,,
107,379037,377005,-,2033,3,PMM0398,PMM0399,PMM0400,,,,,,,,,,,,,,,,,
108,382974,383312,+,339,2,HyPMM52,Yfr12,,,,,,,,,,,,,,,,,,
109,383670,386168,+,2499,2,PMM0405,PMM0406,,,,,,,,,,,,,,,,,,
110,390561,387242,-,3320,3,PMM0408,PMM0409,PMM0410,,,,,,,,,,,,,,,,,
111,390657,391200,+,544,2,PMM0411,PMM0412,,,,,,,,,,,,,,,,,,
112,395523,393515,-,2009,2,PMM0415,PMM0416,,,,,,,,,,,,,,,,,,
113,402171,402802,+,632,2,PMM0423,PMM0424,,,,,,,,,,,,,,,,,,
114,409210,406258,-,2953,3,PMM0427,PMM0428,PMM0429,,,,,,,,,,,,,,,,,
115,414315,412094,-,2222,2,PMM0434,PMM0435,,,,,,,,,,,,,,,,,,
116,414484,417683,+,3200,2,PMM0436,PMM0437,,,,,,,,,,,,,,,,,,
117,417706,420509,+,2804,3,PMM0438,PMM0439,PMM0440,,,,,,,,,,,,,,,,,
118,425917,422877,-,3041,3,PMM0444,PMM0445,PMM0446,,,,,,,,,,,,,,,,,
119,426170,429153,+,2984,3,PMM0447,PMM0448,PMM0449,,,,,,,,,,,,,,,,,
120,429207,430551,+,1345,2,PMM0450,PMM0451,,,,,,,,,,,,,,,,,,
121,438919,437615,-,1305,2,PMM0458,PMM0459,,,,,,,,,,,,,,,,,,
122,444553,441721,-,2833,3,PMM0464,PMM0465,PMM0466,,,,,,,,,,,,,,,,,
123,445919,445200,-,720,2,PMM0468,PMM0469,,,,,,,,,,,,,,,,,,
124,445994,447252,+,1259,2,PMM0470,PMM0471,,,,,,,,,,,,,,,,,,
125,451453,448610,-,2844,6,PMM0473,RNA_30,PMM0474,RNA_29,PMM0475,PMM0476,,,,,,,,,,,,,,
126,453269,456633,+,3365,5,PMM0479,PMM0480,PMM0481,HyPMM58,PMM0482,,,,,,,,,,,,,,,
127,459085,461316,+,2232,3,PMM0485,PMM0486,PMM0487,,,,,,,,,,,,,,,,,
128,465856,468011,+,2156,2,PMM0493,PMM0494,,,,,,,,,,,,,,,,,,
129,470253,468018,-,2236,2,PMM0495,PMM0496,,,,,,,,,,,,,,,,,,
130,475364,472859,-,2506,3,PMM0498,PMM0499,PMM0500,,,,,,,,,,,,,,,,,
131,476059,477191,+,1133,2,PMM0503,PMM0504,,,,,,,,,,,,,,,,,,
132,480035,477171,-,2865,3,PMM0505,PMM0506,PMM0507,,,,,,,,,,,,,,,,,
133,486891,484307,-,2585,2,PMM0514,PMM0515,,,,,,,,,,,,,,,,,,
134,488884,491727,+,2844,2,PMM0518,PMM0519,,,,,,,,,,,,,,,,,,
135,494164,491753,-,2412,3,PMM0520,PMM0521,PMM0522,,,,,,,,,,,,,,,,,
136,496189,494294,-,1896,2,PMM0523,PMM0524,,,,,,,,,,,,,,,,,,
137,502658,500539,-,2120,2,PMM0529,PMM0530,,,,,,,,,,,,,,,,,,
138,510866,512469,+,1604,3,PMM0540,PMM0541,PMM0542,,,,,,,,,,,,,,,,,
139,516918,512474,-,4445,4,PMM0543,PMM0544,PMM0545,PMM0546,,,,,,,,,,,,,,,,
140,518725,525382,+,6658,7,PMM0549,PMM0550,PMM0551,PMM0552,PMM0553,PMM0554,PMM0555,,,,,,,,,,,,,
141,527198,525728,-,1471,3,PMM0557,PMM0558,PMM0559,,,,,,,,,,,,,,,,,
142,527242,530220,+,2979,3,PMM0560,PMM0561,PMM0562,,,,,,,,,,,,,,,,,
143,531519,530222,-,1298,2,PMM0563,PMM0564,,,,,,,,,,,,,,,,,,
144,542434,540814,-,1621,3,PMM0575,PMM0576,PMM0577,,,,,,,,,,,,,,,,,
145,546827,543828,-,3000,2,PMM0580,PMM0581,,,,,,,,,,,,,,,,,,
146,548918,546886,-,2033,2,PMM0582,PMM0583,,,,,,,,,,,,,,,,,,
147,553213,549042,-,4172,3,PMM0584,PMM0585,PMM0586,,,,,,,,,,,,,,,,,
148,558202,560483,+,2282,3,PMM0590,PMM0591,PMM0592,,,,,,,,,,,,,,,,,
