sysName,locus_tag,start,stop,strand,Core/Flexible,ExpressionLevel,name,desc,COG,COGFun,COGDesc,resolved_locus_tag,resolution_method
PMM0136,PMED4_01421,134349.0,135356.0,+,Core,MEG,fabH,3-oxoacyl-[acyl-carrier-protein] synthase III (NCBI),COG332,I,3-oxoacyl-[acyl-carrier-protein] synthase III,PMM0136,locus_tag:sysName
PMM0137,PMED4_01431,135371.0,136267.0,+,Core,MEG,fabD,Malonyl coenzyme A-acyl carrier protein transacylase (NCBI),COG331,I,(acyl-carrier-protein) S-malonyltransferase,PMM0137,locus_tag:sysName
PMM0138,PMED4_01441,136272.0,136892.0,+,Core,MEG,plsC,putative 1-acyl-sn-glycerol-3-phosphate acyltransferase (NCBI),COG204,I,1-acyl-sn-glycerol-3-phosphate acyltransferase,PMM0138,locus_tag:sysName
PMM0139,PMED4_01451,136897.0,137547.0,-,Core,VEG,PMM0139,"Inactive homolog of metal-dependent proteases, putative molecular chaperone  (Katherine Huang)",COG1214,O,"Inactive homolog of metal-dependent proteases, putative molecular chaperone",PMM0139,locus_tag:sysName
PMM0140,PMED4_01461,137554.0,137805.0,-,Core,MEG,ycf34,putative Ycf34 (NCBI),,,,PMM0140,locus_tag:sysName
PMM0141,PMED4_01471,137792.0,139039.0,+,Core,VEG,PMM0141,Poly A polymerase family (NCBI),COG617,J,tRNA nucleotidyltransferase/poly(A) polymerase,PMM0141,locus_tag:sysName
PMM0142,PMED4_01481,139098.0,139517.0,+,Core,HEG,PMM0142,RNA-binding region RNP-1 (RNA recognition motif) (NCBI),,,,PMM0142,locus_tag:sysName
PMM0143,PMED4_01491,139518.0,140426.0,-,Core,VEG,"crtB,pys",Squalene and phytoene synthases (NCBI),COG1562,I,Phytoene/squalene synthetase,PMM0143,locus_tag:sysName
PMM0144,PMED4_01501,140446.0,141867.0,-,Core,MEG,pds,phytoene desaturase (NCBI),COG3349,S,Uncharacterized conserved protein,PMM0144,locus_tag:sysName
PMM0145,PMED4_01511,141958.0,142305.0,+,Core,HEG,PMM0145,NADH dehydrogenase I subunit M (Katherine Huang),,,,PMM0145,locus_tag:sysName
PMM0146,PMED4_01521,142302.0,142919.0,+,Core,HEG,PMM0146,conserved hypothetical protein (NCBI),,,,PMM0146,locus_tag:sysName
PMM0147,PMED4_01531,142916.0,143869.0,-,Core,HEG,rbcR,putative Rubisco transcriptional regulator (NCBI),COG583,K,Transcriptional regulator,PMM0147,locus_tag:sysName
PMM0148,PMED4_01541,143954.0,144682.0,+,Core,VEG,PMM0148,Predicted membrane protein (Katherine Huang),COG4094,S,Predicted membrane protein,PMM0148,locus_tag:sysName
PMM0149,PMED4_01551,144716.0,146728.0,+,Core,MEG,ndhF,putative NADH Dehydrogenase (complex I) subunit (chain 5) (NCBI),COG1009,CP,"NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit",PMM0149,locus_tag:sysName
PMM0150,PMED4_01561,146813.0,148453.0,+,Core,MEG,ndhD,putative NADH dehydrogenase subunit (chain 4) (NCBI),COG1008,C,NADH:ubiquinone oxidoreductase subunit 4 (chain M),PMM0150,locus_tag:sysName
PMM0151,PMED4_01571,148684.0,149397.0,+,Core,VEG,PMM0151,Uncharacterized conserved protein (Katherine Huang),COG1354,S,Uncharacterized conserved protein,PMM0151,locus_tag:sysName
PMM0152,PMED4_01581,149447.0,150625.0,+,Core,MEG,PMM0152,Putative sugar-phosphate nucleotidyl transferase (NCBI),COG1208,MJ,"Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)",PMM0152,locus_tag:sysName
PMM0153,PMED4_01591,150609.0,151499.0,-,Core,VEG,metF,Methylenetetrahydrofolate reductase (Katherine Huang),COG685,E,"5,10-methylenetetrahydrofolate reductase",PMM0153,locus_tag:sysName
PMM0154,PMED4_01601,151577.0,151855.0,+,Core,HEG,csgD,"Bacterial regulatory protein, LuxR family (NCBI)",COG2771,K,DNA-binding HTH domain-containing proteins,PMM0154,locus_tag:sysName
PMM0155,PMED4_01611,152080.0,152556.0,-,Core,VEG,PMM0155,Uncharacterized protein conserved in bacteria (Katherine Huang),COG2954,S,Uncharacterized protein conserved in bacteria,PMM0155,locus_tag:sysName
PMM0156,PMED4_01621,152557.0,153456.0,-,Core,VEG,PMM0156,predicted inorganic polyphosphate / ATP-NAD+ kinase (NCBI),COG61,G,Predicted sugar kinase,PMM0156,locus_tag:sysName
PMM0157,PMED4_01631,153482.0,153802.0,-,Core,VEG,ndhE,putative NADH Dehydrogenase subunit (NCBI),COG713,C,NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K),PMM0157,locus_tag:sysName
PMM0158,PMED4_01641,153804.0,154403.0,-,Core,MEG,ndhG,putative NADH Dehydrogenase (complex I) subunit (chain 6) (NCBI),COG839,C,NADH:ubiquinone oxidoreductase subunit 6 (chain J),PMM0158,locus_tag:sysName
PMM0159,PMED4_01651,154417.0,155043.0,-,Core,HEG,ndhI,putative NADH Dehydrogenase subunit (NCBI),COG1143,C,Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I),PMM0159,locus_tag:sysName
PMM0160,PMED4_01661,155113.0,156231.0,-,Core,MEG,ndhA,putative respiratory-chain NADH dehydrogenase subunit (NCBI),COG1005,C,NADH:ubiquinone oxidoreductase subunit 1 (chain H),PMM0160,locus_tag:sysName
PMM0161,PMED4_01671,156307.0,157452.0,-,Core,VEG,gltA,Citrate synthase (NCBI),COG372,C,Citrate synthase,PMM0161,locus_tag:sysName
PMM0162,PMED4_01681,157532.0,158989.0,-,Core,NEG,PMM0162,Conserved hypothetical protein (Katherine Huang),,,,PMM0162,locus_tag:sysName
PMM0163,PMED4_01691,159071.0,159421.0,+,Core,MEG,pspE,Rhodanese-like (Katherine Huang),COG607,P,Rhodanese-related sulfurtransferase,PMM0163,locus_tag:sysName
PMM0164,PMED4_01701,159422.0,160666.0,-,Core,HEG,trpB,Tryptophan synthase subunit beta (Katherine Huang),COG133,E,Tryptophan synthase beta chain,PMM0164,locus_tag:sysName
PMM0165,PMED4_01711,160714.0,161025.0,+,Core,VEG,sui1,Translation initiation factor SUI1 (NCBI),COG23,J,Translation initiation factor 1 (eIF-1/SUI1) and related proteins,PMM0165,locus_tag:sysName
PMM0166,PMED4_01721,161069.0,161695.0,+,Core,MEG,cysC,Adenylylsulfate kinase (NCBI),COG529,P,Adenylylsulfate kinase and related kinases,PMM0166,locus_tag:sysName
PMM0167,PMED4_01731,161711.0,162202.0,-,Core,MEG,purE,Phosphoribosylaminoimidazole carboxylase (NCBI),COG41,F,Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase,PMM0167,locus_tag:sysName
PMM0168,PMED4_01741,162339.0,163040.0,+,Core,MEG,chlM,Mg-protoporphyrin IX methyltransferase (NCBI),COG2227,H,"2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase",PMM0168,locus_tag:sysName
PMM0169,PMED4_01751,163042.0,163770.0,-,Core,VEG,PMM0169,two-component response regulator (NCBI),COG2197,TK,Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,PMM0169,locus_tag:sysName
PMM0170,PMED4_01761,163827.0,164975.0,+,Core,VEG,PMM0170,NifS-like aminotransferase class-V (NCBI),COG1104,E,Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes,PMM0170,locus_tag:sysName
PMM0171,PMED4_01771,164984.0,165886.0,-,Core,VEG,PMM0171,Predicted S-adenosylmethionine-dependent methyltransferase (Katherine Huang),COG275,M,Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis,PMM0171,locus_tag:sysName
PMM0172,PMED4_01781,165925.0,167112.0,+,Core,VEG,ndhH,putative NADH dehydrogenase subunit (NCBI),COG649,C,NADH:ubiquinone oxidoreductase 49 kD subunit 7,PMM0172,locus_tag:sysName
PMM0173,PMED4_01791,167121.0,167573.0,+,Core,MEG,PMM0173,Predicted thioesterase  (Katherine Huang),COG824,R,Predicted thioesterase,PMM0173,locus_tag:sysName
PMM0174,PMED4_01801,167587.0,168804.0,-,Core,VEG,menE,probable O-succinylbenzoic acid--CoA ligase (OSB-CoA synthetase) (NCBI),COG318,IQ,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II,PMM0174,locus_tag:sysName
PMM0175,PMED4_01811,168789.0,169754.0,-,Core,VEG,menC,putative O-succinylbenzoate synthase (NCBI),COG4948,MR,L-alanine-DL-glutamate epimerase and related enzymes of enolase superfamily,PMM0175,locus_tag:sysName
PMM0176,PMED4_01821,169751.0,170668.0,-,Core,VEG,menA,"1,4-dihydroxy-2-naphthoate (DHNA) octaprenyltransferase; UbiA prenyltranferase family (NCBI)",COG1575,H,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",PMM0176,locus_tag:sysName
PMM0177,PMED4_01831,170770.0,172167.0,+,Core,VEG,menF,Isochorismate synthase (NCBI),COG1169,HQ,Isochorismate synthase,PMM0177,locus_tag:sysName
PMM0178,PMED4_01841,172160.0,173083.0,-,Core,MEG,gshB,putative Glutathione synthetase (NCBI),COG189,HJ,Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase),PMM0178,locus_tag:sysName
PMM0179,PMED4_01851,173089.0,173343.0,-,Core,MEG,grxC,Glutaredoxin (NCBI),COG695,O,Glutaredoxin and related proteins,PMM0179,locus_tag:sysName
PMM0180,PMED4_01861,173420.0,174542.0,+,Core,VEG,prfB,peptide chain release factor RF-2 (NCBI),COG216,J,Protein chain release factor A,PMM0180,locus_tag:sysName
PMM0181,PMED4_01871,174547.0,174729.0,+,Core,VEG,PMM0181,conserved hypothetical protein (NCBI),,,,PMM0181,locus_tag:sysName
PMM0182,PMED4_01881,174737.0,175279.0,+,Core,NEG,PMM0182,Predicted metal-dependent hydrolase  (Katherine Huang),COG319,R,Predicted metal-dependent hydrolase,PMM0182,locus_tag:sysName
PMM0183,PMED4_01891,175302.0,175718.0,+,Core,NEG,dgkA,Prokaryotic diacylglycerol kinase (NCBI),COG818,M,Diacylglycerol kinase,PMM0183,locus_tag:sysName
PMM0184,PMED4_01901,175726.0,176322.0,+,Core,VEG,pabA,para-aminobenzoate synthase component II (NCBI),COG512,EH,Anthranilate/para-aminobenzoate synthases component II,PMM0184,locus_tag:sysName
