sysName,locus_tag,start,stop,strand,Core/Flexible,ExpressionLevel,name,desc,COG,COGFun,COGDesc,resolved_locus_tag,resolution_method
PMM0079,PMED4_00821,84786.0,85253.0,+,Core,HEG,bcp,putative bacterioferritin comigratory (BCP) protein (NCBI),COG1225,O,Peroxiredoxin,PMM0079,locus_tag:sysName
PMM0080,PMED4_00831,85259.0,85939.0,-,Core,HEG,PMM0080,Predicted transcriptional regulator (Katherine Huang),,,,PMM0080,locus_tag:sysName
PMM0081,PMED4_00841,85958.0,86680.0,-,Core,VEG,cysH,Phosphoadenosine phosphosulfate reductase (NCBI),COG175,EH,3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes,PMM0081,locus_tag:sysName
PMM0082,PMED4_00851,86776.0,87960.0,+,Core,VEG,PMM0082,"putative NADH dehydrogenase, transport associated (NCBI)",COG1252,C,"NADH dehydrogenase, FAD-containing subunit",PMM0082,locus_tag:sysName
PMM0083,PMED4_00861,88020.0,89828.0,+,Core,MEG,citT,"putative sodium/sulfate transporter, DASS family (NCBI)",COG471,P,Di- and tricarboxylate transporters,PMM0083,locus_tag:sysName
PMM0084,PMED4_00871,89838.0,91241.0,+,Core,LEG,trkG,"possible sodium transporter, Trk family (NCBI)",COG168,P,"Trk-type K+ transport systems, membrane components",PMM0084,locus_tag:sysName
PMM0085,PMED4_00881,91260.0,91964.0,+,Core,VEG,PMM0085,"putative potassium channel, VIC family (NCBI)",COG569,P,"K+ transport systems, NAD-binding component",PMM0085,locus_tag:sysName
PMM0086,PMED4_00891,91965.0,92273.0,-,Core,HEG,PMM0086,Conserved hypothetical protein (NCBI),,,,PMM0086,locus_tag:sysName
PMM0087,PMED4_00901,92390.0,92728.0,+,Core,VEG,PMM0087,conserved hypothetical protein (NCBI),,,,PMM0087,locus_tag:sysName
PMM0088,PMED4_00911,92764.0,92994.0,+,Core,HEG,PMM0088,conserved hypothetical protein (NCBI),,,,PMM0088,locus_tag:sysName
HyPMM6,PMED4_00921,92962.0,93144.0,-,Flexible,HEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,unresolved
PMM0089,PMED4_00931,93215.0,94837.0,+,Core,MEG,PMM0089,"ABC transporter, ATP binding component (NCBI)",COG488,R,ATPase components of ABC transporters with duplicated ATPase domains,PMM0089,locus_tag:sysName
HyPMM7,PMED4_00941,94992.0,95147.0,+,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,unresolved
PMM0090,PMED4_00951,95155.0,96303.0,-,Core,MEG,PMM0090,possible serine protease (NCBI),COG265,O,"Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",PMM0090,locus_tag:sysName
PMM0091,PMED4_00961,96452.0,96715.0,+,Core,HEG,PMM0091,conserved hypothetical protein (NCBI),,,,PMM0091,locus_tag:sysName
PMM0092,PMED4_00971,96820.0,97131.0,+,Core,VEG,PMM0092,conserved hypothetical protein (NCBI),,,,PMM0092,locus_tag:sysName
PMM0093,PMED4_00981,97200.0,97346.0,+,Core,VEG,hli1,possible high light inducible protein (NCBI),,,,PMM0093,locus_tag:sysName
PMM0094,PMED4_00991,97375.0,97701.0,-,Core,MEG,PMM0094,conserved hypothetical protein (NCBI),,,,PMM0094,locus_tag:sysName
PMM0095,PMED4_01001,97734.0,98660.0,-,Core,VEG,rbn,similar to serum resistance locus BrkB (NCBI),COG1295,S,Predicted membrane protein,PMM0095,locus_tag:sysName
PMM0096,PMED4_01011,98735.0,99532.0,-,Core,MEG,PMM0096,inositol monophosphate family protein (NCBI),COG483,G,"Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family",PMM0096,locus_tag:sysName
PMM0097,PMED4_01021,99535.0,100965.0,-,Core,VEG,PMM0097,possible RND family outer membrane efflux protein (NCBI),COG1538,MU,Outer membrane protein,PMM0097,locus_tag:sysName
