Gene,Description,Cluster,0,16,28,53,R*,locus_tag,resolution_method
P9313_10901 (PMT0911),hypothetical,4,-0.03,1.04**,0.50,0.58,-0.66,PMT0911,locus_tag:Gene
P9313_10911,conserved hypothetical protein,2,-0.56,-0.22,0.99,1.52**,-0.97,PMT_2485,tier1:Gene
P9313_10981 (PMT0916),hypothetical,18,-0.38,0.54,-0.40,-1.22**,-0.07,PMT_0916,tier1:Gene
P9313_11171,,14,-0.01,-0.69,-0.25,-1.97**,-0.40,PMT_2498,tier1:Gene
P9313_11641,,3,1.22**,-0.03,0.14,1.55**,-0.23,PMT_2523,tier1:Gene
P9313_12191,,4,-0.17,0.26,0.61,0.88,-1.07**,PMT_2543,tier1:Gene
P9313_12361,conserved hypothetical protein,4,0.29,0.54,0.81,1.28**,-0.60,PMT_2554,tier1:Gene
P9313_12371 (PMT0992),possible high light inducible protein (hli7),4,-0.16,0.61,-0.07,1.08**,-2.78**,PMT0992,tier1:Gene
P9313_12381,,2,0.09,0.15,0.87,1.38**,-0.90,PMT_2555,tier1:Gene
P9313_12581,conserved hypothetical protein,2,-0.03,0.26,0.88,1.43**,-0.13,PMT_2562,tier1:Gene
P9313_12771,,38,-0.07,0.06,1.10**,0.53,-0.51,PMT_2571,tier1:Gene
P9313_12781 (PMT1018),hypothetical,4,-0.07,0.60,0.41,1.39**,-0.87,PMT1018,locus_tag:Gene
P9313_12801,,4,-0.21,5.53**,4.01**,6.14**,-6.38**,PMT_2573,tier1:Gene
P9313_12851 (PMT1019),conserved hypothetical protein,38,0.23,0.11,0.60,1.16**,-0.85,PMT1019,tier1:Gene
P9313_13161,Conserved hypothetical protein,8,0.06,1.69**,-0.23,0.14,-0.94,PMT_2598,tier1:Gene
P9313_13251,Conserved hypothetical protein,35,0.65,0.17,-0.10,1.14**,0.12,PMT_2603,tier1:Gene
P9313_13381,,18,0.15,1.54**,-0.09,-0.45,-0.21,PMT_2610,tier1:Gene
P9313_13611,,26,0.06,-0.56,0.53,1.23**,-0.38,PMT_2614,tier1:Gene
P9313_14621 (PMT1152),possible high light inducible protein (hli9),3,-0.16,0.05,-0.34,0.55,-1.29**,PMT1152,locus_tag:Gene
P9313_14641 (PMT1154),possible high light inducible protein (hli8),3,0.00,-0.18,-0.40,0.30,-1.45**,PMT_1154,tier1:Gene
P9313_14861,cytochrome b6-F complex subunit VII,30,0.12,-1.31**,-0.65,-0.53,0.48,PMT1171a,tier1:Gene
P9313_14961 (PMT1181),maf-like protein,30,-0.13,-0.87,-0.53,-1.04**,0.86,PMT1181,tier1:Gene
P9313_15141,conserved hypothetical protein,17,-0.67,-0.59,-0.47,-1.30**,0.61,PMT_2642,tier1:Gene
(PMT1212)** P9313_15331,conserved hypothetical protein (with homology to nitrogen regulatory protein P-II),17,-0.06,-0.35,-0.53,-1.40**,0.37,PMT1212,tier1:Gene
P9313_15411 (PMT1220),possible photosystem I reaction centre subunit XII (psaM),30,0.14,-0.87,-0.41,-1.12**,0.92,PMT1220,tier1:Gene
P9313_16111 (PMT1277),hypothetical,4,0.29,0.97,0.98,1.77**,-1.43**,PMT1277,locus_tag:Gene
P9313_16231,conserved hypothetical protein,2,0.11,0.02,1.39**,1.95**,-2.18**,PMT_2662,tier1:Gene
P9313_16241,conserved hypothetical protein,3,0.41,0.09,-0.15,1.24**,-0.94,PMT_2663,tier1:Gene
P9313_16251 (PMT1288),conserved hypothetical,4,0.19,0.65,1.71**,1.92**,-2.25**,PMT1288,tier1:Gene
