Gene,Description,Cluster,0,12,24,48,R*,locus_tag,resolution_method
PMED4_00651 (PMM0063),conserved hypothetical protein,19,-0.08,0.62,0.81,0.91,-1.53**,PMM0063,tier1:Gene
PMED4_00941 (PMM1805),conserved hypothetical protein,9,-0.09,-0.69,-0.69,-0.77,1.79**,PMM1805,tier1:Gene
PMED4_02321 (PMM0227),ATP-sulfurylase (cysD),9,-0.16,-0.33,-0.74,-0.81,1.11**,PMM0227,tier1:Gene
PMED4_03261 (PMM1808),conserved hypothetical protein,13,-0.2,0.98,1.15**,-0.06,-0.32,PMM1808,tier1:Gene
PMED4_03441 (PMM1811),conserved hypothetical protein,9,-0.31,-0.74,-0.73,-0.92,1.62**,PMM1811,tier1:Gene
PMED4_03461 (PMM0336),conserved hypothetical (with homology to plastoquinol terminal oxidase),19,-0.05,1.01**,0.97,1.14**,-2.52**,PMM0336,tier1:Gene
PMED4_03462,,9,0.43,-0.51,-0.07,-0.34,1.49**,PMM2029,tier1:Gene
PMED4_03481 (PMM0337),conserved hypothetical protein,19,-0.05,0.66,1.04**,0.79,-1.70**,PMM0337,tier1:Gene
PMED4_03531 (PMM1815),conserved hypotheical protein,19,0.34,0.85,0.83,1.16**,-1.21**,PMM1815,tier1:Gene
PMED4_03591 (PMM1873),protein family PM-16,7,-0.07,-0.01,-1.59**,-0.61,0.75,PMM1817,tier1:Gene
PMED4_03621 (PMM0345),putative bacterioferritin comigratory protein,19,-0.1,0.31,0.82,1.44**,-1.47**,PMM0345,tier1:Gene
PMED4_03691 (PMM1820),conserved hypothetical protein,6,0.12,-1.02**,-0.35,-1.05**,2.09**,PMM1820,tier1:Gene
PMED4_03841 (PMM1826),conserved hypothetical protein,9,0.31,-0.76,-0.79,-0.92,1.76**,PMM1826,tier1:Gene
PMED4_03871 (PMM0362),hypothetical,19,-0.04,1.49**,2.65**,3.40**,-4.06**,PMM0362,tier1:Gene
PMED4_03901 (PMM1828),conserved hypothetical protein,19,-0.1,0.46,0.93,1.51**,-1.18**,PMM1828,tier1:Gene
PMED4_03961 (PMM1829),conserved hypothetical protein,19,-0.23,0.64,0.71,0.87,-1.81**,PMM1829,tier1:Gene
PMED4_03962,,19,-0.32,0.86,0.86,1.16**,-1.22**,PMM2033,tier1:Gene
PMED4_03963,,19,-0.18,1.02**,1.24**,1.51**,-1.97**,PMM2034,tier1:Gene
PMED4_03964,,19,-0.24,0.76,0.92,1.18**,-1.78**,PMM2035,tier1:Gene
PMED4_03965,,19,-0.03,0.64,1.15**,1.19**,-1.37**,PMM2036,tier1:Gene
PMED4_03971 (PMM1830),conserved hypothetical protein,13,0.18,1.22**,0.66,0.71,-1.38**,PMM1830,tier1:Gene
PMED4_03981 (PMM1831),conserved hypothetical protein,19,0.18,1.01**,0.79,1.10**,-1.07**,PMM1831,tier1:Gene
PMED4_03991 (PMM1832),conserved hypothetical protein,19,0.39,1.07**,0.89,1.21**,-1.22**,PMM1832,tier1:Gene
PMED4_04001 (PMM1833),conserved hypothetical protein,19,-0.05,0.58,0.65,0.69,-1.19**,PMM1833,tier1:Gene
PMED4_04031 (PMM0370),"putative cyanate ABC transporter, substrate binding protein",19,0.0,0.29,0.56,0.75,-1.10**,PMM0370,tier1:Gene
