Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light 4,Light 5,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 2,Darkness 3,Darkness 4,Darkness 5,Darkness 6,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu nM 4,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1.1,Light 3.1,Light 5.1,Light Glu nM 1.1,Light Glu nM 3.1,Light Glu nM 4.1,Light Glu mM 1.1,Light Glu mM 3.1,Light Glu mM 4.1,Darkness 1.1,Darkness 3.1,Darkness 5.1,Darkness Glu nM 1.1,Darkness Glu nM 3.1,Darkness Glu nM 5.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Marinobacter_SS120,Light avg,Light G nM avg,Light G mM avg,Darkness avg,Darkness G nM,Darkness G mM,FC G nM/L,FC GmM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,log2FC.GnM.L,log2FC.GnM.D,log2FC.GmM.D,log2FC.GmM.L,extracted_gn
E4PQI5,3,3,15.2441,Homoserine dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hom PE=3 SV=1,39299.4,18579.8,54347.7,7906.33,17583.7,67692.6,93001.1,73246.8,207237.0,2326899.0,139050.0,486120.0,992640.0,8850.29,53408.1,13123.8,41538.8,29865.5,209261.0,70386.6,25931.3,49166.4,26028.0,12327.6,73909.4,147036.0,272173.0,4.8e-05,3.2e-05,1.1e-05,6.7e-05,6.9e-05,5.5e-05,0.00172,0.00015,0.00042,9.9e-06,2.8e-05,5.4e-05,8.3e-05,5.9e-05,9.5e-06,7.1e-05,0.00023,0.00044,Homoserine dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hom PE=3 SV=1,3.1e-05,6.4e-05,0.00076,3.1e-05,5e-05,0.00025,2.08,25.01,1.65,8.1,0.02,0.1,0.24,0.06,1.0565835283663676,0.722466024471091,3.017921907997262,4.644433152406245,hom
E4PQB5,4,4,19.3804,Inorganic pyrophosphatase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppa PE=3 SV=1,203481.0,239590.0,181494.0,161694.0,148309.0,304614.0,1424870.0,217472.0,660012.0,8096420.0,2050519.0,3353501.0,9090014.0,33660.1,184837.0,32246.6,96393.2,43506.7,636326.0,53944.1,240080.0,59272.6,215786.0,126789.0,2937249.0,1959376.0,823906.0,0.00025,0.00011,9.4e-05,0.0003,0.00021,0.00017,0.00599,0.00104,0.00384,3.7e-05,6.9e-05,7.9e-05,6.4e-05,7.1e-05,9.8e-05,0.00283,0.00313,0.00133,Inorganic pyrophosphatase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppa PE=3 SV=1,0.00015,0.00023,0.00362,6.2e-05,7.8e-05,0.00243,1.51,24.09,1.26,39.33,0.14,0.04,0.19,0.01,0.5945485495503542,0.3334237337251918,5.297558281168186,4.590362488463746,ppa
E4PRE3,2,2,5.30726,Adenylosuccinate lyase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=purB PE=3 SV=1,104023.0,105466.0,88059.3,45324.0,120703.0,35777.1,350138.0,9588.79,142820.0,2466169.0,2934763.0,11000000.0,479051.0,21076.7,57123.5,6004.85,64597.8,20240.3,1432758.0,36168.5,581304.0,13343.7,69686.4,60506.5,1674776.0,3537280.0,2069945.0,0.00013,5.2e-05,7.6e-05,3.5e-05,9e-06,3.8e-05,0.00183,0.00332,0.0002,2.3e-05,1.3e-05,3.7e-05,4.3e-05,1.6e-05,4.7e-05,0.00161,0.00564,0.00334,Adenylosuccinate lyase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=purB PE=3 SV=1,8.5e-05,2.7e-05,0.00178,2.4e-05,3.5e-05,0.00353,0.32,20.87,1.44,145.21,0.04,0.07,0.21,0.02,-1.6438561897747246,0.5260688116675876,7.181996998849683,4.383358695385111,purB
E4PNM8,3,3,27.4747,Peptidyl-prolyl cis-trans isomerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1758 PE=3 SV=1,210746.0,196847.0,348414.0,70781.6,162730.0,441037.0,1078895.0,416441.0,280743.0,8632722.0,1246688.0,2703703.0,11000000.0,89769.8,159251.0,115246.0,136761.0,364238.0,2879882.0,320377.0,320360.0,366413.0,303689.0,465626.0,966957.0,421828.0,1250068.0,0.00026,0.00021,0.0001,0.00044,0.00039,7.4e-05,0.00639,0.00084,0.00445,0.0001,0.00025,0.00066,0.00038,0.00044,0.00036,0.00093,0.00067,0.00202,Peptidyl-prolyl cis-trans isomerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1758 PE=3 SV=1,0.00019,0.0003,0.00389,0.00034,0.00039,0.00121,1.59,20.53,1.17,3.6,0.21,0.04,0.38,0.06,0.6690267655096307,0.22650852980867975,1.84799690655495,4.359661722333877,HP15_1758
E4PKP5,4,4,14.2267,Outer membrane receptor for transport of vitamin B OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3953 PE=3 SV=1,18922.5,7936.86,27139.6,10227.6,33080.6,4905.05,55898.2,13517.5,101785.0,838965.0,20663.5,445728.0,1127375.0,3998.36,22231.1,6840.35,4486.31,9491.72,431447.0,18365.2,139551.0,9469.83,18925.2,11342.2,94114.4,394449.0,432402.0,2.3e-05,1.6e-05,2.1e-05,4.9e-06,1.3e-05,2.7e-05,0.00062,0.00014,0.00048,4.5e-06,1.5e-05,1.7e-05,2.2e-05,1.1e-05,8.8e-06,9.1e-05,0.00063,0.0007,Outer membrane receptor for transport of vitamin B OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3953 PE=3 SV=1,2e-05,1.5e-05,0.00041,1.2e-05,1.4e-05,0.00047,0.74,20.5,1.15,39.1,0.24,0.03,0.38,0.04,-0.4344028241457749,0.2016338611696504,5.28909670241999,4.357552004618084,HP15_3953
E4PP80,3,3,11.1176,50S ribosomal protein L9 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplI PE=3 SV=1,80067.7,241139.0,38514.8,16493.3,31451.8,62558.7,194703.0,9670.75,163056.0,2268592.0,491060.0,2382150.0,577251.0,19173.8,14655.7,4085.7,26838.7,6193.09,23515.9,14147.8,48982.0,7126.97,8206.23,26836.2,502717.0,265306.0,150091.0,9.8e-05,2.3e-05,2e-05,6.2e-05,9.1e-06,4.3e-05,0.00168,0.00074,0.00024,2.1e-05,8.7e-06,1.1e-05,1.7e-05,8.5e-06,2.1e-05,0.00048,0.00042,0.00024,50S ribosomal protein L9 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplI PE=3 SV=1,4.7e-05,3.8e-05,0.00089,1.4e-05,1.5e-05,0.00038,0.81,18.88,1.11,27.83,0.39,0.06,0.39,0.0,-0.3040061868900999,0.15055967657538138,4.798569003556882,4.238786859587116,rplI
E4PLZ2,3,3,16.8147,30S ribosomal protein S19 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpsS PE=3 SV=1,65058.8,38356.7,13169.1,34741.4,72116.2,89085.4,263841.0,46104.7,180149.0,410829.0,2472695.0,3307053.0,2732172.0,7393.53,29125.2,6256.25,16200.0,59714.4,847896.0,17692.2,75878.6,7025.46,35915.1,72486.2,2944532.0,618419.0,946516.0,8e-05,7.8e-06,4.6e-05,8.8e-05,4.4e-05,4.8e-05,0.0003,0.00103,0.00115,8.2e-06,1.3e-05,0.00011,2.1e-05,8.4e-06,5.6e-05,0.00283,0.00099,0.00153,30S ribosomal protein S19 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpsS PE=3 SV=1,4.4e-05,6e-05,0.00083,4.3e-05,2.8e-05,0.00178,1.35,18.64,0.66,41.19,0.29,0.02,0.35,0.02,0.43295940727610627,-0.5994620704162712,5.364222221093532,4.220329954879555,rpsS
E4PNR5,3,3,11.0471,"Sulfite reductase hemoprotein, beta subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1795 PE=4 SV=1",0.0,110640.0,7326.94,99529.3,47399.9,7149.15,11582.5,175796.0,133067.0,108204.0,73562.7,209633.0,1096889.0,59478.0,455236.0,3106.11,519.787,86055.2,20636.8,48704.2,18197.4,17663.0,9299.55,188890.0,13456.9,114569.0,12061.1,0.0,4.4e-06,3e-05,7.1e-06,0.00017,3.5e-05,8e-05,6.5e-05,0.00046,6.6e-05,6.6e-06,0.00016,5.8e-05,2.1e-05,0.00015,1.3e-05,0.00018,1.9e-05,"Sulfite reductase hemoprotein, beta subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1795 PE=4 SV=1",1.1e-05,6.9e-05,0.0002,7.6e-05,7.5e-05,7.2e-05,6.06,17.73,0.98,0.94,0.15,0.11,0.49,0.48,2.599317793698226,-0.029146345659516508,-0.08926733809708741,4.148120631123964,HP15_1795
E4PJ21,5,5,20.6532,Diaminobutyrate--2-oxoglutarate transaminase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3855 PE=3 SV=1,18544.4,29799.4,31303.1,16714.5,96710.9,7207.61,117106.0,29544.4,112145.0,1105339.0,163639.0,471991.0,1840952.0,8430.92,59574.0,8858.53,38749.8,14272.7,106994.0,15061.7,108678.0,14778.1,81779.0,25856.2,222179.0,395532.0,401966.0,2.3e-05,1.9e-05,6.1e-05,7.1e-06,2.8e-05,3e-05,0.00082,0.00015,0.00078,9.4e-06,1.9e-05,2.6e-05,1.8e-05,1.8e-05,2e-05,0.00021,0.00063,0.00065,Diaminobutyrate--2-oxoglutarate transaminase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3855 PE=3 SV=1,3.4e-05,2.2e-05,0.00058,1.8e-05,1.8e-05,0.0005,0.63,17.0,1.02,27.57,0.23,0.03,0.47,0.01,-0.6665762662748083,0.02856915219677092,4.785027362235466,4.087462841250339,HP15_3855
E4PN89,10,10,49.1283,Extracellular solute-binding protein family 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2958 PE=4 SV=1,2599332.0,4556018.0,6936495.0,2158694.0,7393436.0,9269769.0,34000000.0,3758537.0,13000000.0,97000000.0,29000000.0,91000000.0,230000000.0,1674567.0,6123634.0,1252627.0,3183329.0,2100521.0,13000000.0,4742199.0,18000000.0,3550334.0,9189517.0,3967174.0,39000000.0,56000000.0,44000000.0,0.00319,0.00413,0.00467,0.00918,0.00355,0.00346,0.0717,0.02816,0.0983,0.00186,0.00267,0.00381,0.0056,0.00425,0.00307,0.03757,0.08907,0.07179,Extracellular solute-binding protein family 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2958 PE=4 SV=1,0.004,0.00539,0.06605,0.00278,0.0043,0.06614,1.35,16.53,1.55,23.78,0.26,0.02,0.09,0.01,0.43295940727610627,0.632268215499513,4.571676809970931,4.047014819517589,HP15_2958
