Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light 4,Light 5,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 2,Darkness 3,Darkness 4,Darkness 5,Darkness 6,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu nM 4,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1,Light 3,Light 5,Light Glu nM 1,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 3,Darkness 5,Darkness Glu nM 1,Darkness Glu nM 3,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Alteromonas_SS120,Light avg,Light G nM avg,Light G mM avg,Darkness avg,Darkness G nM,Darkness G mM,t.test G nM/L,FC G nM/L,t.test G mM/L,FC GmM/L,t.test G nM/O,FC G nM/D,t.test G mM/O,FC G mM/D,Alteromonas_SS120
A0A359KAH9,2,2,9.52686,30S ribosomal protein S2 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsB PE=3 SV=1,46930.19,2954.523,507.3841,175.4525,10817.47,71061.94,20372.62,44154.2,29917.57,133034.3,946190.4,4326732,1264317,0.111359,3834.881,5155.793,31883.85,32447.18,57580.26,17167.65,85186.09,2506.263,7305.718,17429.45,469606.4,329288.2,82515.25,8.59E-05,4.00E-07,9.92E-06,0.000106,5.36E-05,8.83E-06,0.000104,0.000999,0.000783,1.48E-10,1.37E-05,7.91E-05,2.78E-05,4.07E-06,1.75E-05,0.000262,0.000677,0.000187,30S ribosomal protein S2 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsB PE=3 SV=1,3.21E-05,5.61E-05,0.000629,3.09E-05,9.45E-05,0.000299,0.134,1.75,0.091,19.61,0.316,3.06,0.086,9.66,30S ribosomal protein S2 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsB PE=3 SV=1
A0A359K9D0,3,3,12.25822,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) OS=Alteromonas sp. OX=232 GN=ispG PE=3 SV=1,3979.008,418.3358,7192.88,6092.36,22475.16,253.6905,22680.45,2911.31,12334.33,0,322224.5,3004167,217849.2,11692.99,20872,5111.583,18163.16,2663.431,5143.168,11459.17,31982.6,7611.571,9475.951,8744.171,136142.9,40167.49,1584.432,7.28E-06,5.67E-06,2.06E-05,3.78E-07,3.54E-06,3.64E-06,0,0.000693,0.000135,1.56E-05,1.36E-05,6.49E-06,1.85E-05,1.24E-05,8.80E-06,7.59E-05,8.26E-05,3.60E-06,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) OS=Alteromonas sp. OX=232 GN=ispG PE=3 SV=1,1.12E-05,2.52E-06,0.000276,1.19E-05,3.24E-05,3.25E-05,0.093,0.23,0.171,24.68,0.202,2.73,0.102,2.73,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) OS=Alteromonas sp. OX=232 GN=ispG PE=3 SV=1
A0A359KCF1,2,2,7.399272,50S ribosomal protein L1 (Fragment) OS=Alteromonas sp. OX=232 GN=rplA PE=4 SV=1,15499.68,161066.6,113286.9,89735.72,86672.6,59254.55,3401207,190439,333271.1,13361.79,1348781,6666301,417612.7,50927.06,110011.2,54369.92,39388.8,220873.4,1456867,196622.4,76257.3,81093.26,8979.838,189045,602584.8,182358.4,25951.63,2.84E-05,8.93E-05,7.95E-05,8.82E-05,0.000231,9.84E-05,1.04E-05,0.001539,0.000259,6.78E-05,0.000144,0.000538,0.000318,0.000132,0.00019,0.000336,0.000375,5.89E-05,50S ribosomal protein L1 (Fragment) OS=Alteromonas sp. OX=232 GN=rplA PE=4 SV=1,6.57E-05,0.000139,0.000603,0.00025,0.000219,0.000167,0.09,2.12,0.182,9.17,0.426,0.88,0.491,0.67,50S ribosomal protein L1 (Fragment) OS=Alteromonas sp. OX=232 GN=rplA PE=4 SV=1
A0A2D5LJN7,5,5,19.71495,50S ribosomal protein L11 OS=Alteromonas sp. OX=232 GN=rplK PE=3 SV=1,7005946,10530231,17110287,7998301,23097529,10064101,17424041,12786736,40548623,17917844,39607887,1.29E+08,25459682,4891930,13288140,3101337,7192669,5120811,13937178,9646853,17933439,7640830,10899394,9906478,45520703,10857011,16116525,0.012818,0.013485,0.021185,0.014988,0.015535,0.011973,0.013997,0.029804,0.015775,0.006509,0.008233,0.01248,0.015599,0.012419,0.009968,0.025378,0.022317,0.036605,50S ribosomal protein L11 OS=Alteromonas sp. OX=232 GN=rplK PE=3 SV=1,0.015829,0.014165,0.019859,0.009074,0.015922,0.024917,0.351,0.89,0.297,1.25,0.199,1.75,0.011,2.75,50S ribosomal protein L11 OS=Alteromonas sp. OX=232 GN=rplK PE=3 SV=1
A0A359KA81,3,3,23.371,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1,696027.1,473773.5,1357950,340399,1989430,797337.9,3092048,571607.4,2748969,7518586,12219837,65663132,8366977,284856.2,1601550,79571.7,518494.4,612819.2,2210401,358675.6,3114407,191362.5,866399.5,707111.2,7363750,2345555,3284027,0.001273,0.00107,0.001825,0.001187,0.000694,0.000812,0.005873,0.015156,0.005184,0.000379,0.000211,0.001493,0.00058,0.000311,0.000712,0.004105,0.004821,0.007459,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1,0.001389,0.000898,0.008738,0.000695,0.001709,0.004557,0.107,0.65,0.081,6.29,0.329,2.46,0.009,6.56,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1
A0A359K7S7,2,2,8.040769,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1,357023.7,510472.2,814128.6,273030,822672.3,652960.6,305480.4,346593.8,527747.2,541420.4,760453.6,10329944,4365853,164257,839770.9,71704.35,172759.4,241871,946249.7,399909.7,503669.7,331149.5,605753.5,543900.5,1720874,711656.2,1373408,0.000653,0.000642,0.000755,0.000972,0.000421,0.000156,0.000423,0.002384,0.002705,0.000219,0.00019,0.000589,0.000647,0.000538,0.000547,0.000959,0.001463,0.003119,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1,0.000683,0.000516,0.001837,0.000333,0.000682,0.001755,0.298,0.76,0.119,2.69,0.117,2.05,0.052,5.27,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1
A0A359K3M8,2,2,11.54717,50S ribosomal protein L27 OS=Alteromonas sp. OX=232 GN=rpmA PE=3 SV=1,86570.65,148064.9,281443.1,170157.1,498884.7,188034.6,567438.8,226059.4,443853.5,237949,3686954,8214697,3227918,100545.2,257013.5,52393.33,304176.7,113019.8,325960.6,106441,365159.4,98034.35,181667.5,256043.3,4088262,1045855,511349,0.000158,0.000222,0.000458,0.00028,0.000275,0.000131,0.000186,0.001896,0.002,0.000134,0.000139,0.000275,0.000172,0.000159,0.000258,0.002279,0.00215,0.001161,50S ribosomal protein L27 OS=Alteromonas sp. OX=232 GN=rpmA PE=3 SV=1,0.000279,0.000229,0.001361,0.000183,0.000899,0.001197,0.375,0.82,0.089,4.87,0.249,4.92,0.026,6.55,50S ribosomal protein L27 OS=Alteromonas sp. OX=232 GN=rpmA PE=3 SV=1
A0A359K8B9,12,12,73.87073,50S ribosomal subunit assembly factor BipA OS=Alteromonas sp. OX=232 GN=typA PE=3 SV=1,1625964,2009361,7397938,3101499,11658786,2219755,9027225,3945986,17952087,16939180,15708410,44415437,13222373,1231027,3728134,711317.4,2647754,2094951,6506195,1726037,4473864,2318171,1321111,3872964,22407715,2694920,2409076,0.002975,0.00583,0.010693,0.003306,0.004794,0.005301,0.013232,0.010252,0.008193,0.001638,0.001888,0.005106,0.002791,0.003768,0.003897,0.012492,0.00554,0.005472,50S ribosomal subunit assembly factor BipA OS=Alteromonas sp. OX=232 GN=typA PE=3 SV=1,0.006499,0.004467,0.010559,0.002877,0.006719,0.005837,0.18,0.69,0.193,1.62,0.291,2.34,0.125,2.03,50S ribosomal subunit assembly factor BipA OS=Alteromonas sp. OX=232 GN=typA PE=3 SV=1
A0A359K441,2,2,14.94892,Acetoacetyl-CoA reductase OS=Alteromonas sp. OX=232 GN=DEH24_05610 PE=3 SV=1,327218.6,307257.5,707262,262398.3,274367.6,448126.3,269547.1,329888.1,107142.1,664795.1,41751.78,321521.8,106991.2,525889.5,584186.9,150021.7,274954.4,236846.9,567406.9,455009.6,979959.9,327666.9,439132.6,688768.6,49041.96,37915.21,210651.9,0.000599,0.000557,0.000252,0.000667,0.000401,3.16E-05,0.000519,7.42E-05,6.63E-05,0.0007,0.000398,0.000577,0.000736,0.000533,0.000693,2.73E-05,7.79E-05,0.000478,Acetoacetyl-CoA reductase OS=Alteromonas sp. OX=232 GN=DEH24_05610 PE=3 SV=1,0.000469,0.000367,0.00022,0.000558,0.000418,0.000342,0.181,0.78,0.088,0.47,0.044,0.75,0.081,0.61,Acetoacetyl-CoA reductase OS=Alteromonas sp. OX=232 GN=DEH24_05610 PE=3 SV=1
A0A359KAW1,2,2,7.656606,Acetolactate synthase OS=Alteromonas sp. OX=232 GN=DEH24_21385 PE=3 SV=1,23966.28,102767.4,30522.88,56011.06,223062.2,31320.44,82984.05,115337.5,31599.78,81383.15,591425.1,1218291,762540.9,86056.87,131269.7,14616.5,3730.053,34605.56,46733.79,31281.61,34511.11,34534.15,13808.33,94907.77,105181.7,56448.11,482152.2,4.38E-05,2.41E-05,0.000205,4.66E-05,0.00014,9.33E-06,6.36E-05,0.000281,0.000472,0.000115,3.88E-05,8.43E-05,5.06E-05,5.61E-05,9.55E-05,5.86E-05,0.000116,0.001095,Acetolactate synthase OS=Alteromonas sp. OX=232 GN=DEH24_21385 PE=3 SV=1,9.08E-05,6.54E-05,0.000272,7.92E-05,7.01E-05,0.000434,0.403,0.72,0.077,3,0.348,0.88,0.207,5.48,Acetolactate synthase OS=Alteromonas sp. OX=232 GN=DEH24_21385 PE=3 SV=1
