Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light 4,Light 5,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 2,Darkness 3,Darkness 4,Darkness 5,Darkness 6,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu nM 4,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1,Light 3,Light 5,Light Glu nM 1,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 3,Darkness 5,Darkness Glu nM 1,Darkness Glu nM 3,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Alteromonas_SS120,Light avg,Light G nM avg,Light G mM avg,Darkness avg,Darkness G nM,Darkness G mM,t.test G nM/L,FC G nM/L,t.test G mM/L,FC GmM/L,t.test G nM/O,FC G nM/D,t.test G mM/O,FC G mM/D,Alteromonas_SS120
A0A359K1M2,8,8,41.9437,Acetyl-coenzyme A synthetase OS=Alteromonas sp. OX=232 GN=acs PE=3 SV=1,1059333,4979760,6030895,2629548,3341303,1995796,2557133,4168137,5192107,6046189,9234459,19816069,9304033,2570696,7716897,1583774,1013252,3167444,5743073,4149349,3599062,1441940,1756067,4945735,9166235,2642008,2740682,0.001938,0.004753,0.003065,0.002972,0.005064,0.001533,0.004723,0.004574,0.005765,0.00342,0.004204,0.007719,0.00671,0.002344,0.004977,0.00511,0.005431,0.006225,Acetyl-coenzyme A synthetase OS=Alteromonas sp. OX=232 GN=acs PE=3 SV=1,0.003252,0.00319,0.005021,0.005115,0.004143,0.004969,0.471,0.98,0.106,1.54,0.419,0.81,0.34,0.97,Acetyl-coenzyme A synthetase OS=Alteromonas sp. OX=232 GN=acs PE=3 SV=1
A0A359K084,8,8,32.67057,Aconitate hydratase B OS=Alteromonas sp. OX=232 GN=acnB PE=3 SV=1,9778710,4544624,4780925,7658049,5617766,5956194,5973565,3278216,4846382,5098215,2508984,13059006,13654584,4595347,6178793,1572414,751622.1,2265294,1304842,9165883,2565996,650120,1357476,13626052,9279479,3400304,3045032,0.017891,0.003768,0.005153,0.00887,0.003983,0.001431,0.003983,0.003014,0.008461,0.006114,0.004174,0.005521,0.014821,0.001057,0.013711,0.005173,0.006989,0.006916,Aconitate hydratase B OS=Alteromonas sp. OX=232 GN=acnB PE=3 SV=1,0.008937,0.004761,0.005152,0.00527,0.006647,0.007614,0.129,0.53,0.271,0.58,0.178,1.26,0.212,1.44,Aconitate hydratase B OS=Alteromonas sp. OX=232 GN=acnB PE=3 SV=1
A0A2D5LGS0,6,6,39.1493,Acyl carrier protein OS=Alteromonas sp. OX=232 GN=acpP PE=3 SV=1,2805283,1874474,1827172,1322881,4700558,11225563,9717069,2177722,12576708,1.22E+08,68386799,2.48E+08,78326650,1486033,4900953,970286.5,1798361,1871940,36719023,3401413,39187254,1782980,2995295,2867903,1.20E+08,16971214,6364987,0.005132,0.00144,0.004311,0.016718,0.002646,0.003714,0.095165,0.057141,0.048533,0.001977,0.002576,0.004562,0.0055,0.002898,0.002886,0.066835,0.034885,0.014457,Acyl carrier protein OS=Alteromonas sp. OX=232 GN=acpP PE=3 SV=1,0.003628,0.007692,0.066946,0.003038,0.024206,0.017657,0.198,2.12,0.022,18.45,0.34,7.97,0.077,5.81,Acyl carrier protein OS=Alteromonas sp. OX=232 GN=acpP PE=3 SV=1
A0A359K020,2,2,6.92573,Adenylate kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02300 PE=3 SV=1,214966.7,279748.7,813307.9,242735,1103966,270592.7,1227203,568518.3,1728395,9907670,11923184,17624462,11432744,204170.9,491356.8,112223.9,318305.9,478784.4,536944.9,399051.8,575063.3,291203.3,986021.8,494231.7,20338452,4322985,2286359,0.000393,0.000641,0.001013,0.000403,0.000691,0.00051,0.007739,0.004068,0.007084,0.000272,0.000298,0.001167,0.000645,0.000473,0.000497,0.011339,0.008886,0.005193,Adenylate kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02300 PE=3 SV=1,0.000682,0.000535,0.006297,0.000579,0.004103,0.00492,0.247,0.78,0.02,9.23,0.456,7.09,0.031,8.5,Adenylate kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02300 PE=3 SV=1
A0A359K825,3,3,10.00101,Adenylosuccinate lyase OS=Alteromonas sp. OX=232 GN=DEH24_15900 PE=3 SV=1,2868542,2552896,3832432,2735077,1944146,2905936,2375710,3642323,3344473,8396046,9850656,26396881,5075735,437369.3,4201295,996709.5,1221497,1596733,3761335,2855081,3563568,475601.8,4169260,3289818,2493619,5113513,3682585,0.005248,0.00302,0.001783,0.004328,0.004425,0.000988,0.006559,0.006093,0.003145,0.000582,0.002646,0.003891,0.004617,0.000773,0.00331,0.00139,0.010511,0.008364,Adenylosuccinate lyase OS=Alteromonas sp. OX=232 GN=DEH24_15900 PE=3 SV=1,0.003351,0.003247,0.005265,0.002373,0.001825,0.007409,0.452,0.97,0.04,1.57,0.398,0.77,0.082,3.12,Adenylosuccinate lyase OS=Alteromonas sp. OX=232 GN=DEH24_15900 PE=3 SV=1
A0A359K126,3,3,10.14949,Adenylyl-sulfate kinase OS=Alteromonas sp. OX=232 GN=cysC PE=3 SV=1,542554.4,584459.3,210397.6,91814.9,222364.1,200084.3,920175.1,379866.9,736269.9,1476882,1255919,6983586,1159960,99530.54,594034.1,289357.6,261481.5,92492.59,2969266,261394.1,328407.9,245260.9,778723.6,227115.1,2933479,448949.7,793664.5,0.000993,0.000166,0.000204,0.000298,0.000462,0.000217,0.001154,0.001612,0.000719,0.000132,0.000768,0.000225,0.000423,0.000399,0.000229,0.001635,0.000923,0.001803,Adenylyl-sulfate kinase OS=Alteromonas sp. OX=232 GN=cysC PE=3 SV=1,0.000454,0.000326,0.001161,0.000375,0.000754,0.00106,0.353,0.72,0.103,2.56,0.453,2.01,0.072,2.82,Adenylyl-sulfate kinase OS=Alteromonas sp. OX=232 GN=cysC PE=3 SV=1
A0A359K3R5,2,2,16.78872,Alanine dehydrogenase OS=Alteromonas sp. OX=232 GN=ald PE=3 SV=1,63665.23,76810.66,200223.3,59708.27,154182.4,109002,243939.2,150043.9,219870.5,1785273,534128.5,5386416,162354.7,25383.1,100778.3,25192.67,57911.93,54301.05,342958.9,89287.34,187800.9,76748.53,142229.1,105140.2,744048.3,86737.74,35724.98,0.000116,0.000158,0.000141,0.000162,0.000182,6.49E-05,0.001395,0.001243,0.000101,3.38E-05,6.69E-05,0.000132,0.000144,0.000125,0.000106,0.000415,0.000178,8.11E-05,Alanine dehydrogenase OS=Alteromonas sp. OX=232 GN=ald PE=3 SV=1,0.000139,0.000137,0.000913,7.77E-05,0.000215,0.000133,0.481,0.99,0.1,6.59,0.179,2.77,0.182,1.71,Alanine dehydrogenase OS=Alteromonas sp. OX=232 GN=ald PE=3 SV=1
A0A359K3B3,4,4,19.32809,Alanine--tRNA ligase OS=Alteromonas sp. OX=232 GN=alaS PE=3 SV=1,111806.9,235746.7,230553.5,84004.64,315530.1,533381.5,427803.5,80296.5,621197.5,1315380,3223364,7607339,3150704,90525.19,370914.1,64149.3,130684.6,49659.24,1964295,212081.1,1377116,116381.4,462497.2,226924,3296360,1018787,673877.5,0.000205,0.000182,0.000289,0.000794,9.76E-05,0.000183,0.001028,0.001756,0.001952,0.00012,0.00017,0.000121,0.000343,0.000189,0.000228,0.001838,0.002094,0.001531,Alanine--tRNA ligase OS=Alteromonas sp. OX=232 GN=alaS PE=3 SV=1,0.000225,0.000358,0.001579,0.000137,0.000752,0.001283,0.309,1.59,0.018,7.01,0.094,5.48,0.004,9.35,Alanine--tRNA ligase OS=Alteromonas sp. OX=232 GN=alaS PE=3 SV=1
A0A359K159,5,5,26.88243,Alkyl hydroperoxide reductase C OS=Alteromonas sp. OX=232 GN=DEH24_01620 PE=3 SV=1,463684.9,299424.5,289294.4,170477.7,638460.7,551179.2,501730.4,976897.8,728891.1,13442171,30927441,71407473,27899061,125486.5,748809.6,87097.14,158671.7,382154.9,1557660,226021.2,456924.3,113708.3,209202.3,460466.3,10330325,8659260,8131757,0.000848,0.000228,0.000586,0.000821,0.001187,0.000215,0.0105,0.016482,0.017287,0.000167,0.000231,0.000931,0.000365,0.000185,0.000463,0.005759,0.0178,0.01847,Alkyl hydroperoxide reductase C OS=Alteromonas sp. OX=232 GN=DEH24_01620 PE=3 SV=1,0.000554,0.000741,0.014756,0.000443,0.002136,0.012274,0.343,1.34,0.012,26.64,0.321,4.82,0.038,27.7,Alkyl hydroperoxide reductase C OS=Alteromonas sp. OX=232 GN=DEH24_01620 PE=3 SV=1
A0A359K7Z8,2,2,5.855048,Aminotransferase OS=Alteromonas sp. OX=232 GN=DEH24_16445 PE=3 SV=1,200752.2,70664.65,266776.6,124145.4,571435,235458.6,689667.6,206946.6,812786.2,793526.9,2554398,3826745,3062798,183733,697100.6,83856.17,212553.5,140929.3,643053.3,200574,274443.4,169040.7,270762.5,328162.2,3182913,768903.4,308152.9,0.000367,0.00021,0.000524,0.000351,0.000251,0.00024,0.00062,0.000883,0.001898,0.000244,0.000223,0.000343,0.000324,0.000275,0.00033,0.001774,0.001581,0.0007,Aminotransferase OS=Alteromonas sp. OX=232 GN=DEH24_16445 PE=3 SV=1,0.000367,0.000281,0.001134,0.00027,0.000793,0.000883,0.239,0.76,0.072,3.09,0.144,2.94,0.049,3.27,Aminotransferase OS=Alteromonas sp. OX=232 GN=DEH24_16445 PE=3 SV=1
A0A359JZQ6,3,3,10.53684,Arginine--tRNA ligase OS=Alteromonas sp. OX=232 GN=argS PE=3 SV=1,269129.7,70615.61,525419.2,251152.2,886373.3,338799.2,412560,268246.2,1386482,2150441,1728119,3318491,2111045,122234.7,107639.8,144888.6,63917.76,162426,448368,592925.4,979956,52623.08,118377.3,434008.1,2803945,490592.8,2703853,0.000492,0.000414,0.000813,0.000505,0.000326,0.000409,0.00168,0.000766,0.001308,0.000163,0.000385,0.000396,0.000959,8.55E-05,0.000437,0.001563,0.001008,0.006141,Arginine--tRNA ligase OS=Alteromonas sp. OX=232 GN=argS PE=3 SV=1,0.000573,0.000413,0.001251,0.000314,0.000695,0.002574,0.165,0.72,0.06,2.18,0.318,2.21,0.123,8.19,Arginine--tRNA ligase OS=Alteromonas sp. OX=232 GN=argS PE=3 SV=1
A0A359K7X4,3,3,24.08812,Asparagine--tRNA ligase OS=Alteromonas sp. OX=232 GN=asnS PE=3 SV=1,88225.8,229298.7,773957.1,248466.1,672057.5,882194.7,419122.8,211680.8,812891.6,3307416,4303731,7830280,3576607,150614.8,448443.3,54941.8,65638.6,89780.05,868036,486684.5,155875.5,292061.1,678000.3,270777.1,4935100,390493.1,142823.2,0.000161,0.00061,0.000616,0.001314,0.000257,0.00024,0.002584,0.001807,0.002216,0.0002,0.000146,0.000219,0.000787,0.000475,0.000272,0.002751,0.000803,0.000324,Asparagine--tRNA ligase OS=Alteromonas sp. OX=232 GN=asnS PE=3 SV=1,0.000463,0.000604,0.002202,0.000188,0.001166,0.00053,0.403,1.3,0.02,4.76,0.085,6.19,0.137,2.81,Asparagine--tRNA ligase OS=Alteromonas sp. OX=232 GN=asnS PE=3 SV=1
A0A359K499,2,2,8.88261,Aspartate transcarbamylase OS=Alteromonas sp. OX=232 GN=DEH24_08800 PE=3 SV=1,15853.51,15741.64,54687.04,6640.108,38087.27,12426,75588.36,19484.47,113990.8,7769.469,673235.4,1185587,424998.3,4415.23,13571.94,2958.602,21056.33,4452.337,46426.78,18589.39,45499.46,11137.88,15300.11,31425.82,788626.7,90439.63,23326.46,2.90E-05,4.31E-05,3.49E-05,1.85E-05,2.37E-05,3.37E-05,6.07E-06,0.000274,0.000263,5.87E-06,7.85E-06,1.09E-05,3.01E-05,1.81E-05,3.16E-05,0.00044,0.000186,5.30E-05,Aspartate transcarbamylase OS=Alteromonas sp. OX=232 GN=DEH24_08800 PE=3 SV=1,3.57E-05,2.53E-05,0.000181,8.19E-06,0.000163,9.15E-05,0.093,0.71,0.113,5.07,0.024,19.91,0.099,11.17,Aspartate transcarbamylase OS=Alteromonas sp. OX=232 GN=DEH24_08800 PE=3 SV=1
A0A359K070,2,2,7.373565,Aspartate-semialdehyde dehydrogenase OS=Alteromonas sp. OX=232 GN=asd PE=3 SV=1,215714.7,353667.3,693303.9,231357.4,938291.2,719830.2,2581942,368483.9,1625825,9967067,8384785,31691303,10117414,286065,900758.4,195401.3,539341.7,264010.4,8041998,349696,1797415,302260.2,444881.6,525089.6,6909705,1884647,3483111,0.000395,0.000546,0.000861,0.001072,0.000448,0.00048,0.007786,0.007315,0.006269,0.000381,0.000519,0.000643,0.000565,0.000491,0.000528,0.003852,0.003874,0.007911,Aspartate-semialdehyde dehydrogenase OS=Alteromonas sp. OX=232 GN=asd PE=3 SV=1,0.000601,0.000667,0.007123,0.000514,0.001624,0.004129,0.427,1.11,0.004,11.86,0.444,3.16,0.034,8.03,Aspartate-semialdehyde dehydrogenase OS=Alteromonas sp. OX=232 GN=asd PE=3 SV=1
A0A359K568,7,7,50.25216,ATP synthase subunit beta OS=Alteromonas sp. OX=232 GN=atpD PE=3 SV=1,34029948,49555293,82852562,36142471,1.26E+08,56099254,2.91E+08,63884083,3.74E+08,14523775,10391007,47498102,6175196,30792436,1.03E+08,14639076,50691531,26351374,1.91E+08,40995323,1.93E+08,39562874,1.59E+08,68150946,29976346,2381237,2855513,0.062259,0.065296,0.115598,0.083547,0.077613,0.110379,0.011345,0.010963,0.003826,0.040971,0.038862,0.06422,0.06629,0.064302,0.068576,0.016712,0.004895,0.006486,ATP synthase subunit beta OS=Alteromonas sp. OX=232 GN=atpD PE=3 SV=1,0.081051,0.090513,0.008712,0.048018,0.049863,0.030811,0.174,1.12,0.034,0.11,0.06,1.04,0.03,0.64,ATP synthase subunit beta OS=Alteromonas sp. OX=232 GN=atpD PE=3 SV=1
A0A359K7E3,5,5,21.16425,ATP-sulfurylase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11560 PE=3 SV=1,694815.4,698833.4,1110220,474263.2,2112090,497413.2,2446753,1080108,3668821,8204612,6491901,9638061,5809319,343309.3,2493292,153602.6,561237.6,309650.8,1256940,752248.3,760117.4,367044.2,485942.6,718945.5,7418179,3293647,1056655,0.001271,0.000875,0.001937,0.000741,0.001312,0.001083,0.006409,0.002225,0.0036,0.000457,0.000408,0.000755,0.001216,0.000597,0.000723,0.004136,0.00677,0.0024,ATP-sulfurylase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11560 PE=3 SV=1,0.001361,0.001045,0.004078,0.00054,0.001819,0.00351,0.251,0.77,0.077,3,0.162,3.37,0.052,6.5,ATP-sulfurylase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11560 PE=3 SV=1
A0A359K1I4,2,2,9.002324,Beta sliding clamp OS=Alteromonas sp. OX=232 GN=DEH24_01275 PE=3 SV=1,14364.69,7706.973,11345.1,2656.733,8586.95,13661.32,18205.55,3448.01,17633.17,1529825,1525597,2040154,1105181,4288.272,8864.351,2155.615,5648.146,2107.547,178882.2,17503.11,123359.5,1790.719,13767.28,4832.722,1771160,173148.9,73952.6,2.63E-05,8.94E-06,7.88E-06,2.03E-05,4.19E-06,5.21E-06,0.001195,0.000471,0.000685,5.71E-06,5.72E-06,5.14E-06,2.83E-05,2.91E-06,4.86E-06,0.000987,0.000356,0.000168,Beta sliding clamp OS=Alteromonas sp. OX=232 GN=DEH24_01275 PE=3 SV=1,1.44E-05,9.91E-06,0.000784,5.52E-06,0.000332,0.000179,0.022,0.69,0.033,54.54,0.253,60.08,0.091,32.49,Beta sliding clamp OS=Alteromonas sp. OX=232 GN=DEH24_01275 PE=3 SV=1
A0A359K934,2,2,6.468307,Beta-ketoacyl-ACP synthase I OS=Alteromonas sp. OX=232 GN=DEH24_18145 PE=3 SV=1,91197.57,72517.63,114906,43612.41,379257.9,65907.3,786034.7,70795.58,2148043,2025474,3036867,6667625,870783.8,28164.73,136590.3,30812.78,138292.9,81975.68,805199.4,108390.7,133673.7,94135.17,1328173,132395.1,2111685,801128.4,414793.7,0.000167,9.06E-05,0.000348,9.82E-05,8.60E-05,0.000634,0.001582,0.001539,0.00054,3.75E-05,8.18E-05,0.0002,0.000175,0.000153,0.000133,0.001177,0.001647,0.000942,Beta-ketoacyl-ACP synthase I OS=Alteromonas sp. OX=232 GN=DEH24_18145 PE=3 SV=1,0.000202,0.000273,0.00122,0.000106,0.000488,0.00093,0.291,1.35,0.066,6.05,0.256,4.59,0.02,8.75,Beta-ketoacyl-ACP synthase I OS=Alteromonas sp. OX=232 GN=DEH24_18145 PE=3 SV=1
A0A359K2G9,2,2,6.939432,Bifunctional aspartokinase/homoserine dehydrogenase OS=Alteromonas sp. OX=232 GN=DEH24_06550 PE=3 SV=1,119379.4,81840.58,169353.7,35388.86,167013.7,133704.8,460932.5,73097.34,274893.9,230528.5,973729.3,3465625,1470641,48238.22,205344.7,36147.26,52638.44,34970.02,280142.7,215254.9,83628.25,44602.61,63913.44,76836.46,731565.7,208037.5,567865.5,0.000218,0.000133,0.000153,0.000199,8.88E-05,8.12E-05,0.00018,0.0008,0.000911,6.42E-05,9.60E-05,8.52E-05,0.000348,7.25E-05,7.73E-05,0.000408,0.000428,0.00129,Bifunctional aspartokinase/homoserine dehydrogenase OS=Alteromonas sp. OX=232 GN=DEH24_06550 PE=3 SV=1,0.000168,0.000123,0.00063,8.18E-05,0.000186,0.000629,0.048,0.73,0.104,3.74,0.244,2.27,0.081,7.69,Bifunctional aspartokinase/homoserine dehydrogenase OS=Alteromonas sp. OX=232 GN=DEH24_06550 PE=3 SV=1
A0A359K6K3,5,5,32.93282,Bifunctional purine biosynthesis protein PurH OS=Alteromonas sp. OX=232 GN=purH PE=3 SV=1,5543361,3443743,8889937,3191964,11060912,5651076,14639541,6829841,15196489,5955071,6979800,25384424,4797048,4428825,2062417,1824798,3577760,2315573,7913539,7069068,4290014,5347213,6200570,5466511,10673286,1169044,2191633,0.010142,0.007006,0.010145,0.008416,0.008298,0.004487,0.004652,0.005859,0.002972,0.005893,0.004844,0.005643,0.011431,0.008691,0.005501,0.00595,0.002403,0.004978,Bifunctional purine biosynthesis protein PurH OS=Alteromonas sp. OX=232 GN=purH PE=3 SV=1,0.009098,0.007067,0.004494,0.00546,0.006714,0.005493,0.21,0.78,0.062,0.49,0.104,1.23,0.152,1.01,Bifunctional purine biosynthesis protein PurH OS=Alteromonas sp. OX=232 GN=purH PE=3 SV=1
A0A359JZP2,15,15,86.88854,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1,1594515,3101393,4413342,946194.7,4421412,1780737,14165318,1944107,10594386,49538982,30080092,1.14E+08,44329207,1427284,5753416,626299.9,2497954,1244864,7819607,2351255,11897138,1460740,19413932,2363876,61538451,8919685,5224449,0.002917,0.003478,0.004055,0.002652,0.002362,0.003128,0.038698,0.026342,0.027467,0.001899,0.001663,0.003034,0.003802,0.002374,0.002379,0.034308,0.018335,0.011866,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1,0.003484,0.002714,0.030836,0.002198,0.01302,0.011228,0.048,0.78,0.011,8.85,0.235,5.92,0.054,5.11,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1
A0A359K737,3,3,17.88126,Chemotaxis protein CheW OS=Alteromonas sp. OX=232 GN=DEH24_14130 PE=4 SV=1,438800.8,442753.8,876895.8,326497.6,602758.3,209113.7,947650.9,146986.8,818295.2,11639611,5984567,20185048,8396773,120261.7,326693.4,53981.03,200244.1,139953.9,3163484,229582.9,1048969,76543.57,578776.9,600315.4,7968355,2427215,1078582,0.000803,0.000691,0.000553,0.000311,0.000179,0.000242,0.009092,0.004659,0.005203,0.00016,0.000143,0.000341,0.000371,0.000124,0.000604,0.004442,0.004989,0.00245,Chemotaxis protein CheW OS=Alteromonas sp. OX=232 GN=DEH24_14130 PE=4 SV=1,0.000682,0.000244,0.006318,0.000215,0.001724,0.002707,0.01,0.36,0.026,9.26,0.111,8.02,0.023,12.6,Chemotaxis protein CheW OS=Alteromonas sp. OX=232 GN=DEH24_14130 PE=4 SV=1
A0A359K8X0,2,2,7.494473,Chemotaxis protein CheY OS=Alteromonas sp. OX=232 GN=DEH24_17180 PE=4 SV=1,109.0605,98.0812,1779.208,211.2385,411.6364,3455.501,12831.95,231.2034,406.7875,4764.689,68510.12,1323461,175133.4,336.4371,1662.749,256.2953,517.3355,359.1946,18588.24,1012.906,3925.782,969.1679,0,0,254144.3,10696.85,127566.6,2.00E-07,1.40E-06,3.78E-07,5.15E-06,2.81E-07,1.20E-07,3.72E-06,0.000305,0.000109,4.48E-07,6.80E-07,8.75E-07,1.64E-06,1.58E-06,0,0.000142,2.20E-05,0.00029,Chemotaxis protein CheY OS=Alteromonas sp. OX=232 GN=DEH24_17180 PE=4 SV=1,6.60E-07,1.85E-06,0.000139,6.68E-07,4.78E-05,0.000104,0.297,2.8,0.128,211.04,0.298,71.51,0.096,155.93,Chemotaxis protein CheY OS=Alteromonas sp. OX=232 GN=DEH24_17180 PE=4 SV=1
A0A359K1Y4,4,4,30.09138,Citrate synthase OS=Alteromonas sp. OX=232 GN=gltA PE=3 SV=1,819925.3,849502.5,594798.4,449742.3,882447.7,968070.9,2523594,206276.3,1529653,958203.9,5510771,10841604,11703672,269777.4,416330.4,382130.1,779632.5,448162.7,798495.1,431170.8,732390.3,478325.4,895704.5,586427.6,7586297,2456975,1756858,0.0015,0.000469,0.000809,0.001442,0.000251,0.000452,0.000749,0.002502,0.007252,0.000359,0.001014,0.001092,0.000697,0.000777,0.00059,0.004229,0.00505,0.00399,Citrate synthase OS=Alteromonas sp. OX=232 GN=gltA PE=3 SV=1,0.000926,0.000715,0.003501,0.000822,0.001866,0.003322,0.067,0.77,0.172,3.78,0.322,2.27,0.005,4.04,Citrate synthase OS=Alteromonas sp. OX=232 GN=gltA PE=3 SV=1
A0A359JZ44,2,2,7.405205,Clp R domain-containing protein (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_00190 PE=3 SV=1,3857090,7966422,17016634,7013372,27874455,5307440,46486797,11416075,45194533,2140055,1578111,6483750,1809000,5253337,14472355,2232261,7908352,4204034,13363227,6290794,21630890,5633795,24886317,10374990,896106.8,617047.3,985999.6,0.007057,0.013411,0.025566,0.007904,0.013869,0.013345,0.001672,0.001497,0.001121,0.00699,0.005926,0.010245,0.010172,0.009157,0.01044,0.0005,0.001268,0.002239,Clp R domain-containing protein (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_00190 PE=3 SV=1,0.015345,0.011706,0.00143,0.00772,0.006699,0.006284,0.243,0.76,0.065,0.09,0.08,0.87,0.011,0.81,Clp R domain-containing protein (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_00190 PE=3 SV=1
A0A359K805,2,2,8.182242,Competence protein ComFB OS=Alteromonas sp. OX=232 GN=DEH24_13535 PE=4 SV=1,8419.249,10871.21,28168.9,2071.602,30347.25,17545.31,104397.4,22133.49,11730.41,730995.2,31934.79,1097254,37119.34,1369.29,22287.8,3851.884,10782.07,7592.994,55328.06,10639.96,14187.37,17947.74,46475.72,7283.281,106864.9,57154.26,42647.06,1.54E-05,2.22E-05,2.78E-05,2.61E-05,2.69E-05,3.46E-06,0.000571,0.000253,2.30E-05,1.82E-06,1.02E-05,1.85E-05,1.72E-05,2.92E-05,7.33E-06,5.96E-05,0.000117,9.69E-05,Competence protein ComFB OS=Alteromonas sp. OX=232 GN=DEH24_13535 PE=4 SV=1,2.18E-05,1.88E-05,0.000282,1.02E-05,3.20E-05,7.87E-05,0.404,0.86,0.125,12.95,0.251,3.14,0.015,7.73,Competence protein ComFB OS=Alteromonas sp. OX=232 GN=DEH24_13535 PE=4 SV=1
A0A359K053,4,4,24.25716,Cysteine synthase OS=Alteromonas sp. OX=232 GN=cysK PE=3 SV=1,8568214,9039949,20278652,11787138,40564583,11925602,43057933,17173175,55484826,19213391,15359907,54391160,13748767,7736234,23847597,4174870,8900135,7632191,30057622,12491947,15400712,11554861,23087910,17065330,20740834,4938573,4638378,0.015676,0.015982,0.037205,0.01776,0.020864,0.016383,0.015009,0.012554,0.008519,0.010293,0.011083,0.0186,0.0202,0.01878,0.017172,0.011563,0.010151,0.010535,Cysteine synthase OS=Alteromonas sp. OX=232 GN=cysK PE=3 SV=1,0.022954,0.018336,0.012027,0.013325,0.015838,0.014547,0.314,0.8,0.173,0.52,0.13,1.19,0.229,1.09,Cysteine synthase OS=Alteromonas sp. OX=232 GN=cysK PE=3 SV=1
A0A359K358,3,3,9.264238,Dihydrolipoyl dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_07870 PE=4 SV=1,121043.9,139431,329186.9,110580.6,396607.9,186015.7,647146.6,250715.3,1845682,1393370,4872584,22178278,4587978,81612.95,219710.9,39621.45,140862.9,112976.4,287775.3,120661.2,415855.5,111850.9,350816.7,149646.3,10238684,1330069,1557701,0.000221,0.000259,0.000364,0.000277,0.000305,0.000545,0.001088,0.005119,0.002843,0.000109,0.000105,0.000275,0.000195,0.000182,0.000151,0.005708,0.002734,0.003538,Dihydrolipoyl dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_07870 PE=4 SV=1,0.000282,0.000376,0.003017,0.000163,0.002013,0.002185,0.082,1.33,0.071,10.71,0.435,12.35,0.026,13.4,Dihydrolipoyl dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_07870 PE=4 SV=1
A0A359KBQ3,6,6,35.88386,Dihydroxy-acid dehydratase OS=Alteromonas sp. OX=232 GN=ilvD PE=3 SV=1,184186.5,184424.9,563720.7,203548.4,818599.1,164935.2,775280.2,203494.1,969556.7,3779416,5307147,22902037,6587233,89286.6,710092.3,154704.8,245290.1,190536,761805.4,294325.4,282115.9,154941.6,572222.2,281749.8,9509768,697292.7,1716872,0.000337,0.000444,0.000751,0.000246,0.000247,0.000286,0.002952,0.005286,0.004082,0.000119,0.000411,0.000464,0.000476,0.000252,0.000284,0.005302,0.001433,0.0039,Dihydroxy-acid dehydratase OS=Alteromonas sp. OX=232 GN=ilvD PE=3 SV=1,0.000511,0.00026,0.004107,0.000331,0.001946,0.001948,0.076,0.51,0.016,8.04,0.488,5.87,0.058,5.88,Dihydroxy-acid dehydratase OS=Alteromonas sp. OX=232 GN=ilvD PE=3 SV=1
A0A359K964,2,2,5.827953,DNA ligase OS=Alteromonas sp. OX=232 GN=ligA PE=3 SV=1,4476.605,2200.54,8670.757,1431.084,2218.881,4814.709,26877.66,8367.023,36355.35,493286.3,87926.18,935233.6,121075.5,4055.096,17873.56,1410.598,1756.161,3011.877,24816.71,1563.622,13451.97,2716.873,12345.98,6709.746,150507,85018.62,55351.52,8.19E-06,6.83E-06,2.04E-06,7.17E-06,1.02E-05,1.07E-05,0.000385,0.000216,7.50E-05,5.40E-06,3.74E-06,7.34E-06,2.53E-06,4.42E-06,6.75E-06,8.39E-05,0.000175,0.000126,DNA ligase OS=Alteromonas sp. OX=232 GN=ligA PE=3 SV=1,5.69E-06,9.36E-06,0.000225,5.49E-06,3.17E-05,0.000102,0.161,1.65,0.065,39.64,0.232,5.77,0.022,18.58,DNA ligase OS=Alteromonas sp. OX=232 GN=ligA PE=3 SV=1
