Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Accession.1,Description,log2FC.L.LGnM,log2FC.L.LGmM,log2FC.D.LGnM,log2FC.D.LGmM,resolved_locus_tag,resolution_method
Q7VD05,Pro_0584,12,12,0.000241852,0.000270898,0.000266337,0.000285336,0.000312948,0.000290422,0.000321183,0.000357801,0.000338044,0.000246474,0.000288159,0.00024415,0.000266632,0.000272341,0.000240317,0.000543644,0.000501701,0.000561347,0.000259696,0.000296235,0.000339009,0.000259594,0.000259763,0.000535564,0.020964362,1.140701169,0.002334147,1.305409534,0.496348247,1.000651579,0.000132319,2.063080076,Q7VD05,Phytoene dehydrogenase / carotenoid isomerase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0584 PE=4 SV=1,0.1899208963876507,0.384502481111605,0.0009397236731778,1.0447998188036889,Pro0584,tier1:KEGG
Q7VA62,Pro_1605,9,9,0.004097094,0.003391803,0.003712906,0.003428086,0.00287573,0.003335257,0.001689718,0.000587324,0.000636503,0.004232963,0.004354039,0.004107312,0.004372421,0.004749892,0.003442871,0.000814987,0.00108576,0.001640072,0.003733934,0.003213025,0.000971182,0.004231438,0.004188394,0.001180273,0.060863946,0.860493114,0.001302414,0.260096083,0.459220304,0.989827702,0.000135664,0.27892952,Q7VA62,ATP synthase subunit delta OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=atpH PE=3 SV=1,-0.2167644475815592,-1.9428834221694216,-0.0147506758600924,-1.8420274674272088,Pro1605,tier1:KEGG
Q7VBH1,Pro_1123,18,18,0.000897534,0.001124928,0.000468281,0.001069847,0.001217848,0.00039732,0.004064317,0.00316337,0.003491419,0.001303552,0.001454742,0.001183178,0.002214038,0.001513475,0.00092678,0.002298807,0.002446147,0.002351644,0.000830247,0.000895005,0.003573036,0.001313824,0.001551431,0.002365533,0.424172831,1.07799754,0.000547184,4.303579099,0.282984246,1.180851771,0.000150717,1.800494573,Q7VBH1,Ferredoxin--NADP reductase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=petH PE=3 SV=1,0.1083538858512253,2.1055369855435044,0.2398278786515805,0.8483932510040131,Pro1123,tier1:KEGG
Q7V9I2,Pro_1851,8,8,0.000198333,0.000294493,0.000265415,0.000220012,0.000278004,0.000249387,0.000226536,0.000240056,0.000317653,0.000191222,0.000163904,0.000179188,0.000211322,0.000197403,0.00021229,0.00045523,0.000428827,0.0003791,0.000252747,0.000249135,0.000261415,0.000178104,0.000207005,0.000421052,0.459089873,0.985707929,0.419929611,1.034294848,0.017703336,1.162267756,0.000254287,2.364076294,Q7V9I2,Aminomethyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=gcvT PE=3 SV=1,-0.0207678639071203,0.0486475155468508,0.2169424661214271,1.241276595244441,Pro1851,tier1:KEGG
Q7VA88,Pro_1577,11,11,0.000118895,0.000130325,0.000111542,0.00014039,0.000107232,0.00010449,0.001649952,0.000793363,0.001224949,0.000130541,0.000146603,0.000135162,0.000186366,0.000180452,0.000124294,0.001094913,0.000818055,0.001042211,0.000120254,0.000117371,0.001222754,0.000137435,0.000163704,0.00098506,0.416187707,0.976022851,0.005591121,10.16808429,0.133125,1.191134861,0.000284206,7.167451919,Q7VA88,Glyceraldehyde-3-phosphate dehydrogenase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=gap3 PE=3 SV=1,-0.0350131698056983,3.345975989849261,0.252336765243343,2.841460321551195,Pro1577,tier1:KEGG
Q7VA63,Pro_1604,25,25,0.015844074,0.018965495,0.021282989,0.016277947,0.018219898,0.020740706,0.00736681,0.004729659,0.006358292,0.02067989,0.018895303,0.024424218,0.019871599,0.022023176,0.022563874,0.004357131,0.004868437,0.005404131,0.018697519,0.01841285,0.006151587,0.021333137,0.021486216,0.004876567,0.447823242,0.984775049,0.00100881,0.329005501,0.468589408,1.007175652,0.000288535,0.228591164,Q7VA63,ATP synthase subunit alpha OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=atpA PE=3 SV=1,-0.022133885806646,-1.6038163887412165,0.0103153121137306,-2.1291584564257544,Pro1604,tier1:KEGG
Q7VE69,Pro_0144,8,8,0.00211121,0.001744237,0.00166814,0.002027998,0.001825721,0.001620921,0.000933719,0.000887576,0.000303373,0.00201432,0.001852549,0.0017824,0.001720582,0.00173146,0.00191396,0.000834365,0.000477155,0.000545242,0.001841196,0.00182488,0.000708222,0.00188309,0.001788667,0.000618921,0.466129587,0.991138693,0.004901256,0.384653579,0.183702902,0.949857742,0.000306169,0.328672956,Q7VE69,UPF0367 protein Pro_0144 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0144 PE=3 SV=1,-0.0128411427198593,-1.3783683629587589,-0.0742166343691862,-1.605275341997636,Pro0144,tier1:KEGG
Q7VEH6,Pro_0037,8,8,3.26458e-05,5.46713e-05,4.15421e-05,4.85717e-05,5.3507e-05,5.57188e-05,4.80719e-05,4.171e-05,4.83178e-05,2.00135e-05,1.79879e-05,2.35244e-05,1.40787e-05,1.99975e-05,3.00572e-05,5.54808e-05,4.64013e-05,5.363e-05,4.29531e-05,5.25991e-05,4.60332e-05,2.05086e-05,2.13778e-05,5.18374e-05,0.112731449,1.224572135,0.335984872,1.071709831,0.434395763,1.042380595,0.000307845,2.527587775,Q7VEH6,Cobalt-precorrin-5B C(1)-methyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=cbiD PE=3 SV=1,0.2922777602159465,0.0999143441871852,0.0598821319984918,1.337761193160305,Pro0037,tier1:KEGG
Q7VC39,Pro_0903,49,49,0.001419847,0.001690044,0.001447136,0.00174024,0.001449698,0.00162859,0.003332256,0.004002982,0.005337316,0.001675977,0.001489792,0.001140035,0.001629055,0.0016616,0.001481834,0.005306583,0.004404249,0.00551709,0.001519009,0.001606176,0.004224185,0.001435268,0.00159083,0.005075974,0.254848085,1.057383925,0.005238058,2.780881144,0.201579337,1.108385254,0.00031745,3.536603991,Q7VC39,Protoporphyrin IX Mg-chelatase subunit OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=chlH PE=4 SV=1,0.0804992992619201,1.4755420846248588,0.1484594223893953,1.822364683215856,Pro0903,tier1:KEGG
Q7VAN0,Pro_1430,4,4,1.90868e-05,1.96234e-05,2.33617e-05,1.71985e-05,2.06013e-05,2.31224e-05,9.26713e-05,0.0001603,0.000118267,3.23978e-05,1.7858e-05,1.35587e-05,1.94738e-05,2.15291e-05,2.04004e-05,0.000137575,0.000119793,0.000157527,2.06907e-05,2.03074e-05,0.000123746,2.12715e-05,2.04678e-05,0.000138298,0.434496981,0.981475356,0.003223833,5.980766243,0.447622056,0.962215922,0.000340559,6.501577735,Q7VAN0,Ribonuclease Z OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=rnz PE=3 SV=1,-0.0269760515697786,2.580330331272699,-0.0555674226753027,2.700789858796004,Pro1430,tier1:KEGG
