Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Accession,Description
Q7VBE7,Pro_1148,2,2,1.0255E-05,1.88732E-05,1.90361E-05,1.0302E-05,2.90766E-05,2.47199E-05,5.47741E-06,2.18064E-06,1.44792E-06,2.21602E-05,1.69544E-05,1.25328E-05,1.74286E-05,2.35512E-05,2.0575E-05,3.03841E-06,3.61126E-06,1.97682E-06,1.60548E-05,2.13662E-05,3.03532E-06,1.72158E-05,2.05183E-05,2.8755E-06,0.225693394,1.330831,0.007258647,0.189060449,0.186549589,1.19182812,0.003541547,0.167026747,Q7VBE7,5-formyltetrahydrofolate cyclo-ligase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_1148 PE=3 SV=1
Q7VEG9,Pro_0044,26,26,0.000515584,0.00056113,0.000503438,0.000576396,0.000478097,0.000577695,0.004752639,0.000886326,0.000992014,0.000555304,0.000561502,0.000546698,0.000677419,0.000619102,0.000665041,0.001014688,0.000840848,0.00080019,0.000526717,0.000544063,0.002210326,0.000554501,0.000653854,0.000885242,0.333329276,1.032931066,0.128053008,4.196419283,0.002764967,1.179175121,0.003699392,1.596466314,Q7VEG9,Diflavin flavoprotein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=dfa3 PE=3 SV=1
Q7VBU7,Pro_0995,11,11,0.000149643,0.00022691,0.000246598,0.00013839,7.8056E-05,0.000193381,8.13401E-05,0.000259349,0.000400884,0.000168252,0.000146585,0.000140848,0.000144947,0.000141445,0.000155766,0.000911954,0.000609962,0.000567517,0.000207717,0.000136609,0.000247191,0.000151895,0.000147386,0.000696478,0.092840147,0.657669026,0.352530699,1.190038519,0.328111305,0.970314648,0.003725388,4.585255048,Q7VBU7,Predicted Zn-dependent protease OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=tldD PE=4 SV=1
Q7VD39,Pro_0544,6,6,2.73359E-05,4.15986E-05,3.0409E-05,4.93721E-05,3.43822E-05,3.44626E-05,0.000110715,0.000120485,4.07854E-05,1.52738E-05,1.7152E-05,2.07203E-05,2.97174E-05,1.983E-05,1.52468E-05,0.00011334,8.05403E-05,6.60949E-05,3.31145E-05,3.94057E-05,9.06618E-05,1.77154E-05,2.15981E-05,8.66583E-05,0.197366961,1.189982264,0.043362465,2.73782906,0.221185806,1.21917097,0.004020213,4.891699837,Q7VD39,Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=chlL PE=1 SV=1
Q7V9M9,Pro_1801,47,46,0.001211178,0.001501246,0.001491001,0.001376171,0.001185356,0.001410357,0.003042246,0.005741595,0.005799505,0.000581033,0.00087035,0.000905549,0.000713705,0.000856124,0.000927742,0.004722338,0.006960034,0.003963939,0.001401142,0.001323961,0.004861115,0.000785644,0.000832524,0.005215437,0.274425483,0.94491592,0.009690268,3.469396122,0.358563067,1.059670095,0.004040356,6.638420858,Q7V9M9,Protein translocase subunit SecA OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=secA PE=3 SV=1
Q7V9E9,Pro_1884,2,2,2.23129E-05,1.18384E-05,7.76625E-06,1.68173E-05,1.45677E-05,5.02922E-06,1.27232E-06,1.23876E-06,9.65729E-07,1.05856E-05,9.05472E-06,9.19615E-06,1.06517E-05,1.00795E-05,6.03503E-06,1.31868E-06,5.18093E-06,6.79754E-07,1.39725E-05,1.21381E-05,1.15894E-06,9.61216E-06,8.92207E-06,2.39312E-06,0.38067779,0.86871043,0.020846303,0.082943883,0.337942945,0.928206552,0.004169846,0.248968155,Q7V9E9,Uncharacterized membrane protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_1884 PE=4 SV=1
G3XCS3,Pro_0345,10,10,0.000138632,0.000185953,0.000241928,0.00020175,6.54442E-05,0.000304756,0.000338211,0.000539158,0.00048028,0.000203167,0.000206908,0.000208603,0.000149468,0.000233418,0.000226234,0.000469665,0.00063474,0.000428528,0.000188838,0.00019065,0.00045255,0.000206226,0.00020304,0.000510978,0.490993283,1.009599087,0.008381631,2.396501861,0.455735219,0.984550038,0.004215387,2.477754764,G3XCS3,Phycoerythrin class III gamma chain OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=ppeC PE=3 SV=1
Q7V9Z2,Pro_1681,2,2,5.24328E-06,5.94378E-06,7.74299E-06,4.46413E-06,8.47992E-06,4.71553E-06,0.000391472,7.48073E-06,2.12139E-05,3.50656E-06,4.19859E-06,4.63851E-06,2.82579E-06,3.80588E-06,4.96719E-06,1.27413E-05,1.12325E-05,1.79669E-05,6.31001E-06,5.88653E-06,0.000140055,4.11455E-06,3.86629E-06,1.39802E-05,0.395646575,0.932886515,0.173770655,22.19573296,0.370572611,0.939661164,0.004409153,3.397748898,Q7V9Z2,Alanine racemase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=alr PE=3 SV=1
Q7VDE0,Pro_0439,8,8,0.000299027,0.000311612,0.000224729,0.000226929,0.000274738,0.000331697,0.000213234,0.000357263,0.000522548,0.00020157,0.000198304,0.00017068,0.000252049,0.000253963,0.000159763,0.00064673,0.000398468,0.000579723,0.000278456,0.000277788,0.000364348,0.000190185,0.000221925,0.000541641,0.493835067,0.997600334,0.204866428,1.308459019,0.1926424,1.166893435,0.004658569,2.847974097,Q7VDE0,AbrB family transciptional regulator OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0439 PE=4 SV=1
Q7V9X8,Pro_1696,11,10,0.000724862,0.000507813,0.000702021,0.000638334,0.000272635,0.00069894,0.000589946,0.000654303,0.000503717,0.0005698,0.00059244,0.000538272,0.000670266,0.000495404,0.000375116,0.000702758,0.000799126,0.00069783,0.000644899,0.000536636,0.000582656,0.000566837,0.000513595,0.000733238,0.25506747,0.832124681,0.243833993,0.9034838,0.287054821,0.906071731,0.005185593,1.293559575,Q7V9X8,30S ribosomal protein S5 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=rpsE PE=3 SV=1
Q7VB47,Pro_1251,12,12,0.001814494,0.001910122,0.001681953,0.001630866,0.002101065,0.001765892,0.00140957,0.000471103,0.000771577,0.002017307,0.001909535,0.001514023,0.001642075,0.002080059,0.001344729,0.000403347,0.000662302,0.001063158,0.00180219,0.001832608,0.000884084,0.001813622,0.001688955,0.000709603,0.426825273,1.016878164,0.016030137,0.490560676,0.329929465,0.931260714,0.005419911,0.391262721,Q7VB47,"Acetolactate synthase, small (Regulatory) subunit OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=ilvH PE=4 SV=1"
Q7VB18,Pro_1282,12,12,0.000588388,0.00069016,0.000696331,0.000601418,0.000599263,0.000758339,0.000521499,0.000458163,0.000942259,0.000432835,0.000446994,0.000485267,0.000396129,0.000472926,0.000529489,0.000670703,0.000675088,0.000852189,0.000658293,0.000653007,0.00064064,0.000455032,0.000466182,0.00073266,0.468698608,0.991969961,0.457650244,0.973184588,0.401193946,1.024502958,0.005441551,1.610128009,Q7VB18,NAD dependent epimerase/dehydratase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=wcaG PE=4 SV=1
Q7VB52,Pro_1246,4,4,0.000252064,0.000235033,0.000231396,0.000273557,0.000255745,0.000228463,0.000367326,0.000261354,0.000323392,0.000215939,0.000217158,0.000168876,0.000217189,0.00023384,0.000204519,0.000297132,0.000315912,0.000269501,0.000239498,0.000252588,0.000317357,0.000200658,0.000218516,0.000294182,0.209990619,1.054658088,0.034100151,1.325094429,0.18889131,1.088997075,0.005462689,1.466085419,Q7VB52,Translation initiation factor 1 (IF-1) OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=infA PE=3 SV=1
Q7V9W2,Pro_1712,15,15,0.001348818,0.001317839,0.001157396,0.001364047,0.001130873,0.001256947,0.001727824,0.001998303,0.00185701,0.000951014,0.001288041,0.001450899,0.001510052,0.001246173,0.001272508,0.002534765,0.001976741,0.00215246,0.001274685,0.001250622,0.001861046,0.001229985,0.001342911,0.002221322,0.400966892,0.981122754,0.001967115,1.460004783,0.270786712,1.091811173,0.005463303,1.805975235,Q7V9W2,50S ribosomal protein L3 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=rplC PE=3 SV=1
Q7V9S1,Pro_1756,16,16,0.000613223,0.000540501,0.000454144,0.000478705,0.000553044,0.000507067,0.001066186,0.001390727,0.001882182,0.00057073,0.000485709,0.000453439,0.000517716,0.000549733,0.000543704,0.001262383,0.000914586,0.000927331,0.000535956,0.000512939,0.001446365,0.000503293,0.000537051,0.001034767,0.337058278,0.95705391,0.009818408,2.698663901,0.202717119,1.067075088,0.005573008,2.055994415,Q7V9S1,Galactose mutarotase related enzyme OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=galM PE=4 SV=1
Q7VBS0,Pro_1022,7,7,5.53112E-05,8.22069E-05,6.48256E-05,5.39918E-05,9.18295E-05,7.0398E-05,8.06274E-05,0.000147915,0.000174618,7.37004E-05,6.35995E-05,6.09459E-05,7.30952E-05,8.01562E-05,7.25371E-05,0.000188393,0.000123852,0.000144839,6.74479E-05,7.20731E-05,0.000134387,6.60819E-05,7.52628E-05,0.000152361,0.374490378,1.068574959,0.041277707,1.992453495,0.058174916,1.138932274,0.005635086,2.305644801,Q7VBS0,Arylesterase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=tesA PE=4 SV=1
Q7VAZ2,Pro_1311,7,6,3.71531E-05,2.81847E-05,2.95242E-05,3.13846E-05,2.53723E-05,3.63067E-05,0.00030297,5.26453E-05,8.17164E-05,2.28808E-05,2.61024E-05,2.20119E-05,1.92218E-05,2.46482E-05,2.07439E-05,8.56543E-05,5.60132E-05,9.87379E-05,3.16207E-05,3.10212E-05,0.000145777,2.3665E-05,2.15379E-05,8.01351E-05,0.446934302,0.981040875,0.111204861,4.610180542,0.177926561,0.910115991,0.005638124,3.386223736,Q7VAZ2,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_1311 PE=4 SV=1
Q7VAK1,Pro_1461,6,6,0.000503777,0.000264271,0.000374443,0.00035762,0.000287287,0.000317197,0.000339563,9.40827E-05,0.00012875,0.000577432,0.000559188,0.000395534,0.000510368,0.000463013,0.000386633,0.000146767,0.000186583,0.000277719,0.000380831,0.000320702,0.000187465,0.000510718,0.000453338,0.00020369,0.225750394,0.842110653,0.067290209,0.492252923,0.223588937,0.887648722,0.005799717,0.398830413,Q7VAK1,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_1461 PE=4 SV=1
Q7VB66,Pro_1232,12,12,0.000187187,0.000229484,0.000269987,0.000233594,0.000167974,0.000254059,0.000421686,0.000162482,0.000177054,0.000197046,0.000137989,0.000183817,0.000137892,0.000171838,0.000186379,0.0003951,0.000553885,0.000368649,0.000228886,0.000218542,0.000253741,0.000172951,0.00016537,0.000439211,0.392017904,0.954808385,0.395128448,1.108590448,0.378852614,0.956168878,0.005856785,2.539519854,Q7VB66,Ribosome-binding ATPase YchF OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=ychF PE=3 SV=1
Q7VDF8,Pro_0418,3,3,3.2316E-05,1.82882E-05,1.6915E-05,3.08387E-05,3.05372E-05,1.29886E-05,0.001510001,0.000421257,0.001386971,3.52691E-05,2.74859E-05,1.66448E-05,1.98931E-05,2.40886E-05,2.41824E-05,0.000527225,0.001103184,0.000700015,2.25064E-05,2.47882E-05,0.001106076,2.64666E-05,2.27214E-05,0.000776808,0.390629867,1.101382886,0.017301319,49.14495509,0.26952538,0.85849257,0.005868411,29.35052569,Q7VDF8,Probable malate:quinone oxidoreductase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=mqo PE=3 SV=1
Q7VAN7,Pro_1421,28,28,0.000912135,0.000920136,0.000791307,0.001168104,0.001014329,0.000815444,0.001237498,0.001786565,0.00161803,0.000941719,0.000886384,0.000957191,0.00107849,0.000982091,0.000890825,0.001747028,0.002700502,0.002052283,0.000874526,0.000999292,0.001547364,0.000928431,0.000983802,0.002166604,0.160529347,1.142667677,0.007976725,1.769375083,0.197964597,1.05963931,0.005883668,2.333618972,Q7VAN7,Phosphoribosylamine--glycine ligase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=purD PE=3 SV=1
Q7V9I5,Pro_1848,2,2,2.35966E-06,5.85637E-06,4.63613E-06,4.52107E-06,4.12641E-06,3.34292E-06,3.96892E-05,8.69158E-06,1.90125E-05,6.23279E-06,4.53643E-06,3.62261E-06,4.17294E-06,2.84379E-06,4.07858E-06,2.25787E-05,4.62784E-05,4.51429E-05,4.28406E-06,3.9968E-06,2.24644E-05,4.79728E-06,3.69843E-06,3.8E-05,0.401838319,0.93294692,0.059233432,5.243728138,0.13909802,0.770943916,0.006417557,7.921156198,Q7V9I5,Polyamine aminopropyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=speE PE=3 SV=1
Q7V9K2,Pro_1831,3,3,5.07882E-06,9.37475E-06,8.2606E-06,5.06934E-06,7.86234E-06,6.27808E-06,0.000188075,1.98699E-05,0.000141389,8.94615E-06,1.85514E-06,5.28281E-06,4.069E-06,5.7496E-06,5.99486E-06,1.34522E-05,1.70968E-05,1.50481E-05,7.57139E-06,6.40325E-06,0.000116445,5.36136E-06,5.27115E-06,1.5199E-05,0.242533293,0.845716748,0.047852646,15.37956162,0.484160576,0.983173885,0.00646765,2.834914231,Q7V9K2,PLP-dependent enzyme OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_1831 PE=4 SV=1
Q7VDA3,Pro_0480,2,2,1.02532E-05,1.04927E-05,7.55845E-06,1.33497E-05,1.27865E-05,1.22422E-05,7.5706E-05,2.24052E-05,6.00219E-05,6.09975E-06,7.34239E-06,6.5634E-06,6.40611E-06,8.13068E-06,8.39407E-06,2.16837E-05,3.08338E-05,4.18106E-05,9.4348E-06,1.27928E-05,5.2711E-05,6.66851E-06,7.64362E-06,3.14427E-05,0.013896183,1.355915201,0.026178285,5.586872639,0.123863743,1.146225479,0.006579619,4.715100393,Q7VDA3,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0480 PE=4 SV=1
Q7VCN0,Pro_0710,6,6,6.58972E-05,8.26923E-05,8.09685E-05,3.82714E-05,5.66393E-05,5.82039E-05,8.04638E-05,0.000139869,0.000257707,7.12362E-05,5.28007E-05,5.66433E-05,5.88779E-05,5.16912E-05,7.80767E-05,0.000238891,0.000138915,0.000245969,7.65194E-05,5.10382E-05,0.000159347,6.02267E-05,6.28819E-05,0.000207925,0.018855528,0.66699696,0.094408285,2.082436672,0.398643169,1.044086777,0.006751314,3.452369707,Q7VCN0,Short-chain dehydrogenase/reductase family enzyme OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=fabG PE=4 SV=1
Q7VAL5,Pro_1445,4,4,4.56184E-05,5.17229E-05,5.8192E-05,4.46946E-05,6.41048E-05,7.55828E-05,2.21591E-05,3.66945E-05,2.40975E-05,6.15657E-05,3.64914E-05,5.77421E-05,3.8525E-05,5.9289E-05,5.51989E-05,7.33748E-06,2.27883E-05,4.60493E-06,5.18444E-05,6.14608E-05,2.76504E-05,5.19331E-05,5.10043E-05,1.15769E-05,0.189200467,1.185484166,0.007113464,0.533333317,0.465432383,0.982116078,0.006917014,0.222919724,Q7VAL5,Adenine phosphoribosyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=apt PE=3 SV=1
Q7VAT3,Pro_1371,9,9,0.000136766,0.000125056,0.000152695,0.000186276,0.000149653,0.000150273,0.000666249,9.85699E-05,9.78703E-05,0.000112435,9.71444E-05,0.000109778,0.000100049,0.000106665,0.000114309,0.000248071,0.000239955,0.000373626,0.000138172,0.000162067,0.000287563,0.000106452,0.000107007,0.000287217,0.087537546,1.172936335,0.237308888,2.081190436,0.466824335,1.005213222,0.007111646,2.698078347,Q7VAT3,Indole-3-glycerol phosphate synthase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=trpC PE=3 SV=1
Q7VAV8,Pro_1345,9,9,0.000481052,0.000459246,0.000452726,0.00047777,0.000399387,0.000544067,0.000509777,0.000610355,0.000367051,0.000535395,0.000469108,0.000554327,0.000473525,0.000484662,0.00052747,0.00066794,0.000846272,0.000843234,0.000464341,0.000473741,0.000495728,0.00051961,0.000495219,0.000785815,0.418240018,1.020242925,0.340862311,1.067593129,0.235176368,0.953057719,0.007209678,1.512316539,Q7VAV8,5'-nucleotidase SurE OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=surE PE=3 SV=1
Q7VAS7,Pro_1377,13,13,0.000193112,0.000275427,0.000229684,0.000306625,0.000327523,0.000245886,0.000532704,0.000250367,0.000140734,0.000196762,0.000183972,0.00017964,0.000232807,0.00018788,0.000197743,0.000398304,0.000294158,0.000296073,0.000232741,0.000293345,0.000307935,0.000186791,0.000206143,0.000329511,0.075326698,1.260393943,0.28113744,1.323081582,0.127400203,1.103603308,0.007406883,1.764062337,Q7VAS7,FAD/FMN-containing dehydrogenase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=glcD PE=4 SV=1
Q7VDI2,Pro_0394,11,11,5.1644E-05,6.23564E-05,5.59266E-05,4.62567E-05,4.78274E-05,7.50413E-05,0.00047711,0.000135144,0.00022209,6.24397E-05,5.9228E-05,4.86846E-05,4.6282E-05,6.2355E-05,5.59083E-05,0.000119369,0.000212746,0.000198033,5.66424E-05,5.63751E-05,0.000278115,5.67841E-05,5.48484E-05,0.000176716,0.489826614,0.995282067,0.048591335,4.910014915,0.386132239,0.965911547,0.007452692,3.112068403,Q7VDI2,Glycosyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=rfaG PE=4 SV=1
Q7VD64,Pro_0519,13,13,0.000483156,0.00077397,0.000614516,0.000796161,0.000626145,0.000633315,0.000755901,0.000885999,0.001100987,0.000553366,0.000508456,0.000489692,0.000535498,0.000477735,0.000533034,0.001082346,0.001274126,0.00178714,0.000623881,0.000685207,0.000914296,0.000517171,0.000515422,0.001381204,0.287808632,1.098298142,0.045568328,1.465497367,0.475448708,0.996618027,0.007484517,2.670689649,Q7VD64,Transaldolase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=tal PE=3 SV=1
Q7VCU6,Pro_0644,2,2,4.5243E-05,3.87372E-05,3.37994E-05,3.38437E-05,6.51103E-06,3.27928E-05,0.000205652,0.000112565,7.46603E-05,1.55522E-05,1.67722E-05,2.3335E-05,1.57714E-05,1.07434E-05,1.68107E-05,5.61755E-05,7.10181E-05,0.00010397,3.92599E-05,2.43825E-05,0.000130959,1.85531E-05,1.44419E-05,7.70547E-05,0.096858776,0.621054518,0.039351652,3.335702471,0.124981874,0.778405658,0.007531774,4.153190398,Q7VCU6,Uncharacterized HesB family conserved protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=iscA PE=4 SV=1
Q7VDV6,Pro_0262,10,10,0.00010768,0.000144216,0.000158019,0.000119324,0.000117381,0.000149851,0.00038555,0.002167576,0.002065585,0.000153776,0.000115811,0.000121517,0.000122894,0.000133769,0.00012047,0.002417833,0.001585589,0.001085086,0.000136638,0.000128852,0.00153957,0.000130368,0.000125711,0.001696169,0.346434043,0.943012643,0.036091608,11.26748885,0.364254535,0.964277203,0.007888871,13.01062194,Q7VDV6,Aspartate carbamoyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=pyrB PE=3 SV=1
Q7VD51,Pro_0532,6,6,0.000115733,0.000104402,8.95682E-05,0.000109567,0.000135169,0.000128439,0.000176667,0.000249929,0.000253924,3.50577E-05,4.41721E-05,4.1194E-05,4.59965E-05,4.81191E-05,3.57096E-05,0.000333441,0.000174321,0.000391514,0.000103234,0.000124392,0.00022684,4.01413E-05,4.32751E-05,0.000299759,0.060533378,1.204946727,0.004612183,2.19733214,0.269805461,1.078069377,0.008094739,7.467591236,Q7VD51,Aldehyde decarbonylase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0532 PE=3 SV=1
Q7VEC6,Pro_0087,2,2,6.82594E-07,5.94038E-06,3.92121E-06,9.72723E-06,5.81224E-06,3.69768E-06,1.0178E-05,2.70635E-06,4.872E-06,9.20866E-07,7.395E-07,4.95265E-07,4.41062E-07,9.1546E-07,1.34165E-06,7.2843E-06,4.21771E-06,9.72375E-06,3.51473E-06,6.41239E-06,5.91878E-06,7.18543E-07,8.99392E-07,7.07525E-06,0.141447878,1.824432324,0.211509461,1.683994178,0.281956754,1.251687916,0.008208961,9.846659879,Q7VEC6,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0087 PE=4 SV=1
Q7V9K4,Pro_1829,29,29,0.001171415,0.001413813,0.001310226,0.001215515,0.00121433,0.001283325,0.002780711,0.006242295,0.005142564,0.00118597,0.001368218,0.00139203,0.001385867,0.001450914,0.001421482,0.005191506,0.003876699,0.00288453,0.001298485,0.001237723,0.004721857,0.001315406,0.001419421,0.003984245,0.228371948,0.953205588,0.014357754,3.636435259,0.099741552,1.079074372,0.008230401,3.028908245,Q7V9K4,Glycine dehydrogenase (decarboxylating) OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=gcvP PE=3 SV=1
Q7V9K3,Pro_1830,4,4,0.000485707,0.000491658,0.000615046,0.000492931,0.00040904,0.000481525,0.000313528,0.0002565,0.00026891,0.000803803,0.000821254,0.000731507,0.000869918,0.0007808,0.000574292,0.000253242,0.000154257,0.000538437,0.000530804,0.000461166,0.000279646,0.000785521,0.00074167,0.000315312,0.116776915,0.868805863,0.002644916,0.526834811,0.328840624,0.944175508,0.008258863,0.401404618,Q7V9K3,Glycine cleavage system H protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=gcvH PE=3 SV=1
Q7VAT7,Pro_1367,7,7,0.000849538,0.000788298,0.000940874,0.000958211,0.001178998,0.000610506,0.001978852,0.001158394,0.001347112,0.000814399,0.000924776,0.000923815,0.000901943,0.00082797,0.001198081,0.001404573,0.001726517,0.002155392,0.00085957,0.000915905,0.001494786,0.000887663,0.000975998,0.001762161,0.379378275,1.065538651,0.032660286,1.738992917,0.249328032,1.099513923,0.008301987,1.985168111,Q7VAT7,Peptidyl-prolyl cis-trans isomerase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=fkpA PE=3 SV=1
Q7V9Q2,Pro_1777,3,3,9.13512E-05,5.89905E-05,6.69276E-05,8.36343E-05,8.24009E-05,7.10316E-05,0.000104284,0.000902628,0.000660989,7.51741E-05,8.11777E-05,6.35091E-05,6.52602E-05,6.85082E-05,6.7318E-05,0.000999472,0.000433381,0.000966522,7.24231E-05,7.90223E-05,0.000555967,7.3287E-05,6.70288E-05,0.000799791,0.282445175,1.0911196,0.055221053,7.676654663,0.150485248,0.914607625,0.008348579,10.91314612,Q7V9Q2,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_1777 PE=4 SV=1
Q7VA48,Pro_1619,19,19,0.000772072,0.000912435,0.000932339,0.000704929,0.000782303,0.000941783,0.001966722,0.000895996,0.00117633,0.000672997,0.000720546,0.001060201,0.000881821,0.000841137,0.000913088,0.001456781,0.001275809,0.001658644,0.000872282,0.000809672,0.00134635,0.000817914,0.000878682,0.001463744,0.25359483,0.928222214,0.108923584,1.543479537,0.324471946,1.074296028,0.008595688,1.789605642,Q7VA48,Adenylosuccinate lyase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=purB PE=3 SV=1
Q7V9G3,Pro_1870,2,2,1.29217E-05,6.96407E-06,4.19969E-06,1.36988E-05,4.39033E-06,5.50583E-06,2.63312E-05,2.52634E-06,3.75221E-06,3.97249E-06,4.40337E-06,2.42805E-06,2.56849E-06,2.35618E-06,2.7922E-06,1.16254E-06,1.1045E-06,1.44806E-06,8.0285E-06,7.86499E-06,1.08699E-05,3.6013E-06,2.57229E-06,1.23837E-06,0.484296427,0.979633801,0.372548831,1.353916677,0.084189481,0.714266454,0.008920125,0.343866371,Q7V9G3,FAD dependent oxidoreductase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_1870 PE=4 SV=1
Q7VDE6,Pro_0432,20,19,0.000185114,0.000191741,0.000145994,0.000201008,0.000149886,0.000176462,0.000650911,0.001393857,0.001407939,0.000126323,0.000154284,9.30708E-05,0.000147931,0.000182952,0.000108884,0.0019304,0.002045192,0.000840281,0.000174283,0.000175785,0.001150902,0.000124559,0.000146589,0.001605291,0.472592224,1.008620626,0.008773119,6.603646029,0.235931947,1.17686419,0.009130954,12.88778729,Q7VDE6,DNA topoisomerase 1 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=topA PE=3 SV=1
Q7V9V9,Pro_1715,6,6,2.91637E-05,4.84995E-05,2.77801E-05,2.9837E-05,5.13953E-05,3.89776E-05,5.65471E-05,0.000124064,9.08908E-05,3.89477E-05,3.08965E-05,3.01847E-05,5.08703E-05,3.71389E-05,4.50805E-05,7.88513E-05,5.94319E-05,9.96117E-05,3.51477E-05,4.007E-05,9.05006E-05,3.3343E-05,4.43633E-05,7.92983E-05,0.309606763,1.140044189,0.027438708,2.57486191,0.043247496,1.330513183,0.009151475,2.378261302,Q7V9V9,HAD superfamily hydrolase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_1715 PE=4 SV=1
Q9K4U6,Pro_1749,5,5,3.02029E-05,2.99669E-05,2.1495E-05,2.98721E-05,1.31798E-05,2.75446E-05,2.394E-05,2.90605E-05,0.000104428,1.33783E-05,2.86281E-05,1.92116E-05,2.50081E-05,2.78289E-05,1.9876E-05,4.48059E-05,6.47676E-05,8.1159E-05,2.72216E-05,2.35322E-05,5.24763E-05,2.0406E-05,2.42377E-05,6.35775E-05,0.284511761,0.86446662,0.194633092,1.92774436,0.243732448,1.187771946,0.009691145,3.115626057,Q9K4U6,"15,16-dihydrobiliverdin:ferredoxin oxidoreductase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=pebA PE=3 SV=1"
