Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Accession,Description
Q7VEJ7,Pro_0016,21,21,0.002803362,0.003026194,0.003373435,0.002913445,0.002091627,0.003236787,0.00151024,0.002379366,0.001727576,0.003586418,0.00352711,0.003599701,0.003222545,0.003383766,0.003557684,0.002299754,0.001901723,0.002004899,0.003067664,0.002747286,0.001872394,0.003571076,0.003387998,0.002068792,0.222805849,0.895563033,0.009045147,0.610364904,0.069515435,0.948733131,0.000122273,0.579318831,Q7VEJ7,Protein GrpE OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=grpE PE=3 SV=1
Q7V9X3,Pro_1701,7,7,0.000683436,0.000598633,0.000685717,0.000546288,0.000487876,0.00056468,0.000156955,0.000427213,0.000323963,0.000725725,0.000676286,0.000633845,0.000776321,0.000650711,0.000618856,0.000339829,0.000346884,0.000313682,0.000655929,0.000532948,0.000302711,0.000678619,0.000681963,0.000333465,0.014441612,0.812509099,0.006762921,0.461499271,0.477179535,1.004927959,0.000131612,0.49138767,Q7V9X3,50S ribosomal protein L24 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=rplX PE=3 SV=1
Q7VD05,Pro_0584,12,12,0.000241852,0.000270898,0.000266337,0.000285336,0.000312948,0.000290422,0.000321183,0.000357801,0.000338044,0.000246474,0.000288159,0.00024415,0.000266632,0.000272341,0.000240317,0.000543644,0.000501701,0.000561347,0.000259696,0.000296235,0.000339009,0.000259594,0.000259763,0.000535564,0.020964362,1.140701169,0.002334147,1.305409534,0.496348247,1.000651579,0.000132319,2.063080076,Q7VD05,Phytoene dehydrogenase / carotenoid isomerase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0584 PE=4 SV=1
Q7VA62,Pro_1605,9,9,0.004097094,0.003391803,0.003712906,0.003428086,0.00287573,0.003335257,0.001689718,0.000587324,0.000636503,0.004232963,0.004354039,0.004107312,0.004372421,0.004749892,0.003442871,0.000814987,0.00108576,0.001640072,0.003733934,0.003213025,0.000971182,0.004231438,0.004188394,0.001180273,0.060863946,0.860493114,0.001302414,0.260096083,0.459220304,0.989827702,0.000135664,0.27892952,Q7VA62,ATP synthase subunit delta OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=atpH PE=3 SV=1
Q7VBH1,Pro_1123,18,18,0.000897534,0.001124928,0.000468281,0.001069847,0.001217848,0.00039732,0.004064317,0.00316337,0.003491419,0.001303552,0.001454742,0.001183178,0.002214038,0.001513475,0.00092678,0.002298807,0.002446147,0.002351644,0.000830247,0.000895005,0.003573036,0.001313824,0.001551431,0.002365533,0.424172831,1.07799754,0.000547184,4.303579099,0.282984246,1.180851771,0.000150717,1.800494573,Q7VBH1,Ferredoxin--NADP reductase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=petH PE=3 SV=1
Q7V9I2,Pro_1851,8,8,0.000198333,0.000294493,0.000265415,0.000220012,0.000278004,0.000249387,0.000226536,0.000240056,0.000317653,0.000191222,0.000163904,0.000179188,0.000211322,0.000197403,0.00021229,0.00045523,0.000428827,0.0003791,0.000252747,0.000249135,0.000261415,0.000178104,0.000207005,0.000421052,0.459089873,0.985707929,0.419929611,1.034294848,0.017703336,1.162267756,0.000254287,2.364076294,Q7V9I2,Aminomethyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=gcvT PE=3 SV=1
Q7VA88,Pro_1577,11,11,0.000118895,0.000130325,0.000111542,0.00014039,0.000107232,0.00010449,0.001649952,0.000793363,0.001224949,0.000130541,0.000146603,0.000135162,0.000186366,0.000180452,0.000124294,0.001094913,0.000818055,0.001042211,0.000120254,0.000117371,0.001222754,0.000137435,0.000163704,0.00098506,0.416187707,0.976022851,0.005591121,10.16808429,0.133125,1.191134861,0.000284206,7.167451919,Q7VA88,Glyceraldehyde-3-phosphate dehydrogenase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=gap3 PE=3 SV=1
Q7VA63,Pro_1604,25,25,0.015844074,0.018965495,0.021282989,0.016277947,0.018219898,0.020740706,0.00736681,0.004729659,0.006358292,0.02067989,0.018895303,0.024424218,0.019871599,0.022023176,0.022563874,0.004357131,0.004868437,0.005404131,0.018697519,0.01841285,0.006151587,0.021333137,0.021486216,0.004876567,0.447823242,0.984775049,0.00100881,0.329005501,0.468589408,1.007175652,0.000288535,0.228591164,Q7VA63,ATP synthase subunit alpha OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=atpA PE=3 SV=1
Q7VE69,Pro_0144,8,8,0.00211121,0.001744237,0.00166814,0.002027998,0.001825721,0.001620921,0.000933719,0.000887576,0.000303373,0.00201432,0.001852549,0.0017824,0.001720582,0.00173146,0.00191396,0.000834365,0.000477155,0.000545242,0.001841196,0.00182488,0.000708222,0.00188309,0.001788667,0.000618921,0.466129587,0.991138693,0.004901256,0.384653579,0.183702902,0.949857742,0.000306169,0.328672956,Q7VE69,UPF0367 protein Pro_0144 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0144 PE=3 SV=1
Q7VEH6,Pro_0037,8,8,3.26458E-05,5.46713E-05,4.15421E-05,4.85717E-05,5.3507E-05,5.57188E-05,4.80719E-05,4.171E-05,4.83178E-05,2.00135E-05,1.79879E-05,2.35244E-05,1.40787E-05,1.99975E-05,3.00572E-05,5.54808E-05,4.64013E-05,5.363E-05,4.29531E-05,5.25991E-05,4.60332E-05,2.05086E-05,2.13778E-05,5.18374E-05,0.112731449,1.224572135,0.335984872,1.071709831,0.434395763,1.042380595,0.000307845,2.527587775,Q7VEH6,Cobalt-precorrin-5B C(1)-methyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=cbiD PE=3 SV=1
