Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description
A5GNE6,SynWH7803_2035,9,9,0.020834458,0.018426596,0.018979498,0.022300876,0.016118718,0.017526498,0.016842891,0.015311288,0.017456746,0.018900379,0.021745442,0.030126475,0.018003317,0.029103231,0.035621862,0.018796208,0.018284895,0.02065054,0.019413517,0.018648697,0.016536975,0.023590765,0.027576137,0.019243881,0.286091404,0.960603742,0.028849324,0.851827859,0.125949756,1.168937801,0.126854368,0.815737888,Nitrogen regulatory protein P-II OS=Synechococcus sp. (strain WH7803) OX=32051 GN=glnB PE=3 SV=1
A5GND7,SynWH7803_2026,8,8,0.00787922,0.001573999,0.001385253,0.008641197,0.00268168,0.001722636,0.021903718,0.006077336,0.008560164,0.004776633,0.001115173,0.000474933,0.009601603,0.001229428,0.000538676,0.010367329,0.003819115,0.003736009,0.003612824,0.004348504,0.012180406,0.002122246,0.003789902,0.005974151,0.040366527,1.203630307,0.04714362,3.371436316,0.20078537,1.785797324,0.024428679,2.815012756,Allophycocyanin alpha chain OS=Synechococcus sp. (strain WH7803) OX=32051 GN=apcA PE=3 SV=1
A5GNZ6,SynWH7803_2235,8,8,0.000567159,0.000594082,0.000512931,0.000603248,0.000977349,0.000436985,0.001128419,0.001067287,0.001339797,0.000639413,0.00155431,0.000375432,0.000388844,0.000626694,0.000486527,0.000703282,0.000781635,0.000691482,0.000558057,0.000672527,0.001178501,0.000856385,0.000500688,0.000725466,0.247353237,1.205122902,0.014059465,2.11179284,0.18153205,0.584653436,0.364582085,0.847126017,"Porin, P stress induced OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_2235 PE=3 SV=1"
A5GKR1,SynWH7803_1100,8,8,0.000299271,6.75721E-05,0.000139402,0.000296755,9.34514E-05,0.000143183,0.000571011,0.000106615,0.00019564,0.000128028,0.000134736,0.000171498,0.000251496,0.000104915,0.000205191,0.00024278,0.000145355,0.000247513,0.000168748,0.000177797,0.000291088,0.000144754,0.000187201,0.000211883,0.201765428,1.053620102,0.121920422,1.724986041,0.220268394,1.293234199,0.078896999,1.463746121,Putative modulator of DNA gyrase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=pmbA PE=4 SV=1
A5GNX7,SynWH7803_2216,8,8,0.000944559,0.000464421,0.000733538,0.000808808,0.000629699,0.000679785,0.001128611,0.000731399,0.001638187,0.00103563,0.000552779,0.000931976,0.000826081,0.000569443,0.001025103,0.001129919,0.001135134,0.001762354,0.000714173,0.000706097,0.001166066,0.000840128,0.000806876,0.001342469,0.468286221,0.988692001,0.092771785,1.632749464,0.37474685,0.960419495,0.072906258,1.597932894,Glutathione S-transferase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=gst PE=4 SV=1
A5GNH7,SynWH7803_2066,8,8,0.00162038,0.001627859,0.0017613,0.001524124,0.001552716,0.001674129,0.00205728,0.002262992,0.003640886,0.001609248,0.001369946,0.002031957,0.001654316,0.002298833,0.00253036,0.00211673,0.001983908,0.003444877,0.001669847,0.001583656,0.002653719,0.001670384,0.00216117,0.002515172,0.002497402,0.948384443,0.080582817,1.589199576,0.097168871,1.293816433,0.048942556,1.505744846,Ribose-5-phosphate isomerase A OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rpiA PE=3 SV=1
A5GJC0,SynWH7803_0609,8,8,0.001214155,0.000738676,0.00122766,0.001149491,0.000782133,0.00104317,0.001763891,0.001025726,0.002147339,0.001412535,0.000951381,0.000991158,0.001264716,0.00076611,0.001065688,0.001986905,0.00110747,0.00268207,0.001060163,0.000991598,0.001645652,0.001118358,0.001032171,0.001925482,0.203496338,0.93532541,0.042887861,1.552262583,0.199585141,0.922934818,0.110071275,1.721704663,Porphobilinogen deaminase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=hemC PE=3 SV=1
A5GN19,SynWH7803_1908,8,8,0.001309128,0.000805635,0.000742912,0.00102443,0.000914883,0.000892021,0.00146997,0.001069786,0.00169564,0.00108615,0.001092621,0.001096445,0.00069028,0.00280879,0.001070885,0.001159971,0.000987751,0.001721222,0.000952558,0.000943778,0.001411798,0.001091739,0.001523318,0.001289648,0.477599342,0.99078266,0.102948136,1.482112479,0.287808198,1.395314275,0.231273304,1.1812794,Polyribonucleotide nucleotidyltransferase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=pnp PE=3 SV=1
A5GLD0,SynWH7803_1319,8,8,0.000127063,0.00031066,0.000444498,0.000167348,0.000401066,0.000416176,0.000252919,0.000373711,0.000652028,0.000125217,0.000329965,0.000337452,9.45208E-05,0.000365228,0.000468977,0.000393327,0.000274956,0.000426042,0.000294074,0.000328197,0.000426219,0.000264211,0.000309575,0.000364775,0.212947876,1.11603535,0.043632761,1.449362139,0.218553277,1.171695301,0.19726036,1.380618668,Sulfite reductase (Ferredoxin) OS=Synechococcus sp. (strain WH7803) OX=32051 GN=sir PE=3 SV=1
A5GHY1,SynWH7803_0120,8,8,0.000825173,0.000827928,0.000820735,0.001041514,0.000754755,0.00110863,0.00111745,0.001218956,0.001158771,0.000931946,0.000862755,0.000946096,0.000895882,0.000988799,0.001159678,0.001232572,0.001069195,0.001045025,0.000824612,0.000968299,0.001165059,0.000913599,0.001014786,0.001115598,0.161377546,1.174248405,0.003475346,1.412856768,0.150327899,1.110757121,0.037039374,1.221102265,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0120 PE=4 SV=1
A5GJ24,SynWH7803_0513,8,8,0.000308392,0.000456555,0.000472827,0.000422648,0.000586816,0.000562452,0.0005161,0.000398221,0.00070789,0.000442843,0.000576173,0.00047563,0.000603973,0.000463943,0.000591731,0.000587546,0.000351468,0.000650598,0.000412592,0.000523972,0.000540737,0.000498215,0.000553215,0.000529871,0.00553615,1.269952897,0.152175403,1.310587394,0.291198946,1.110393937,0.414182316,1.063536817,S-adenosylmethionine synthase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=metK PE=3 SV=1
A5GHT4,SynWH7803_0073,8,8,0.00188384,0.00129628,0.001127461,0.001558023,0.001444496,0.00131207,0.001800614,0.001502297,0.002115419,0.001367078,0.001489312,0.002131078,0.001411723,0.001573482,0.00237881,0.001752192,0.002127685,0.002065628,0.001435861,0.001438197,0.00180611,0.001662489,0.001788005,0.001981835,0.49497684,1.001626919,0.183355484,1.257858884,0.090464505,1.075498676,0.130467769,1.192088851,4-hydroxy-tetrahydrodipicolinate synthase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=dapA PE=3 SV=1
A5GPL4,SynWH7803_2453,8,8,0.000775125,0.000483346,0.000764619,0.000606312,0.00054997,0.000840208,0.000695016,0.00051576,0.000973998,0.000628108,0.000697568,0.000791803,0.000634881,0.00051366,0.000921964,0.000781121,0.000874033,0.000955603,0.000674363,0.000665497,0.000728258,0.000705826,0.000690168,0.000870252,0.46094222,0.986851986,0.29394335,1.079919747,0.439841521,0.977815843,0.000847251,1.232954773,Polyamine aminopropyltransferase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=speE PE=3 SV=1
A5GPS5,SynWH7803_2514,8,8,0.00273775,0.001854684,0.002761526,0.002795446,0.001981229,0.002343577,0.002658561,0.00193348,0.002045622,0.00349043,0.002400436,0.002018241,0.002685839,0.002197045,0.002440961,0.004259566,0.001898138,0.002962717,0.00245132,0.002373417,0.002212554,0.002636369,0.002441282,0.00304014,0.346837236,0.968220255,0.214620095,0.902597151,0.31859759,0.926001579,0.234599092,1.153154307,Chaperone protein DnaK OS=Synechococcus sp. (strain WH7803) OX=32051 GN=dnaK PE=2 SV=1
A5GMF6,SynWH7803_1695,7,7,8.44639E-05,5.13048E-05,4.57777E-05,0.000116148,4.89268E-05,3.51233E-05,0.000182175,0.000123549,0.000254632,0.000137008,3.87576E-05,7.99684E-05,0.00010318,3.51336E-05,0.00011328,0.000132285,8.69288E-05,9.66747E-05,6.05155E-05,6.67327E-05,0.000186786,8.52448E-05,8.38645E-05,0.000105296,0.339333071,1.102737308,0.047443138,3.086577177,0.474895576,0.983808463,0.160864777,1.23522338,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_1695 PE=4 SV=1
