Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description
A5GKW3,SynWH7803_1152,11,11,0.001481845,0.001181746,0.001453651,0.001263174,0.001206535,0.001321505,0.001488083,0.001432034,0.002251078,0.00131518,0.00089444,0.001813604,0.001254178,0.001281788,0.001568597,0.001658805,0.00168605,0.001667851,0.001372414,0.001263738,0.001723732,0.001341075,0.001368188,0.001670902,0.133358676,0.920813832,0.135980479,1.255985108,0.44921712,1.020217429,0.17362899,1.245942323,3-isopropylmalate dehydrogenase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=leuB PE=3 SV=1
A5GLF8,SynWH7803_1347,11,11,0.000856846,0.000487879,0.000506919,0.000797968,0.000581156,0.000546788,0.000741481,0.000916156,0.000570435,0.001292899,0.000616078,0.000612389,0.000952555,0.000608531,0.000602311,0.000968862,0.000725511,0.00063736,0.000617215,0.000641971,0.00074269,0.000840455,0.000721132,0.000777244,0.317210236,1.040109259,0.257480374,1.20329372,0.196582723,0.858025821,0.340366882,0.924789274,Glutamine synthetase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=glnAI PE=3 SV=1
A5GKW2,SynWH7803_1151,11,11,0.003504216,0.003463361,0.002747625,0.003742669,0.003590002,0.003022735,0.002729044,0.003250791,0.002486696,0.002638219,0.003221728,0.002025778,0.003057361,0.002818568,0.003321798,0.003097102,0.002530324,0.002818801,0.003238401,0.003451802,0.002822177,0.002628575,0.003065909,0.002815409,0.020550629,1.065897035,0.073460409,0.871472387,0.23337828,1.166376876,0.359034737,1.071078195,Phosphoribulokinase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=prk PE=3 SV=1
A5GJN1,SynWH7803_0720,11,11,0.001646659,0.001168075,0.001575865,0.00170241,0.001047896,0.001556234,0.001582945,0.000765418,0.001190171,0.001595057,0.001189254,0.001760058,0.001672723,0.001558503,0.001708741,0.001472231,0.001030947,0.00125005,0.001463533,0.001435513,0.001179511,0.00151479,0.001646656,0.001251076,0.318813871,0.980854795,0.061711694,0.805934366,0.200108303,1.087052573,0.083209586,0.825907471,Dihydroorotase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=pyrC PE=3 SV=1
A5GJS5,SynWH7803_0764,10,10,0.000644141,0.000132555,0.000448691,0.000527868,0.000161632,0.000308624,0.00162267,0.000158995,0.000367775,0.000516814,0.000140061,0.000375931,0.000641322,0.000119827,0.000275042,0.000528823,0.000211479,0.001372482,0.000408462,0.000332708,0.00071648,0.000344268,0.000345397,0.000704261,0.144119505,0.8145372,0.228421806,1.754089627,0.49394916,1.003278125,0.187981083,2.045674535,Gamma-glutamyl phosphate reductase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=proA PE=3 SV=1
P27288,SynWH7803_0479,10,10,0.033987386,0.016509293,0.010289956,0.033657941,0.021837698,0.011491686,0.051205796,0.02496843,0.02952302,0.021535177,0.013355789,0.006670947,0.026268034,0.010986203,0.004003243,0.040584981,0.022673031,0.019320575,0.020262212,0.022329109,0.035232415,0.013853971,0.013752494,0.027526195,0.172892721,1.102007458,0.022748386,1.738823768,0.485173022,0.992675193,0.020482003,1.98688123,R-phycocyanin alpha chain OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rpcA PE=3 SV=3
A5GLZ6,SynWH7803_1535,10,10,0.001215104,0.000913117,0.00087139,0.001409792,0.001025948,0.000677408,0.002144979,0.001382948,0.000993771,0.00108793,0.000815795,0.000768637,0.001247264,0.000828633,0.001177266,0.001799346,0.001110859,0.002119156,0.000999871,0.001037716,0.001507233,0.000890787,0.001084388,0.001676454,0.389680354,1.037850182,0.081132848,1.507427784,0.117890525,1.217336221,0.06235349,1.881990799,ATP-dependent Clp protease ATP-binding subunit clpA homolog OS=Synechococcus sp. (strain WH7803) OX=32051 GN=clpA PE=3 SV=1
A5GJN9,SynWH7803_0728,10,10,0.000862665,0.000898345,0.000644824,0.000845352,0.000774313,0.000743139,0.00111618,0.000930956,0.001208822,0.000789493,0.000618361,0.001067853,0.000679168,0.001286068,0.0012528,0.000806246,0.001146762,0.00115605,0.000801945,0.000787601,0.001085319,0.000825236,0.001072678,0.001036353,0.421982591,0.982114519,0.103675924,1.353359625,0.194556889,1.299844721,0.158877352,1.255826116,Predicted flavoprotein related to choline dehydrogenase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0728 PE=4 SV=1
A5GPD2,SynWH7803_2371,10,10,0.014504495,0.02699071,0.018702257,0.016657091,0.02434974,0.018821053,0.014261649,0.019934464,0.020029387,0.013399965,0.022238964,0.027328304,0.009902087,0.018631191,0.024234629,0.011250024,0.022893242,0.014602002,0.020065821,0.019942628,0.018075167,0.020989078,0.017589302,0.016248423,0.468705625,0.993860563,0.260030595,0.900793792,0.001053491,0.838021684,0.182313384,0.774137045,50S ribosomal protein L7/L12 OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rplL PE=3 SV=1
P96486,SynWH7803_0678,10,10,0.000965476,0.000688133,0.000787924,0.001065276,0.000926912,0.000773773,0.000697061,0.000444896,0.001002741,0.001726327,0.000963019,0.000465296,0.001155438,0.000777749,0.000472026,0.00074823,0.00046925,0.001005264,0.000813845,0.000921987,0.000714899,0.001051547,0.000801738,0.000740914,0.138655466,1.132878605,0.296529542,0.878422306,0.139572948,0.76243614,0.279764745,0.704594446,Ribulose bisphosphate carboxylase large chain OS=Synechococcus sp. (strain WH7803) OX=32051 GN=cbbL PE=3 SV=1
