Table S5. List of Synechococcus 7002 genes displaying ≥2-fold change in relative mRNA abundance in HCO3-- grown co-cultures  (compared to the axenic control),,,,,,,,,,,,,
,,,,,,,,,,,,,
 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon
SYNPCC7002_A0251,,111.14,74.04,42.38,0.67,0.38,0.57,ferredoxin-like protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A0303,chaB,6.47,38.3,21.98,5.88,3.45,0.57,conserved hypothetical protein ChaB,Unknown function,General,,Inner Membrane (2 transmembrane span),
SYNPCC7002_A0922,,91.18,413.61,235.45,4.55,2.56,0.57,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_G0135,,145.67,38.3,21.98,0.26,0.15,0.57,protein of unknown function DUF942 thioredoxin-like,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A2347,chlL,235.23,84.25,48.66,0.36,0.21,0.58,light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein ChlL,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,Fur
SYNPCC7002_A1877,,7.01,142.98,83.19,20.00,12.50,0.58,bacteriophage holin,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage,Inner Membrane (2 transmembrane span),
SYNPCC7002_A0227,,22.66,81.7,47.09,3.57,2.08,0.58,monovalent cation:proton antiporter-1 (CPA1) family,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (13 transmembrane span),
SYNPCC7002_G0096,,306.45,79.15,47.09,0.26,0.15,0.59,AraC family transcriptional regulator,Regulatory functions,DNA interactions,,Cytoplasm,
SYNPCC7002_A0079,,99.27,56.17,32.96,0.56,0.33,0.59,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1982,,37.77,125.1,75.34,3.33,2.00,0.60,MAPEG family membrane protein,Unknown function,General,,Inner Membrane (4 transmembrane span),
SYNPCC7002_G0021,sybE,59.35,2.55,1.57,0.04,0.03,0.61,"1,3-diaminopropane monooxygenase SybE","Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,
SYNPCC7002_G0024,sybB,26.44,5.11,3.14,0.19,0.12,0.61,"L-2,4-diaminobutyrate decarboxylase SybB","Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,
SYNPCC7002_A1147,gshB,7.55,28.08,17.27,3.70,2.27,0.61,glutathione synthetase GshB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Glutathione and analogs,Oxidative stress,Cytoplasm,
SYNPCC7002_A2609,dacD,36.69,12.77,7.85,0.35,0.21,0.61,serine-type D-alanyl-D-alanine carboxypeptidase DacD,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Periplasm,
SYNPCC7002_A1515,,82.55,63.83,39.24,0.78,0.48,0.61,conserved membrane protein in lipolysaccharide biosynthesis locus,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Inner Membrane (10 transmembrane span),
SYNPCC7002_A1669,,10.79,7.66,4.71,0.71,0.44,0.61,toxin-antitoxin system HicB family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_G0085,,32.37,10.21,6.28,0.32,0.19,0.61,toxin-antitoxin system PemK family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A0197,hoxU,40.46,22.98,14.13,0.57,0.35,0.61,NAD-reducing hydrogenase subunit HoxU,Energy metabolism,Electron transport,Electron transfer - hydrogenase,Cytoplasm,
SYNPCC7002_A0725,ctaEII,22.12,15.32,9.42,0.69,0.43,0.61,heme-copper quinol oxidase small subunit (subunit III) CtaEII,Energy metabolism,Electron transport,Oxidative phosphorylation,Inner Membrane (3 transmembrane span),
SYNPCC7002_A1442,,7.55,5.11,3.14,0.68,0.41,0.61,putative dihydropyrimidine dehydrogenase [NADP+] similar to dihydroorotate dehydrogenase,Energy metabolism,Pyruvate dehydrogenase,,Cytoplasm,
SYNPCC7002_A1459,zwf,89.56,28.08,17.27,0.31,0.19,0.61,glucose-6-phosphate 1-dehydrogenase Zwf,Energy metabolism,Pentose phosphate pathway,,Cytoplasm,
SYNPCC7002_A0052,accB,57.73,45.96,28.25,0.79,0.49,0.61,acetyl-CoA carboxylase biotin carboxyl carrier protein AccB,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,
SYNPCC7002_G0027,,5.93,2.55,1.57,0.43,0.26,0.61,phage integrase family protein,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,
SYNPCC7002_A0763,,8.63,30.64,18.84,3.57,2.17,0.61,family S33 unassigned peptidase,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SYNPCC7002_A0903,trmB,10.25,33.19,20.41,3.23,2.00,0.61,tRNA (guanine-N(7)-)-methyltransferase TrmB,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A1200,queA,7.01,30.64,18.84,4.35,2.70,0.61,S-adenosylmethionine:tRNA ribosyltransferase-isomerase QueA,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A1653,fmt,38.85,30.64,18.84,0.79,0.49,0.61,methionyl-tRNA formyltransferase Fmt,Protein synthesis,tRNA aminoacylation,,Cytoplasm,
SYNPCC7002_A1232,cysR,7.01,5.11,3.14,0.73,0.45,0.61,Fnr-Crp family transcriptional regulator CysR,Regulatory functions,DNA interactions,Phosphate homeostasis,Cytoplasm,SphR
SYNPCC7002_A0289,kaiA,30.75,15.32,9.42,0.50,0.31,0.61,circadian clock protein KaiA,Signal transduction,General,Circadian clock,Cytoplasm,
SYNPCC7002_A0920,kaiB,13.49,10.21,6.28,0.76,0.47,0.61,circadian clock protein KaiB,Signal transduction,General,Circadian clock,Cytoplasm,
SYNPCC7002_A0486,rpaB,2.7,15.32,9.42,5.56,3.45,0.61,two component signal transduction system response regulator RpaB,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A0834,hepN,7.55,5.11,3.14,0.68,0.41,0.61,two component signal transduction system histidine kinase,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A1110,,21.58,2.55,1.57,0.12,0.07,0.61,two component signal transduction system response regulator,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_G0089,,148.37,38.3,23.54,0.26,0.16,0.61,periplasmic MORN repeat-containing protein,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Periplasm,Fur
SYNPCC7002_G0100,,5.4,2.55,1.57,0.47,0.29,0.61,ABC-type siderophore uptake system permease and ATPase components,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane (6 transmembrane span),
SYNPCC7002_G0138,schT,196.93,20.43,12.56,0.10,0.06,0.61,TonB-dependent hydroxamate siderophore receptor SchT,Transport and binding proteins,Porins and secretins,Iron homeostasis,Outer Membrane,Fur
SYNPCC7002_G0054,kdpD,7.01,2.55,1.57,0.36,0.22,0.61,high affinity ATP-driven K+ transport system subunit D KdpD,Transport and binding proteins,Cations and iron carrying compounds,Potassium homeostasis,Cytoplasm,
SYNPCC7002_A1720,,12.41,7.66,4.71,0.62,0.38,0.61,ABC-2 type export system permease component,Transport and binding proteins,Unknown substrate,,Inner Membrane (6 transmembrane span),
SYNPCC7002_A2846,,12.95,7.66,4.71,0.59,0.36,0.61,major facilitator superfamily permease,Transport and binding proteins,Unknown substrate,,Inner Membrane (12 transmembrane span),
SYNPCC7002_A2868,,2.16,7.66,4.71,3.57,2.17,0.61,sulfoacetate export translocase,Transport and binding proteins,Organic acids,,Inner Membrane (8 transmembrane span),
SYNPCC7002_A1872,,1.62,7.66,4.71,4.76,2.94,0.61,bacteriophage conserved hypothetical protein,Unknown function,General,Bacteriophage,,
SYNPCC7002_A1873,,1.08,5.11,3.14,4.76,2.94,0.61,bacteriophage conserved hypothetical protein,Unknown function,General,Bacteriophage,,
SYNPCC7002_A0085,,2.16,7.66,4.71,3.57,2.17,0.61,short-chain dehydrogenase/reductase,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A0701,,2.16,7.66,4.71,3.57,2.17,0.61,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1450,,32.91,132.76,81.62,4.00,2.50,0.61,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A1550,,5.4,20.43,12.56,3.85,2.33,0.61,alpha/beta hydrolase fold protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A1858,,348.53,229.78,141.27,0.66,0.40,0.61,protein of unknown function DUF3386,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2262,,26.44,20.43,12.56,0.78,0.47,0.61,recombinase family protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2636,,56.65,20.43,12.56,0.36,0.22,0.61,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A2820,,1.08,10.21,6.28,9.09,5.88,0.61,conserved hypothetical membrane protein,Unknown function,General,,Inner Membrane (4 transmembrane span),
SYNPCC7002_F0033,,28.59,22.98,14.13,0.81,0.50,0.61,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_F0107,,5.4,2.55,1.57,0.47,0.29,0.61,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_G0111,,5.93,2.55,1.57,0.43,0.26,0.61,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_G0117,,41.54,25.53,15.7,0.61,0.38,0.61,conserved hypothetical membrane protein,Unknown function,General,,Inner Membrane (5 transmembrane span),
SYNPCC7002_A0934,,24.82,191.48,120.86,7.69,4.76,0.63,outer membrane protein,Unknown function,General,,Outer Membrane,
SYNPCC7002_A1508,,1334.79,531.05,342.19,0.40,0.26,0.64,polysaccharide biosynthesis locus sulfotransferase,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_A1033,rplS,570.82,1922.51,1232.19,3.33,2.17,0.64,50S ribosomal protein L19 RplS,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SYNPCC7002_A1461,rnd2a,11.87,66.38,42.38,5.56,3.57,0.64,RND type export system MFP component Rnd2a,Transport and binding proteins,Unknown substrate,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A0760,ycf66,96.58,393.18,251.15,4.00,2.63,0.64,conserved hypothetical protein YCF66,Unknown function,General,,Inner Membrane (3 transmembrane span),
SYNPCC7002_A2295,,1333.71,834.87,532.12,0.63,0.40,0.64,protein of unknown function DUF805,Unknown function,General,,Inner Membrane (3 transmembrane span),
SYNPCC7002_A2568,,89.02,61.28,39.24,0.69,0.44,0.64,FIG00560029: hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1919,proC,14.03,51.06,32.96,3.70,2.33,0.65,pyrroline-5-carboxylate reductase ProC,Amino acid biosynthesis,Glutamate family,Arginine degradation (L-arginine deiminase pathway),Cytoplasm,
SYNPCC7002_A0196,hoxF,76.61,40.85,26.68,0.53,0.35,0.65,NAD-reducing hydrogenase subunit HoxF,Energy metabolism,Electron transport,Electron transfer - hydrogenase,Cytoplasm,
SYNPCC7002_F0031,,7.55,48.51,31.39,6.25,4.17,0.65,DEAD/H helicase,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,
SYNPCC7002_A0422,aspS,26.98,99.57,64.36,3.70,2.38,0.65,aspartyl-tRNA synthetase AspS,Protein synthesis,tRNA aminoacylation,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A0770,lptA,22.12,120,78.48,5.56,3.57,0.65,ABC-type lipopolysaccharide export porin system periplasmic chaperone LptA,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Lipopolysaccharide export,Periplasm,
SYNPCC7002_A0236,,391.7,250.21,163.25,0.64,0.42,0.65,PD-(D/E)XK family nuclease,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_G0009,,78.23,285.95,185.22,3.70,2.38,0.65,protein of unknown function DUF427,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0210,por,760.19,571.9,376.72,0.75,0.50,0.66,light-dependent protochlorophyllide oxidoreductase Por,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,
SYNPCC7002_A1474,sakR1,20.5,74.04,48.66,3.57,2.38,0.66,methylglyoxal reductase SakR1,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,
SYNPCC7002_F0077,,9.71,35.74,23.54,3.70,2.44,0.66,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0710,glcE,69.6,217.02,144.41,3.13,2.08,0.67,glycolate oxidase subunit FAD binding subunit GlcE,Cellular processes,Detoxification,2-phosphoglycolate recycling/detoxification,Cytoplasm,
SYNPCC7002_A2315,,196.39,104.68,70.63,0.53,0.36,0.67,toxin-antitoxin system Phd family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A2461,,67.98,28.08,18.84,0.41,0.28,0.67,bifunctional diguanylate cyclase/phosphodiesterase with PAS sensory domain and extracellular solute-binding domain,Regulatory functions,Small molecule interactions,c-di-GMP turnover,Inner Membrane (1 transmembrane span),
SYNPCC7002_A0059,,228.22,783.81,522.7,3.45,2.27,0.67,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1951,,184.52,81.7,54.94,0.44,0.30,0.67,FIG01178559: hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_G0129,,21.58,137.87,92.61,6.25,4.35,0.67,phosphoesterase-related protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A0730,cimA,49.64,22.98,15.7,0.46,0.32,0.68,(R)-citramalate synthase CimA,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosynthesis,Cytoplasm,
SYNPCC7002_A2332,c-des,8.63,25.53,17.27,2.94,2.00,0.68,PLP-dependent L-cyst(e)ine lyase C-DES,"Biosynthesis of cofactors, prosthetic groups, and carriers",Iron sulfur clusters,FeS cluster biogenesis and repair,Cytoplasm,
SYNPCC7002_A0986,pntA,396.55,285.95,193.07,0.72,0.49,0.68,nicotinamide nucleotide transhydrogenase alpha chain part 1 PntA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A0082,,48.02,22.98,15.7,0.48,0.33,0.68,putative pencillin-resistant DD-carboxypeptidase,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Periplasm,
SYNPCC7002_A2405,cphA,17.26,51.06,34.53,2.94,2.00,0.68,cyanophycin synthetase CphA,Cellular processes,Biosynthesis of natural products,Nitrogen assimilation and storage - cyanophycin biosynthesis,Cytoplasm,
SYNPCC7002_A0172,ndhF3,126.25,416.16,280.97,3.33,2.22,0.68,proton-translocating NADH-quinone dehydrogenase subunit 5 NdhF,Energy metabolism,CO2 fixation,CO2 fixation,Thylakoid Membrane (16 transmembrane spans),CcmR
SYNPCC7002_A0331,,41,25.53,17.27,0.62,0.42,0.68,protein of unknown function DUF1818,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0412,,570.28,370.2,252.72,0.65,0.44,0.68,nucleotidyltransferase family protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A2382,,8.63,25.53,17.27,2.94,2.00,0.68,membrane protein of unknown function DUF140,Unknown function,General,,Inner Membrane (5 transmembrane span),
SYNPCC7002_A2849,,25.36,99.57,67.5,4.00,2.63,0.68,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_E0014,,23.2,97.02,65.93,4.17,2.86,0.68,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2831,,7.01,20.43,14.13,2.94,2.00,0.69,coproporphyrinogen III oxidase HemN-like,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme biosynthesis,Cytoplasm,
SYNPCC7002_A0757,recO,9.17,43.4,29.82,4.76,3.23,0.69,DNA recombination and repair protein RecO,DNA metabolism,"DNA replication, recombination, and repair",Double strand breaks repair,Cytoplasm,
SYNPCC7002_A0254,pgmB,37.77,20.43,14.13,0.54,0.37,0.69,haloacid dehalogenase superfamily enzyme,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A0312,,707.32,168.51,116.16,0.24,0.16,0.69,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0562,trpA,18.34,53.62,37.67,2.94,2.04,0.70,tryptophan synthase alpha subunit TrpA,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,TrpR
SYNPCC7002_A1561,cobP,5.93,17.87,12.56,3.03,2.13,0.70,bifunctional adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase CobP,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A2530,panD,70.68,38.3,26.68,0.54,0.38,0.70,aspartate 1-decarboxylase PanD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pantothenate and coenzyme A,Pantothenate (B5) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A0835,hdrB,288.11,158.29,111.45,0.55,0.39,0.70,succinate dehydrogenase subunit SdhC,Energy metabolism,Electron transport,Oxidative phosphorylation,Cytoplasm,
SYNPCC7002_A2587,,85.78,53.62,37.67,0.63,0.44,0.70,bifunctional diguanylate cyclase/phosphodiesterase with PAS sensory domain,Regulatory functions,Small molecule interactions,c-di-GMP turnover,Inner Membrane (2 transmembrane span),
SYNPCC7002_A1723,,55.57,35.74,25.11,0.65,0.45,0.70,ABC-type efflux pump membrane fusion component,Transport and binding proteins,Unknown substrate,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A0013,,359.33,229.78,160.11,0.64,0.45,0.70,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0291,,12.41,35.74,25.11,2.86,2.04,0.70,PEP-utilizing protein,Unknown function,Enzymes of unknown specificity,,Inner Membrane (4 transmembrane span),
SYNPCC7002_A0394,,11.33,38.3,26.68,3.33,2.38,0.70,adenine nucleotide alpha hydrolase TIGR00268 family,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A1163,ctaD,64.74,33.19,23.54,0.51,0.36,0.71,heme-copper quinol oxidase large subunit (subunit I) CtaD,Energy metabolism,Electron transport,Oxidative phosphorylation,Inner Membrane (12 transmembrane span),
SYNPCC7002_A0200,hoxH,31.83,15.32,10.99,0.48,0.34,0.72,NAD-reducing hydrogenase subunit HoxH,Energy metabolism,Electron transport,Electron transfer - hydrogenase,Cytoplasm,
SYNPCC7002_A0655,pdhB,49.64,148.08,106.74,2.94,2.13,0.72,pyruvate dehydrogenase E1 component beta subunit PdhB,Energy metabolism,Pyruvate dehydrogenase,,Cytoplasm,
SYNPCC7002_A1887,,36.15,104.68,75.34,2.86,2.08,0.72,bacteriophage hypothetical protein,Unknown function,General,Bacteriophage,Cytoplasm,
SYNPCC7002_A1327,,24.28,15.32,10.99,0.63,0.45,0.72,protein of unknown function DUF1814,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1852,,87.4,311.48,224.46,3.57,2.56,0.72,protein of unknown function DUF309,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2055,,25.36,71.49,51.8,2.86,2.04,0.72,protein of unknown function DUF924,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2519,,21.58,74.04,53.37,3.45,2.50,0.72,bifunctional sterol desaturase/short chain dehydrogenase,Unknown function,Enzymes of unknown specificity,,Inner Membrane (3 transmembrane span),
SYNPCC7002_A0528,cbiC2,205.02,120,87.9,0.58,0.43,0.73,precorrin isomerase precorrin-8X methylmutase CbiC2,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A2135,,282.17,150.63,109.88,0.53,0.39,0.73,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,
SYNPCC7002_F0087,,91.72,53.62,39.24,0.58,0.43,0.73,protein of unknown function DUF1044,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1998,,25.9,12.77,9.42,0.49,0.36,0.74,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A2542,rnc,7.55,25.53,18.84,3.33,2.50,0.74,ribonuclease III Rnc,Transcription,RNA processing,Ribosome biogenesis,Cytoplasm,
SYNPCC7002_A1927,,25.9,122.55,91.04,4.76,3.57,0.74,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2834,,97.11,61.28,45.52,0.63,0.47,0.74,conserved hypothetical protein with C-terminal domain common to Mo-dependent nitrogenases,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2065,iscA,321.02,165.95,124,0.52,0.39,0.75,iron-sulfur cluster assembly iron binding protein IscA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Iron sulfur clusters,FeS cluster biogenesis and repair,Cytoplasm,
SYNPCC7002_A2714,coaE,18.88,316.59,237.02,16.67,12.50,0.75,dephospho-CoA kinase CoaE,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pantothenate and coenzyme A,Pantothenate (B5) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_F0101,,123.01,68.93,51.8,0.56,0.42,0.75,toxin-antitoxin system Xre family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A0886,fruK,57.19,35.74,26.68,0.63,0.47,0.75,fructokinase FruK,Central intermediary metabolism,Sugars,Fructose and mannose metabolism,Cytoplasm,
SYNPCC7002_G0059,kdpB,1.62,58.72,43.95,33.33,25.00,0.75,high affinity ATP-driven K+ transport system subunit B KdpB,Transport and binding proteins,Cations and iron carrying compounds,Potassium homeostasis,Inner Membrane (7 transmembrane span),
SYNPCC7002_A1360,,694.91,426.37,318.64,0.61,0.46,0.75,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A1439,pcp,37.23,107.23,81.62,2.86,2.17,0.76,pyrrolidone-carboxylate peptidase Pcp,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SYNPCC7002_A1148,,11.87,43.4,32.96,3.70,2.78,0.76,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1160,ctaB,83.63,40.85,31.39,0.49,0.38,0.77,heme O synthase protoheme IX farnesyltransferase CtaB,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme biosynthesis,Inner Membrane (6 transmembrane span),
SYNPCC7002_A1291,isiB,230.38,10.21,7.85,0.04,0.03,0.77,iron-stress flavodoxin IsiB,Energy metabolism,Electron transport,Photosystem I,Cytoplasm,PerR
SYNPCC7002_A1292,isiA,325.87,10.21,7.85,0.03,0.02,0.77,iron starvation-induced chlorophyll a(b) binding protein IsiA,Energy metabolism,Photosynthesis,Photosystem I,Thylakoid Membrane (7 transmembrane spans),PerR
SYNPCC7002_A2569,sdhA,100.35,61.28,47.09,0.61,0.47,0.77,succinate dehydrogenase flavoprotein subunit SdhA,Energy metabolism,TCA cycle,,Cytoplasm,
SYNPCC7002_A2148,oppB,7.01,20.43,15.7,2.94,2.22,0.77,ABC-type oligopeptide uptake system permease component OppB,Transport and binding proteins,"Amino acids, peptides and amines",Amino acid utilization,Inner Membrane (6 transmembrane span),
SYNPCC7002_A2414,,37.77,20.43,15.7,0.54,0.41,0.77,protein with domain of unknown function DUF2325,Unknown function,General,,Cytoplasm,
SYNPCC7002_E0003,,11.87,127.66,98.89,11.11,8.33,0.77,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0105,murC,41,107.23,83.19,2.63,2.04,0.78,UDP-N-acetylmuramate-L-alanine ligase MurC,Amino acid biosynthesis,Glutamate family,D-glutamine/D-glutamate metabolism,Inner Membrane (1 transmembrane span),
SYNPCC7002_A2345,chlN,77.15,28.08,21.98,0.36,0.28,0.78,light-independent protochlorophyllide reductase subunit N ChlN,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,Fur
SYNPCC7002_A1507,,489.35,196.59,153.83,0.40,0.31,0.78,polysaccharide pyruvyl transferase,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_A0967,,44.78,28.08,21.98,0.63,0.49,0.78,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,
SYNPCC7002_G0144,atpDN,109.52,58.72,45.52,0.53,0.41,0.78,N-type Na+ translocating ATPase F1 complex beta subunit AtpDN,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Cytoplasm,
SYNPCC7002_A2182,,5.93,28.08,21.98,4.76,3.70,0.78,ABC-2 type transport system permease component,Transport and binding proteins,Unknown substrate,,Inner Membrane (6 transmembrane span),
SYNPCC7002_A0219,,57.73,148.08,116.16,2.56,2.00,0.78,lipoprotein of unknown function DUF192,Unknown function,General,,Inner Membrane Lipoprotein,
SYNPCC7002_A2624,,29.13,165.95,128.71,5.56,4.35,0.78,hypothetical lipoprotein,Unknown function,General,,Inner Membrane Lipoprotein,
SYNPCC7002_A2354,leuB,7.01,17.87,14.13,2.56,2.00,0.79,3-isopropylmalate dehydrogenase LeuB,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosynthesis,Cytoplasm,
SYNPCC7002_A2025,,12.41,35.74,28.25,2.86,2.27,0.79,carboxysome structural protein,Cellular structures and extracellular matrix,Microcompartments,CO2 fixation,Carboxysome,
SYNPCC7002_A1170,trmE,32.91,89.36,70.63,2.70,2.13,0.79,tRNA modification GTPase TrmE,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A1007,ygjD,7.01,17.87,14.13,2.56,2.00,0.79,tRNA threonylcarbamoyl adenosine modification protein YgjD,Protein synthesis,tRNA and rRNA base modification,,Cytoplasm,
SYNPCC7002_A2653,purB,47.48,127.66,100.46,2.70,2.13,0.79,adenylosuccinate lyase PurB,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,,Cytoplasm,
SYNPCC7002_A1734,mntA,14.03,35.74,28.25,2.56,2.00,0.79,ABC-type Zn/Mn uptake system ATPase component MntA,Transport and binding proteins,Cations and iron carrying compounds,,Cytoplasm,
SYNPCC7002_A1793,,19.96,89.36,70.63,4.55,3.57,0.79,major facilitator transporter,Transport and binding proteins,Unknown substrate,,Inner Membrane (12 transmembrane span),
