Table S5. List of Synechococcus 7002 genes displaying ≥2-fold change in relative mRNA abundance in HCO3-- grown co-cultures  (compared to the axenic control),,,,,,,,,,,,,
,,,,,,,,,,,,,
 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon
SYNPCC7002_A2869,,62.59,635.73,155.4,10.00,2.50,0.24,two component signal transduction system response regulator with diguanylate cyclase/phosphodiesterase activity,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A0754,,426.77,8088.32,2028.01,20.00,4.76,0.25,protein of unknown function DUF448,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2130,,31.29,255.31,65.93,8.33,2.13,0.26,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0449,,36.69,63.83,17.27,1.75,0.47,0.27,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,
SYNPCC7002_A1884,,33.45,22.98,6.28,0.68,0.19,0.27,bacteriophage hypothetical protein,Unknown function,General,Bacteriophage,Cytoplasm,
SYNPCC7002_A0304,,8.63,372.76,98.89,50.00,11.11,0.27,apolipophorin family protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0473,,15.11,257.87,69.07,16.67,4.55,0.27,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_F0104,,144.05,199.14,56.51,1.39,0.39,0.28,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1142,,36.15,285.95,86.33,7.69,2.38,0.30,sodium-coupled permease,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (13 transmembrane span),
SYNPCC7002_A2491,,5.93,5.11,1.57,0.86,0.26,0.31,putative HD superfamily hydrolase of NAD metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_F0009,chpB,2.16,30.64,9.42,14.29,4.35,0.31,toxin-antitoxin system PemK family single-stranded RNA nuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A2762,,21.04,148.08,45.52,7.14,2.17,0.31,ribosome-associated protein YbcJ,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome biogenesis,Cytoplasm,
SYNPCC7002_A0590,arsR,4.32,5.11,1.57,1.18,0.36,0.31,transcriptional regulator of arsenate resistance ArsR,Regulatory functions,DNA interactions,Detoxification - arsenate,Cytoplasm,ArsR
SYNPCC7002_G0158,,14.03,10.21,3.14,0.73,0.22,0.31,two component signal transduction system response regulator,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A1223,,9.71,5.11,1.57,0.53,0.16,0.31,protein of unknown function DUF985,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2850,,3.24,5.11,1.57,1.59,0.49,0.31,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2872,,9.17,10.21,3.14,1.11,0.34,0.31,von Willebrand factor type A domain-containing protein,Unknown function,General,,Periplasm,
SYNPCC7002_F0034,,19.42,25.53,7.85,1.32,0.40,0.31,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_F0095,,10.79,15.32,4.71,1.43,0.44,0.31,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0271,arcA,16.19,127.66,40.81,7.69,2.50,0.32,L-arginine deiminase ArcA,Central intermediary metabolism,Amino acids and amines,Arginine degradation (L-arginine deiminase pathway),Cytoplasm,
SYNPCC7002_A2477,,54.49,750.62,237.02,14.29,4.35,0.32,diguanylate cyclase,Regulatory functions,Small molecule interactions,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A1666,,259.51,14815.83,4833,50.00,20.00,0.33,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,
SYNPCC7002_A0039,,9.71,120,39.24,12.50,4.00,0.33,phenazine biosynthetic protein PhzF homolog,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2713,,174.27,219.57,72.2,1.27,0.41,0.33,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0070,fabZ,3.78,28.08,9.42,7.69,2.50,0.34,beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,
SYNPCC7002_G0025,sybA,40.46,17.87,6.28,0.44,0.16,0.35,diaminobutyrate-2-oxoglutarate aminotransferase SybA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,
SYNPCC7002_F0089,,179.66,255.31,89.47,1.43,0.50,0.35,Type I restriction modification system N-6 DNA methylase,DNA metabolism,Restriction/modification,,Cytoplasm,
SYNPCC7002_A2666,,5.4,89.36,31.39,16.67,5.88,0.35,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_F0065,,776.38,1003.38,353.17,1.30,0.45,0.35,TPR repeat-containing protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0587,rnd3b,70.14,1003.38,365.73,14.29,5.26,0.36,RND-type export system permease component heavy metal efflux (HME) family Rnd3b,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (12 transmembrane span),
SYNPCC7002_A2829,,116.54,117.44,42.38,1.01,0.36,0.36,putative lipoprotein,Unknown function,General,,Inner Membrane Lipoprotein,
SYNPCC7002_A1765,,2.16,12.77,4.71,5.88,2.17,0.37,protein of unknown function DUF3285,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A1224,,231.46,45.96,17.27,0.20,0.07,0.38,two component signal transduction system response regulator,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A2799,pcxA,18.34,102.13,39.24,5.56,2.13,0.38,light-induced Na+-dependent proton extrusion protein PcxA,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (4 transmembrane span),
SYNPCC7002_A0779,,46.4,53.62,20.41,1.15,0.44,0.38,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2169,,28.59,20.43,7.85,0.71,0.27,0.38,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2600,cheW,8.63,48.51,18.84,5.56,2.17,0.39,chemotaxis adaptor protein CheW,Cellular processes,Chemotaxis and motility,,Cytoplasm,
SYNPCC7002_G0148,atpBN,41,28.08,10.99,0.68,0.27,0.39,N-type Na+ translocating ATPase F0 complex subunit A AtpBN,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Inner Membrane (5 transmembrane span),
SYNPCC7002_A0201,hoxW,37.23,28.08,10.99,0.75,0.29,0.39,NAD-reducing hydrogenase maturation factor HoxW,Protein fate,Protein modification and repair,NiFe hydrogenase,Cytoplasm,
SYNPCC7002_A0845,,28.59,28.08,10.99,0.98,0.38,0.39,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
