 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,resolved_locus_tag,resolution_method
SYNPCC7002_A1021,lptG,12.41,28.08,12.56,2.27,1.01,0.45,ABC-type lipopolysaccharide export system permease component LptG,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Lipopolysaccharide export,Inner Membrane (6 transmembrane span),,SYNPCC7002_A1021,locus_tag: Locus tag
SYNPCC7002_A0069,lpxA,7.55,35.74,15.7,4.76,2.08,0.44,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase LpxA,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,,SYNPCC7002_A0069,locus_tag: Locus tag
SYNPCC7002_A0068,lpxB,6.47,2.55,10.99,0.39,1.69,4.3,lipid A disaccharide synthase LpxB,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,,SYNPCC7002_A0068,locus_tag: Locus tag
SYNPCC7002_A1267,lysC,5.93,2.55,7.85,0.43,1.32,3.07,aspartate kinase LysC,Amino acid biosynthesis,Aspartate family,Lysine biosynthesis,Cytoplasm,,SYNPCC7002_A1267,locus_tag: Locus tag
SYNPCC7002_A0448,maeB,8.63,51.06,25.11,5.88,2.94,0.49,decarboxylating NADP-dependent malic enzyme MaeB,Energy metabolism,Pyruvate dehydrogenase,Pyruvate dehydrogenase anaplerotic reactions,Cytoplasm,,SYNPCC7002_A0448,locus_tag: Locus tag
SYNPCC7002_A2343,map,33.45,5.11,25.11,0.15,0.75,4.92,methionine aminopeptidase Map,Protein fate,Protein modification and repair,,Cytoplasm,,SYNPCC7002_A2343,locus_tag: Locus tag
SYNPCC7002_A2642,menC,8.09,0.12,6.28,0.02,0.78,51.05,O-succinylbenzoate synthase MenC,"Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Vitamin K (menaquinone) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2642,locus_tag: Locus tag
SYNPCC7002_A1100,menG,16.19,5.11,18.84,0.32,1.16,3.69,"2-heptaprenyl-1,4-naphthoquinone methyltransferase MenG","Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Vitamin K (menaquinone) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A1100,locus_tag: Locus tag
SYNPCC7002_A1594,menH,50.18,22.98,29.82,0.46,0.6,1.3,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH","Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Vitamin K (menaquinone) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A1594,locus_tag: Locus tag
SYNPCC7002_A1714,metK,89.56,40.85,83.19,0.46,0.93,2.04,S-adenosylmethionine synthetase MetK,Central intermediary metabolism,General,Methionine salvage,Cytoplasm,,SYNPCC7002_A1714,locus_tag: Locus tag
SYNPCC7002_A2709,mnmA,28.59,61.28,39.24,2.13,1.37,0.64,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase MnmA,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,,SYNPCC7002_A2709,locus_tag: Locus tag
SYNPCC7002_A1734,mntA,14.03,35.74,28.25,2.56,2.0,0.79,ABC-type Zn/Mn uptake system ATPase component MntA,Transport and binding proteins,Cations and iron carrying compounds,,Cytoplasm,,SYNPCC7002_A1734,locus_tag: Locus tag
SYNPCC7002_A2592,moaD,4.32,0.12,4.71,0.03,1.09,38.28,molybdenum cofactor biosynthesis protein MoaD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Molybdopterin and tungstate,Molybdopterin biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2592,locus_tag: Locus tag
SYNPCC7002_A1690,moaE,5.4,0.12,7.85,0.02,1.45,63.81,molybdenum converting factor subunit 2 MoaE,"Biosynthesis of cofactors, prosthetic groups, and carriers",Molybdopterin and tungstate,Molybdopterin biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A1690,locus_tag: Locus tag
SYNPCC7002_A1370,modA,36.15,15.32,18.84,0.42,0.52,1.23,ABC-type molybdate uptake system substrate-binding component ModA,Transport and binding proteins,Cofactors and prosthetic groups,Molybdopterin biosynthesis and salvage,Inner Membrane Lipoprotein,,SYNPCC7002_A1370,locus_tag: Locus tag
SYNPCC7002_A1607,mraY,9.71,25.53,20.41,2.63,2.08,0.8,phospho-MurNAc-pentapeptide translocase MraY,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Peptidoglycan biosynthesis,Inner Membrane (10 transmembrane span),,SYNPCC7002_A1607,locus_tag: Locus tag
SYNPCC7002_A1525,mreB,40.46,17.87,36.1,0.44,0.89,2.02,rod shape-determining protein MreB,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Chromosome partitioning proteins,Cytoplasm,,SYNPCC7002_A1525,locus_tag: Locus tag
SYNPCC7002_A1526,mreC,25.9,68.93,48.66,2.63,1.89,0.71,rod shape-determining protein MreC,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Chromosome partitioning proteins,Inner Membrane (1 transmembrane span),,SYNPCC7002_A1526,locus_tag: Locus tag
SYNPCC7002_A1527,mreD,21.04,89.36,34.53,4.17,1.64,0.39,rod shape-determining protein MreD,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Chromosome partitioning proteins,Inner Membrane (5 transmembrane span),,SYNPCC7002_A1527,locus_tag: Locus tag
SYNPCC7002_A2376,mrpE,146.21,58.72,109.88,0.4,0.75,1.87,Na+/H+ antiporter complex subunit E MrpE,Transport and binding proteins,Cations and iron carrying compounds,CO2 fixation,Inner Membrane (3 transmembrane span),CcmR,SYNPCC7002_A2376,locus_tag: Locus tag
SYNPCC7002_A1001,mrr,37.77,12.77,15.7,0.34,0.41,1.23,restriction endonuclease Mrr,DNA metabolism,Restriction/modification,,Cytoplasm,,SYNPCC7002_A1001,locus_tag: Locus tag
SYNPCC7002_A0108,mtaP,14.57,0.12,9.42,0.01,0.65,76.57,5'-methylthioadenosine phosphorylase MtaP,Central intermediary metabolism,General,Methionine salvage,Cytoplasm,,SYNPCC7002_A0108,locus_tag: Locus tag
SYNPCC7002_A2308,mtnA,8.09,17.87,17.27,2.22,2.13,0.97,methylthioribose-1-phosphate isomerase MtnA,Amino acid biosynthesis,Aspartate family,Methionine salvage,Cytoplasm,,SYNPCC7002_A2308,locus_tag: Locus tag
SYNPCC7002_A1733,mtrB,26.98,7.66,26.68,0.28,0.99,3.48,ABC-type Zn/Mn uptake system permease component MntB,Transport and binding proteins,Cations and iron carrying compounds,Metal homeostasis,Inner Membrane (8 transmembrane span),,SYNPCC7002_A1733,locus_tag: Locus tag
SYNPCC7002_A0716,mttA,25.9,63.83,34.53,2.44,1.33,0.54,twin-arginine protein translocation system component MttA,Transport and binding proteins,Protein export,Protein export - TAT,Inner Membrane (1 transmembrane span),,SYNPCC7002_A0716,locus_tag: Locus tag
SYNPCC7002_A2229,mttA,38.31,176.17,61.22,4.55,1.59,0.35,twin-arginine protein translocation system component MttA,Transport and binding proteins,Protein export,Protein export - TAT,Inner Membrane (1 transmembrane span),,SYNPCC7002_A2229,locus_tag: Locus tag
SYNPCC7002_A1105,murA,143.51,377.86,269.98,2.63,1.89,0.71,UDP-N-acetylglucosamine 1-carboxyvinyltransferase MurA,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,,Cytoplasm,,SYNPCC7002_A1105,locus_tag: Locus tag
SYNPCC7002_A0105,murC,41.0,107.23,83.19,2.63,2.04,0.78,UDP-N-acetylmuramate-L-alanine ligase MurC,Amino acid biosynthesis,Glutamate family,D-glutamine/D-glutamate metabolism,Inner Membrane (1 transmembrane span),,SYNPCC7002_A0105,locus_tag: Locus tag
SYNPCC7002_A0121,murE,29.67,61.28,50.23,2.08,1.69,0.82,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase MurE",Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Cytoplasm,,SYNPCC7002_A0121,locus_tag: Locus tag
SYNPCC7002_A2693,murF,10.25,40.85,39.24,4.0,3.85,0.96,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase MurF",Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Cytoplasm,Crp,SYNPCC7002_A2693,locus_tag: Locus tag
SYNPCC7002_A2584,murG,5.93,12.77,15.7,2.17,2.63,1.23,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase MurG,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Cytoplasm,,SYNPCC7002_A2584,locus_tag: Locus tag
SYNPCC7002_A0579,murI,79.85,158.29,191.5,2.0,2.38,1.21,glutamate racemase MurI,Amino acid biosynthesis,Glutamate family,D-glutamine/D-glutamate metabolism,Cytoplasm,,SYNPCC7002_A0579,locus_tag: Locus tag
SYNPCC7002_A0134,murJ,3.78,33.19,26.68,9.09,7.14,0.8,peptidoglycan lipid II flippase MurJ,Transport and binding proteins,General,Peptidoglycan biosynthesis,Inner Membrane (13 transmembrane span),,SYNPCC7002_A0134,locus_tag: Locus tag
SYNPCC7002_A1422,murQ,48.56,183.83,105.17,3.85,2.17,0.57,N-acetylmuramic acid-6-phosphate etherase MurQ,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Cytoplasm,,SYNPCC7002_A1422,locus_tag: Locus tag
SYNPCC7002_A0301,nadB,3.78,7.66,6.28,2.04,1.67,0.82,L-aspartate oxidase NadB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Inner Membrane (1 transmembrane span),,SYNPCC7002_A0301,locus_tag: Locus tag
SYNPCC7002_F0006,nadR,24.82,53.62,20.41,2.17,0.82,0.38,bifunctional nicotinamide-nucleotide adenylyltransferase / ribosylnicotinamide kinase NadR,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_F0006,locus_tag: Locus tag
SYNPCC7002_A0006,nanE,2.16,10.21,3.14,4.76,1.45,0.31,N-acetylmannosamine-6-phosphate 2-epimerase NanE,Central intermediary metabolism,Amino sugars,N-acetylneuraminate and N-acetylmannosamine degradation,Cytoplasm,,SYNPCC7002_A0006,locus_tag: Locus tag
SYNPCC7002_A1436,natA,22.66,51.06,36.1,2.27,1.59,0.71,ABC-type neutral amino acid transport system ATPase component NatA,Transport and binding proteins,"Amino acids, peptides and amines",Amino acid utilization,Cytoplasm,,SYNPCC7002_A1436,locus_tag: Locus tag
SYNPCC7002_A2091,natC,18.34,7.66,9.42,0.42,0.51,1.23,ABC-type netural amino acid transport system permease component NatC,Transport and binding proteins,"Amino acids, peptides and amines",Amino acid utilization,Inner Membrane (10 transmembrane span),,SYNPCC7002_A2091,locus_tag: Locus tag
SYNPCC7002_A2566,natD,26.44,66.38,51.8,2.5,1.96,0.78,ABC-type netural amino acid transport system permease protein NatD,Transport and binding proteins,"Amino acids, peptides and amines",Amino acid utilization,Inner Membrane (8 transmembrane span),,SYNPCC7002_A2566,locus_tag: Locus tag
SYNPCC7002_A1821,nblA,23.74,0.12,9.42,0.01,0.4,76.57,phycobilisome degradation protein NblA,Protein fate,General,Phycobilisome,Cytoplasm,,SYNPCC7002_A1821,locus_tag: Locus tag
SYNPCC7002_A2547,ndhB,147.29,321.69,318.64,2.17,2.17,0.99,proton-translocating NADH-quinone dehydrogenase subunit B NdhB,Energy metabolism,Electron transport,Oxidative phosphorylation,Thylakoid Membrane (14 transmembrane spans),,SYNPCC7002_A2547,locus_tag: Locus tag
SYNPCC7002_A2000,ndhD1,183.98,81.7,81.62,0.44,0.44,1.0,proton-translocating NADH-quinone dehydrogenase subunit D1 NdhD1,Energy metabolism,Electron transport,Oxidative phosphorylation,Thylakoid Membrane (13 transmembrane spans),,SYNPCC7002_A2000,locus_tag: Locus tag
SYNPCC7002_A2327,ndhD2,8.63,22.98,29.82,2.63,3.45,1.3,proton-translocating NADH-quinone dehydrogenase subunit D2 NdhD2,Energy metabolism,Electron transport,Oxidative phosphorylation,Thylakoid Membrane (13 transmembrane spans),,SYNPCC7002_A2327,locus_tag: Locus tag
SYNPCC7002_A0172,ndhF3,126.25,416.16,280.97,3.33,2.22,0.68,proton-translocating NADH-quinone dehydrogenase subunit 5 NdhF,Energy metabolism,CO2 fixation,CO2 fixation,Thylakoid Membrane (16 transmembrane spans),CcmR,SYNPCC7002_A0172,locus_tag: Locus tag
SYNPCC7002_A2541,ndhH,240.63,1044.23,569.79,4.35,2.38,0.55,proton-translocating NADH-quinone dehydrogenase subunit H NdhH,Energy metabolism,Electron transport,Oxidative phosphorylation,Cytoplasm,,SYNPCC7002_A2541,locus_tag: Locus tag
SYNPCC7002_A0569,ndhM,71.22,17.87,56.51,0.25,0.79,3.16,electron transfer proton-translocating NADH-quinone dehydrogenase subunit M NdhM,Energy metabolism,Electron transport,Oxidative phosphorylation,Cytoplasm,,SYNPCC7002_A0569,locus_tag: Locus tag
SYNPCC7002_A2094,ndhO,538.45,1927.62,899.42,3.57,1.67,0.47,proton-translocating NADH-quinone dehydrogenase subunit O NdhO,Energy metabolism,Electron transport,Oxidative phosphorylation,Cytoplasm,,SYNPCC7002_A2094,locus_tag: Locus tag
SYNPCC7002_A1591,ndhP,5060.23,1628.9,1590.07,0.32,0.31,0.98,proton-translocating NADH-quinone dehydrogenase subunit P NdhP,Energy metabolism,Electron transport,Oxidative phosphorylation,Thylakoid Membrane (1 transmembrane span),,SYNPCC7002_A1591,locus_tag: Locus tag
SYNPCC7002_A2297,nhaS1,82.01,33.19,32.96,0.4,0.4,0.99,Na+/H+ antiporter NhaS1,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (12 transmembrane span),,SYNPCC7002_A2297,locus_tag: Locus tag
SYNPCC7002_A1443,nifJ,32.91,10.21,10.99,0.31,0.33,1.08,pyruvate:ferredoxin oxidoreductase NifJ,Energy metabolism,Pyruvate dehydrogenase,,Cytoplasm,"Fur, SufR, and NtcA",SYNPCC7002_A1443,locus_tag: Locus tag
SYNPCC7002_A1827,nirA,10.25,30.64,25.11,3.03,2.44,0.82,assimilatory ferredoxin-nitrite reductase NirA,Energy metabolism,Nitrogen metabolism,Nitrogen assimilation,Cytoplasm,NtcA and NtcB,SYNPCC7002_A1827,locus_tag: Locus tag
SYNPCC7002_A2764,nlpD,101.97,204.25,233.88,2.0,2.27,1.15,M23 family aminopeptidase NlpD,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,SYNPCC7002_A2764,locus_tag: Locus tag
SYNPCC7002_A1313,nrtP,9.71,20.43,12.56,2.08,1.3,0.61,high affinity nitrate/nitrite transporter NrtP,Transport and binding proteins,Anions,Nitrogen homeostasis,Inner Membrane (12 transmembrane span),,SYNPCC7002_A1313,locus_tag: Locus tag
SYNPCC7002_D0005,nthT,3.78,7.66,25.11,2.04,6.67,3.28,cobalt transporter NthT,Transport and binding proteins,Cations and iron carrying compounds,Nitrogen assimilation - Aliphatic nitriles,Inner Membrane (6 transmembrane span),,SYNPCC7002_D0005,locus_tag: Locus tag
SYNPCC7002_A0012,nudF,346.92,74.04,97.32,0.21,0.28,1.31,ADP-ribose pyrophosphatase NudF,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,Protection against ADP-ribose accumulation,Cytoplasm,,SYNPCC7002_A0012,locus_tag: Locus tag
SYNPCC7002_A0122,nudF,19.96,191.48,186.79,10.0,9.09,0.98,ADP-ribose pyrophosphatase NudF,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,,Cytoplasm,,SYNPCC7002_A0122,locus_tag: Locus tag
SYNPCC7002_A1458,opcA,38.85,12.77,17.27,0.33,0.44,1.35,allosteric effector of glucose-6-phosphate dehydrogenase OpcA,Protein fate,Protein folding and stabilization,pentose phosphate pathway,Cytoplasm,,SYNPCC7002_A1458,locus_tag: Locus tag
SYNPCC7002_A0825,oppB,5.4,12.77,12.56,2.38,2.33,0.98,ABC-type oligopeptide uptake system permease component OppB,Transport and binding proteins,"Amino acids, peptides and amines",Amino acid utilization,Inner Membrane (5 transmembrane span),,SYNPCC7002_A0825,locus_tag: Locus tag
SYNPCC7002_A2148,oppB,7.01,20.43,15.7,2.94,2.22,0.77,ABC-type oligopeptide uptake system permease component OppB,Transport and binding proteins,"Amino acids, peptides and amines",Amino acid utilization,Inner Membrane (6 transmembrane span),,SYNPCC7002_A2148,locus_tag: Locus tag
SYNPCC7002_A2318,pacS,7.55,0.12,7.85,0.02,1.04,63.81,copper uptake P-type ATPase PacS,Transport and binding proteins,Cations and iron carrying compounds,,Thylakoid Membrane (8 transmembrane spans),,SYNPCC7002_A2318,locus_tag: Locus tag
SYNPCC7002_A1829,panB,6.47,17.87,15.7,2.78,2.44,0.88,3-methyl-2-oxobutanoate hydroxymethyltransferase PanB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pantothenate and coenzyme A,Pantothenate (B5) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A1829,locus_tag: Locus tag
SYNPCC7002_A0432,parA,984.1,411.05,499.15,0.42,0.51,1.21,chromosome partitioning ATPase ParA,Cellular processes,Cell divison,,Cytoplasm,,SYNPCC7002_A0432,locus_tag: Locus tag
SYNPCC7002_D0001,parA,12.95,2.55,6.28,0.2,0.49,2.46,plasmid partitioning protein ParA,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,,SYNPCC7002_D0001,locus_tag: Locus tag
SYNPCC7002_E0001,parA,5.4,2.55,21.98,0.47,4.0,8.61,plasmid partitioning protein ParA,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,,SYNPCC7002_E0001,locus_tag: Locus tag
SYNPCC7002_C0002,parB,11.33,0.12,37.67,0.01,3.33,306.28,plasmid partitioning protein ParB,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,,SYNPCC7002_C0002,locus_tag: Locus tag
SYNPCC7002_G0002,parB,32.91,12.77,21.98,0.39,0.67,1.72,plasmid partitioning protein ParB,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,,SYNPCC7002_G0002,locus_tag: Locus tag
SYNPCC7002_G0104,pchR,61.51,0.12,1.57,0.0,0.03,12.76,transcriptional regulator PchR,Regulatory functions,DNA interactions,Iron homeostasis,Cytoplasm,Fur,SYNPCC7002_G0104,locus_tag: Locus tag
SYNPCC7002_A1495,pcnB,6.47,0.12,3.14,0.02,0.49,25.52,CC-adding tRNA nucleotidyltransferase PcnB,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,,SYNPCC7002_A1495,locus_tag: Locus tag
SYNPCC7002_A1439,pcp,37.23,107.23,81.62,2.86,2.17,0.76,pyrrolidone-carboxylate peptidase Pcp,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,SYNPCC7002_A1439,locus_tag: Locus tag
SYNPCC7002_A2799,pcxA,18.34,102.13,39.24,5.56,2.13,0.38,light-induced Na+-dependent proton extrusion protein PcxA,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (4 transmembrane span),,SYNPCC7002_A2799,locus_tag: Locus tag
SYNPCC7002_A0353,pdhA,62.59,127.66,86.33,2.04,1.39,0.68,pyruvate dehydrogenase E1 component alpha subunit PdhA,Energy metabolism,Pyruvate dehydrogenase,,Cytoplasm,,SYNPCC7002_A0353,locus_tag: Locus tag
SYNPCC7002_A0655,pdhB,49.64,148.08,106.74,2.94,2.13,0.72,pyruvate dehydrogenase E1 component beta subunit PdhB,Energy metabolism,Pyruvate dehydrogenase,,Cytoplasm,,SYNPCC7002_A0655,locus_tag: Locus tag
SYNPCC7002_A2591,pdxH,8.63,61.28,32.96,7.14,3.85,0.54,pyridoxamine 5'-phosphate oxidase PdxH,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridoxine,Pyridoxine (B6) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2591,locus_tag: Locus tag
SYNPCC7002_A0641,pedR,29.67,12.77,37.67,0.43,1.27,2.95,thioredoxin-responsive transcriptional regulator of photosynthesis and carbon fixation PedR,Regulatory functions,DNA interactions,Photosynthesis and CO2 fixation,Cytoplasm,PedR,SYNPCC7002_A0641,locus_tag: Locus tag
SYNPCC7002_A0374,petG,2632.35,1102.95,1765.87,0.42,0.67,1.6,cytochrome b6-f complex subunit V PetG,Energy metabolism,Photosynthesis,Cytochrome b6/f complex,Thylakoid Membrane (1 transmembrane span),,SYNPCC7002_A0374,locus_tag: Locus tag
SYNPCC7002_A0853,petH,159.7,71.49,119.29,0.45,0.75,1.67,ferredoxin--NADP+ reductase PetH,Energy metabolism,Photosynthesis,,Cytoplasm,,SYNPCC7002_A0853,locus_tag: Locus tag
SYNPCC7002_A1311,petM,2005.96,822.11,1422.12,0.41,0.71,1.73,cytochrome b6-f complex subunit VII PetM,Energy metabolism,Photosynthesis,Cytochrome b6/f complex,Thylakoid Membrane (1 transmembrane span),,SYNPCC7002_A1311,locus_tag: Locus tag
SYNPCC7002_A0188,pfrB,25.9,68.93,48.66,2.63,1.89,0.71,peptide chain release factor 2 PrfB,Protein synthesis,Translation factors,Release factors,Cytoplasm,,SYNPCC7002_A0188,locus_tag: Locus tag
SYNPCC7002_A0521,pgpB,7.55,38.3,10.99,5.0,1.45,0.29,integral membrane phosphatidylglycerophosphatase PgpB,Fatty acid and phospholipid metabolism,Biosynthesis,Phosphatidylglycerol biosynthesis,Inner Membrane (6 transmembrane span),,SYNPCC7002_A0521,locus_tag: Locus tag
SYNPCC7002_A2404,pheA,27.52,12.77,29.82,0.46,1.09,2.34,prephenate dehydratase PheA,Amino acid biosynthesis,Aromatic amino acid family,Aromatic amino acid biosynthesis,Cytoplasm,,SYNPCC7002_A2404,locus_tag: Locus tag
SYNPCC7002_A0713,phnC,7.01,22.98,10.99,3.23,1.56,0.48,phosphonate ABC transport system ATPase component PhnC,Transport and binding proteins,Oxoanions,Phosphate homeostasis,Cytoplasm,,SYNPCC7002_A0713,locus_tag: Locus tag
SYNPCC7002_A0759,phnE,2.16,10.21,4.71,4.76,2.17,0.46,ABC-type phosphonate uptake system permease component PhnE,Transport and binding proteins,Anions,Phosphate homeostasis,Inner Membrane (11 transmembrane span),,SYNPCC7002_A0759,locus_tag: Locus tag
SYNPCC7002_G0142,phnE,20.5,7.66,9.42,0.37,0.46,1.23,ABC-type phosphonate uptake system permease component PhnE,Transport and binding proteins,Anions,Phosphate homeostasis,Inner Membrane (6 transmembrane span),,SYNPCC7002_G0142,locus_tag: Locus tag
SYNPCC7002_A2352,phoA,6.47,43.4,34.53,6.67,5.26,0.8,alkaline phosphatase PhoA,Protein fate,"Degradation of proteins, peptides, and glycopeptides",Phosphate homeostasis,Periplasm,SphR,SYNPCC7002_A2352,locus_tag: Locus tag
SYNPCC7002_A0893,phoX,0.54,5.11,4.71,9.09,9.09,0.92,Ca-dependent alkaline phosphatase PhoX,Central intermediary metabolism,Phosphorus compounds,Phosphorus metabolism ,Periplasm,,SYNPCC7002_A0893,locus_tag: Locus tag
SYNPCC7002_A2796,phrA,10.79,74.04,20.41,6.67,1.89,0.28,FAD-dependent deoxyribopyrimidine photolyase PhrA,DNA metabolism,"DNA replication, recombination, and repair",Single strand breaks repair,Cytoplasm,,SYNPCC7002_A2796,locus_tag: Locus tag
SYNPCC7002_A2804,pilA,13224.89,5062.86,16018.44,0.38,1.2,3.16,type IV pilin PilA,Cell envelope,Surface structures,Type IV pilus,Surface structure,,SYNPCC7002_A2804,locus_tag: Locus tag
SYNPCC7002_A1601,pilA5,674.95,148.08,271.55,0.22,0.4,1.83,type IV pilin protein PilA5,Cell envelope,Surface structures,Type IV pilus,surface structure,,SYNPCC7002_A1601,locus_tag: Locus tag
SYNPCC7002_A2634,pilI,17.26,53.62,28.25,3.13,1.64,0.53,type IV pilus biogenesis protein PilI,Transport and binding proteins,Secretion systems,Type IV pilus,Inner Membrane (6 transmembrane span),,SYNPCC7002_A2634,locus_tag: Locus tag
SYNPCC7002_A0697,pilT,51.79,25.53,34.53,0.49,0.67,1.35,pilin retraction protein PilT,Transport and binding proteins,Secretion systems,Gliding motility,Cytoplasm,,SYNPCC7002_A0697,locus_tag: Locus tag
SYNPCC7002_A0899,pip,46.4,20.43,21.98,0.44,0.47,1.08,prolyl aminopeptidase Pip,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,SYNPCC7002_A0899,locus_tag: Locus tag
SYNPCC7002_A2534,pixG,35.61,15.32,12.56,0.43,0.35,0.82,light-responsive two component signal transduction system response regulator PixG,Signal transduction,Two-component systems,Phototaxis,Cytoplasm,,SYNPCC7002_A2534,locus_tag: Locus tag
SYNPCC7002_A0047,pixI,268.68,625.52,640.42,2.33,2.38,1.02,positive phototaxis adaptor protein PixI,Signal transduction,Taxis,Phototaxis,Cytoplasm,,SYNPCC7002_A0047,locus_tag: Locus tag
SYNPCC7002_A1400,plqA,16.19,7.66,7.85,0.47,0.49,1.02,4-hydroxybenzoate solanesyltransferase PlqA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Plastoquinone biosynthesis,Inner Membrane (9 transmembrane span),,SYNPCC7002_A1400,locus_tag: Locus tag
SYNPCC7002_A1657,pma1,7.55,35.74,18.84,4.76,2.5,0.53,calcium export P-type ATPase Pma1,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (10 transmembrane span),,SYNPCC7002_A1657,locus_tag: Locus tag
SYNPCC7002_A0508,pncB,2.7,7.66,4.71,2.86,1.75,0.61,nicotinate phosphoribosyltransferase PcnB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Cytoplasm,NrtR2,SYNPCC7002_A0508,locus_tag: Locus tag
SYNPCC7002_A2525,pncC,10.79,28.08,18.84,2.63,1.75,0.67,nicotinamide-nucleotide amidase PncC,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2525,locus_tag: Locus tag
SYNPCC7002_A0985,pntC,219.05,61.28,53.37,0.28,0.24,0.87,nicotinamide nucleotide transhydrogenase alpha chain part 2 PntC,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Inner Membrane (2 transmembrane span),,SYNPCC7002_A0985,locus_tag: Locus tag
SYNPCC7002_G0011,porB,74.99,285.95,301.38,3.85,4.0,1.05,low-CO2 inducible bicarbonate porin PorB,Transport and binding proteins,Porins and secretins,CO2 fixation,Outer Membrane,CcmR,SYNPCC7002_G0011,locus_tag: Locus tag
SYNPCC7002_A1092,ppib,107.37,43.4,81.62,0.4,0.76,1.88,periplasmic peptidyl-prolyl cis-trans isomerase B cyclophilin type PpiB,Protein fate,Protein folding and stabilization,,Periplasm,,SYNPCC7002_A1092,locus_tag: Locus tag
