 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,resolved_locus_tag,resolution_method
SYNPCC7002_A0824,ansA1,4.86,12.77,4.71,2.63,0.97,0.37,L-asparagine amidopeptidase AnsA1,Central intermediary metabolism,Amino acids and amines,Aspartate degradation,Cytoplasm,,SYNPCC7002_A0824,locus_tag: Locus tag
SYNPCC7002_A1930,apcA,5870.59,2399.94,3621.22,0.41,0.62,1.51,allophycocyanin subunit alpha ApcA,Energy metabolism,Photosynthesis,"Photosynthesis - antenna, phycobilisome",Cytoplasm,,SYNPCC7002_A1930,locus_tag: Locus tag
SYNPCC7002_A1929,apcB,7202.15,2892.7,3960.27,0.4,0.55,1.37,allophycocyanin subunit beta ApcB,Energy metabolism,Photosynthesis,"Photosynthesis - antenna, phycobilisome",Cytoplasm,,SYNPCC7002_A1929,locus_tag: Locus tag
SYNPCC7002_A2428,apqZ,52.87,204.25,67.5,3.85,1.28,0.33,aquaporin Z ApqZ,Transport and binding proteins,Unknown substrate,,Inner Membrane (6 transmembrane span),,SYNPCC7002_A2428,locus_tag: Locus tag
SYNPCC7002_A1188,aquIB,69.06,145.53,67.5,2.13,0.98,0.46,cytosine-specific methyltransferase beta subunit AquIB,DNA metabolism,Restriction/modification,,Cytoplasm,,SYNPCC7002_A1188,locus_tag: Locus tag
SYNPCC7002_A0271,arcA,16.19,127.66,40.81,7.69,2.5,0.32,L-arginine deiminase ArcA,Central intermediary metabolism,Amino acids and amines,Arginine degradation (L-arginine deiminase pathway),Cytoplasm,,SYNPCC7002_A0271,locus_tag: Locus tag
SYNPCC7002_A2102,argC,37.77,10.21,34.53,0.27,0.92,3.38,N-acetyl-gamma-glutamyl-phosphate reductase ArgC,Amino acid biosynthesis,Glutamate family,Arginine biosynthesis,Cytoplasm,,SYNPCC7002_A2102,locus_tag: Locus tag
SYNPCC7002_A1130,argJ,18.34,51.06,34.53,2.78,1.89,0.68,bifunctional ornithine acetyltransferase / N-acetylglutamate synthase protein ArgJ,Amino acid biosynthesis,Glutamate family,Arginine biosynthesis,Cytoplasm,,SYNPCC7002_A1130,locus_tag: Locus tag
SYNPCC7002_A0169,aroA,11.33,22.98,15.7,2.04,1.39,0.68,5-enolpyruvylshikimate-3-phosphate synthase AroA,Amino acid biosynthesis,Aromatic amino acid family,Chorismate biosynthesis,Cytoplasm,,SYNPCC7002_A0169,locus_tag: Locus tag
SYNPCC7002_A1730,aroE,4.32,10.21,10.99,2.38,2.56,1.08,shikimate 5-dehydrogenase AroE,Amino acid biosynthesis,Aromatic amino acid family,Aromatic amino acid biosynthesis,Cytoplasm,,SYNPCC7002_A1730,locus_tag: Locus tag
SYNPCC7002_A2517,aroK,18.88,56.17,51.8,2.94,2.78,0.92,shikimate kinase AroK,Amino acid biosynthesis,Aromatic amino acid family,Chorismate biosynthesis,Cytoplasm,,SYNPCC7002_A2517,locus_tag: Locus tag
SYNPCC7002_A0422,aspS,26.98,99.57,64.36,3.7,2.38,0.65,aspartyl-tRNA synthetase AspS,Protein synthesis,tRNA aminoacylation,Transfer RNA Biogenesis,Cytoplasm,,SYNPCC7002_A0422,locus_tag: Locus tag
SYNPCC7002_A0734,atpA,223.36,464.67,343.76,2.08,1.54,0.74,F1 ATP synthase complex alpha subunit AtpA,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Cytoplasm,,SYNPCC7002_A0734,locus_tag: Locus tag
SYNPCC7002_G0145,atpCN,142.97,61.28,29.82,0.43,0.21,0.49,N-type Na+ translocating ATPase F1 complex epsilon subunit AtpCN,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Cytoplasm,,SYNPCC7002_G0145,locus_tag: Locus tag
SYNPCC7002_A0749,atpD,258.43,1319.97,359.45,5.0,1.39,0.27,F1 ATP synthase complex beta subunit AtpD,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Cytoplasm,,SYNPCC7002_A0749,locus_tag: Locus tag
SYNPCC7002_G0150,atpFN,13.49,2.55,7.85,0.19,0.58,3.07,N-type Na+ translocating ATPase F0 complex subunit B AtpFN,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Inner Membrane (1 transmembrane span),,SYNPCC7002_G0150,locus_tag: Locus tag
SYNPCC7002_G0152,atpGN,12.95,0.12,4.71,0.01,0.36,38.28,N-type Na+ translocating ATPase F1 complex gamma subunit AtpGN,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Cytoplasm,,SYNPCC7002_G0152,locus_tag: Locus tag
SYNPCC7002_A0740,atpI,1686.56,817.0,1255.73,0.49,0.75,1.54,F0 ATP synthase complex locus membrane protein AtpI,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Thylakoid Membrane (4 transmembrane spans),,SYNPCC7002_A0740,locus_tag: Locus tag
SYNPCC7002_G0146,atpQ,52.87,10.21,10.99,0.19,0.21,1.08,N-type Na+ translocating ATPase complex locus membrane protein AtpQ,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Inner Membrane (2 transmembrane span),,SYNPCC7002_G0146,locus_tag: Locus tag
SYNPCC7002_A0081,atx1,28.06,71.49,29.82,2.56,1.06,0.42,copper-binding metallochaperone Atx1,Cellular processes,Non-protein molecular trafficking,,Cytoplasm,,SYNPCC7002_A0081,locus_tag: Locus tag
SYNPCC7002_A2662,bfd,1627.21,137.87,204.06,0.08,0.13,1.48,bacterioferritin-associated ferredoxin Bfd,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Cytoplasm,,SYNPCC7002_A2662,locus_tag: Locus tag
SYNPCC7002_A2663,bfr,505.54,114.89,122.43,0.23,0.24,1.07,bacterioferritin Bfr,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Cytoplasm,,SYNPCC7002_A2663,locus_tag: Locus tag
