 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,resolved_locus_tag,resolution_method
SYNPCC7002_A1246,serA,90.64,1554.86,624.73,16.667,6.667,0.4,D-3-phosphoglycerate dehydrogenase SerA,Amino acid biosynthesis,Serine family,Serine biosynthesis,Cytoplasm,,SYNPCC7002_A1246,locus_tag: Locus tag
SYNPCC7002_A1203,dapL,120.85,291.06,125.57,2.381,1.042,0.43,LL-diaminopimelate aminotransferase DapL,Amino acid biosynthesis,Aspartate family,Lysine biosynthesis,Cytoplasm,,SYNPCC7002_A1203,locus_tag: Locus tag
SYNPCC7002_A2854,trpF,3.78,12.77,6.28,3.333,1.667,0.49,N-(5'-phosphoribosyl)anthranilate isomerase TrpF,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,TrpR,SYNPCC7002_A2854,locus_tag: Locus tag
SYNPCC7002_A1630,glnA,37.77,94.47,47.09,2.5,1.25,0.5,glutamine synthetase type I GlnA,Amino acid biosynthesis,Glutamate family,Nitrogen assimilation,Cytoplasm,NtcA,SYNPCC7002_A1630,locus_tag: Locus tag
SYNPCC7002_A2404,pheA,27.52,12.77,29.82,0.463,1.087,2.34,prephenate dehydratase PheA,Amino acid biosynthesis,Aromatic amino acid family,Aromatic amino acid biosynthesis,Cytoplasm,,SYNPCC7002_A2404,locus_tag: Locus tag
SYNPCC7002_A1636,hisF,5.4,2.55,6.28,0.474,1.163,2.46,imidazole glycerol phosphate synthase cyclase subunit HisF,Amino acid biosynthesis,Histidine family,Histidine biosynthesis,Cytoplasm,,SYNPCC7002_A1636,locus_tag: Locus tag
SYNPCC7002_A1267,lysC,5.93,2.55,7.85,0.431,1.316,3.07,aspartate kinase LysC,Amino acid biosynthesis,Aspartate family,Lysine biosynthesis,Cytoplasm,,SYNPCC7002_A1267,locus_tag: Locus tag
SYNPCC7002_A1890,hisA,4.86,2.55,7.85,0.526,1.613,3.07,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase HisA,Amino acid biosynthesis,Histidine family,Histidine biosynthesis,Cytoplasm,,SYNPCC7002_A1890,locus_tag: Locus tag
SYNPCC7002_A2102,argC,37.77,10.21,34.53,0.27,0.917,3.38,N-acetyl-gamma-glutamyl-phosphate reductase ArgC,Amino acid biosynthesis,Glutamate family,Arginine biosynthesis,Cytoplasm,,SYNPCC7002_A2102,locus_tag: Locus tag
SYNPCC7002_A1985,hisB,9.17,2.55,17.27,0.279,1.887,6.76,imidazoleglycerol-phosphate dehydratase HisB,Amino acid biosynthesis,Histidine family,Histidine biosynthesis,Cytoplasm,,SYNPCC7002_A1985,locus_tag: Locus tag
