 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,Unnamed: 14,resolved_locus_tag,resolution_method
SputW3181_0005,,26.1,36.5,12.8,1.4,0.49,0.35,metal-dependent phosphohydrolase,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_0010,,379.6,90.5,37.6,0.24,0.1,0.42,MOSC domain protein,Energy metabolism,Sulfur metabolism,Sulfur metabolism,Cytoplasm,,,,unresolved
SputW3181_0011,tusA,14.9,12.2,0.0,0.82,0.01,0.01,tRNA 2-thiouridine synthesizing protein TusA,Protein synthesis,tRNA and rRNA base modification,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_0012,fadA,116.3,37.8,318.7,0.33,2.74,8.43,aerobic fatty oxidation complex 3-ketoacyl-CoA thiolase beta subunit FadA,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Cytoplasm,PsrA and Crp,,,unresolved
SputW3181_0013,fadB,115.4,39.2,414.0,0.34,3.59,10.57,aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Cytoplasm,PsrA and Crp,,,unresolved
SputW3181_0015,yigZ,38.1,50.0,16.0,1.31,0.42,0.32,uncharacterized protein YigZ,Unknown function,General,,Cytoplasm,Crp,,,unresolved
SputW3181_0025,,58.6,124.3,54.4,2.12,0.93,0.44,peptidoglycan-binding protein,Unknown function,General,,Periplasm,,,,unresolved
SputW3181_0027,smg,241.0,370.1,159.3,1.54,0.66,0.43,protein of unknown function DUF494 Smg,Unknown function,General,Conserved gene cluster associated with Met-tRNA formyltransferase,Cytoplasm,,,,unresolved
SputW3181_0032,aroE,84.7,16.2,52.0,0.19,0.61,3.21,shikimate 5-dehydrogenase AroE,Amino acid biosynthesis,Aromatic amino acid family,Chorismate biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0034,yrdA,26.1,21.6,56.0,0.83,2.15,2.59,trimeric LpxA-like enzyme YrdA,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_0040,,28.8,29.7,65.7,1.03,2.28,2.21,protein of unknown function DUF2489,Unknown function,General,Ribosome biogenesis,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_0041,yihI,35.4,70.2,143.3,1.99,4.05,2.04,Der GTPase activator YihI,Regulatory functions,Proteins interactions,Ribosome biogenesis,Cytoplasm,,,,unresolved
SputW3181_0050,kbl,26.1,16.2,51.2,0.62,1.97,3.16,2-amino-3-ketobutyrate coenzyme A ligase Kbl,Amino acid biosynthesis,Serine family,Glycine Biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0053,kdkA,28.8,24.3,8.8,0.84,0.31,0.36,3-deoxy-D-manno-oct-2-ulosonic acid (KDO) kinase KdkA,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Lipopolysaccharide biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0063,wcvB,12.1,5.4,14.4,0.45,1.19,2.67,UDP-glucose dehydrogenase WcvB,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Lipopolysaccharide biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0069,moaA,49.3,55.4,16.8,1.12,0.34,0.3,tungsten cofactor biosynthesis protein MoaA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Molybdopterin and tungsten,Tungstate biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0073,tupB,96.8,83.7,38.4,0.87,0.4,0.46,ABC-type tungstate uptake system permease component TupB,Transport and binding proteins,Cofactors and prosthetic groups,Tungstate biosynthesis,Inner Membrane (5 transmembrane spans),,,,unresolved
SputW3181_0074,tupA,250.3,268.8,120.9,1.07,0.48,0.45,ABC-type tungstate uptake system substrate-binding component TupA,Transport and binding proteins,Cofactors and prosthetic groups,Tungstate biosynthesis,Periplasm,,,,unresolved
SputW3181_0075,,40.0,36.5,12.0,0.91,0.3,0.33,tungstate-responsive two component Sigma54-dependent signal transduction system response regulator Fis family,Signal transduction,Two-component systems,Tungstate biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0080,menF,53.0,47.3,17.6,0.89,0.33,0.37,menaquinone-specific isochorismate synthase MenF,"Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Menaquinone (vitamin K) biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0081,,64.2,94.6,12.0,1.47,0.19,0.13,ABC-type transporter ATPase component,Transport and binding proteins,Unknown substrate,,Cytoplasm,,,,unresolved
SputW3181_0082,,49.3,75.6,25.6,1.53,0.52,0.34,cyclic di-GMP hydrolase,Regulatory functions,Small molecule interactions,,Cytoplasm,,,,unresolved
SputW3181_0083,,68.9,56.7,16.0,0.82,0.23,0.28,paraquat-inducible membrane protein PqiA family,Unknown function,General,,Inner Membrane (4 transmembrane spans),,,,unresolved
SputW3181_0086,,23.3,18.9,1599.8,0.81,68.77,84.6,malate synthase domain protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_0088,mmuM,59.5,12.2,3.2,0.2,0.05,0.26,homocysteine S-methyltransferase MmuM,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,,,unresolved
SputW3181_0089,arcD,44.7,5.4,0.0,0.12,0.0,0.02,arginine:ornithine antiporter ArcD,Transport and binding proteins,"Amino acids, peptides and amines",,Inner Membrane (12 transmembrane spans),MetJ,,,unresolved
SputW3181_0091,cyoE,72.6,105.4,36.0,1.45,0.5,0.34,protoheme IX farnesyltransferase CyoE,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme and Siroheme biosynthesis,Inner Membrane (9 transmembrane spans),,,,unresolved
SputW3181_0092,cyoD,3.7,5.4,0.0,1.45,0.03,0.02,cytochrome bo3 ubiquinol oxidase subunit IV CyoD,Energy metabolism,Electron transport,O2 respiration,Inner Membrane (3 transmembrane spans),,,,unresolved
SputW3181_0096,,7.4,6.8,26.4,0.91,3.55,3.91,membrane protein clustering with cytochrome bo3,Energy metabolism,Electron transport,Oxygen respiration,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_0098,,58.6,113.5,28.8,1.94,0.49,0.25,putative cytoplasmic protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0099,,44.7,5.4,16.0,0.12,0.36,2.96,histidine-rich protein of unknown function DUF3300,Unknown function,General,,Periplasm,,,,unresolved
SputW3181_0101,,71.6,35.1,14.4,0.49,0.2,0.41,two component signal transduction system OmpR family response regulator,Signal transduction,Two-component systems,,Cytoplasm,,,,unresolved
SputW3181_0105,,1.9,1.4,8.0,0.73,4.3,5.93,chemotaxis signal transduction system methyl accepting sensory transducer,Signal transduction,Taxis,,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_0108,greB,54.9,45.9,13.6,0.84,0.25,0.3,transcription elongation factor GreB,Transcription,Transcription factors,,Cytoplasm,,,,unresolved
SputW3181_0113,,5.6,6.8,0.0,1.21,0.02,0.02,predicted phosphoribosyltransferase ComF family,Cellular processes,DNA transformation,DNA competence,Cytoplasm,,,,unresolved
SputW3181_0121,,15.8,21.6,7.2,1.37,0.46,0.33,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0122,,19.5,23.0,0.0,1.18,0.01,0.01,hypothetical protein,Unknown function,General,,Periplasm,,,,unresolved
SputW3181_0123,dinF,7.4,6.8,0.0,0.91,0.02,0.02,DNA damage-inducible multidrug and toxin efflux protein DinF,Transport and binding proteins,Unknown substrate,,Inner Membrane (12 transmembrane spans),,,,unresolved
SputW3181_0125,senC,10.2,13.5,0.0,1.32,0.01,0.01,cytochrome c oxidase biogenesis protein SenC,Energy metabolism,Electron transport,Low affinity O2 respiratory system,Inner Membrane (1 transmembrane span),,,,unresolved
