RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_light,Clust name_light,ClustID_ox,Clust name_ox,LLLO-CC-M061814.14_AV,MLLO-CC-M061814.13_AV,HLLO-CC-TS040514.18_AV,Average_light_Conditions
N/A,tsl0602,Translation,Ribosomal proteins: synthesis and modification,ribosome large subunit,LSU ribosomal protein L34 RpmH,rpmH,1,D,3,G,25805.08424,44723.30469,74366.41839,48298.26911
N/A,tsl0702,None,None,None,None,None,4,C,4,H,1408.742606,847.0618266,577.4294685,944.4113002
N/A,tsl0785,Unknown function,General,None,hypothetical protein,,4,C,3,G,29489.44043,7998.750607,9086.076466,15524.75583
N/A,tsl0811,Prosthetic groups_ cofactors_ and carriers,Sulfur relay system,thiamine biosynthesis sulfur relay ThiIFS-IscS,sulfur carrier protein ThiS,thiS,4,C,4,H,19154.08594,12824.26526,5900.811752,12626.38765
N/A,tsl0817,Unknown function,General,None,hypothetical protein,,4,C,2,F,523.1409115,180.6850968,144.2126969,282.6795684
N/A,tsl0825,Unknown function,General,None,hypothetical protein,,4,C,4,H,602.2706846,338.8451235,279.1012493,406.7390191
N/A,tsl0827,Unknown function,General,None,hypothetical protein,,3,A,4,H,3000.650744,3919.876103,2964.091981,3294.872943
N/A,tsl0836,Energy metabolism,Photosynthesis,photosystem II other common subunits,photosystem II protein PsbY,psbY,4,C,3,G,101267.2971,82653.88856,79289.55541,87736.91369
N/A,tsl0848,Unknown function,General,None,hypothetical protein,,4,C,4,H,3319.265674,1437.344479,697.6437254,1818.084626
N/A,tsl0865,Unknown function,General,None,uncharacterized protein,,3,A,4,H,1712.434003,1844.119713,1414.531116,1657.028277
N/A,tsl0866,Unknown function,General,None,TPR repeat-containing protein,,1,D,4,H,5765.993454,10167.2234,9039.245439,8324.154097
N/A,tsl0875,Unknown function,General,None,BolA family protein,,4,C,4,H,6777.388128,3917.640867,4167.929937,4954.319644
N/A,tsl0919,Unknown function,General,None,hypothetical protein,,1,D,3,G,17403.88269,29080.13399,47060.17567,31181.39745
N/A,tsl0921,Unknown function,General,None,hypothetical protein,,4,C,4,H,114518.0933,68198.75574,16086.81061,66267.88655
N/A,tsl0955,Energy metabolism,Photosynthesis - antenna proteins,allophycocyanin biosynthesis,phycobilisome small core linker polypeptide ApcC,apcC,3,A,1,E,64564.66664,77184.89368,39425.54593,60391.70208
N/A,tsl0972,Unknown function,General,None,hypothetical protein,,4,C,2,F,9292.596125,6122.51063,7331.999029,7582.368594
N/A,tsl0988,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,None,predicted redox regulator of disulfide bond formation SirA family,,4,C,2,F,7663.881738,5408.010315,5321.567231,6131.153095
N/A,tsl1009,Energy metabolism,Electron transport,photosynthetic electron transport,2Fe-2S ferredoxin PetF,petF,1,D,3,G,48739.39903,95061.84337,109303.6764,84368.30628
N/A,tsl1013,Energy metabolism,Photosynthesis,photosystem I main subunits,photosystem I iron-sulfur center subunit VII PsaC,psaC,3,A,3,G,136381.0682,159540.3039,77899.55524,124606.9758
N/A,tsl1016,Defense and invasion systems,Detoxification and inactivation,zinc resistance,metallothionein SmtA,smtA,3,A,4,H,104439.9324,112944.9667,87614.98152,101666.6269
N/A,tsl1051,Unknown function,General,None,hypothetical protein,,4,C,4,H,1216.770994,843.4763559,453.116309,837.7878862
N/A,tsl1081,None,None,None,None,None,1,D,4,H,2434.440064,4716.774613,6647.418501,4599.544392
N/A,tsl1100,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,Sec protein export system,preprotein translocase subunit SecG,secG,4,C,4,H,52582.45329,32930.74179,20784.99877,35432.73128
N/A,tsl1138,Unknown function,General,None,hypothetical protein,,2,B,3,G,156.1232326,98.85910355,507.3250626,254.1024662
N/A,tsl1160,Unknown function,General,None,hypothetical protein,,4,C,4,H,896.5140466,252.1516198,124.9542147,424.5399604
N/A,tsl1172,Unknown function,General,None,hypothetical protein,,4,C,3,G,9902.234759,3211.533589,2756.296636,5290.021661
N/A,tsl1188,Translation,Ribosomal proteins: synthesis and modification,ribosome small subunit,SSU ribosomal protein S20 RspT,rpsT,1,D,3,G,7304.6535,12001.7616,31445.42859,16917.28123
N/A,tsl1204,Transport and binding proteins,Cations and iron carrying compounds,ferrous iron uptake system FeoAB,ferrous iron uptake system accessory component FeoA,feoA,4,C,0,,340.713004,244.715569,237.5787541,274.3357757
N/A,tsl1223,None,None,None,None,None,4,C,4,H,225.3737499,47.04851474,42.64696858,105.0230777
N/A,tsl1229,Defense and invasion systems,Invasion response,CRISPR system_ Myxan subtype,type I CRISPR-CAS system crRNA and target binding complex cascade protein Cas5,cas5,0,,0,,44.18090491,15.80236402,4.083850373,21.35570643
N/A,tsl1248,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,nitrile hydratase,putative chaperone YjiA,yjiA,4,C,4,H,2688.655312,2602.168218,2588.594854,2626.472795
N/A,tsl1262,Unknown function,General,None,hypothetical protein,,2,B,0,,226.5451322,144.0623488,239.4184212,203.3419674
N/A,tsl1286,Unknown function,General,None,hypothetical protein,,1,D,1,E,154471.1595,243794.4835,234649.286,210971.643
N/A,tsl1293,Prosthetic groups_ cofactors_ and carriers,Iron sulfur clusters,None,iron-sulfur cluster assembly scaffold protein Nfu,nfU,3,A,4,H,33474.14662,74862.4355,45519.81355,51285.46522
N/A,tsl1361,Prosthetic groups_ cofactors_ and carriers,Sulfur relay system,Moco biosynthesis sulfur relay,molybdopterin synthase sulfur carrier subunit MoaD,moaD,1,D,3,G,1412.694205,2107.37794,2398.220653,1972.764266
N/A,tsl1385,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,twin-arginine protein export system TatABCE,sec-independent protein translocase protein TatA,tatA,4,C,1,E,36910.61814,25585.32867,14636.3978,25710.78154
N/A,tsl1386,Energy metabolism,Photosynthesis,photosystem II other common subunits,photosystem II reaction center phosphoprotein PsbH,psbH,4,C,3,G,91020.76537,83500.84853,65353.60103,79958.40497
N/A,tsl1455,Unknown function,General,None,hypothetical protein,,0,,0,,37.15437076,15.12895866,1.448217961,17.91051579
N/A,tsl1456,Unknown function,General,None,hypothetical protein,,0,,0,,51.59638206,23.61190419,12.94853836,29.3856082
N/A,tsl1516,Unknown function,General,None,uncharacterized conserved 2 transmembrane protein,,4,C,0,,4539.937622,3180.080548,2299.772638,3339.930269
N/A,tsl1517,Regulatory functions,Protein interactions,redox regulatory system FtrCV,ferredoxin-thioredoxin reductase alpha subunit FtrV,ftrV,4,C,2,F,85974.16136,55102.42932,41185.69655,60754.09574
N/A,tsl1524,Translation,Aminoacyl-tRNA biosynthesis,GatABC aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase complex,bifunctional aspartyl/glutamyl-tRNA amidotransferase subunit GatC,gatC,2,B,3,G,19172.50411,16519.16701,19390.76791,18360.81301
N/A,tsl1557,Unknown function,Enzymes of unknown specificity,None,ferredoxin,,3,A,4,H,2626.657633,4543.267929,3260.497712,3476.807758
N/A,tsl1567,Energy metabolism,Photosynthesis,photosystem I main subunits,photosystem I subunit IV PsaE,psaE,3,A,3,G,120728.5361,129065.8205,95667.89188,115154.0828
N/A,tsl1581,Energy metabolism,Sulfur metabolism,None,3'-5'-bisphosphate nucleotidase CysQ,cysQ,4,C,0,,289.1784449,95.93021688,87.90265475,157.6704388
N/A,tsl1609,Regulatory functions,Protein interactions,None,co-activator of the NtcA global nitrogen control transcription factor PipX,pipX,4,C,4,H,931.2670505,133.8477199,47.71068915,370.9418199
N/A,tsl1703,Unknown function,General,None,protein of unknown function DUF1816,,4,C,2,F,7500.53654,6635.541479,6188.432591,6774.83687
N/A,tsl1728,None,None,None,None,None,0,,0,,51.8807842,14.85679576,9.766194369,25.50125811
N/A,tsl1778,Unknown function,General,None,hypothetical protein,,4,C,2,F,1974.226346,868.7320072,695.3180109,1179.425455
