Locus_Tag,Main Role,Subrole,Subsystem,Product,Gene,Locus_Tag,T8A_Low_Light_AX,T8B_Low_Light_AX,T9A_Mid_Light_AX,T9B_Mid_Light_AX,T10A_High_Light_AX,T10B_High_Light_AX,M14A_Low_Light_CC,M14B_Low_Light_CC,M13A_Mid_Light_CC,M13B_Mid_Light_CC,T18A_High_Light_CC,T18B_High_Light_CC,T10A_Low_Oxygen_AX,T10B_Low_Oxygen_AX,T15A_Mid_Oxygen_AX,T15B_Mid_Oxygen_AX,T16A_High_Oxygen_AX,T16B_High_Oxygen_AX,T18A_Low_Oxygen_CC,T18B_Low_Oxygen_CC,T19A_Mid_Oxygen_CC,T19B_Mid_Oxygen_CC,T20A_High_Oxygen_CC,T20B_High_Oxygen_CC
rTEt10,None,None,None,None,None,rTEt10,17.49975774,18.3376051,17.31275469,17.04260401,16.00846778,16.47875155,17.20466832,16.80633175,17.21824858,17.40195897,16.81773556,17.05118533,16.00846778,16.47875155,17.97473364,17.65320684,16.44429946,17.81104822,16.81773556,17.05118533,16.65592475,16.5669937,16.31325996,16.71804828
rTEt11,None,None,None,None,None,rTEt11,17.88110832,18.79669419,16.6427048,16.49794706,15.69696845,15.90252912,17.72578036,17.17094268,16.84334359,17.15795624,16.34485433,16.55944522,15.69696845,15.90252912,17.679662,17.82201337,16.88305613,17.86305787,16.34485433,16.55944522,16.57474525,16.46140655,16.7006595,16.93782755
rTEt12,None,None,None,None,None,rTEt12,19.66429052,20.72235846,18.86607403,18.63811955,18.0858568,18.26248467,19.41981913,19.17733068,18.88442647,18.96913724,18.3464675,18.6135808,18.0858568,18.26248467,19.82097938,19.58260719,18.29510549,19.85095211,18.3464675,18.6135808,18.59162912,18.36542185,18.25459264,18.63597998
rTEt13,None,None,None,None,None,rTEt13,18.23194364,19.0497317,17.9074891,17.70640701,17.02441064,17.33485017,18.1768142,17.60469398,17.82601637,18.42335845,17.34203239,17.88065863,17.02441064,17.33485017,18.75500308,18.86819677,17.29239053,18.63084095,17.34203239,17.88065863,17.7571428,17.36389803,17.58052305,17.79637527
rTEt14,None,None,None,None,None,rTEt14,18.74540862,19.47653679,17.68766196,17.55132618,16.64014242,16.74740374,18.85413821,18.27767372,17.93548753,18.02335194,17.09180152,17.06856955,16.64014242,16.74740374,17.50852168,17.3801948,17.26686286,17.81700341,17.09180152,17.06856955,16.93477052,17.11424156,17.23004884,17.77450637
rTEt15,None,None,None,None,None,rTEt15,16.77807941,17.41592891,15.98016214,16.15794721,15.14617571,15.51536752,16.64110848,16.26707011,16.21824046,16.62136931,15.70190421,16.03319201,15.14617571,15.51536752,16.4439545,16.66528867,15.85396797,16.26279785,15.70190421,16.03319201,15.6272659,15.40769355,15.621888,16.07621126
rTEt16,None,None,None,None,None,rTEt16,14.13227532,14.90878919,13.56807746,13.71429964,12.31351614,12.73995799,13.84801996,13.60930494,13.5437836,14.04807331,13.5344949,13.6391825,12.31351614,12.73995799,14.60073063,14.6453899,13.17531235,14.25975735,13.5344949,13.6391825,13.11314525,12.9367636,13.15950756,13.54039381
rTEt17,None,None,None,None,None,rTEt17,16.058966,17.01561282,15.5386542,15.66563407,14.47045218,14.90079227,15.97520435,15.65938145,15.7590319,15.98459916,15.25605117,15.40112743,14.47045218,14.90079227,16.36706926,16.46773549,15.23070064,16.06642049,15.25605117,15.40112743,14.98794996,14.8613953,14.85526745,15.45779727
rTEt18,None,None,None,None,None,rTEt18,19.20333248,19.77375715,18.88888894,18.49459463,17.78188307,18.08840975,18.91713091,18.76698867,18.66254003,18.77553828,18.740886,19.13870935,17.78188307,18.08840975,19.52649445,19.85772134,18.03907866,19.68877814,18.740886,19.13870935,18.95766282,18.65817218,18.44307627,18.59001268
rTEt19,None,None,None,None,None,rTEt19,17.24661649,18.12543047,16.75265507,16.43724855,16.07865265,15.71278269,17.1522484,16.82060207,16.67389761,16.81850683,16.25534729,16.29471257,16.07865265,15.71278269,17.00904256,16.91964637,16.28054312,17.30431281,16.25534729,16.29471257,16.5857284,16.47506969,16.43310216,16.75344057
rTEt20,None,None,None,None,None,rTEt20,15.60226459,16.75645434,14.93758119,14.86075243,14.42010714,14.52591969,15.58379157,15.03473686,15.04576196,15.28529641,14.40863518,14.52251555,14.42010714,14.52591969,15.95660685,15.6158814,14.18197192,15.84988696,14.40863518,14.52251555,14.30830741,14.07711249,14.24906169,14.94137169
rTEt21,None,None,None,None,None,rTEt21,16.78818298,18.28092061,16.47447592,16.5401746,15.55213452,15.92607472,16.96940273,16.45258914,16.66214554,16.94369568,16.35974914,16.79749254,15.55213452,15.92607472,18.12463559,18.28212707,16.17204803,17.8336894,16.35974914,16.79749254,16.5065178,16.36364913,16.25955672,16.42783537
rTEt22,None,None,None,None,None,rTEt22,16.30097784,17.42045188,15.72561412,15.9055953,15.06817483,15.26206922,15.97624444,15.84241727,15.84613031,15.87539484,15.94887268,15.81337164,15.06817483,15.26206922,17.42776473,17.15327033,15.72276659,16.78528173,15.94887268,15.81337164,15.69148635,15.41232775,15.10865445,15.7223515
rTEt23,None,None,None,None,None,rTEt23,16.9848896,17.3579686,16.02833685,15.93693694,14.92100392,15.09320927,16.76804017,16.2426766,16.09333388,16.18590436,15.6023065,15.55027872,14.92100392,15.09320927,15.71236475,15.68805638,15.33919363,15.85137608,15.6023065,15.55027872,15.46042573,15.45661735,15.21534542,15.86027812
rTEt24,None,None,None,None,None,rTEt24,19.0104301,19.66047494,18.73374433,18.40613503,17.66504848,18.05134313,18.84222794,18.58503461,18.36410977,18.51807046,18.3791512,18.52498239,17.66504848,18.05134313,18.35158056,18.64183668,17.93959813,18.69093678,18.3791512,18.52498239,18.31353516,17.98389918,17.90128961,18.17657068
rTEt25,None,None,None,None,None,rTEt25,18.60056739,19.96354082,17.77856533,17.81908727,17.24155812,17.07439998,19.06737384,18.44681464,17.73320912,18.2880577,17.07336628,17.2382807,17.24155812,17.07439998,18.67670877,17.88159906,17.68911113,18.63059187,17.07336628,17.2382807,17.50012138,16.91023463,17.31420419,17.95846756
rTEt26,None,None,None,None,None,rTEt26,16.52341161,17.62250983,14.98158645,15.22730945,14.52032632,14.53727191,16.62844518,15.2656663,14.85394441,15.33611857,14.71002989,14.91362316,14.52032632,14.53727191,15.83989085,15.79385563,15.24728039,16.10097859,14.71002989,14.91362316,14.85529233,14.22165616,14.70703869,15.4629846
rTEt27,None,None,None,None,None,rTEt27,19.31328683,20.18558754,18.77417113,18.61670148,17.8339265,18.02496532,19.17602996,18.6302488,18.57812381,18.87278006,18.01975376,18.4778757,17.8339265,18.02496532,19.27800479,19.11531269,18.33509305,19.37816852,18.01975376,18.4778757,18.19095039,17.84132779,18.01844048,18.64534611
rTEt28,None,None,None,None,None,rTEt28,19.55868985,20.38573631,18.79767933,18.81532928,17.98300651,18.4317908,19.54287746,19.19676337,18.67565067,19.39150883,18.39208314,18.71619857,17.98300651,18.4317908,19.79152528,19.54567498,18.3279193,19.51568624,18.39208314,18.71619857,18.45006684,17.85310804,18.36140378,18.67304356
rTEt29,None,None,None,None,None,rTEt29,19.2224135,20.09647572,18.39742241,18.19110744,17.6599877,17.80806516,18.97358334,18.48047136,18.48012533,18.45406486,17.83964663,18.05811675,17.6599877,17.80806516,18.92555687,18.68413856,17.98489914,18.98143834,17.83964663,18.05811675,17.68258599,17.56024263,17.65828679,18.26922007
rTEt30,None,None,None,None,None,rTEt30,19.48993939,20.36239065,19.05347971,18.79082953,18.15091065,18.39084775,19.33392553,18.92669028,18.92069501,19.42924851,18.41649583,18.95518289,18.15091065,18.39084775,19.93098833,19.80470612,18.35645938,19.68474285,18.41649583,18.95518289,18.63608857,18.22609384,18.41680434,18.70413065
rTEt31,None,None,None,None,None,rTEt31,17.6276303,18.4096496,17.26763115,17.11570803,16.29807995,16.66718189,17.45596162,17.08030174,16.94856897,17.42071984,17.51721646,17.59720798,16.29807995,16.66718189,18.16394657,18.27973456,16.94733546,17.61328739,17.51721646,17.59720798,17.62031775,16.85605896,17.06821078,17.09711935
rTEt32,None,None,None,None,None,rTEt32,16.80484398,17.67554946,16.59273903,16.35772482,15.27363421,15.74063854,16.89407199,16.35594078,16.47501387,16.60796659,16.30004773,16.43877141,15.27363421,15.74063854,16.86310009,17.14052828,15.93475176,16.97374749,16.30004773,16.43877141,16.16397162,16.09265086,15.8363084,16.15147436
rTEt33,None,None,None,None,None,rTEt33,18.47711981,19.51603027,17.54649961,17.33704221,16.74625376,16.92480188,18.201696,17.90853417,17.33833201,17.7360697,17.01499448,17.23046608,16.74625376,16.92480188,18.44015035,18.3237595,16.89463064,18.53996861,17.01499448,17.23046608,17.07460276,16.5689578,16.93806659,17.31518916
