RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_ox,Clust name_ox,HLLO-CC-TS040514.18_AV,HLMO-CC-TS040514.19_AV,HLHO-CC-TS040514.20_AV,Average_ox_Conditions,resolved_locus_tag,resolution_method
fig.6666666.52381.peg.1844,SY28_RS09215,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,,ABC-type multiple sugar uptake system permease component,,3,G,123.7490471,32.32353354,38.4435969,64.83872586,SY28_09220,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1845,SY28_RS09220,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,,ABC-type multiple sugar uptake system permease component,,3,G,146.2906002,110.8163848,27.10205029,94.73634509,SY28_09225,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1846,SY28_RS09225,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,,ABC-type multiple sugar uptake system substrate-binding component,,3,G,687.2066988,257.300441,137.4363322,360.647824,SY28_09230,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1847,SY28_RS09230,Regulatory functions,DNA interactions,,LacI family transcriptional regulator GalR,galR,3,G,478.7153715,78.91931792,30.79964596,196.1447785,SY28_09235,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1848,SY28_RS09235,Terpenoids and polyketides metabolism,Polyketide sugar unit biosynthesis,4_6-dideoxy-4-oxo-dTDP-D-glucose biosynthesis from glucose-1-phosphate,glucose-1-phosphate thymidylyltransferase RmlA,rmlA,3,G,182.6684794,147.2308399,93.07553722,140.9916188,SY28_09240,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1850,SY28_RS09255,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,sorbitol/mannitol uptake system SmoEFGK,ABC-type sorbitol/mannitol uptake system permease component SmoG,smoG,0,,18.61871757,15.92616943,22.4157077,18.9868649,SY28_09260,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1854,SY28_RS09275,Energy metabolism,Oxidative phosphorylation,,cytochrome P450,,0,,91.89316906,107.5268524,84.66299928,94.69434024,SY28_09280,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1855,SY28_RS09280,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,protein folding catalysts,thioredoxin 1 TrxA,trxA,4,H,461.2924181,508.7528205,596.7742258,522.2731548,SY28_09285,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1858,SY28_RS09295,Prosthetic groups_ cofactors_ and carriers,Folate biosynthesis,tetrahydrofolate biosynthesis from GTP,alkaline phosphatase PhoB,phoA,4,H,198.6004937,336.0881458,286.704313,273.7976508,SY28_09300,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1859,SY28_RS09300,Amino acid metabolism,Alanine_ aspartate and glutamate metabolism,,asparaginase,,0,,74.63546726,26.52207932,46.15656001,49.1047022,SY28_09305,tier1:NCBI Locus Tag
fig.6666666.52381.peg.186,SY28_RS00930,Unknown function,General,,protein of unknown function DUF3248,,2,F,135.3562223,52.10495727,129.6989098,105.7200298,SY28_00930,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1861,SY28_RS09310,Unknown function,General,,hypothetical protein,,2,F,18.75566768,15.61840957,16.01296643,16.79568123,SY28_09315,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1862,SY28_RS09315,Amino acid metabolism,,,urea carboxylase,,2,F,11.61064661,3.63240029,25.53176318,13.59160336,SY28_09320,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1863,SY28_RS09320,Unknown function,General,,hypothetical protein,ybgL,2,F,9.408151335,21.63563458,38.34837177,23.13071923,SY28_09325,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1866,SY28_RS09335,Transport and binding proteins,Unknown substrate,,TRAP-type transport system substrate-binding component,,2,F,41.48334163,73.16311318,53.61406876,56.08684119,SY28_09340,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1867,SY28_RS09340,Regulatory functions,DNA interactions,,IclR family transcriptional regulator,,2,F,18.16572864,16.10269102,25.22676498,19.83172821,SY28_09345,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1868,SY28_RS09345,Intracellular trafficking_ assembly_ and processing,Protein modification and repair,,deoxyhypusine synthase Dys,dys,3,G,251.7580857,182.8527987,119.4086873,184.6731906,SY28_09350,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1869,SY28_RS09350,Unknown function,General,,globin,,2,F,92.48912414,12.99515044,47.41961094,50.96796184,SY28_09355,tier1:NCBI Locus Tag
fig.6666666.52381.peg.187,SY28_RS00935,Unknown function,Enzymes of unknown specificity,,acylneuraminate cytidylyltransferase,,0,,30.41046609,36.98835956,30.71395405,32.7042599,SY28_00935,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1871,SY28_RS09360,Translation,Ribosomal proteins: synthesis and modification,ribosome GTPases,GTP-binding protein Era,era,0,,100.3993294,67.38215689,114.6545992,94.14536182,SY28_09365,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1872,SY28_RS09370,Translation,Ribosomal proteins: synthesis and modification,ribosome maturation factors,ribosome maturation factor RimP,rimP,1,E,413.1341725,459.5686991,357.5299779,410.0776165,SY28_09375,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1873,SY28_RS09375,Transcription,Transcription factors,transcription termination - antitermination Nus factors,transcription termination protein NusA,nusA,3,G,458.1111879,460.6195478,264.7370871,394.4892743,SY28_09380,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1874,SY28_RS09380,Translation,Translation factors,translation initiation,translation initiation factor IF-2 InfB,infB,1,E,178.8489659,222.3741208,175.280407,192.1678312,SY28_09385,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1875,SY28_RS09385,Unknown function,General,,hypothetical protein,,1,E,560.8400758,789.8007992,356.0774692,568.9061148,SY28_09390,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1876,SY28_RS09390,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,Sec protein export system,preprotein translocase subunit SecD,secD-secF,3,G,113.3096251,120.9716833,70.88957417,101.7236275,SY28_09395,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1877,SY28_RS09395,Nucleic acid metabolism,Purine metabolism,guanine ribonucleotide biosynthesis from IMP,glutamine-hydrolysing GMP synthase GuaA,guaA,0,,20.03285069,24.27307096,21.54639997,21.95077387,SY28_09400,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1878,SY28_RS09400,Unknown function,General,,hypothetical protein,,0,,19.42800237,12.10889852,7.820403758,13.11910155,SY28_09405,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1879,SY28_RS09405,Unknown function,General,,hypothetical protein,,3,G,408.177666,373.024155,286.6773008,355.9597073,SY28_09410,tier1:NCBI Locus Tag
fig.6666666.52381.peg.188,SY28_RS00940,Unknown function,General,,hypothetical conserved protein,,2,F,101.7278488,74.76850701,205.296224,127.2641933,SY28_00940,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1880,SY28_RS09410,Nucleic acid metabolism,DNA replication_ recombination_ and repair,,bacteriophage-type DNA polymerase Dpo,dpo,2,F,183.4980006,91.85160209,151.8912312,142.4136113,SY28_09415,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1882,SY28_RS09420,Nucleic acid metabolism,Purine metabolism,purine (inosine-5'-phosphate) biosynthesis from ribose-5-phosphate,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase PurH,purH,2,F,35.10583445,19.54172041,33.82237529,29.48997672,SY28_09425,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1883,SY28_RS09425,Unknown function,General,,hypothetical protein,,2,F,113.8801759,54.72329683,128.852016,99.15182959,SY28_09430,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1884,SY28_RS09430,Mobile and extrachromosomal element functions,Bacteriophage and virus functions,,hypothetical protein,,2,F,16.45367415,37.95154332,41.97568271,32.12696673,SY28_09435,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1886,SY28_RS09440,Mobile and extrachromosomal element functions,Bacteriophage and virus functions,,hypothetical protein,,2,F,13.16279709,9.0447974,51.55125885,24.58628445,SY28_09445,tier1:NCBI Locus Tag
fig.6666666.52381.peg.189,SY28_RS00945,Cell motility and adherance,Surface structures and assembly platforms,T2bSS type IVa pili,twitching motility protein PilT,pilT,0,,114.5128878,155.6312353,155.9561408,142.0334213,SY28_00945,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1893,SY28_RS09480,Amino acid metabolism,Alanine_ aspartate and glutamate metabolism,glutamate biosynthesis,NADPH/NADH glutamate synthase large subunit GltB,gltB,4,H,94.88139045,127.1195659,154.2677164,125.4228909,SY28_09485,tier1:NCBI Locus Tag
