RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_ox,Clust name_ox,HLLO-CC-TS040514.18_AV,HLMO-CC-TS040514.19_AV,HLHO-CC-TS040514.20_AV,Average_ox_Conditions,resolved_locus_tag,resolution_method
,tll1413,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,chlorophyllide a biosynthesis from protoporphyrin IX,magnesium chelatase subunit BchD,bchD,3,G,6551.096632,6394.821139,5844.918114,6263.611962,tll1413,locus_tag:NCBI Locus Tag
,tll1417,Transport and binding proteins,Unknown substrate,,AEC family efflux carrier,,4,H,168.081008,361.2613989,448.9928221,326.111743,tll1417,locus_tag:NCBI Locus Tag
,tll1418,Transport and binding proteins,Cofactors and prosthetic groups,cobalt uptake system CbiOMNQ and nickel uptake system CbiKLMNOQ,ECF-type Co2+/Ni2+ uptake system permease component NikK,nikK,4,H,1681.746619,3960.889168,4658.206483,3433.61409,tll1418,locus_tag:NCBI Locus Tag
,tll1419,Transport and binding proteins,Cations and iron carrying compounds,nickel uptake system CibKL,ECF-type Co2+/Ni2+ uptake system accessory component NikL,nikL,4,H,2759.652355,5645.505581,6035.556874,4813.571603,tll1419,locus_tag:NCBI Locus Tag
,tll1420,Unknown function,General,,hypothetical protein,,4,H,1742.837086,4513.041159,5694.356795,3983.41168,tll1420,locus_tag:NCBI Locus Tag
,tll1428,Carbohydrate metabolism,Fructose and mannose metabolism,fructose degradation,fructokinase ScrK,scrK,4,H,310.5344662,363.0769838,431.3492326,368.3202276,tll1428,locus_tag:NCBI Locus Tag
,tll1433,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,,DnaJ-class molecular chaperone,,1,E,774.4692083,834.6754609,791.7858381,800.3101691,tll1433,locus_tag:NCBI Locus Tag
,tll1435,Unknown function,General,,hypothetical protein,,3,G,6792.779593,6594.7463,5367.030815,6251.518903,tll1435,locus_tag:NCBI Locus Tag
,tll1440,Carbohydrate metabolism,Pyruvate metabolism,pyruvate dehydrogenase anaplerotic reactions,oxaloacetate decarboxylating malate dehydrogenase MaeA,maeA,3,G,6677.219779,5550.74507,4547.09604,5591.686963,tll1440,locus_tag:NCBI Locus Tag
,tll1441,Unknown function,General,,hypothetical protein,,4,H,6699.759164,11775.34808,17742.4905,12072.53258,tll1441,locus_tag:NCBI Locus Tag
,tll1450,Nucleic acid metabolism,DNA replication_ recombination_ and repair,modulation of nucleotide pools,Nudix hydrolase family protein,,0,,699.9431267,689.5516218,653.7664864,681.0870783,tll1450,locus_tag:NCBI Locus Tag
