function category,Gene Name,Gene ID,Score,Log2 fold change,resolved_locus_tag,resolution_method
Transporters,SYNW0319,ABC transporter membrane component,-7.14,-0.96,SYNW0319,locus_tag:Gene Name
Transporters,SYNW1299,possible  ABC transporter  ,-5.87,-0.39,SYNW1299,locus_tag:Gene Name
Transporters,SYNW0329,ABC transporter ATP binding protein,-5.79,-0.63,SYNW0329,locus_tag:Gene Name
Transporters,SYNW0320,ABC transporter ATP-binding component,-5.44,-0.82,SYNW0320,locus_tag:Gene Name
Transporters,SYNW2234,possible ABC transporter ATP-binding component,-5.08,-1.61,SYNW2234,locus_tag:Gene Name
Transporters,SYNW0086,preprotein translocase SecA subunit ,-4.67,-0.42,SYNW0086,locus_tag:Gene Name
Transporters,SYNW2175,ABC transporter ATP binding component ,-4.4,-0.24,SYNW2175,locus_tag:Gene Name
Transporters,SYNW0211,possible ABC transporter ATP-binding component,-4.25,-0.22,SYNW0211,locus_tag:Gene Name
Transporters,SYNW0706,possible multidrug efflux transporter MFS family,-4.0,-0.29,SYNW0706,locus_tag:Gene Name
Transporters,SYNW1114,possible heme transporter,-3.96,-0.73,SYNW1114,locus_tag:Gene Name
Transporters,SYNW1874,possible ABC transporter ATP binding protein ,-3.81,-0.35,SYNW1874,locus_tag:Gene Name
Transporters,SYNW2463,nitrate transporter MFS family,-3.54,-0.73,SYNW2463,locus_tag:Gene Name
Transporters,SYNW0321,ABC transporter membrane component,-3.24,-0.4,SYNW0321,locus_tag:Gene Name
Transporters,SYNW1023,ABC transporter multidrug efflux family,-3.23,-0.34,SYNW1023,locus_tag:Gene Name
Transporters,SYNW0664,multidrug efflux transporter MFS family,-3.1,-0.52,SYNW0664,locus_tag:Gene Name
Transporters,SYNW1839,protein secretion component Tat family,-3.82,-0.22,SYNW1839,locus_tag:Gene Name
Transporters,SYNW2187,putative RND family outer membrane efflux protein,-3.55,-0.41,SYNW2187,locus_tag:Gene Name
Transporters,SYNW0507,putative CaCA family calcium/proton exchanger,-3.17,-0.15,SYNW0507,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Two-component systems ,SYNW2289,two-component response regulator ,-14.82,-1.42,SYNW2289,locus_tag:Gene Name
