gene_id,logFC,AveExpr,pvalue,padj,Assay,contrast1,resolved_locus_tag,resolution_method
TX50_RS01480,-1.5243012341768465,107.32265137137736,1.3899843800909291e-06,5.176782872330604e-06,RNA,P2vsP1_rna,PMM0285,tier1:gene_id
TX50_RS01485,-1.650679101969343,133.6405816481542,2.263797549589147e-07,9.523384691567068e-07,RNA,P2vsP1_rna,PMM0286,tier1:gene_id
TX50_RS01490,-0.1106337817125993,59.14843040456847,0.807790505032726,0.8409562569266456,RNA,P2vsP1_rna,PMM0287,tier1:gene_id
TX50_RS01495,-1.7270008364352294,825.5036205244279,6.264557208394457e-15,8.342226901250463e-14,RNA,P2vsP1_rna,PMM0288,tier1:gene_id
TX50_RS01500,-1.333452768477995,559.2691636071013,5.088208792139791e-10,3.328012181714047e-09,RNA,P2vsP1_rna,PMM0289,tier1:gene_id
TX50_RS01505,-0.6207996938716358,323.5115282882176,0.0015070692165703,0.0032286864813329,RNA,P2vsP1_rna,PMM0290,tier1:gene_id
TX50_RS01510,0.969906239563879,437.2170395226368,1.923998128740721e-07,8.168166367658427e-07,RNA,P2vsP1_rna,PMM0291,tier1:gene_id
TX50_RS01515,0.8561428217689088,560.7838236243695,7.704912114267053e-06,2.440784293114193e-05,RNA,P2vsP1_rna,PMM0292,tier1:gene_id
TX50_RS01520,2.090727850685401,5622.621309346476,1.971164178441368e-15,2.918899915435978e-14,RNA,P2vsP1_rna,PMM0293,tier1:gene_id
TX50_RS01525,2.614302298316239,1128.176245354576,1.5840526867855353e-18,3.619853732395094e-17,RNA,P2vsP1_rna,PMM0294,tier1:gene_id
TX50_RS01530,-2.9933147598257195,391.9376816896077,4.565514907191359e-13,4.567982753087138e-12,RNA,P2vsP1_rna,PMM0295,tier1:gene_id
TX50_RS01535,-2.6027990768298896,847.3925968123949,1.5625396492101878e-12,1.4908561292206482e-11,RNA,P2vsP1_rna,PMM0296,tier1:gene_id
TX50_RS01540,-2.423102821974738,9654.683111930886,7.773251774230525e-12,6.786928789670141e-11,RNA,P2vsP1_rna,PMM0297,tier1:gene_id
TX50_RS01545,-2.94093226606978,5479.090592216683,3.8931999234799545e-13,3.937875988175626e-12,RNA,P2vsP1_rna,PMM0298,tier1:gene_id
TX50_RS01550,-3.629608082240469,8598.649499965704,2.7631488099400426e-13,2.841438026221677e-12,RNA,P2vsP1_rna,PMM0300,tier1:gene_id
TX50_RS01555,1.8521471545372523,1662.2171095451874,5.3874392199950226e-11,4.0210282242785434e-10,RNA,P2vsP1_rna,PMM0301,tier1:gene_id
TX50_RS01560,0.8593525938702435,420.5424720328882,0.0004568082976462,0.0011125686301883,RNA,P2vsP1_rna,PMM0302,tier1:gene_id
TX50_RS01565,-0.1016789285090535,35.423189825686066,0.7896022433192986,0.8271385129507763,RNA,P2vsP1_rna,PMM0303,tier1:gene_id
TX50_RS01570,0.9445921869218068,452.3129157798036,0.0037246788325022,0.0073266530488434,RNA,P2vsP1_rna,PMM0304,tier1:gene_id
TX50_RS01575,-0.5469651368304591,31.43060145907792,0.2965899081042715,0.3664805873838495,RNA,P2vsP1_rna,PMM1807,tier1:gene_id
TX50_RS01580,-4.160933650493375,368.04913369948576,3.6035203689462855e-25,2.3821843581855626e-23,RNA,P2vsP1_rna,PMM0305,tier1:gene_id
TX50_RS01585,-5.534383730343569,369.89436119296334,1.7863765671897309e-22,8.701534278600504e-21,RNA,P2vsP1_rna,PMM0306,tier1:gene_id
TX50_RS01590,-3.471888780582807,177.25582088816245,4.696159936067828e-18,1.0226578872542999e-16,RNA,P2vsP1_rna,PMM0307,tier1:gene_id
TX50_RS01595,-0.6458384238058487,353.1991264461917,0.0376606131144186,0.0601984411699385,RNA,P2vsP1_rna,PMM0308,tier1:gene_id
TX50_RS01600,2.783164267328629,79.55580286734173,2.1776946193324888e-10,1.5097051462114e-09,RNA,P2vsP1_rna,PMM0309,tier1:gene_id
TX50_RS01610,-1.907028379124431,236.9197786393272,1.9336615714389492e-09,1.1545830866882241e-08,RNA,P2vsP1_rna,PMM0310,tier1:gene_id
TX50_RS01615,-2.9803376205905403,2532.136837849361,5.417496740471034e-25,3.342595488870628e-23,RNA,P2vsP1_rna,PMM0311,tier1:gene_id
TX50_RS01620,-1.7250138951530125,3625.992478924513,6.92014502809276e-11,5.083011288491941e-10,RNA,P2vsP1_rna,PMM0312,tier1:gene_id
TX50_RS01625,-0.7183220318316748,1108.8169891493628,0.0004239842835793,0.001043610251204,RNA,P2vsP1_rna,PMM0313,tier1:gene_id
TX50_RS01630,-4.941761904645836,3573.371555576179,4.168699820854919e-17,8.122382493055215e-16,RNA,P2vsP1_rna,PMM0314,tier1:gene_id
TX50_RS01635,-4.9834320139481285,92864.1026498878,2.509433377388338e-21,1.0097741699012641e-19,RNA,P2vsP1_rna,PMM0315,tier1:gene_id
TX50_RS01640,-0.0349968612568501,966.9854330919892,0.9159578605783932,0.9358312847188625,RNA,P2vsP1_rna,PMM0316,tier1:gene_id
TX50_RS01645,-2.462679393452951,621.4108894597553,2.899115580102528e-11,2.2738402282922794e-10,RNA,P2vsP1_rna,PMM0317,tier1:gene_id
TX50_RS01650,-3.252994979874109,1287.117137699366,1.128078062926294e-20,3.793549892348872e-19,RNA,P2vsP1_rna,PMM0318,tier1:gene_id
TX50_RS01655,-0.3020215196325951,240.9649118589266,0.1731051854066314,0.2310149229903927,RNA,P2vsP1_rna,PMM0319,tier1:gene_id
TX50_RS01665,-0.3821155571301526,292.8137626549018,0.2861138099243379,0.3559117353292671,RNA,P2vsP1_rna,PMM0320,tier1:gene_id
