gene_id,logFC,AveExpr,pvalue,padj,Assay,contrast1
TX50_RS05125,2.66943422953288,2.04648812611898,4.6258767141607e-09,6.58724844096484e-06,Proteome,C3vsC1_prot
TX50_RS08845,-1.46986834208171,3.74974295298258,1.96455226890556e-08,8.01644774392301e-06,Proteome,C3vsC1_prot
TX50_RS05175,2.09128061930339,-0.20702444712321,2.00911331177339e-08,8.01644774392301e-06,Proteome,C3vsC1_prot
TX50_RS01795,1.919859568278,-2.13131898244222,2.31201271135035e-08,8.01644774392301e-06,Proteome,C3vsC1_prot
TX50_RS04030,-1.57960764567058,4.1085423151652,3.38841769914808e-08,8.01644774392301e-06,Proteome,C3vsC1_prot
TX50_RS04905,-1.57063293457031,1.97057069142659,4.36495162002558e-08,8.01644774392301e-06,Proteome,C3vsC1_prot
TX50_RS07865,2.10725593566895,1.29842980702718,4.79983237775677e-08,8.01644774392301e-06,Proteome,C3vsC1_prot
TX50_RS00070,-1.69755427042643,0.0152232487996415,5.25048364613909e-08,8.01644774392301e-06,Proteome,C3vsC1_prot
TX50_RS01980,3.11919911702474,0.916715558369955,5.69788312204681e-08,8.01644774392301e-06,Proteome,C3vsC1_prot
TX50_RS06240,-2.3471876780192,6.73638095855713,5.71068759893801e-08,8.01644774392301e-06,Proteome,C3vsC1_prot
TX50_RS09075,1.38907750447591,1.46785945892334,6.19248070106413e-08,8.01644774392301e-06,Proteome,C3vsC1_prot
TX50_RS05130,2.94700940450033,0.227648735046386,6.8635421037795e-08,8.14473662981834e-06,Proteome,C3vsC1_prot
TX50_RS04160,1.56427828470866,-0.19498831431071,1.01054671481286e-07,1.10693732453347e-05,Proteome,C3vsC1_prot
TX50_RS01985,2.24729983011881,-0.255776659647624,1.75208904180984e-07,1.78212485395515e-05,Proteome,C3vsC1_prot
TX50_RS02190,-2.09428723653158,6.42555141448975,2.19615088743655e-07,1.90732913107425e-05,Proteome,C3vsC1_prot
TX50_RS04640,1.17532348632812,2.2122173945109,2.23071702144459e-07,1.90732913107425e-05,Proteome,C3vsC1_prot
TX50_RS08275,-1.77450116475423,3.72251402537028,2.29902689848765e-07,1.90732913107425e-05,Proteome,C3vsC1_prot
TX50_RS04285,1.32777531941732,5.19382241566976,2.41094974433543e-07,1.90732913107425e-05,Proteome,C3vsC1_prot
TX50_RS00040,-1.31495030721029,1.58453591664632,2.84885329488777e-07,2.09315829452566e-05,Proteome,C3vsC1_prot
TX50_RS08855,-1.88213793436686,2.75473664601644,3.01088665422649e-07,2.09315829452566e-05,Proteome,C3vsC1_prot
TX50_RS05585,2.98526700337728,-1.72601579030355,3.18326151606814e-07,2.09315829452566e-05,Proteome,C3vsC1_prot
TX50_RS04105,-1.41452789306641,1.5891211827596,3.23381197187953e-07,2.09315829452566e-05,Proteome,C3vsC1_prot
TX50_RS05180,1.98950703938802,1.34725170135498,3.58893978105878e-07,2.22202184705552e-05,Proteome,C3vsC1_prot
TX50_RS04695,1.30895614624024,2.22548796335856,4.24107698711282e-07,2.43504839421586e-05,Proteome,C3vsC1_prot
TX50_RS01150,-2.20743942260743,5.90686562856038,4.27501473703627e-07,2.43504839421586e-05,Proteome,C3vsC1_prot
TX50_RS02935,1.04978624979655,5.6287738164266,5.20145801549379e-07,2.82727119816684e-05,Proteome,C3vsC1_prot
TX50_RS05135,2.99746449788411,-0.450893974304199,5.36069679427701e-07,2.82727119816684e-05,Proteome,C3vsC1_prot
TX50_RS05035,-1.56569862365723,1.39832604726156,5.88709543482324e-07,2.99400853542439e-05,Proteome,C3vsC1_prot
TX50_RS05115,1.37244033813477,1.07116629282634,8.14298964539954e-07,3.99848870863757e-05,Proteome,C3vsC1_prot
TX50_RS08280,-1.57293128967285,3.15144786834717,9.83931299263904e-07,4.36496332741234e-05,Proteome,C3vsC1_prot
TX50_RS00300,-1.71386210123698,0.909532864888509,1.00077145147186e-06,4.36496332741234e-05,Proteome,C3vsC1_prot
TX50_RS06225,1.29889551798503,0.964246559143067,1.01025256397276e-06,4.36496332741234e-05,Proteome,C3vsC1_prot
TX50_RS00240,1.37354342142741,-0.692998695373535,1.0289913863615e-06,4.36496332741234e-05,Proteome,C3vsC1_prot
TX50_RS01105,-1.75257682800293,4.29701951344808,1.04644907790356e-06,4.36496332741234e-05,Proteome,C3vsC1_prot
TX50_RS01365,1.03662236531576,5.18347199757894,1.09337052614341e-06,4.36496332741234e-05,Proteome,C3vsC1_prot
TX50_RS06245,-1.93101692199708,7.23700745900472,1.11648541123617e-06,4.36496332741234e-05,Proteome,C3vsC1_prot
TX50_RS08590,-1.52247873942057,-0.452088228861491,1.13415479715068e-06,4.36496332741234e-05,Proteome,C3vsC1_prot
TX50_RS08815,-1.30593744913737,0.760399436950683,1.22936609854336e-06,4.57462211239782e-05,Proteome,C3vsC1_prot
TX50_RS01155,1.095703125,1.72059116363525,1.25288105606401e-06,4.57462211239782e-05,Proteome,C3vsC1_prot
TX50_RS08715,1.03704071044922,3.51129322052002,1.36911615540473e-06,4.87405351324083e-05,Proteome,C3vsC1_prot
TX50_RS05170,2.02046203613281,-1.34694054921468,1.43492705337784e-06,4.91086340563671e-05,Proteome,C3vsC1_prot
TX50_RS06370,0.896831512451173,2.06182270050049,1.44842881346027e-06,4.91086340563671e-05,Proteome,C3vsC1_prot
TX50_RS01330,1.09511884053548,-0.063520622253418,1.61859678775258e-06,5.36019029246436e-05,Proteome,C3vsC1_prot
TX50_RS06550,-1.12112808227539,0.674932670593263,1.68695367771273e-06,5.45959553877937e-05,Proteome,C3vsC1_prot
TX50_RS06155,-1.72729810078939,0.806766064961751,2.01198516358472e-06,6.3668152732103e-05,Proteome,C3vsC1_prot
TX50_RS03160,-1.12042554219564,1.55098857879639,2.10177701157087e-06,6.50637057494984e-05,Proteome,C3vsC1_prot
TX50_RS08435,1.12217775980631,2.05778865814209,2.26271423733176e-06,6.85554271055409e-05,Proteome,C3vsC1_prot
TX50_RS01970,3.36823590596517,3.66575603485107,2.31110376664161e-06,6.85627450770345e-05,Proteome,C3vsC1_prot
TX50_RS01620,-1.27308400472005,4.75975157419841,2.36372170830428e-06,6.86926471964345e-05,Proteome,C3vsC1_prot
TX50_RS01975,3.17353884379069,-2.5107385635376,2.70458077199707e-06,7.70264603864766e-05,Proteome,C3vsC1_prot
TX50_RS05905,-1.15111859639486,1.17851238250732,3.00863010809659e-06,8.27580903354696e-05,Proteome,C3vsC1_prot
TX50_RS05640,1.36377461751302,4.71931934356689,3.03536638426126e-06,8.27580903354696e-05,Proteome,C3vsC1_prot
TX50_RS08860,-1.37660980224609,0.785802268981933,3.0801817329915e-06,8.27580903354696e-05,Proteome,C3vsC1_prot
TX50_RS08580,1.03982480367025,-0.801529630025228,3.18924201538877e-06,8.41014931465484e-05,Proteome,C3vsC1_prot
TX50_RS08935,-1.14509201049805,3.01510461171468,3.47281632200968e-06,8.8325962497014e-05,Proteome,C3vsC1_prot
TX50_RS01275,2.23080062866211,1.24846350351969,3.47349290718594e-06,8.8325962497014e-05,Proteome,C3vsC1_prot
TX50_RS09705,1.86899820963541,-2.78687496185303,3.83628989967125e-06,9.5839944160208e-05,Proteome,C3vsC1_prot
TX50_RS06265,0.986452102661133,0.845371182759603,4.30059375123666e-06,0.000105586991409673,Proteome,C3vsC1_prot
TX50_RS07090,0.99981180826823,4.39304955800374,4.63684581311331e-06,0.000111913024370735,Proteome,C3vsC1_prot
TX50_RS05580,3.6010570526123,-0.98016783396403,4.78808321114947e-06,0.000113637174877947,Proteome,C3vsC1_prot
TX50_RS08310,-1.60635058085123,4.49496402740479,4.93825582007705e-06,0.000115279939144094,Proteome,C3vsC1_prot
TX50_RS07880,1.08170445760091,1.01870543162028,5.52666322934383e-06,0.000126934974815897,Proteome,C3vsC1_prot
TX50_RS01075,0.915085474650068,3.43820107777913,5.63988136055414e-06,0.000127479223133795,Proteome,C3vsC1_prot
TX50_RS08085,-1.39427439371745,2.95740400950114,6.15724084197113e-06,0.000136998608733858,Proteome,C3vsC1_prot
TX50_RS05300,-3.50572141011556,-2.34145590464274,6.73011420974045e-06,0.000147441271302621,Proteome,C3vsC1_prot
TX50_RS01335,-1.01333427429199,3.62343667348226,6.93110189055258e-06,0.000149543774123437,Proteome,C3vsC1_prot
TX50_RS03080,-0.95157178243001,1.63768342336019,7.25141922757562e-06,0.000152219846790918,Proteome,C3vsC1_prot
TX50_RS02150,-2.85004679361979,1.93879095713297,7.26892526810563e-06,0.000152219846790918,Proteome,C3vsC1_prot
TX50_RS05720,-1.17574691772461,1.29704977671305,7.72531484857749e-06,0.000159432584701077,Proteome,C3vsC1_prot
TX50_RS03290,-1.07887585957845,3.6093905766805,8.24995163938722e-06,0.000167827587635534,Proteome,C3vsC1_prot
TX50_RS06635,-1.07988866170248,2.99758993784587,9.69279965084686e-06,0.000191861952263527,Proteome,C3vsC1_prot
TX50_RS05965,-1.18267504374186,4.50357265472412,9.70088522680753e-06,0.000191861952263527,Proteome,C3vsC1_prot
TX50_RS01170,-1.32558123270671,4.29227046966553,9.89581430582978e-06,0.000193036158513721,Proteome,C3vsC1_prot
TX50_RS05155,1.63081804911295,-0.421766217549642,1.17233722811377e-05,0.000225595704437028,Proteome,C3vsC1_prot
TX50_RS06615,-1.42769114176432,2.22413679758708,1.19555436248488e-05,0.000226995921623797,Proteome,C3vsC1_prot
TX50_RS00840,1.08763376871745,2.83088461558024,1.24632778444756e-05,0.000230770160111235,Proteome,C3vsC1_prot
TX50_RS00880,1.09134419759114,1.46256402333577,1.24784426464642e-05,0.000230770160111235,Proteome,C3vsC1_prot
TX50_RS09085,1.16849136352539,-0.401521746317545,1.29589246129595e-05,0.0002338912279814,Proteome,C3vsC1_prot
TX50_RS03415,-1.10013135274251,2.2690570195516,1.29757071703165e-05,0.0002338912279814,Proteome,C3vsC1_prot
TX50_RS01060,-0.98013432820638,3.47449003855387,1.33454105360078e-05,0.000237548307540939,Proteome,C3vsC1_prot
TX50_RS09080,1.43226877848307,-1.05001735687256,1.36055650294402e-05,0.000239189192616331,Proteome,C3vsC1_prot
TX50_RS03760,1.12862078348796,-0.0495739618937174,1.42749450599711e-05,0.000245750030134754,Proteome,C3vsC1_prot
TX50_RS01940,2.15016555786133,-0.150425656636557,1.44748456917438e-05,0.000245750030134754,Proteome,C3vsC1_prot
TX50_RS01260,1.06746927897135,2.23930009206136,1.44964905416569e-05,0.000245750030134754,Proteome,C3vsC1_prot
TX50_RS05100,3.52990849812825,-2.3178871790568,1.50585488193188e-05,0.000251183827232842,Proteome,C3vsC1_prot
TX50_RS08805,-1.48959223429362,-1.03661772410075,1.51698097907475e-05,0.000251183827232842,Proteome,C3vsC1_prot
TX50_RS04910,2.94569333394369,5.63148746490479,1.55927224038907e-05,0.000255218812679774,Proteome,C3vsC1_prot
TX50_RS06560,-1.33637619018555,1.96678104400635,1.62488124843722e-05,0.000262935329292569,Proteome,C3vsC1_prot
TX50_RS07875,0.952279408772787,0.345611763000488,1.67813076957777e-05,0.000268500923132443,Proteome,C3vsC1_prot
TX50_RS04280,-0.98554801940918,0.806985028584799,1.74449343727828e-05,0.000276017628298252,Proteome,C3vsC1_prot
TX50_RS07760,1.06208101908366,0.9247527440389,2.05319872806464e-05,0.000321291757007038,Proteome,C3vsC1_prot
TX50_RS07095,1.36444091796875,-0.0619487126668293,2.12359933665436e-05,0.000328696245151718,Proteome,C3vsC1_prot
TX50_RS02010,1.93627993265788,0.298176383972168,2.15643892243456e-05,0.000330190217800732,Proteome,C3vsC1_prot
TX50_RS02980,1.28855133056641,1.43700567881266,2.19351876013075e-05,0.000330441217996864,Proteome,C3vsC1_prot
TX50_RS04945,1.34133656819661,0.194511858622233,2.20448846275998e-05,0.000330441217996864,Proteome,C3vsC1_prot
TX50_RS01050,-1.1287047068278,4.61326910654704,2.34140284374794e-05,0.000347308088489277,Proteome,C3vsC1_prot
TX50_RS03840,1.3690611521403,-0.8033966700236,2.47921458810949e-05,0.000363958925099785,Proteome,C3vsC1_prot
TX50_RS02855,-1.29286829630534,1.40286362965902,2.65880938857326e-05,0.000386341282584523,Proteome,C3vsC1_prot
TX50_RS01835,-1.43406105041504,0.132149442036947,2.77676804087641e-05,0.000399405827293739,Proteome,C3vsC1_prot
TX50_RS09370,1.65009625752767,-1.69996636708577,3.01420727000016e-05,0.000428568904727046,Proteome,C3vsC1_prot
TX50_RS07765,1.4476941426595,0.971469434102376,3.03970922594323e-05,0.000428568904727046,Proteome,C3vsC1_prot
TX50_RS07180,0.853008270263671,3.23523057301839,3.14729342611904e-05,0.00043938684694054,Proteome,C3vsC1_prot
TX50_RS05590,2.20567766825358,-1.53733412424723,3.21848817845414e-05,0.000442226685060933,Proteome,C3vsC1_prot
TX50_RS04120,1.23487726847331,-0.205217806498209,3.22974545269221e-05,0.000442226685060933,Proteome,C3vsC1_prot
TX50_RS08615,-0.996609369913736,6.11639474232991,3.26914344259913e-05,0.000443358120215349,Proteome,C3vsC1_prot
TX50_RS08255,-2.08878707885742,3.08547649383545,3.34750673301688e-05,0.0004497027913034,Proteome,C3vsC1_prot
TX50_RS08335,-1.42333475748698,3.91561361948649,3.39512779322265e-05,0.000451837567995238,Proteome,C3vsC1_prot
TX50_RS05425,1.44658342997233,-2.33786907196045,3.62310081317033e-05,0.000477712551662458,Proteome,C3vsC1_prot
TX50_RS07345,-2.33996264139811,1.91046123504639,3.77294921320143e-05,0.000492906392623746,Proteome,C3vsC1_prot
TX50_RS01950,1.12980079650879,0.162848854064941,3.86035832903107e-05,0.000499740932776385,Proteome,C3vsC1_prot
TX50_RS04065,-1.66713905334473,4.25474160512288,4.11866641960798e-05,0.000526670945317691,Proteome,C3vsC1_prot
TX50_RS08325,-2.08644231160482,2.63077437082927,4.1423557496897e-05,0.000526670945317691,Proteome,C3vsC1_prot
TX50_RS04250,-0.810616811116533,1.51639855702718,4.36466568896977e-05,0.00054834957283324,Proteome,C3vsC1_prot
TX50_RS07755,-1.52969169616699,3.03145872751872,4.41393292198561e-05,0.00054834957283324,Proteome,C3vsC1_prot
TX50_RS09070,-1.12418492635091,1.92475719451904,4.42838489296507e-05,0.00054834957283324,Proteome,C3vsC1_prot
TX50_RS04725,0.943929036458335,-0.808393033345541,4.53807667284608e-05,0.000557088032942484,Proteome,C3vsC1_prot
TX50_RS09360,0.739273071289061,1.34657001495361,4.63493665094673e-05,0.000564115366747705,Proteome,C3vsC1_prot
TX50_RS04565,-0.742592493693034,0.478906186421712,4.70033522453589e-05,0.000567226894893145,Proteome,C3vsC1_prot
TX50_RS09190,1.54566383361816,1.11567732493083,5.03364702516459e-05,0.000602345660826418,Proteome,C3vsC1_prot
TX50_RS02505,-1.14590390523275,0.380782127380371,5.09189439887969e-05,0.000604238135333723,Proteome,C3vsC1_prot
TX50_RS08375,2.6406717300415,-4.36369959513346,5.29395108941967e-05,0.000623023665399472,Proteome,C3vsC1_prot
TX50_RS09205,-0.875301361083985,1.04303747812907,5.47741970879273e-05,0.000637948293842063,Proteome,C3vsC1_prot
TX50_RS08260,-2.09197362263997,4.16898136138916,5.53472917046741e-05,0.000637948293842063,Proteome,C3vsC1_prot
TX50_RS00795,-1.09266535441081,1.46346391042074,5.55516772727639e-05,0.000637948293842063,Proteome,C3vsC1_prot
TX50_RS01670,0.821605682373043,2.70349496205648,5.75071479162512e-05,0.000655121429061933,Proteome,C3vsC1_prot
TX50_RS07610,0.9614626566569,2.91997890472412,5.97184645801374e-05,0.000674003095580404,Proteome,C3vsC1_prot
TX50_RS02550,-1.3081849416097,1.28997236887614,6.01112311367355e-05,0.000674003095580404,Proteome,C3vsC1_prot
TX50_RS07780,0.892047246297199,-0.581471443176269,6.18547161524719e-05,0.000688133717196249,Proteome,C3vsC1_prot
TX50_RS08210,-1.72023137410481,2.17770417531331,6.24728039826751e-05,0.000689622270320382,Proteome,C3vsC1_prot
TX50_RS05160,2.26979764302572,6.39999281565348,6.30424975386788e-05,0.000690557819192912,Proteome,C3vsC1_prot
TX50_RS08500,-1.05203692118327,0.684034792582194,6.35882924473835e-05,0.000691219301107436,Proteome,C3vsC1_prot
TX50_RS00020,1.1005121866862,3.00589186350505,6.82490726802919e-05,0.000732235069878732,Proteome,C3vsC1_prot
TX50_RS08600,-1.2245012919108,2.41143372853597,6.838993279064e-05,0.000732235069878732,Proteome,C3vsC1_prot
TX50_RS02485,-1.63129170735677,3.42527955373128,7.07088038669857e-05,0.000751412960496923,Proteome,C3vsC1_prot
TX50_RS01770,1.85375467936198,-2.26073169708252,7.31301894101569e-05,0.000771388072000469,Proteome,C3vsC1_prot
TX50_RS01495,-0.897199630737306,1.06928641001383,7.39736825548745e-05,0.000774547970280451,Proteome,C3vsC1_prot
TX50_RS05120,-0.859467824300126,2.97983455657959,7.46624340249567e-05,0.000776053328843346,Proteome,C3vsC1_prot
TX50_RS00900,1.29653294881185,-1.63786614735921,7.73880713834206e-05,0.000795141065523469,Proteome,C3vsC1_prot
TX50_RS08110,0.947477976481121,1.84240258534749,7.76155955812936e-05,0.000795141065523469,Proteome,C3vsC1_prot
TX50_RS07480,1.67613792419433,0.585858853658042,8.19180615169032e-05,0.000831622966786567,Proteome,C3vsC1_prot
TX50_RS09195,0.874505360921226,-1.65886631011963,8.23446898292878e-05,0.000831622966786567,Proteome,C3vsC1_prot
TX50_RS02580,-1.11319986979167,1.89687061309815,8.75272535642185e-05,0.000877738092080614,Proteome,C3vsC1_prot
TX50_RS00200,0.873753865559896,1.32367496490478,9.15613703426205e-05,0.000911771967607633,Proteome,C3vsC1_prot
TX50_RS05270,1.02427101135254,3.10894578297933,9.30885909064879e-05,0.000920542732297491,Proteome,C3vsC1_prot
TX50_RS04720,1.15099843343099,0.482583300272624,9.55074343609639e-05,0.000937948872620776,Proteome,C3vsC1_prot
TX50_RS05620,1.49922116597494,-2.50746949513753,9.85405131814574e-05,0.000961107471030105,Proteome,C3vsC1_prot
TX50_RS09045,1.31686019897461,-0.0026130040486653,9.9272128872008e-05,0.000961656540909792,Proteome,C3vsC1_prot
TX50_RS07260,0.761528015136721,2.47371616363525,0.000101165538520698,0.000973376532793742,Proteome,C3vsC1_prot
