gene_id,logFC,AveExpr,pvalue,padj,Assay,contrast1
ACZ81_RS05640,0.913486795257903,223.19618672353224,0.0618390823479883,0.147576492191205,RNA,C5vsC1_rna
ACZ81_RS05645,-1.2356541722074967,69.80144169703077,0.0007632549555691273,0.0050447757524601,RNA,C5vsC1_rna
ACZ81_RS05650,0.4106916434312327,19.83568114012046,0.5051518829626667,0.666448324382183,RNA,C5vsC1_rna
ACZ81_RS05655,-0.3429016641436309,30.93380350477277,0.4277061985466476,0.5963336431336673,RNA,C5vsC1_rna
ACZ81_RS05660,0.5854610627384756,149.05091059588958,0.1144473511039202,0.2347457937775705,RNA,C5vsC1_rna
ACZ81_RS05665,-0.1816475900332883,97.33783922008038,0.6608767399231621,0.7902864880991575,RNA,C5vsC1_rna
ACZ81_RS05670,-0.9534163486474692,37.50619241085416,0.0904115381619809,0.1955423671729744,RNA,C5vsC1_rna
ACZ81_RS05675,-0.0805727566934974,57.94143290117224,0.873733967810932,0.9298665807544724,RNA,C5vsC1_rna
ACZ81_RS05680,5.194237475800191,25.255458517922825,0.00025600639308305496,0.0020737336483023,RNA,C5vsC1_rna
ACZ81_RS05685,0.5494595976283952,19.816748297045915,0.4882632074960931,0.6529426709476367,RNA,C5vsC1_rna
ACZ81_RS05690,-0.2408693480227026,85.26352510915808,0.5484639284400088,0.7018938695060017,RNA,C5vsC1_rna
ACZ81_RS05695,0.7306265609024492,84.18470542666618,0.0292726092868302,0.083886934613402,RNA,C5vsC1_rna
ACZ81_RS05700,1.4905031379657965,1762.4468863191707,6.712680375993508e-08,1.7954182445657302e-06,RNA,C5vsC1_rna
ACZ81_RS05705,0.6418771655342373,1285.645759627206,0.01832065549965,0.0594199433020178,RNA,C5vsC1_rna
ACZ81_RS05710,0.649104337528894,663.3047323313591,0.0088774975161515,0.0343457280952749,RNA,C5vsC1_rna
ACZ81_RS05715,0.8443337347376978,584.4181846607578,0.0035958029881997,0.0172545121095733,RNA,C5vsC1_rna
ACZ81_RS05720,2.699139689234637,157.51732661266388,3.047494819320076e-05,0.0003533997132386642,RNA,C5vsC1_rna
ACZ81_RS05725,3.853069762463333,1073.8797230958648,4.872714844343189e-07,1.0741391184343337e-05,RNA,C5vsC1_rna
ACZ81_RS05730,-0.1898814617822063,1348.1286345884737,0.7192591071492841,0.8301690270088975,RNA,C5vsC1_rna
ACZ81_RS05735,-0.388868316657985,356.47159428632096,0.553938339968737,0.7068704261942025,RNA,C5vsC1_rna
ACZ81_RS05740,-0.4526582739058763,1964.0862878080536,0.6344446287972987,0.7699167327162475,RNA,C5vsC1_rna
ACZ81_RS05745,-0.1438197923400666,277.08517071277544,0.5828040562327692,0.7290956886828407,RNA,C5vsC1_rna
ACZ81_RS05755,-1.998428265680417,76.76553653405144,0.00043205511086999193,0.0031573863475599,RNA,C5vsC1_rna
ACZ81_RS05760,-1.3114187162269215,684.8460278210642,0.0059175331979285,0.0253373993490816,RNA,C5vsC1_rna
ACZ81_RS05765,-0.3163202866354057,28.45037405741035,0.651627390883132,0.7829676826065067,RNA,C5vsC1_rna
ACZ81_RS05770,-1.0473523437568608,70.99098570593347,0.0124373456201423,0.0443937994911132,RNA,C5vsC1_rna
ACZ81_RS05775,-0.5504177129192384,190.284550955339,0.2126166770124042,0.3670473787322572,RNA,C5vsC1_rna
ACZ81_RS05780,-0.1270444843896195,224.66408684969824,0.702204341183985,0.818490359334732,RNA,C5vsC1_rna
ACZ81_RS05785,1.8821221814438196,324.22257412111804,3.360450901615002e-06,5.371366142342386e-05,RNA,C5vsC1_rna
ACZ81_RS05790,2.3764716588139945,616.4725750529196,5.957469485017973e-06,8.951823061382812e-05,RNA,C5vsC1_rna
ACZ81_RS05795,0.9159065722721624,79.11216632836158,0.0094480172633018,0.036134838189101,RNA,C5vsC1_rna
ACZ81_RS05800,-0.2131428134051726,24.7735952897192,0.7899321888006412,0.8754418823964564,RNA,C5vsC1_rna
ACZ81_RS05805,1.1365983645677478,1117.6853492055236,0.0025491590882154,0.0129458560277473,RNA,C5vsC1_rna
ACZ81_RS05810,0.3775402539009118,1020.5501925076384,0.3941808298247356,0.5625946244243469,RNA,C5vsC1_rna
ACZ81_RS05815,0.9431425483319864,93.13349226785124,0.0303921540556463,0.0862939292790183,RNA,C5vsC1_rna
ACZ81_RS05820,0.1801758128631627,263.6191902630438,0.545655298836998,0.6992084236674979,RNA,C5vsC1_rna
ACZ81_RS05825,-0.0066641126739266,948.0305282251372,0.9769609279173171,0.992295504507412,RNA,C5vsC1_rna
ACZ81_RS05830,0.3818011598560146,515.3417852054031,0.1197087312771962,0.2419503425108873,RNA,C5vsC1_rna
ACZ81_RS05835,0.7310639275320219,511.0986475632391,0.0095473854972373,0.0364107515350915,RNA,C5vsC1_rna
ACZ81_RS05840,0.5253001924293461,146.5255195390465,0.2918315132674051,0.4534577967578735,RNA,C5vsC1_rna
ACZ81_RS05845,-1.2713700040490257,1448.752118324314,0.0034577534438443,0.0167734284292856,RNA,C5vsC1_rna
ACZ81_RS05850,-1.3073226080029812,479.2058468097696,0.0004303339685583824,0.0031505472296646,RNA,C5vsC1_rna
ACZ81_RS05855,-0.2780102512335967,584.1046475252674,0.2980199113019443,0.4600445879736053,RNA,C5vsC1_rna
ACZ81_RS05860,0.7540054371824431,1000.7751688884176,0.0027400216003889,0.0137756474445622,RNA,C5vsC1_rna
ACZ81_RS05865,0.3967008204964053,734.7726611435351,0.3130865191459035,0.4779692217706868,RNA,C5vsC1_rna
