gene_id,logFC,AveExpr,pvalue,padj,Assay,contrast1,resolved_locus_tag,resolution_method
TX50_RS08690,0.5378738835078098,10774.508486395858,0.0075350099804066,0.0264082797605523,RNA,LATEvsP1_rna,PMM1625,tier1:gene_id
TX50_RS08695,1.6278609826428332,163.7593705892527,2.9746980367077116e-09,9.989576861452988e-08,RNA,LATEvsP1_rna,PMM1626,tier1:gene_id
TX50_RS08700,-1.1611856595052146,279.917414059238,5.713828995334844e-06,6.989034539326792e-05,RNA,LATEvsP1_rna,PMM1627,tier1:gene_id
TX50_RS08705,0.8777342287136097,143.94886823692048,0.0143284492649478,0.0446284077442811,RNA,LATEvsP1_rna,PMM1628,tier1:gene_id
TX50_RS08710,0.8246264232670261,8609.668744468254,0.0448746485846692,0.1043872492895265,RNA,LATEvsP1_rna,PMM1629,tier1:gene_id
TX50_RS08715,0.3898642341091772,2787.643539613377,0.0909262583388761,0.1775078467441205,RNA,LATEvsP1_rna,PMM1630,tier1:gene_id
TX50_RS08720,2.091999891167625,2.855241535821699,0.0898702701140367,0.1766638461884824,RNA,LATEvsP1_rna,PMM1631,tier1:gene_id
TX50_RS08725,-0.8478061318920465,5.695472216664748,0.272408594209705,0.4042567806977765,RNA,LATEvsP1_rna,PMM1632,tier1:gene_id
TX50_RS08730,-1.040617615585681,158.51806609637043,4.042634240054183e-05,0.0003522020865748,RNA,LATEvsP1_rna,PMM1633,tier1:gene_id
TX50_RS08735,-0.4381940221419768,1022.6785113067084,0.0939223714612237,0.1816488168469949,RNA,LATEvsP1_rna,PMM1634,tier1:gene_id
TX50_RS08740,0.6465389293986901,58.28873540398993,0.1140687449320993,0.2090128689380828,RNA,LATEvsP1_rna,PMM1635,tier1:gene_id
TX50_RS08745,0.1023272885087092,1649.3640133558429,0.6235200889995303,0.7293487044852011,RNA,LATEvsP1_rna,PMM1636,tier1:gene_id
TX50_RS08750,0.5760652517558557,325.565373693113,0.0009057720791088,0.0047662707410655,RNA,LATEvsP1_rna,PMM1637,tier1:gene_id
TX50_RS08755,0.6469503420509201,310.6438681361831,0.0004485621408491,0.002638516796651,RNA,LATEvsP1_rna,PMM1638,tier1:gene_id
TX50_RS08760,0.3483586474319324,2274.0850408373176,0.0339731199424599,0.0835530659570219,RNA,LATEvsP1_rna,PMM1639,tier1:gene_id
TX50_RS08765,-0.100061215918307,78.2068439510542,0.7413699662921744,0.8179870536091076,RNA,LATEvsP1_rna,PMM1640,tier1:gene_id
TX50_RS08770,0.1042712309497385,69.62757422951914,0.7066326960948255,0.7906983451255739,RNA,LATEvsP1_rna,PMM1641,tier1:gene_id
