alt_id,locus_tag,source_col,source_csv,paper
dnaN,P9301_00001,uniprot_gene_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
P9301_00001,P9301_00001,uniprot_gene_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
A3PA48_PROM0,P9301_00001,uniprot_entry_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
2626313079,P9301_00001,ID,9301_annotated_genome.csv,Anjur-Dietrich 2025
dnaN,P9301_00001,em_Preferred_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
2626313079,P9301_00001,ID,de_genes_freeliving_vs_biofilms.csv,Anjur-Dietrich 2025
P9301_00011,P9301_00011,uniprot_gene_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
A3PA49_PROM0,P9301_00011,uniprot_entry_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
2626313080,P9301_00011,ID,9301_annotated_genome.csv,Anjur-Dietrich 2025
purL,P9301_00021,uniprot_gene_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
P9301_00021,P9301_00021,uniprot_gene_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
PURL_PROM0,P9301_00021,uniprot_entry_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
2626313081,P9301_00021,ID,9301_annotated_genome.csv,Anjur-Dietrich 2025
purL,P9301_00021,em_Preferred_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
purF,P9301_00031,uniprot_gene_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
P9301_00031,P9301_00031,uniprot_gene_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
A3PA51_PROM0,P9301_00031,uniprot_entry_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
2626313082,P9301_00031,ID,9301_annotated_genome.csv,Anjur-Dietrich 2025
purF,P9301_00031,em_Preferred_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
P9301_00041,P9301_00041,uniprot_gene_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
A3PA52_PROM0,P9301_00041,uniprot_entry_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
2626312400,P9301_00041,ID,9301_annotated_genome.csv,Anjur-Dietrich 2025
2626313083,P9301_00041,ID,9301_annotated_genome.csv,Anjur-Dietrich 2025
P9301_00051,P9301_00051,uniprot_gene_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
A3PA53_PROM0,P9301_00051,uniprot_entry_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
2626313084,P9301_00051,ID,9301_annotated_genome.csv,Anjur-Dietrich 2025
P9301_00061,P9301_00061,uniprot_gene_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
A3PA54_PROM0,P9301_00061,uniprot_entry_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
2626313085,P9301_00061,ID,9301_annotated_genome.csv,Anjur-Dietrich 2025
queG,P9301_00061,em_Preferred_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
P9301_00071,P9301_00071,uniprot_gene_name,9301_annotated_genome.csv,Anjur-Dietrich 2025
