baseMean,log2FoldChange (positive means more highly expressed in mitomycin C treatment),lfcSE,stat,pvalue,padj,gene,resolved_locus_tag,resolution_method
1331.611783,-2.567047172,0.165529939,-15.50805366,3.06e-54,1.59e-53,MIT0604_00035,EW14_0035,tier1:gene
628.3748123,2.068152136,0.175174847,11.8062163,3.63e-32,1.24e-31,MIT0604_00036,EW14_0036,tier1:gene
2049.223963,-0.313153223,0.091324724,-3.429008141,0.000606,0.000819,MIT0604_00037,EW14_0037,tier1:gene
913.0817263,1.795906304,0.115765014,15.51337698,2.82e-54,1.46e-53,MIT0604_00038,EW14_0038,tier1:gene
1977.092513,3.125209299,0.219356239,14.24718675,4.6699999999999995e-46,2.11e-45,MIT0604_00039,EW14_0039,tier1:gene
3659.18232,6.35040262,0.140839985,45.08948664,0.0,0.0,MIT0604_00040,EW14_0040,tier1:gene
1068.1054,2.921702922,0.165549561,17.64850903,1.04e-69,6.54e-69,MIT0604_00041,EW14_0041,tier1:gene
4940.467999,-0.29041475,0.117185052,-2.478257632,0.013202578,0.016192736,MIT0604_00042,EW14_0042,tier1:gene
5408.550408,2.575848051,0.105846916,24.33559853,8.24e-131,1.1500000000000001e-129,MIT0604_00043,EW14_0043,tier1:gene
1504.606719,3.522150125,0.148800568,23.67027331,7.300000000000001e-124,9.28e-123,MIT0604_00044,EW14_0044,tier1:gene
405.7582484,1.124936066,0.186582543,6.029160344,1.65e-09,2.99e-09,MIT0604_00045,EW14_0045,tier1:gene
703.5593498,1.045827691,0.120847332,8.654123147,4.97e-18,1.17e-17,MIT0604_00046,EW14_0046,tier1:gene
403.0211227,0.403037199,0.111916016,3.601246832,0.000317,0.000435,MIT0604_00047,EW14_0047,tier1:gene
105.8157121,1.959603058,0.225578149,8.687025186,3.72e-18,8.87e-18,MIT0604_00048,EW14_0048,tier1:gene
265.7956827,-0.707813664,0.156889454,-4.511543916,6.44e-06,9.85e-06,MIT0604_00049,EW14_0049,tier1:gene
17.53016679,-0.609009839,0.502847082,-1.211123341,0.225848137,0.249090052,MIT0604_00050,EW14_0050,tier1:gene
533.3259458,1.278896153,0.148141511,8.632935807,5.98e-18,1.4e-17,MIT0604_00051,EW14_0051,tier1:gene
597.7074047,0.73694345,0.137761882,5.349400296,8.82e-08,1.46e-07,MIT0604_00052,EW14_0052,tier1:gene
2059.263707,1.648906995,0.165309773,9.97464923,1.9699999999999998e-23,5.369999999999999e-23,MIT0604_00053,EW14_0053,tier1:gene
1301.783435,4.217005785,0.113198716,37.25312375,9.43e-304,6.030000000000001e-302,MIT0604_00054,EW14_0054,tier1:gene
194.1345113,4.41430873,0.262794056,16.79759733,2.54e-63,1.48e-62,MIT0604_00055,EW14_0055,tier1:gene
5481.675767,1.212098166,0.19554493,6.198566068,5.7e-10,1.05e-09,MIT0604_00056,EW14_0056,tier1:gene
1453.829068,-0.193108115,0.09618634,-2.007645951,0.044680928,0.052807078,MIT0604_00057,EW14_0057,tier1:gene
831.048572,2.492658397,0.09823402,25.37469602,4.8e-142,7.8e-141,MIT0604_00058,EW14_0058,tier1:gene
630.8156196,-0.803328278,0.145316872,-5.528114289,3.24e-08,5.5e-08,MIT0604_00059,EW14_0059,tier1:gene
1359.51365,2.935934301,0.121671168,24.13007414,1.21e-128,1.63e-127,MIT0604_00060,EW14_0060,tier1:gene
4015.195559,-2.804533785,0.129084811,-21.72628797,1.1599999999999999e-104,1.16e-103,MIT0604_00061,EW14_0061,tier1:gene
802.7715755,4.712637691,0.186327821,25.29218485,3.89e-141,6.279999999999999e-140,MIT0604_00062,EW14_0062,tier1:gene
959.1370616,-0.041179915,0.129415989,-0.318198049,0.750334713,0.769892309,MIT0604_00063,EW14_0063,tier1:gene
4097.208565,0.208957743,0.096898938,2.156450283,0.031048522,0.037145719,MIT0604_00064,EW14_0064,tier1:gene
4369.22167,0.059843352,0.124179937,0.481908379,0.629871034,0.654822756,MIT0604_00065,EW14_0065,tier1:gene
554.79691,-1.790089785,0.11451221,-15.63230498,4.39e-55,2.35e-54,MIT0604_00066,EW14_0066,tier1:gene
1230.406495,-3.96188758,0.147446755,-26.86995444,4.93e-159,9.43e-158,MIT0604_00067,EW14_0067,tier1:gene
452.8741151,3.729964622,0.162520906,22.95067584,1.4500000000000002e-116,1.64e-115,MIT0604_00068,EW14_0068,tier1:gene
16.66971544,0.999115349,0.621709665,1.607044904,0.108044518,0.123419156,MIT0604_00069,EW14_0069,tier1:gene
502.6401099,1.335364534,0.131915471,10.12288039,4.37e-24,1.2099999999999999e-23,MIT0604_00071,EW14_0071,tier1:gene
385.6008791,-0.674779259,0.173244001,-3.894964642,9.82e-05,0.00014,MIT0604_00072,EW14_0072,tier1:gene
785.6664535,-1.731092427,0.135044483,-12.81868308,1.2900000000000001e-37,4.95e-37,MIT0604_00073,EW14_0073,tier1:gene
2018.74156,-5.927882163,0.213244823,-27.79848097,4.5299999999999995e-170,9.850000000000001e-169,MIT0604_00074,EW14_0074,tier1:gene
2543.61923,-5.034152295,0.144207937,-34.90898206,5.43e-267,2.47e-265,MIT0604_00075,EW14_0075,tier1:gene
1937.693694,-1.317674055,0.137462183,-9.585720428,9.18e-22,2.39e-21,MIT0604_00076,EW14_0076,tier1:gene
671.5300785,-1.276619179,0.133275373,-9.578807761,9.82e-22,2.5600000000000003e-21,MIT0604_00077,EW14_0077,tier1:gene
477.2617175,0.862003666,0.132290931,6.515969447,7.22e-11,1.38e-10,MIT0604_00078,EW14_0078,tier1:gene
1895.650535,-2.956354388,0.108826669,-27.16571603,1.65e-162,3.3100000000000003e-161,MIT0604_00080,EW14_0080,tier1:gene
248.9756519,-0.972876952,0.143909704,-6.760329071,1.38e-11,2.72e-11,MIT0604_00081,EW14_0081,tier1:gene
1650.884261,-4.150854254,0.174530543,-23.78296759,5.01e-125,6.49e-124,MIT0604_00082,EW14_0082,tier1:gene
9710.099303,-1.215706989,0.109357087,-11.11685597,1.04e-28,3.21e-28,MIT0604_00083,EW14_0083,tier1:gene
419.4074036,0.714168324,0.15005128,4.759495035,1.94e-06,3.04e-06,MIT0604_00084,EW14_0084,tier1:gene
2887.621016,1.110357747,0.111931605,9.919966289,3.4099999999999995e-23,9.229999999999999e-23,MIT0604_00085,EW14_0085,tier1:gene
232.3997245,0.669295009,0.235914484,2.837023818,0.004553621,0.00577168,MIT0604_00086,EW14_0086,tier1:gene
492.3781844,-0.334670882,0.117144631,-2.856903283,0.004277962,0.005449277,MIT0604_00087,EW14_0087,tier1:gene
1579.361728,-1.671990594,0.141576029,-11.80984245,3.4700000000000003e-32,1.1900000000000002e-31,MIT0604_00088,EW14_0088,tier1:gene
286.6305717,1.049652072,0.141620314,7.411733816,1.25e-13,2.61e-13,MIT0604_00089,EW14_0089,tier1:gene
692.7492711,0.544205412,0.100213832,5.430442099,5.62e-08,9.39e-08,MIT0604_00090,EW14_0090,tier1:gene
977.4286813,0.604292295,0.119234657,5.068092723,4.02e-07,6.49e-07,MIT0604_00091,EW14_0091,tier1:gene
1695.826624,-1.571953426,0.153845252,-10.21775718,1.65e-24,4.63e-24,MIT0604_00092,EW14_0092,tier1:gene
4007.899112,-2.013229627,0.141268821,-14.25105418,4.4199999999999995e-46,2.01e-45,MIT0604_00093,EW14_0093,tier1:gene
39.58569391,0.146718133,0.507886304,0.288879876,0.772673304,0.790435909,MIT0604_00094,EW14_0094,tier1:gene
1646.696339,-2.51130749,0.224734652,-11.17454504,5.430000000000001e-29,1.7e-28,MIT0604_00095,EW14_0095,tier1:gene
146.6491609,-2.424818197,0.255897953,-9.47572331,2.6500000000000003e-21,6.85e-21,MIT0604_00096,EW14_0096,tier1:gene
1330.846592,-1.916037246,0.162188308,-11.81365828,3.32e-32,1.14e-31,MIT0604_00097,EW14_0097,tier1:gene
537.547941,-1.079337993,0.159867965,-6.751433881,1.46e-11,2.89e-11,MIT0604_00098,EW14_0098,tier1:gene
196.345821,0.909617767,0.182524684,4.983532895,6.24e-07,1e-06,MIT0604_00099,EW14_0099,tier1:gene
589.6308294,-2.09940892,0.229286358,-9.156274884,5.37e-20,1.34e-19,MIT0604_00100,EW14_0100,tier1:gene
366.7742002,0.956862323,0.122255426,7.826747267,5.01e-15,1.09e-14,MIT0604_00101,EW14_0101,tier1:gene
824.9712701,-0.341383369,0.097973784,-3.484435882,0.000493,0.000669,MIT0604_00102,EW14_0102,tier1:gene
257.8740345,0.818993502,0.125526021,6.524491858,6.82e-11,1.31e-10,MIT0604_00103,EW14_0103,tier1:gene
1739.094433,0.092643931,0.108051793,0.857402999,0.391222202,0.417317274,MIT0604_00104,EW14_0104,tier1:gene
1172.364527,0.140427963,0.113090193,1.241734223,0.214334639,0.237158381,MIT0604_00105,EW14_0105,tier1:gene
1600.323443,-0.934006338,0.154119515,-6.060273037,1.36e-09,2.47e-09,MIT0604_00106,EW14_0106,tier1:gene
