mit0604_id,locus_tag
MIT0604_00160,EW14_0160
MIT0604_00161,EW14_0161
MIT0604_00162,EW14_0162
MIT0604_00163,EW14_0163
MIT0604_00164,EW14_0164
MIT0604_00165,EW14_0165
MIT0604_00166,EW14_0166
MIT0604_00167,EW14_0167
MIT0604_00168,EW14_0168
MIT0604_00169,EW14_0169
MIT0604_00170,EW14_0170
MIT0604_00171,EW14_0171
MIT0604_00172,EW14_0172
MIT0604_00173,EW14_0173
MIT0604_00174,EW14_0174
MIT0604_00175,EW14_0175
MIT0604_00176,EW14_0176
MIT0604_00177,EW14_0177
MIT0604_00178,EW14_0178
MIT0604_00179,EW14_0179
MIT0604_00180,EW14_0180
MIT0604_00181,EW14_0181
MIT0604_00182,EW14_0182
MIT0604_00183,EW14_0183
MIT0604_00184,EW14_0184
MIT0604_00185,EW14_0185
MIT0604_00186,EW14_0186
MIT0604_00187,EW14_0187
MIT0604_00188,EW14_0188
MIT0604_00189,EW14_0189
MIT0604_00190,EW14_0190
MIT0604_00191,EW14_0191
MIT0604_00192,EW14_0192
MIT0604_00193,EW14_0193
MIT0604_00194,EW14_0194
MIT0604_00195,EW14_0195
MIT0604_00196,EW14_0196
MIT0604_00197,EW14_0197
MIT0604_00198,EW14_0198
MIT0604_00199,EW14_0199
MIT0604_00200,EW14_0200
MIT0604_00201,EW14_0201
MIT0604_00202,EW14_0202
MIT0604_00203,EW14_0203
MIT0604_00204,EW14_0204
MIT0604_00205,EW14_0205
MIT0604_00206,EW14_0206
MIT0604_00207,EW14_0207
MIT0604_00208,EW14_0208
MIT0604_00209,EW14_0209
MIT0604_00210,EW14_0210
MIT0604_00211,EW14_0211
MIT0604_00212,EW14_0212
MIT0604_00213,EW14_0213
MIT0604_00214,EW14_0214
MIT0604_00215,EW14_0215
MIT0604_00216,EW14_0216
MIT0604_00217,EW14_0217
MIT0604_00218,EW14_0218
MIT0604_00219,EW14_0219
MIT0604_00220,EW14_0220
MIT0604_00221,EW14_0221
MIT0604_00222,EW14_0222
MIT0604_00223,EW14_0223
MIT0604_00224,EW14_0224
MIT0604_00225,EW14_0225
MIT0604_00226,EW14_0226
MIT0604_00227,EW14_0227
MIT0604_00228,EW14_0228
MIT0604_00229,EW14_0229
MIT0604_00230,EW14_0230
MIT0604_00231,EW14_0231
MIT0604_00232,EW14_0232
MIT0604_00233,EW14_0233
MIT0604_00234,EW14_0234
MIT0604_00235,EW14_0235
MIT0604_00236,EW14_0236
MIT0604_00237,EW14_0237
MIT0604_00238,EW14_0238
