locus_tag,dark_count_rpkm,light_count_rpkm,log2_fold_change,direction,infection_status,time_point_h,inoculation_type,gene_function,pathway
PMM0356,17034,1229,3.793,up,infected,4.5,phage,Proline iminopeptidase (EC 3.4.11.5),Arginine and proline metabolism
PMM1176,2236,451,2.311,up,infected,4.5,phage,"Possible Helix-turn-helix protein, CopG family",Transcriptional regulation
PMM0348,2839,888,1.676,up,infected,4.5,phage,Possible Spectrin repeat,Cytoskeleton
PMM1289,89,707,-2.995,down,infected,4.5,phage,"Cyanobacteria-specific RpoD-like sigma factor, type-12",RNA polymerase
PMM1711,251,1053,-2.07,down,infected,4.5,phage,"sps, Sucrose phosphate synthase( EC:2.4.1.14 )",Starch and sucrose metabolism
PMM0243,224,863,-1.946,down,infected,4.5,phage,"thyX, Thymidylate synthase thyX (EC 2.1.1.-)",Pyrimidine metabolism
PMM0244,352,1286,-1.871,down,infected,4.5,phage,"dcd, Deoxycytidine triphosphate deaminase (EC 3.5.4.13)",Pyrimidine metabolism
PMM1309,190,661,-1.801,down,infected,4.5,phage,"ftsZ, Cell division protein FtsZ (EC 3.4.24.-)",Cell division
PMM0245,284,924,-1.701,down,infected,4.5,phage,cob(I)alamin adenosyltransferase,Porphyrin and chlorophyll metabolism
PMM0577,345,1038,-1.587,down,infected,4.5,phage,"Cyanobacteria-specific RpoD-like sigma factor, type-14",Transcriptional regulation
