locus_tag,dark_count_rpkm,light_count_rpkm,log2_fold_change,direction,infection_status,time_point_h,inoculation_type,gene_function,pathway,resolved_locus_tag,resolution_method
PMM0356,11503,1484,2.955,up,uninfected,4.5,spent medium,Proline iminopeptidase (EC 3.4.11.5),Arginine and proline metabolism,PMM0356,locus_tag:locus_tag
PMM1176,2387,370,2.691,up,uninfected,4.5,spent medium,"Possible Helix-turn-helix protein, CopG family",Transcriptional regulation,PMM1176,locus_tag:locus_tag
PMM1058,490,94,2.379,up,uninfected,4.5,spent medium,"petG, Cytochrome b6-f complex subunit V (PetG)",Photosynthesis,PMM1058,locus_tag:locus_tag
PMM1400,3777,1174,1.686,up,uninfected,4.5,spent medium,Possible hemagglutinin-neuraminidase,Viral proteins,PMM1400,locus_tag:locus_tag
PMM1179,386,123,1.649,up,uninfected,4.5,spent medium,Permease of the drug/metabolite transporter (DMT) superfamily,Transport,PMM1179,locus_tag:locus_tag
PMM1289,86,682,-2.993,down,uninfected,4.5,spent medium,"Cyanobacteria-specific RpoD-like sigma factor, type-12",RNA polymerase,PMM1289,locus_tag:locus_tag
PMM1309,164,749,-2.192,down,uninfected,4.5,spent medium,"ftsZ, Cell division protein FtsZ (EC 3.4.24.-)",Cell division,PMM1309,locus_tag:locus_tag
PMM0502,158,626,-1.984,down,uninfected,4.5,spent medium,Single-stranded DNA-binding protein,Replication,PMM0502,locus_tag:locus_tag
PMM0577,271,974,-1.844,down,uninfected,4.5,spent medium,"Cyanobacteria-specific RpoD-like sigma factor, type-14",Transcriptional regulation,PMM0577,locus_tag:locus_tag
PMM0244,315,1074,-1.768,down,uninfected,4.5,spent medium,"dcd, Deoxycytidine triphosphate deaminase (EC 3.5.4.13)",Pyrimidine metabolism,PMM0244,locus_tag:locus_tag
PMM1711,292,902,-1.629,down,uninfected,4.5,spent medium,"sps, Sucrose phosphate synthase( EC:2.4.1.14 )",Starch and sucrose metabolism,PMM1711,locus_tag:locus_tag
PMM0245,276,832,-1.594,down,uninfected,4.5,spent medium,cob(I)alamin adenosyltransferase,Porphyrin and chlorophyll metabolism,PMM0245,locus_tag:locus_tag
PMM1697,462,1367,-1.565,down,uninfected,4.5,spent medium,"Cyanobacteria-specific RpoD-like sigma factor, type-13",RNA polymerase,PMM1697,locus_tag:locus_tag
PMM0243,226,663,-1.549,down,uninfected,4.5,spent medium,"thyX, Thymidylate synthase thyX (EC 2.1.1.-)",Pyrimidine metabolism,PMM0243,locus_tag:locus_tag
