locus_tag,dark_count_rpkm,light_count_rpkm,log2_fold_change,direction,infection_status,time_point_h,inoculation_type,gene_function,pathway,resolved_locus_tag,resolution_method
PMM0336,209,1465,-2.806,down,infected,0.5,phage,Plastoquinol terminal oxidase,Photosynthetic electron transport,PMM0336,locus_tag:locus_tag
PMM0817,110,657,-2.573,down,infected,0.5,phage,"hli17, High light inducbile protein",Light stress response,PMM0817,locus_tag:locus_tag
PMM1135,300,1401,-2.226,down,infected,0.5,phage,"hli14, High light inducbile protein",Light stress response,PMM1135,locus_tag:locus_tag
PMM1399,177,774,-2.127,down,infected,0.5,phage,"hli6, High light inducbile protein",Light stress response,PMM1399,locus_tag:locus_tag
PMM0817,188,768,-2.028,down,infected,0.5,phage,"hli17, High light inducbile protein",Light stress response,PMM0817,locus_tag:locus_tag
PMM0815,195,764,-1.972,down,infected,0.5,phage,"hli19, High light inducbile protein",Light stress response,PMM0815,locus_tag:locus_tag
PMM1399,154,586,-1.926,down,infected,0.5,phage,"hli6, High light inducbile protein",Light stress response,PMM1399,locus_tag:locus_tag
PMM1385,1246,4269,-1.777,down,infected,0.5,phage,"hli11, High light inducbile protein",Light stress response,PMM1385,locus_tag:locus_tag
PMM1398,234,744,-1.668,down,infected,0.5,phage,"hli7, High light inducbile protein",Light stress response,PMM1398,locus_tag:locus_tag
PMM1404,269,837,-1.639,down,infected,0.5,phage,"hli5, High light inducbile protein",Light stress response,PMM1404,locus_tag:locus_tag
