locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point,resolved_locus_tag,resolution_method
PMM0001,2,0.89,1.01,0.71,0.54,"DNA replication, recombination, and repair","DNA polymerase III, beta chain",12h,PMM0001,locus_tag:locus_tag
PMM0008,2,1.34,0.16,0.11,0.28,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0008,locus_tag:locus_tag
PMM0013,2,-1.48,0.6,0.42,0.88,"Fatty acid, phospholipid and sterol metabolism",RNA-binding region RNP-1 (RNA recognition motif),12h,PMM0013,locus_tag:locus_tag
PMM0015,2,0.25,0.37,0.26,0.93,Conserved hypothetical protein,Domain of unknown function DUF25,12h,PMM0015,locus_tag:locus_tag
PMM0016,2,-1.51,1.08,0.76,0.27,Chaperones,Heat shock protein GrpE,12h,PMM0016,locus_tag:locus_tag
PMM0017,2,1.71,0.02,0.01,0.1,Chaperones,DnaJ protein,12h,PMM0017,locus_tag:locus_tag
PMM0020,2,-0.9,2.7,1.91,1.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0020,locus_tag:locus_tag
PMM0023,2,-0.58,0.75,0.53,0.46,CO2 fixation,Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating),12h,PMM0023,locus_tag:locus_tag
PMM0025,2,0.18,0.31,0.22,0.83,Protein modification and translation factors,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,12h,PMM0025,locus_tag:locus_tag
PMM0026,2,-1.42,1.65,1.16,0.08,Protein modification and translation factors,Elongation factor P (EF-P),12h,PMM0026,locus_tag:locus_tag
PMM0027,2,0.53,0.68,0.48,1.0,"Fatty acid, phospholipid and sterol metabolism",Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier...,12h,PMM0027,locus_tag:locus_tag
PMM0030,2,5.12,1.4,0.99,0.0,Protein modification and translation factors,possible Transcription factor TFIID (or TATA-b,12h,PMM0030,locus_tag:locus_tag
PMM0031,2,1.08,0.16,0.11,0.87,"DNA replication, recombination, and repair",HNH endonuclease:HNH nuclease,12h,PMM0031,locus_tag:locus_tag
PMM0032,2,0.4,0.91,0.65,0.82,Protein and peptide secretion,possible Bacterial type II secretion system pr,12h,PMM0032,locus_tag:locus_tag
PMM0033,2,0.93,0.78,0.55,0.96,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0033,locus_tag:locus_tag
