locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point,resolved_locus_tag,resolution_method
PMM0001,2,0.87,1.35,0.96,0.49,"DNA replication, recombination, and repair","DNA polymerase III, beta chain",24h,PMM0001,locus_tag:locus_tag
PMM0008,2,-0.11,0.05,0.03,0.62,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0008,locus_tag:locus_tag
PMM0013,2,-1.4,0.93,0.65,0.27,"Fatty acid, phospholipid and sterol metabolism",RNA-binding region RNP-1 (RNA recognition motif),24h,PMM0013,locus_tag:locus_tag
PMM0015,2,0.03,0.48,0.34,0.93,Conserved hypothetical protein,Domain of unknown function DUF25,24h,PMM0015,locus_tag:locus_tag
PMM0016,2,-0.88,1.81,1.28,0.08,Chaperones,Heat shock protein GrpE,24h,PMM0016,locus_tag:locus_tag
PMM0017,2,1.37,0.02,0.01,0.11,Chaperones,DnaJ protein,24h,PMM0017,locus_tag:locus_tag
PMM0020,2,0.87,0.05,0.03,0.46,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0020,locus_tag:locus_tag
PMM0023,2,-0.62,1.18,0.84,0.28,CO2 fixation,Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating),24h,PMM0023,locus_tag:locus_tag
PMM0025,2,-0.59,0.21,0.15,0.4,Protein modification and translation factors,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,24h,PMM0025,locus_tag:locus_tag
PMM0026,2,-1.32,0.39,0.28,0.03,Protein modification and translation factors,Elongation factor P (EF-P),24h,PMM0026,locus_tag:locus_tag
PMM0027,2,1.21,0.07,0.05,0.19,"Fatty acid, phospholipid and sterol metabolism",Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier...,24h,PMM0027,locus_tag:locus_tag
PMM0030,2,4.93,0.95,0.67,0.0,Protein modification and translation factors,possible Transcription factor TFIID (or TATA-b,24h,PMM0030,locus_tag:locus_tag
PMM0031,2,1.13,0.35,0.25,0.33,"DNA replication, recombination, and repair",HNH endonuclease:HNH nuclease,24h,PMM0031,locus_tag:locus_tag
PMM0032,2,1.07,0.68,0.48,0.46,Protein and peptide secretion,possible Bacterial type II secretion system pr,24h,PMM0032,locus_tag:locus_tag
PMM0033,2,1.11,0.46,0.33,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0033,locus_tag:locus_tag
PMM0034,2,-0.22,0.17,0.12,0.57,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0034,locus_tag:locus_tag
PMM0035,2,1.83,0.09,0.06,0.02,Hydrogenase,soluble hydrogenase small subunit,24h,PMM0035,locus_tag:locus_tag
PMM0037,2,1.56,0.33,0.24,0.1,Purine ribonucleotide biosynthesis,Glutamine amidotransferase class-I:GMP synthase,24h,PMM0037,locus_tag:locus_tag
PMM0043,2,-0.25,0.69,0.48,0.53,Other,flavoprotein,24h,PMM0043,locus_tag:locus_tag
PMM0046,2,-2.59,0.1,0.07,0.0,Interconversions and salvage of nucleosides and nucleotides Nucleoside diphosphate kinase,,24h,PMM0046,locus_tag:locus_tag
PMM0048,2,-0.01,0.46,0.33,0.66,Aminoacyl tRNA synthetases and tRNA modification,Glutamyl-tRNA (Gln) amidotransferase subunit B,24h,PMM0048,locus_tag:locus_tag
PMM0051,2,1.13,1.34,0.95,0.19,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0051,locus_tag:locus_tag
PMM0055,2,0.36,0.11,0.08,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0055,locus_tag:locus_tag
PMM0056,2,-0.44,1.67,1.18,0.41,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0056,locus_tag:locus_tag
PMM0058,2,2.89,0.3,0.21,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0058,locus_tag:locus_tag
PMM0059,2,0.92,1.09,0.77,0.56,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0059,locus_tag:locus_tag
PMM0060,2,-0.44,0.14,0.1,0.45,"Fatty acid, phospholipid and sterol metabolism","acetyl-CoA carboxylase, biotin carboxylase subunit",24h,PMM0060,locus_tag:locus_tag
PMM0061,2,-0.58,1.63,1.15,0.22,Other,"YGGT family, conserved hypothetical integral membrane protein",24h,PMM0061,locus_tag:locus_tag
PMM0062,2,-2.24,0.44,0.31,0.0,Photosystem II,photosystem II PsbX protein,24h,PMM0062,locus_tag:locus_tag
PMM0063,2,1.85,0.17,0.12,0.19,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0063,locus_tag:locus_tag
PMM0064,2,0.42,0.9,0.63,0.71,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM0064,locus_tag:locus_tag
PMM0068,2,1.42,1.24,0.88,0.24,Regulatory functions,putative formylmethionine deformylase,24h,PMM0068,locus_tag:locus_tag
PMM0073,2,0.01,0.61,0.43,0.63,Transport and binding proteins,"ABC transporter, membrane component",24h,PMM0073,locus_tag:locus_tag
PMM0075,2,2.41,1.68,1.19,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0075,locus_tag:locus_tag
PMM0078,2,-0.79,0.32,0.22,0.23,Other,possible 4'-phosphopantetheinyl transferase family protein,24h,PMM0078,locus_tag:locus_tag
PMM0079,2,-2.29,0.49,0.35,0.0,Transport and binding proteins,putative bacterioferritin comigratory (BCP) protein,24h,PMM0079,locus_tag:locus_tag
PMM0081,2,-0.55,1.18,0.83,0.38,Serine family / Sulfur assimilation,Phosphoadenosine phosphosulfate reductase,24h,PMM0081,locus_tag:locus_tag
PMM0082,2,1.31,0.23,0.17,0.15,Regulatory functions,"putative NADH dehydrogenase, transport associated",24h,PMM0082,locus_tag:locus_tag
PMM0083,2,-0.68,1.16,0.82,0.26,Regulatory functions,"putative sodium/sulfate transporter, DASS family",24h,PMM0083,locus_tag:locus_tag
PMM0085,2,0.23,0.19,0.14,1.0,Regulatory functions,"putative potassium channel, VIC family",24h,PMM0085,locus_tag:locus_tag
PMM0086,2,0.22,0.13,0.09,1.0,Conserved hypothetical protein,Conserved hypothetical protein,24h,PMM0086,locus_tag:locus_tag
PMM0087,2,3.49,1.13,0.8,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0087,locus_tag:locus_tag
PMM0088,2,1.45,0.66,0.47,0.15,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0088,locus_tag:locus_tag
PMM0091,2,0.64,0.24,0.17,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0091,locus_tag:locus_tag
PMM0092,2,2.56,0.44,0.31,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0092,locus_tag:locus_tag
PMM0093,2,-0.41,0.61,0.43,0.82,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM0093,locus_tag:locus_tag
PMM0095,2,-0.52,1.28,0.9,0.34,Other,similar to serum resistance locus BrkB,24h,PMM0095,locus_tag:locus_tag
PMM0099,2,0.85,0.02,0.02,0.38,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0099,locus_tag:locus_tag
PMM0101,2,1.35,0.34,0.24,0.14,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0101,locus_tag:locus_tag
PMM0103,2,-0.37,1.21,0.86,0.71,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0103,locus_tag:locus_tag
PMM0105,2,1.5,0.83,0.59,0.12,Riboflavin,RibD/ribG C-terminal domain,24h,PMM0105,locus_tag:locus_tag
PMM0106,2,0.75,0.6,0.42,0.91,Other,6-pyruvoyl tetrahydropterin synthase,24h,PMM0106,locus_tag:locus_tag
PMM0111,2,0.72,0.32,0.22,0.47,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0111,locus_tag:locus_tag
PMM0114,2,1.13,0.16,0.12,0.23,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0114,locus_tag:locus_tag
PMM0115,2,1.17,0.19,0.13,0.41,Carotenoid,zeta-carotene desaturase,24h,PMM0115,locus_tag:locus_tag
PMM0116,2,0.73,0.08,0.05,0.92,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0116,locus_tag:locus_tag
PMM0117,2,2.49,0.5,0.35,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0117,locus_tag:locus_tag
PMM0120,2,1.65,0.06,0.04,0.05,Cell division,putative cell division inhibitor,24h,PMM0120,locus_tag:locus_tag
PMM0121,2,0.91,1.38,0.98,0.59,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0121,locus_tag:locus_tag
PMM0123,2,1.4,0.32,0.22,0.14,Serine family / Sulfur assimilation,O-acetylserine (thiol)-lyase A,24h,PMM0123,locus_tag:locus_tag
PMM0124,2,-0.1,0.7,0.5,0.55,Conserved hypothetical protein,conserved hypothetical protein in cyanobacteria,24h,PMM0124,locus_tag:locus_tag
PMM0125,2,-0.53,0.49,0.35,0.4,Transport and binding proteins,"possible ABC transporter, ATP-binding component",24h,PMM0125,locus_tag:locus_tag
PMM0126,2,0.06,0.02,0.02,0.77,Other,possible Herpesvirus UL6 like,24h,PMM0126,locus_tag:locus_tag
PMM0128,2,0.39,0.8,0.57,1.0,Regulatory functions,two-component response regulator,24h,PMM0128,locus_tag:locus_tag
PMM0132,2,-1.14,0.82,0.58,0.18,Other,cyanobacterial conserved hypothetical,24h,PMM0132,locus_tag:locus_tag
PMM0133,2,2.06,0.28,0.2,0.0,Radiation sensitivity,putative DNA repair protein RadA,24h,PMM0133,locus_tag:locus_tag
PMM0134,2,-0.75,1.11,0.79,0.31,Regulatory functions,two-component response regulator,24h,PMM0134,locus_tag:locus_tag
PMM0136,2,-1.67,0.95,0.67,0.02,"Fatty acid, phospholipid and sterol metabolism",3-oxoacyl-[acyl-carrier-protein] synthase III,24h,PMM0136,locus_tag:locus_tag
PMM0137,2,-0.48,0.43,0.31,0.48,"Fatty acid, phospholipid and sterol metabolism",Malonyl coenzyme A-acyl carrier protein transacylase,24h,PMM0137,locus_tag:locus_tag
PMM0138,2,0.47,0.1,0.07,0.87,"Fatty acid, phospholipid and sterol metabolism",putative 1-acyl-sn-glycerol-3-phosphate acyltransferase,24h,PMM0138,locus_tag:locus_tag
PMM0139,2,-1.04,0.34,0.24,0.22,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0139,locus_tag:locus_tag
PMM0140,2,1.28,2.88,2.04,1.0,Regulatory functions,putative Ycf34,24h,PMM0140,locus_tag:locus_tag
PMM0142,2,-1.75,1.28,0.9,0.0,"Fatty acid, phospholipid and sterol metabolism",RNA-binding region RNP-1 (RNA recognition motif),24h,PMM0142,locus_tag:locus_tag
PMM0143,2,1.05,0.3,0.21,0.46,Carotenoid,Squalene and phytoene synthases,24h,PMM0143,locus_tag:locus_tag
PMM0144,2,2.34,0.62,0.44,0.0,Carotenoid,phytoene desaturase,24h,PMM0144,locus_tag:locus_tag
PMM0145,2,1.97,0.05,0.03,0.01,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0145,locus_tag:locus_tag
PMM0146,2,2.1,0.49,0.34,0.01,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0146,locus_tag:locus_tag
PMM0147,2,-0.34,0.0,0.0,0.5,Regulatory functions,putative Rubisco transcriptional regulator,24h,PMM0147,locus_tag:locus_tag
PMM0149,2,1.39,0.32,0.22,0.21,NADH dehydrogenase,putative NADH Dehydrogenase (complex I) subunit (chain 5),24h,PMM0149,locus_tag:locus_tag
PMM0150,2,1.39,0.04,0.03,0.2,NADH dehydrogenase,putative NADH dehydrogenase subunit (chain 4),24h,PMM0150,locus_tag:locus_tag
PMM0153,2,-0.81,0.63,0.45,0.22,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0153,locus_tag:locus_tag
PMM0154,2,-1.11,0.55,0.39,0.13,Regulatory functions,"Bacterial regulatory protein, LuxR family",24h,PMM0154,locus_tag:locus_tag
PMM0159,2,0.38,0.09,0.06,0.75,NADH dehydrogenase,putative NADH Dehydrogenase subunit,24h,PMM0159,locus_tag:locus_tag
PMM0160,2,3.11,0.9,0.63,0.0,NADH dehydrogenase,putative respiratory-chain NADH dehydrogenase subunit,24h,PMM0160,locus_tag:locus_tag
PMM0163,2,-2.03,0.28,0.2,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0163,locus_tag:locus_tag
PMM0164,2,1.36,0.16,0.12,0.2,Aromatic amino acid family,"Tryptophan synthase, beta chain:Pyridoxal-5'-phosphate-depend...",24h,PMM0164,locus_tag:locus_tag
PMM0166,2,-2.62,1.18,0.84,0.0,Serine family / Sulfur assimilation,Adenylylsulfate kinase,24h,PMM0166,locus_tag:locus_tag
PMM0172,2,1.45,0.82,0.58,0.07,NADH dehydrogenase,putative NADH dehydrogenase subunit,24h,PMM0172,locus_tag:locus_tag
PMM0179,2,1.33,1.71,1.21,0.3,Other,Glutaredoxin,24h,PMM0179,locus_tag:locus_tag
PMM0180,2,0.37,0.05,0.04,1.0,Protein modification and translation factors,peptide chain release factor RF-2,24h,PMM0180,locus_tag:locus_tag
PMM0184,2,1.1,0.25,0.18,0.2,Aromatic amino acid family,para-aminobenzoate synthase component II,24h,PMM0184,locus_tag:locus_tag
PMM0195,2,0.12,0.34,0.24,0.71,Other,Phosphoglycerate kinase,24h,PMM0195,locus_tag:locus_tag
PMM0200,2,-1.01,0.22,0.16,0.34,Degradation of RNA,possible ribonuclease HI,24h,PMM0200,locus_tag:locus_tag
PMM0201,2,-2.3,0.06,0.04,0.0,Ribosomal proteins,50S ribosomal protein L7/L12,24h,PMM0201,locus_tag:locus_tag
PMM0202,2,-2.46,0.35,0.25,0.0,Ribosomal proteins,50S ribosomal protein L10,24h,PMM0202,locus_tag:locus_tag
PMM0203,2,-1.98,0.45,0.32,0.0,Ribosomal proteins,50S ribosomal protein L1,24h,PMM0203,locus_tag:locus_tag
PMM0204,2,-1.41,0.33,0.23,0.0,Ribosomal proteins,50S ribosomal protein L11,24h,PMM0204,locus_tag:locus_tag
PMM0205,2,1.66,0.82,0.58,0.12,"RNA synthesis, modification, and DNA transcription","transcription antitermination protein, NusG",24h,PMM0205,locus_tag:locus_tag
PMM0206,2,-1.37,1.04,0.74,0.03,Protein and peptide secretion,"putative preprotein translocase, SecE subunit",24h,PMM0206,locus_tag:locus_tag
PMM0208,2,-0.15,0.15,0.11,0.6,Other,Enolase,24h,PMM0208,locus_tag:locus_tag
PMM0209,2,-0.68,0.32,0.23,0.38,Other,possible kinase,24h,PMM0209,locus_tag:locus_tag
PMM0211,2,-0.5,0.57,0.4,0.47,Other,FAD-dependent pyridine nucleotide-disulphide oxidoreductase,24h,PMM0211,locus_tag:locus_tag
PMM0212,2,3.18,1.65,1.17,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0212,locus_tag:locus_tag
PMM0213,2,1.4,1.07,0.75,0.19,Transport and binding proteins,putative sodium-dependent bicarbonate transporter,24h,PMM0213,locus_tag:locus_tag
PMM0214,2,-2.54,0.92,0.65,0.0,Regulatory functions,putative sulfate transporter,24h,PMM0214,locus_tag:locus_tag
PMM0216,2,-1.52,0.09,0.06,0.22,Adaptations and atypical conditions,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,24h,PMM0216,locus_tag:locus_tag
PMM0218,2,-0.05,0.56,0.4,0.5,Other,GTP1/OBG family,24h,PMM0218,locus_tag:locus_tag
PMM0219,2,-0.37,1.21,0.86,0.57,Conserved hypothetical protein,conserved hypothetical,24h,PMM0219,locus_tag:locus_tag
