Synonym,Product,Expression 9313+1A3 ,Expression med 4,Expression 9313+1A3 ,Expression med 4,qValue 9313+1A3  vs med 4,fold change 9313+1A3/med4+1A3
AMHOT1A3_single_01489,Serine/threonine protein kinase,7,24,7.01,24.01,1.02E-04,0.291961683
AMHOT1A3_single_01490,formate/nitrite transporter,7,20,7.01,20.01,2.93E-04,0.350324838
AMHOT1A3_single_01491,transglutaminase family protein,7,21,7.01,21.01,0.001143529,0.333650643
AMHOT1A3_single_01495,phosphoglucomutase,7,24,7.01,24.01,0.002907844,0.291961683
AMHOT1A3_single_01496,glycogen/starch/alpha-glucan phosphorylase,7,18,7.01,18.01,0.011973645,0.389228207
AMHOT1A3_single_01502,proton/glutamate symporter,7,18,7.01,18.01,0.018050226,0.389228207
AMHOT1A3_single_01738,hypothetical protein,6,55,6.01,55.01,5.03E-17,0.109252863
AMHOT1A3_single_01749,transmembrane prediction,6,42,6.01,42.01,3.14E-10,0.143061176
AMHOT1A3_single_01750,D-mannonate oxidoreductase,6,39,6.01,39.01,3.51E-08,0.154063061
AMHOT1A3_single_01764,translation initiation factor IF-2,6,28,6.01,28.01,1.02E-07,0.214566226
AMHOT1A3_single_01774,"oxidoreductase, 2OG-Fe(II) oxygenase family protein",6,21,6.01,21.01,0.001192449,0.28605426
AMHOT1A3_single_01778,extracellular nuclease,6,16,6.01,16.01,0.002476295,0.375390381
AMHOT1A3_single_01779,hypothetical protein,6,17,6.01,17.01,0.009517109,0.353321576
AMHOT1A3_single_01782,TonB-dependent siderophore receptor,6,13,6.01,13.01,0.019467173,0.461952344
AMHOT1A3_single_02172,chromosomal replication initiator,5,18,5.01,18.01,1.49E-06,0.27817879
AMHOT1A3_single_02195,"ISCps8, transposase",5,19,5.01,19.01,6.10E-05,0.263545502
AMHOT1A3_single_02198,"ISGsu4, transposase",5,17,5.01,17.01,9.25E-04,0.294532628
AMHOT1A3_single_02200,hypothetical protein,5,13,5.01,13.01,0.002717759,0.385088394
AMHOT1A3_single_02203,hypothetical protein,5,14,5.01,14.01,0.002806746,0.357601713
AMHOT1A3_single_02207,hypothetical protein,5,16,5.01,16.01,0.003341847,0.312929419
AMHOT1A3_single_02208,hypothetical protein,5,18,5.01,18.01,0.00613191,0.27817879
AMHOT1A3_single_02209,hypothetical protein,5,12,5.01,12.01,0.006673613,0.417152373
AMHOT1A3_single_02211,hypothetical protein,5,12,5.01,12.01,0.025033357,0.417152373
AMHOT1A3_single_02555,phosphoribosyl-ATP pyrophosphatase/phosphoribosyl-AMP cyclohydrolase,4,20,4.01,20.01,4.92E-11,0.2003998
AMHOT1A3_single_02558,transporter (formate/nitrite transporter family) protein,4,22,4.01,22.01,7.56E-07,0.182189914
AMHOT1A3_single_02564,heat shock protein 90,4,19,4.01,19.01,2.99E-06,0.21094161
AMHOT1A3_single_02568,ferredoxin--NADP(+) reductase,4,12,4.01,12.01,1.41E-04,0.333888426
AMHOT1A3_single_02577,hypothetical protein,4,18,4.01,18.01,0.001728414,0.222654081
AMHOT1A3_single_02906,LysR family transcriptional regulator,3,26,3.01,26.01,8.65E-20,0.115724721
AMHOT1A3_single_02909,multidrug transporter,3,16,3.01,16.01,1.38E-10,0.188007495
AMHOT1A3_single_02926,RND multidrug efflux transporter MexF,3,13,3.01,13.01,3.92E-05,0.231360492
AMHOT1A3_single_02965,membrane dipeptidase,3,12,3.01,12.01,7.88E-04,0.25062448
AMHOT1A3_single_03247,tRNA (uracil-5-)-methyltransferase,2,27,2.01,27.01,1.32E-39,0.074416883
AMHOT1A3_single_03271,acyltransferase,2,15,2.01,15.01,1.22E-19,0.133910726
AMHOT1A3_single_03291,Bacterial inner membrane protein,2,21,2.01,21.01,6.95E-18,0.095668729
AMHOT1A3_single_03296,PAS sensor diguanylate cyclase and phosphodiesterase,2,14,2.01,14.01,3.77E-10,0.143468951
AMHOT1A3_single_03299,amino acid permease-associated protein,2,13,2.01,13.01,3.74E-06,0.154496541
AMHOT1A3_single_03614,YhhN-like protein,1,35,1.01,35.01,9.10E-155,0.0288489
AMHOT1A3_single_03630,metallophosphoesterase,1,14,1.01,14.01,1.13E-45,0.072091363
AMHOT1A3_single_03962,hypothetical protein,0,41,0.01,41.01,0,0.000243843
AMHOT1A3_single_00131,hypothetical protein,31484,15830,31484.01,15830.01,0.491514416,1.988881245
AMHOT1A3_single_00503,hypothetical protein,27660,10731,27660.01,10731.01,0.889813464,2.577577507
AMHOT1A3_single_00744,phosphocarrier protein NPR,17224,4267,17224.01,4267.01,1,4.036552527
AMHOT1A3_single_01413,poly (3-hydroxybutyrate) depolymerase,11988,7205,11988.01,7205.01,0.527314221,1.663843631
AMHOT1A3_single_01736,hypothetical protein,9576,9731,9576.01,9731.01,0.621257062,0.98407154
AMHOT1A3_single_01823,hypothetical protein,7019,4094,7019.01,4094.01,0.770553871,1.714458441
AMHOT1A3_single_01932,hypothetical protein,5421,6046,5421.01,6046.01,0.633371897,0.896626039
AMHOT1A3_single_02431,hypothetical protein,4873,6215,4873.01,6215.01,0.591586589,0.784071144
AMHOT1A3_single_02531,hypothetical protein,3969,3293,3969.01,3293.01,0.603360089,1.205283312
