Synonym,Product,Expression 9313+1A3 ,Expression med 4,Expression 9313+1A3 ,Expression med 4,qValue 9313+1A3  vs med 4,fold change 9313+1A3/med4+1A3
AMHOT1A3_single_02040,"Carbonic anhydrases/acetyltransferase, isoleucine patch superfamily protein",149,133,149.01,133.01,0.429498781,1.120291707
AMHOT1A3_single_00936,Cytochrome c-type biogenesis protein CcmH,149,163,149.01,163.01,0.485927577,0.914115698
AMHOT1A3_single_01975,phospholipase,149,98,149.01,98.01,0.950313198,1.520355066
AMHOT1A3_single_00472,membrane protein,148,135,148.01,135.01,0.544467352,1.096289164
AMHOT1A3_single_00151,DnaJ-like protein,147,160,147.01,160.01,0.377285547,0.918755078
AMHOT1A3_single_01097,peptide ABC transporter substrate-binding protein,146,139,146.01,139.01,0.404688918,1.050356089
AMHOT1A3_single_01669,lipase/esterase,146,138,146.01,138.01,0.417648623,1.057966814
AMHOT1A3_single_00515,hypothetical protein,146,106,146.01,106.01,0.5603986,1.377322894
AMHOT1A3_single_01845,hypothetical protein,146,88,146.01,88.01,1,1.659016021
AMHOT1A3_single_02013,fumarate reductase flavoprotein subunit,145,153,145.01,153.01,0.377956691,0.947715836
AMHOT1A3_single_01172,2-dehydropantoate 2-reductase,145,153,145.01,153.01,0.474932993,0.947715836
AMHOT1A3_single_01443,ATP-binding protein,145,104,145.01,104.01,0.588388923,1.394192866
AMHOT1A3_single_03307,hypothetical protein,145,113,145.01,113.01,0.612515622,1.283160782
AMHOT1A3_single_00201,Alpha/beta hydrolase family protein,144,53,144.01,53.01,0.178353048,2.716657234
AMHOT1A3_single_01378,"lipase/acylhydrolase, GDSL family protein",144,68,144.01,68.01,0.798410414,2.117482723
AMHOT1A3_single_01225,transporter,143,124,143.01,124.01,0.483807448,1.153213451
AMHOT1A3_single_01227,"PAP (3,5 adenosine diphosphate) 3 phosphatase",141,149,141.01,149.01,0.412330319,0.946312328
AMHOT1A3_single_01111,OmpA-like protein,140,110,140.01,110.01,0.603684791,1.272702482
AMHOT1A3_single_00618,phosphoesterase PA-phosphatase-like protein,139,166,139.01,166.01,0.419180836,0.837359195
AMHOT1A3_single_01799,C-5 sterol desaturase,139,68,139.01,68.01,0.667639745,2.043964123
AMHOT1A3_single_04100,hypothetical protein,139,64,139.01,64.01,0.697398841,2.171691923
AMHOT1A3_single_00947,UDP-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase,138,61,138.01,61.01,0.385106113,2.262088182
AMHOT1A3_single_00324,Twin-arginine translocation pathway signal,138,99,138.01,99.01,0.679153601,1.393899606
AMHOT1A3_single_00390,periplasmic or outer membrane protein,135,145,135.01,145.01,0.396574124,0.931039239
AMHOT1A3_single_02275,coproporphyrinogen III oxidase,135,83,135.01,83.01,1,1.626430551
AMHOT1A3_single_00392,hypothetical protein,134,190,134.01,190.01,0.150613508,0.70527867
AMHOT1A3_single_00881,metallo-beta-lactamase family protein,134,97,134.01,97.01,0.511114009,1.381403979
AMHOT1A3_single_01533,DNA primase TraC,134,80,134.01,80.01,1,1.674915636
AMHOT1A3_single_01535,RmuC,133,165,133.01,165.01,0.222611557,0.806072359
AMHOT1A3_single_01541,von Willebrand factor type A domain protein,133,117,133.01,117.01,0.43926279,1.13674045
AMHOT1A3_single_00417,methylglyoxal synthase,133,138,133.01,138.01,0.470488316,0.963770741
AMHOT1A3_single_01924,hypothetical protein,132,135,132.01,135.01,0.512141188,0.977779424
AMHOT1A3_single_00206,galactokinase,132,70,132.01,70.01,0.689377625,1.885587773
AMHOT1A3_single_04105,(NiFe) hydrogenase maturation protein HypF,132,86,132.01,86.01,1,1.534821532
AMHOT1A3_single_00990,hypothetical protein,131,249,131.01,249.01,0.048133394,0.526123449
AMHOT1A3_single_02311,exodeoxyribonuclease V subunit beta,131,137,131.01,137.01,0.356230998,0.956207576
AMHOT1A3_single_01318,signal transduction protein,131,76,131.01,76.01,0.709686235,1.723589001
AMHOT1A3_single_00613,peptidyl-prolyl cis-trans isomerase A,130,207,130.01,207.01,0.080527135,0.628037293
AMHOT1A3_single_03808,hypothetical protein,130,50,130.01,50.01,0.227852155,2.599680064
AMHOT1A3_single_01427,cytochrome b561 family protein,130,127,130.01,127.01,0.510085505,1.023620187
AMHOT1A3_single_00232,agglutinin biogenesis protein MshD,130,114,130.01,114.01,0.686657467,1.140338567
AMHOT1A3_single_01560,NADPH-quinone reductase,128,188,128.01,188.01,0.121848596,0.680868039
AMHOT1A3_single_01641,vitamin B12 related Cobalamin adenosyltransferase,128,131,128.01,131.01,0.4894173,0.977100985
AMHOT1A3_single_02020,hypothetical protein,128,114,128.01,114.01,0.550983294,1.122796246
AMHOT1A3_single_00935,thiol:disulfide interchange protein DsbE,128,88,128.01,88.01,0.574720177,1.454493808
AMHOT1A3_single_01513,regulatory protein MarR,128,75,128.01,75.01,1,1.706572457
AMHOT1A3_single_01776,transposase,127,211,127.01,211.01,0.131714327,0.601914601
AMHOT1A3_single_00831,exonuclease SbcC,127,106,127.01,106.01,0.581743082,1.198094519
AMHOT1A3_single_03142,hypothetical protein,127,104,127.01,104.01,0.597571466,1.221132583
AMHOT1A3_single_01031,acyl carrier protein,126,139,126.01,139.01,0.340323903,0.906481548
AMHOT1A3_single_01930,major facilitator superfamily transporter,126,62,126.01,62.01,0.517933747,2.032091598
AMHOT1A3_single_00678,TonB-dependent receptor,125,171,125.01,171.01,0.357675712,0.731009882
AMHOT1A3_single_02508,O-acyltransferase WSD,124,138,124.01,138.01,0.289825562,0.898558076
AMHOT1A3_single_01379,lipoprotein releasing system ABC transporter ATP-binding protein,124,143,124.01,143.01,0.306401306,0.867142158
AMHOT1A3_single_00957,7-cyano-7-deazaguanine reductase,123,57,123.01,57.01,0.485466091,2.157691633
AMHOT1A3_single_00347,3-deoxy-D-manno-octulosonic-acid transferase,123,96,123.01,96.01,0.603580539,1.281220706
AMHOT1A3_single_00742,two component transcriptional regulator,123,67,123.01,67.01,1,1.835696165
AMHOT1A3_single_00015,recombinational DNA repair ATPase,123,73,123.01,73.01,1,1.684837693
AMHOT1A3_single_00766,ATPase,122,215,122.01,215.01,0.180074178,0.567461979
AMHOT1A3_single_00099,LysR family transcriptional regulator,122,111,122.01,111.01,0.459717266,1.099090172
AMHOT1A3_single_00213,TonB-dependent receptor,122,104,122.01,104.01,0.491708409,1.173060283
AMHOT1A3_single_03825,maturase,121,79,121.01,79.01,0.809897835,1.531578281
AMHOT1A3_single_00265,type I restriction-modification system restriction subunit,121,74,121.01,74.01,1,1.635049318
AMHOT1A3_single_01504,D-alanyl-D-alanine carboxypeptidase,120,40,120.01,40.01,0.133979576,2.999500125
AMHOT1A3_single_02646,pilus assembly protein PilZ,120,104,120.01,104.01,0.569352073,1.153831362
AMHOT1A3_single_01732,oxidoreductase,120,78,120.01,78.01,0.971995376,1.538392514
AMHOT1A3_single_01306,hypothetical protein,119,87,119.01,87.01,0.618669589,1.367773819
AMHOT1A3_single_00769,hypothetical protein,118,230,118.01,230.01,0.02670846,0.513064649
AMHOT1A3_single_00051,hypothetical protein,118,188,118.01,188.01,0.084673835,0.627679379
AMHOT1A3_single_00534,soluble lytic murein transglycosylase,118,118,118.01,118.01,0.357483836,1
AMHOT1A3_single_02874,hypothetical protein,118,96,118.01,96.01,0.486688843,1.229142798
AMHOT1A3_single_01438,phosphate acetyltransferase,118,75,118.01,75.01,0.603580539,1.573256899
AMHOT1A3_single_01721,3-oxoacyl-ACP synthase,117,72,117.01,72.01,1,1.624913206
AMHOT1A3_single_00529,hypothetical protein,117,73,117.01,73.01,1,1.60265717
AMHOT1A3_single_00599,hypothetical protein,116,194,116.01,194.01,0.059185887,0.597958868
AMHOT1A3_single_01967,"dihydrolipoyltranssuccinate transferase, component of the 2-oxoglutarate dehydrogenase complex",116,95,116.01,95.01,0.466897142,1.221029365
AMHOT1A3_single_02569,Nucleoid-associated protein YbaB,116,92,116.01,92.01,0.473919819,1.260841213
AMHOT1A3_single_01386,"propeptide, pepSY amd peptidase M4",116,85,116.01,85.01,0.5080453,1.364662981
AMHOT1A3_single_00158,"Secreted protein, containing thioredoxin-like domain",116,104,116.01,104.01,0.547771112,1.115373522
AMHOT1A3_single_00804,exopolyphosphatase,115,154,115.01,154.01,0.238929196,0.74676969
AMHOT1A3_single_01655,"acyl-CoA thioesterase, TesB family protein",115,128,115.01,128.01,0.276517919,0.898445434
AMHOT1A3_single_00221,mannose-sensitive agglutinin biogenesis protein MshJ,115,106,115.01,106.01,0.539585779,1.084897651
AMHOT1A3_single_01334,hypothetical protein,115,76,115.01,76.01,0.743262807,1.513090383
AMHOT1A3_single_01618,glycosyltransferase,115,64,115.01,64.01,1,1.796750508
AMHOT1A3_single_00641,4Fe-4S ferredoxin,115,59,115.01,59.01,1,1.948991696
AMHOT1A3_single_00237,rod shape-determining protein MreC,115,68,115.01,68.01,1,1.691074842
AMHOT1A3_single_01802,response regulator,114,44,114.01,44.01,0.404806702,2.590547603
AMHOT1A3_single_02881,RecQ domain-containing protein,114,116,114.01,116.01,0.417672554,0.982760107
AMHOT1A3_single_01514,hypothetical protein,114,88,114.01,88.01,0.517933747,1.295420975
AMHOT1A3_single_01952,hypothetical protein,114,56,114.01,56.01,1,2.03552937
AMHOT1A3_single_01711,winged helix family two component transcriptional regulator protein,113,202,113.01,202.01,0.035362218,0.559427751
AMHOT1A3_single_00581,hypothetical protein,113,96,113.01,96.01,0.451013801,1.177064889
AMHOT1A3_single_01929,major facilitator superfamily transporter,113,88,113.01,88.01,0.612539031,1.28405863
AMHOT1A3_single_01124,tRNA(Met) cytidine acetyltransferase TmcA,112,169,112.01,169.01,0.173073107,0.66274185
AMHOT1A3_single_00378,sensor protein BarA,112,112,112.01,112.01,0.346003038,1
AMHOT1A3_single_00856,hypothetical protein,111,153,111.01,153.01,0.191317138,0.725508137
AMHOT1A3_single_01899,3-oxoacyl-(acyl-carrier-protein) reductase,111,144,111.01,144.01,0.287417392,0.770849247
AMHOT1A3_single_01552,hypothetical protein,111,120,111.01,120.01,0.374466085,0.925006249
AMHOT1A3_single_00133,mechanosensitive ion channel family protein,111,146,111.01,146.01,0.379364678,0.760290391
AMHOT1A3_single_02609,riboflavin synthase subunit alpha,111,106,111.01,106.01,0.424784282,1.047165362
AMHOT1A3_single_01842,ferredoxin/oxidoreductase,111,90,111.01,90.01,0.570813857,1.23330741
AMHOT1A3_single_00519,hypothetical protein,111,70,111.01,70.01,0.877597033,1.585630624
AMHOT1A3_single_00172,serine acetyltransferase,111,74,111.01,74.01,1,1.499932442
AMHOT1A3_single_00425,tRNA/rRNA methyltransferase,110,153,110.01,153.01,0.19246174,0.718972616
AMHOT1A3_single_01179,hypothetical protein,110,139,110.01,139.01,0.267941289,0.791381915
AMHOT1A3_single_01798,CDP-alcohol phosphatidyltransferase,110,131,110.01,131.01,0.282419214,0.839706893
AMHOT1A3_single_00415,acetylglutamate kinase,110,92,110.01,92.01,0.465346758,1.19563091
AMHOT1A3_single_00040,hemoglobin-like oxygen-binding protein,110,106,110.01,106.01,0.510144417,1.037732289
AMHOT1A3_single_01927,hypothetical protein,110,85,110.01,85.01,0.613507819,1.294083049
AMHOT1A3_single_01831,marR family transcriptional regulator,110,63,110.01,63.01,0.995767059,1.745913347
AMHOT1A3_single_03712,beta-glucosidase,110,55,110.01,55.01,1,1.999818215
AMHOT1A3_single_02006,PRS2 protein,109,143,109.01,143.01,0.216945154,0.762254388
AMHOT1A3_single_03779,hypothetical protein,108,213,108.01,213.01,0.017691699,0.507065396
AMHOT1A3_single_02023,succinyl-CoA transferase subunit alpha,108,256,108.01,256.01,0.05025823,0.421897582
AMHOT1A3_single_03638,ROK family transcriptional regulator,108,125,108.01,125.01,0.325929334,0.864010879
AMHOT1A3_single_03592,Fe(II)-dependent oxygenase superfamily protein,108,123,108.01,123.01,0.369423972,0.878058694
AMHOT1A3_single_01200,lactoylglutathione lyase,107,80,107.01,80.01,0.516749129,1.337457818
AMHOT1A3_single_01500,HIT family hydrolase,107,92,107.01,92.01,0.55904556,1.163025758
AMHOT1A3_single_00597,molecular chaperone DnaK,106,156,106.01,156.01,0.165856295,0.679507724
AMHOT1A3_single_01846,50S ribosomal protein L16 arginine hydroxylase,106,139,106.01,139.01,0.184543614,0.762607007
AMHOT1A3_single_00716,MazG protein,106,85,106.01,85.01,0.51303809,1.247029761
AMHOT1A3_single_03321,sterol desaturase,106,71,106.01,71.01,0.603360089,1.492888326
AMHOT1A3_single_00250,Signal transduction histidine kinase,106,77,106.01,77.01,0.603684791,1.376574471
AMHOT1A3_single_01116,PEP-CTERM system TPR-repeat lipoprotein,106,69,106.01,69.01,0.87283523,1.536154181
AMHOT1A3_single_00363,membrane protein,105,158,105.01,158.01,0.161624173,0.664578191
AMHOT1A3_single_01946,tetraacyldisaccharide 4'-kinase,105,137,105.01,137.01,0.197151947,0.766440406
AMHOT1A3_single_01530,restriction endonuclease subunit R,105,155,105.01,155.01,0.283265421,0.677440165
AMHOT1A3_single_01876,nicotinic acid mononucleotide adenylyltransferase,105,106,105.01,106.01,0.337852549,0.990566928
AMHOT1A3_single_04006,cation transport ATPase,105,108,105.01,108.01,0.36437938,0.972224794
AMHOT1A3_single_00398,type IV pilus biogenesis protein PilP,105,91,105.01,91.01,0.491473984,1.15382925
AMHOT1A3_single_01577,hypothetical protein,105,53,105.01,53.01,0.86236152,1.980946991
AMHOT1A3_single_01300,Outer membrane protein assembly factor BamD,104,35,104.01,35.01,0.294447183,2.970865467
AMHOT1A3_single_00179,hypothetical protein,104,74,104.01,74.01,0.634923911,1.405350628
AMHOT1A3_single_03622,mechanosensitive ion channel family protein,104,53,104.01,53.01,0.647495921,1.962082626
AMHOT1A3_single_00569,diguanylate cyclase,104,62,104.01,62.01,1,1.677310111
AMHOT1A3_single_00674,phosphate regulon sensor protein PhoR,103,139,103.01,139.01,0.243203625,0.741025825
AMHOT1A3_single_01372,Zn-dependent enzyme from deacylase/carboxypeptidase superfamily protein,103,100,103.01,100.01,0.376758447,1.029997
AMHOT1A3_single_00690,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,103,74,103.01,74.01,0.594494773,1.391838941
AMHOT1A3_single_01336,hypothetical protein,103,76,103.01,76.01,0.628241214,1.355216419
AMHOT1A3_single_02001,nucleoid-associated protein NdpA,103,72,103.01,72.01,0.628383486,1.430495764
AMHOT1A3_single_02021,ATP-dependent RNA helicase,103,50,103.01,50.01,0.924723848,2.059788042
AMHOT1A3_single_00748,RNA polymerase sigma-54 factor,103,56,103.01,56.01,0.972977716,1.839135869
AMHOT1A3_single_01160,hypothetical protein,102,49,102.01,49.01,0.540561986,2.081411957
AMHOT1A3_single_00592,esterase,102,64,102.01,64.01,0.587041936,1.593657241
AMHOT1A3_single_01567,diguanylate cyclase/phosphodiesterase/response regulator,101,20,101.01,20.01,0.161003877,5.047976012
AMHOT1A3_single_00518,hypothetical protein,101,101,101.01,101.01,0.356410761,1
AMHOT1A3_single_03876,general secretion pathway protein I,101,93,101.01,93.01,0.539803232,1.086012257
AMHOT1A3_single_01132,ribosomal-protein-alanine N-acetyltransferase,101,89,101.01,89.01,0.5570424,1.134816313
AMHOT1A3_single_00258,hypothetical protein,101,82,101.01,82.01,0.578267502,1.231679064
AMHOT1A3_single_01419,heat shock protein GrpE,101,68,101.01,68.01,0.748354793,1.485222761
AMHOT1A3_single_01325,transcriptional regulator,101,51,101.01,51.01,0.834340855,1.980199961
AMHOT1A3_single_04106,hydrogenase expression/formation protein HypE,100,110,100.01,110.01,0.29638023,0.909099173
AMHOT1A3_single_00042,carbonic anhydrase/acetyltransferase,100,69,100.01,69.01,0.657003968,1.449210259
AMHOT1A3_single_00966,flavodoxin,100,54,100.01,54.01,0.748158075,1.851694131
AMHOT1A3_single_00952,isocitrate dehydrogenase,99,73,99.01,73.01,0.591894868,1.356115601
AMHOT1A3_single_01860,thioredoxin reductase protein,99,49,99.01,49.01,0.93856401,2.020199959
AMHOT1A3_single_03612,dimethylmenaquinone methyltransferase,98,43,98.01,43.01,0.328095768,2.278772379
AMHOT1A3_single_01395,PHP domain-containing protein,97,121,97.01,121.01,0.389060007,0.801669284
AMHOT1A3_single_00185,aromatic acid decarboxylase,97,63,97.01,63.01,0.559576332,1.539596889
AMHOT1A3_single_01554,diguanylate cyclase/phosphodiesterase,97,69,97.01,69.01,0.567960001,1.405738299
AMHOT1A3_single_00235,mannose-sensitive agglutinin biogenesis protein MshQ,97,64,97.01,64.01,0.869890516,1.515544446
AMHOT1A3_single_00429,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,96,102,96.01,102.01,0.361493629,0.941182237
AMHOT1A3_single_01041,flagellar motor switch protein G,96,102,96.01,102.01,0.452729665,0.941182237
AMHOT1A3_single_01229,sulfate adenylyltransferase subunit 2,96,92,96.01,92.01,0.518778902,1.043473535
AMHOT1A3_single_00843,hypothetical protein,96,58,96.01,58.01,0.663473285,1.655059473
AMHOT1A3_single_00089,AAA-like domain protein,96,66,96.01,66.01,0.669442869,1.454476594
AMHOT1A3_single_00192,thioesterase family protein,96,51,96.01,51.01,0.978996063,1.882179965
AMHOT1A3_single_01384,sensor histidine kinase,95,151,95.01,151.01,0.096302683,0.629163632
AMHOT1A3_single_00287,phage integrase family protein site-specific recombinase,95,156,95.01,156.01,0.212137632,0.608999423
AMHOT1A3_single_00783,drug/metabolite transporter permease,95,95,95.01,95.01,0.375481108,1
AMHOT1A3_single_00278,hypothetical protein,95,92,95.01,92.01,0.507163039,1.032605152
AMHOT1A3_single_03953,hypothetical protein,95,80,95.01,80.01,0.576739365,1.187476565
AMHOT1A3_single_00162,GTP cyclohydrolase II,94,175,94.01,175.01,0.030383512,0.537169305
AMHOT1A3_single_00093,hypothetical protein,94,147,94.01,147.01,0.104063053,0.639480307
AMHOT1A3_single_00896,hypothetical protein,94,101,94.01,101.01,0.366838486,0.930699931
AMHOT1A3_single_01400,"2,5-diketo-D-gluconate reductase B",93,97,93.01,97.01,0.372927126,0.958767137
AMHOT1A3_single_02656,short chain dehydrogenase,93,83,93.01,83.01,0.433083266,1.120467414
AMHOT1A3_single_01245,sensory box protein,93,80,93.01,80.01,0.456031649,1.16247969
AMHOT1A3_single_01209,electron transport complex protein RnfD,93,78,93.01,78.01,0.47237959,1.192283041
AMHOT1A3_single_03126,response regulator receiver ATP-binding protein,93,70,93.01,70.01,0.515168109,1.328524497
AMHOT1A3_single_00663,dihydroneopterin aldolase FolB,93,70,93.01,70.01,0.526252067,1.328524497
AMHOT1A3_single_02417,hypothetical protein,93,33,93.01,33.01,0.658742703,2.817631021
AMHOT1A3_single_00024,"cytochrome c4 cytochrome C, class I in atlantica",93,44,93.01,44.01,0.828871873,2.113383322
AMHOT1A3_single_00536,ZIP zinc transporter family protein,92,119,92.01,119.01,0.267941289,0.773128309
AMHOT1A3_single_00098,acyl-CoA dehydrogenase,92,103,92.01,103.01,0.351273425,0.893214251
AMHOT1A3_single_00743,magnesium transporter,92,63,92.01,63.01,0.672879221,1.460244406
AMHOT1A3_single_01070,B12-dependent methionine synthase,92,49,92.01,49.01,0.982690699,1.877371965
AMHOT1A3_single_01110,"tryptophan 2,3-dioxygenase",91,107,91.01,107.01,0.423935837,0.850481263
AMHOT1A3_single_01599,pteridine reductase,91,38,91.01,38.01,0.444084339,2.394369903
AMHOT1A3_single_01754,Entericidin EcnA/B family protein,91,73,91.01,73.01,0.585462348,1.24654157
AMHOT1A3_single_00932,heme exporter protein CcmD,91,73,91.01,73.01,0.599011982,1.24654157
AMHOT1A3_single_01660,permease of the major facilitator superfamily protein,91,46,91.01,46.01,0.663569699,1.97804825
AMHOT1A3_single_00802,hypothetical protein,91,53,91.01,53.01,1,1.716845878
AMHOT1A3_single_00552,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,90,114,90.01,114.01,0.380543697,0.78949215
AMHOT1A3_single_02029,"NTP pyrophosphohydrolase, NUDIX family protein",90,64,90.01,64.01,0.547713192,1.406186533
AMHOT1A3_single_00847,mechanosensitive ion channel protein MscS,90,60,90.01,60.01,0.75359765,1.499916681
AMHOT1A3_single_00184,S1/P1 Nuclease,90,48,90.01,48.01,1,1.874817746
AMHOT1A3_single_00311,major facilitator superfamily transporter,89,123,89.01,123.01,0.317063983,0.723599707
AMHOT1A3_single_01936,cytidine deaminase,89,34,89.01,34.01,0.47327489,2.61717142
AMHOT1A3_single_02403,NADPH2 dehydrogenase,89,34,89.01,34.01,0.758290425,2.61717142
AMHOT1A3_single_01819,transposase/integrase,89,55,89.01,55.01,0.958754726,1.618069442
AMHOT1A3_single_00224,mannose-sensitive agglutinin biogenesis protein MshM,89,49,89.01,49.01,1,1.816159967
AMHOT1A3_single_01025,hypothetical protein,88,176,88.01,176.01,0.070815908,0.500028407
AMHOT1A3_single_00386,signal transduction protein,88,93,88.01,93.01,0.357675712,0.94624234
AMHOT1A3_single_01649,exodeoxyribonuclease III,88,75,88.01,75.01,0.471239005,1.173310225
AMHOT1A3_single_00954,SmpA/OmlA family lipoprotein,88,77,88.01,77.01,0.555547657,1.142838592
AMHOT1A3_single_01394,anthranilate synthase component I,88,43,88.01,43.01,0.631649953,2.04626831
AMHOT1A3_single_00504,hypothetical protein,88,47,88.01,47.01,1,1.872154861
AMHOT1A3_single_01712,histidine kinase,87,166,87.01,166.01,0.020300923,0.524125053
AMHOT1A3_single_01068,homoserine O-succinyltransferase,87,107,87.01,107.01,0.267554761,0.813101579
AMHOT1A3_single_01637,hypothetical protein,87,39,87.01,39.01,0.495401078,2.23045373
AMHOT1A3_single_00157,glutaredoxin,87,66,87.01,66.01,0.506361367,1.318133616
AMHOT1A3_single_00554,hypothetical protein,87,61,87.01,61.01,0.559576332,1.426159646
AMHOT1A3_single_03143,hypothetical protein,87,50,87.01,50.01,1,1.73985203
AMHOT1A3_single_00011,ribonuclease P protein component,86,87,86.01,87.01,0.400988757,0.988507068
AMHOT1A3_single_00231,mannose-sensitive agglutinin biogenesis protein MshC,86,93,86.01,93.01,0.441714418,0.924739275
AMHOT1A3_single_00444,hypothetical protein,85,86,85.01,86.01,0.381999623,0.988373445
AMHOT1A3_single_00351,methyl-accepting chemotaxis protein,85,84,85.01,84.01,0.39814967,1.011903345
AMHOT1A3_single_01410,fatty acid cistrans isomerase,85,81,85.01,81.01,0.408863433,1.04937662
AMHOT1A3_single_00501,GNAT family acetyltransferase,84,145,84.01,145.01,0.043974723,0.579339356
AMHOT1A3_single_00566,prolipoprotein diacylglyceryl transferase,84,55,84.01,55.01,0.694668966,1.527176877
AMHOT1A3_single_00627,Anthranilate phosphoribosyltransferase,84,41,84.01,41.01,0.858759429,2.04852475
AMHOT1A3_single_00062,50S ribosomal protein L28,84,53,84.01,53.01,0.907362969,1.584795322
AMHOT1A3_single_03570,sensor histidine kinase,83,35,83.01,35.01,0.85636332,2.371036847
AMHOT1A3_single_01498,sensory box/GGDEF domain/EAL domain-containing protein,82,148,82.01,148.01,0.071076967,0.554084184
AMHOT1A3_single_00165,glutathione S-transferase,82,110,82.01,110.01,0.321951455,0.745477684
AMHOT1A3_single_01974,pullulanase,82,88,82.01,88.01,0.357675712,0.931825929
AMHOT1A3_single_03358,membrane protein,82,84,82.01,84.01,0.378337305,0.97619331
AMHOT1A3_single_01479,response regulator,82,68,82.01,68.01,0.452093241,1.205852081
AMHOT1A3_single_00233,pilus assembly protein PilW,82,61,82.01,61.01,0.495556436,1.344205868
AMHOT1A3_single_00946,hypothetical protein,82,58,82.01,58.01,0.553884073,1.413721772
AMHOT1A3_single_00033,Peptidoglycan-binding LysM,82,67,82.01,67.01,0.600834932,1.223847187
AMHOT1A3_single_02437,AsnC family transcriptional regulator,82,65,82.01,65.01,0.605463716,1.261498231
AMHOT1A3_single_00391,hypothetical protein,82,47,82.01,47.01,0.624995164,1.744522442
AMHOT1A3_single_00517,hypothetical protein,82,39,82.01,39.01,0.93222221,2.102281466
AMHOT1A3_single_01651,hypothetical protein,81,86,81.01,86.01,0.305019927,0.941867225
AMHOT1A3_single_01865,hypothetical protein,81,35,81.01,35.01,0.36437938,2.313910311
AMHOT1A3_single_00146,diguanylate cyclase,81,79,81.01,79.01,0.512472991,1.025313251
AMHOT1A3_single_00310,LacI family transcriptional regulator,81,43,81.01,43.01,0.764804693,1.883515462
AMHOT1A3_single_00842,N-acetylglucosamine-6-phosphate deacetylase,81,52,81.01,52.01,0.787724626,1.55758508
AMHOT1A3_single_01299,peptidoglycan-associated lipoprotein,80,85,80.01,85.01,0.312052058,0.94118339
AMHOT1A3_single_02905,NAD(FAD)-dependent dehydrogenase,80,76,80.01,76.01,0.400948562,1.052624655
AMHOT1A3_single_00125,hypothetical protein,80,69,80.01,69.01,0.478937827,1.159397189
AMHOT1A3_single_02033,subtilase family serine protease,80,60,80.01,60.01,0.530746401,1.333277787
AMHOT1A3_single_00590,cytoplasmic protein,79,68,79.01,68.01,0.437309971,1.16174092
AMHOT1A3_single_01424,hypothetical protein,79,24,79.01,24.01,0.588484578,3.290712203
AMHOT1A3_single_01201,3-ketoacyl-ACP reductase,79,43,79.01,43.01,0.819965932,1.837014648
AMHOT1A3_single_01050,flagellar biosynthesis protein FliP,78,73,78.01,73.01,0.557592185,1.068483769
AMHOT1A3_single_01915,hypothetical protein,77,63,77.01,63.01,0.442964143,1.222186954
AMHOT1A3_single_01747,transcriptional regulator,77,66,77.01,66.01,0.469372769,1.166641418
AMHOT1A3_single_01439,amidohydrolase,77,57,77.01,57.01,0.516472346,1.350815646
AMHOT1A3_single_00456,Signaling protein with a acyltransferase and GGDEF domains,77,57,77.01,57.01,0.552782134,1.350815646
AMHOT1A3_single_01643,transcription-repair coupling factor,77,51,77.01,51.01,0.560836741,1.50970398
AMHOT1A3_single_01405,thiopurine S-methyltransferase family protein,77,41,77.01,41.01,1,1.877834674
AMHOT1A3_single_00937,cytochrome c-type biogenesis protein,76,25,76.01,25.01,0.120081708,3.039184326
AMHOT1A3_single_01246,"peptidase, M16 family protein",76,105,76.01,105.01,0.272757425,0.723835825
AMHOT1A3_single_00609,poxB regulator PoxA,76,57,76.01,57.01,0.601170141,1.333274864
AMHOT1A3_single_01497,hypothetical protein,76,37,76.01,37.01,0.886516353,2.053769252
AMHOT1A3_single_01162,lipoprotein,76,43,76.01,43.01,0.902647411,1.767263427
AMHOT1A3_single_00252,ribosomal RNA small subunit methyltransferase C,76,46,76.01,46.01,1,1.652032167
AMHOT1A3_single_00806,ACT domain-containing protein,75,88,75.01,88.01,0.254915562,0.852289513
AMHOT1A3_single_00382,succinyldiaminopimelate aminotransferase,75,64,75.01,64.01,0.479070322,1.171848149
AMHOT1A3_single_00996,Smr domain-containing protein,75,60,75.01,60.01,0.491432066,1.24995834
AMHOT1A3_single_01328,multidrug resistance protein,75,57,75.01,57.01,0.509478154,1.315734082
AMHOT1A3_single_00527,hypothetical protein,75,54,75.01,54.01,0.539356817,1.388816886
AMHOT1A3_single_02818,MerR family transcriptional regulator,75,46,75.01,46.01,0.63850807,1.630297761
AMHOT1A3_single_00701,CO2+/MG2+ efflux protein ApaG,75,48,75.01,48.01,0.990721232,1.562382837
AMHOT1A3_single_00266,hypothetical protein,74,83,74.01,83.01,0.305831836,0.891579328
AMHOT1A3_single_00462,"peptidase M20D, amidohydrolase",74,19,74.01,19.01,0.315485213,3.893214098
AMHOT1A3_single_00155,bifunctional 4-hydroxybutyrate CoA-transferase/acetyltransferase,74,82,74.01,82.01,0.324986824,0.902450921
AMHOT1A3_single_02940,dephospho-CoA kinase,74,78,74.01,78.01,0.354434108,0.948724522
AMHOT1A3_single_02340,hypothetical protein,74,22,74.01,22.01,0.408708648,3.362562472
AMHOT1A3_single_00751,Lipopolysaccharide export system protein LptC,74,53,74.01,53.01,0.54913486,1.396151669
