pmed4_id,gene_name,gene_description,peak_time_transcript_h,peak_time_protein_h,protein_transcript_lag_h,transcript_amplitude_log2,protein_amplitude_log2,transcript_protein_amplitude_ratio,resolved_locus_tag,resolution_method
PMED4_02781,,probable oxidoreductase (NCBI),4.2,7.8,3.6,1.84,0.56,3.3,PMM0273,tier1:pmed4_id
PMED4_02861,hisB,Imidazoleglycerol-phosphate dehydratase (NCBI),23.2,23.0,23.8,1.04,0.34,3.1,PMM0281,tier1:pmed4_id
PMED4_02871,fabI,enoyl-[acyl-carrier-protein] reductase (NCBI),1.9,9.7,7.8,1.24,0.16,7.8,PMM0282,tier1:pmed4_id
PMED4_02941,,possible ABC transporter (NCBI),18.2,19.0,0.9,1.38,0.2,6.9,PMM0289,tier1:pmed4_id
PMED4_03021,psbE,Cytochrome b559 alpha-subunit (NCBI),10.6,22.8,12.2,1.64,0.12,13.7,PMM0297,tier1:pmed4_id
PMED4_03041,psbL,photosystem II PsbL protein (NCBI),8.0,0.0,16.0,1.74,0.26,6.7,PMM0299,tier1:pmed4_id
PMED4_03061,,5'-methylthioadenosine phosphorylase (NCBI),17.6,3.7,10.0,1.08,1.04,1.0,PMM0301,tier1:pmed4_id
PMED4_03171,metK,S-adenosylmethionine synthetase (NCBI),5.4,8.8,3.4,0.88,0.16,5.5,PMM0311,tier1:pmed4_id
PMED4_03181,"rps1a,","rpsA310S ribosomal protein S1, homolog A (NCBI)",2.5,7.0,4.4,2.26,0.38,5.9,PMM0312,tier1:pmed4_id
PMED4_03271,minE,possible septum site-determining protein MinE (NCBI),14.1,21.3,7.1,4.22,0.22,19.2,PMM0320,tier1:pmed4_id
PMED4_03281,minD,putative septum site-determining protein MinD (NCBI),13.6,18.9,5.3,4.96,0.42,11.8,PMM0321,tier1:pmed4_id
PMED4_03321,petB,Cytochrome b6 (NCBI),13.5,7.0,17.4,1.54,1.28,1.2,PMM0325,tier1:pmed4_id
PMED4_03341,,putative neutral invertase-like protein (NCBI),19.6,18.1,22.5,1.42,0.4,3.6,PMM0327,tier1:pmed4_id
PMED4_03361,psaE,Photosystem I PsaE protein (subunit IV) (NCBI),6.7,7.7,1.0,1.26,0.2,6.3,PMM0329,tier1:pmed4_id
PMED4_03371,,possible LysM domain (NCBI),16.0,14.5,22.1,3.14,1.94,1.6,PMM0330,tier1:pmed4_id
PMED4_03501,,conserved hypothetical (NCBI),4.0,20.1,15.7,0.42,0.4,1.1,PMM0338,tier1:pmed4_id
PMED4_03911,,possible Malic enzyme (NCBI),17.2,21.1,3.9,5.18,0.28,18.5,PMM0364,tier1:pmed4_id
PMED4_03941,,conserved hypothetical protein (NCBI),18.0,4.1,10.1,2.66,0.66,4.0,PMM0367,tier1:pmed4_id
PMED4_04231,,"spnII-interruppotsesdi-bCle uncharacterized restriction enzyme, interrupted-C",17.7,22.4,4.8,2.54,0.9,2.8,PMM0384,tier1:pmed4_id
PMED4_04411,lrtA,light repressed protein A homolog (NCBI),16.1,5.9,13.8,1.82,1.3,1.4,PMM0400,tier1:pmed4_id
PMED4_04441,,conserved hypothetical protein (NCBI),15.9,19.1,3.2,2.36,0.3,7.9,PMM0403,tier1:pmed4_id
PMED4_04501,cysK1,O-acetylserine (thiol)-lyase A (NCBI),18.9,1.4,6.5,1.7,0.26,6.5,PMM0407,tier1:pmed4_id
PMED4_04531,rpsD,30S ribosomal protein S4 (NCBI),2.5,3.1,0.7,1.36,0.24,5.7,PMM0410,tier1:pmed4_id
PMED4_04601,,Conserved hypothetical protein (Katherine Huang),16.8,22.0,5.2,1.38,0.46,3.0,PMM1846,tier1:pmed4_id
PMED4_04831,topA,Prokaryotic DNA topoisomerase (NCBI),17.7,2.3,8.7,1.72,0.26,6.6,PMM0436,tier1:pmed4_id
PMED4_05011,fabG,3-oxoacyl-[acyl-carrier protein] reductase (NCBI),4.2,9.1,4.9,2.04,0.22,9.3,PMM0453,tier1:pmed4_id
PMED4_05051,ppx,putative exopolyphosphatase (NCBI),6.4,5.0,22.6,1.12,1.1,1.0,PMM0457,tier1:pmed4_id
PMED4_05061,,conserved hypothetical protein (NCBI),18.4,17.0,22.3,2.52,0.28,9.0,PMM0458,tier1:pmed4_id
PMED4_05101,petC,Rieske iron-sulfur protein (NCBI),10.2,4.4,18.3,1.04,0.72,1.4,PMM0462,tier1:pmed4_id
PMED4_05171,psaF,Photosystem I PsaF protein (subunit III) (NCBI),7.8,6.8,22.9,0.92,0.2,4.6,PMM0469,tier1:pmed4_id
PMED4_05211,gltX,Glutamyl-tRNA synthetase (NCBI),22.8,13.0,14.3,0.84,0.46,1.8,PMM0473,tier1:pmed4_id
PMED4_05231,rplS,Ribosomal protein L19 (NCBI),2.7,7.2,4.4,1.46,0.38,3.8,PMM0475,tier1:pmed4_id
PMED4_05281,,conserved hypothetical protein (NCBI),16.3,19.5,3.2,2.12,0.28,7.6,PMM0480,tier1:pmed4_id
PMED4_05311,hflC,Band 7 protein (NCBI),12.6,20.0,7.4,2.82,0.2,14.1,PMM0482,tier1:pmed4_id
PMED4_05421,cxp,Carboxypeptidase Taq (M32) metallopeptidase (NCBI),9.5,7.6,22.1,0.18,0.94,0.2,PMM0493,tier1:pmed4_id
PMED4_05451,,Putative principal RNA polymerase sigma factor (NCBI),21.4,1.3,3.9,2.46,0.58,4.2,PMM0496,tier1:pmed4_id
PMED4_05551,purA,Adenylosuccinate synthetase (NCBI),2.9,14.3,11.4,0.68,0.22,3.1,PMM0506,tier1:pmed4_id
PMED4_05561,psb27,possible Photosystem II reaction center Psb27 protein,4.9,9.6,4.7,1.32,0.34,3.9,PMM0507,tier1:pmed4_id
PMED4_05571,proS,Prolyl-tRNA synthetase (NCBI),21.3,21.5,0.2,1.5,0.26,5.8,PMM0508,tier1:pmed4_id
PMED4_05641,gpmB,possible alpha-ribazole-5'-P phosphatase (NCBI),2.6,5.5,2.9,1.08,0.26,4.2,PMM0515,tier1:pmed4_id
