pmed4_id,gene_name,gene_description,peak_time_transcript_h,peak_time_protein_h,protein_transcript_lag_h,transcript_amplitude_log2,protein_amplitude_log2,transcript_protein_amplitude_ratio,resolved_locus_tag,resolution_method
PMED4_12531,pdxJ,Pyridoxal phosphate biosynthetic protein PdxJ (NCBI),15.6,1.9,10.3,1.22,0.4,3.1,PMM1107,tier1:pmed4_id
PMED4_12571,,Glutaredoxin-related protein (NCBI),23.0,17.7,18.9,0.76,0.14,5.4,PMM1111,tier1:pmed4_id
PMED4_12591,,two-component response regulator (NCBI),7.3,16.0,8.2,1.18,0.34,3.5,PMM1113,tier1:pmed4_id
PMED4_13031,pntB,"putative nicotinamide nucleotide transhydrogenase,",15.7,4.2,12.5,2.54,0.78,3.3,PMM1145,tier1:pmed4_id
PMED4_13051,pntA,"putative nicotinamide nucleotide transhydrogenase,",15.5,21.0,5.2,3.74,0.38,9.8,PMM1147,tier1:pmed4_id
PMED4_13161,,photosystem I assembly related protein Ycf4 (NCBI),5.4,15.6,10.2,0.82,0.3,2.7,PMM1156,tier1:pmed4_id
PMED4_13171,psbD,Photosystem II PsbD protein (D2) (NCBI),10.0,3.7,18.1,2.14,0.4,5.4,PMM1157,tier1:pmed4_id
PMED4_13181,psbC,Photosystem II PsbC protein (CP43) (NCBI),8.8,6.9,22.2,1.56,0.42,3.7,PMM1158,tier1:pmed4_id
PMED4_13291,glyQ,Glycyl-tRNA synthetase alpha subunit (NCBI),20.0,6.3,10.7,1.16,0.8,1.5,PMM1165,tier1:pmed4_id
PMED4_13301,,conserved hypothetical protein (NCBI),17.5,12.0,18.2,2.84,0.32,8.9,PMM1166,tier1:pmed4_id
PMED4_13311,,Macrophage migration inhibitory factor family (NCBI),16.5,20.9,4.4,2.18,0.54,4.0,PMM1167,tier1:pmed4_id
PMED4_13361,isiB,Flavodoxin (NCBI),8.1,14.2,6.1,1.32,0.18,7.3,PMM1171,tier1:pmed4_id
PMED4_13451,sppA,signal peptide peptidase SppA (protease IV) (NCBI),17.2,22.1,4.9,1.54,0.28,5.5,PMM1180,tier1:pmed4_id
PMED4_13501,,conserved hypothetical protein (NCBI),2.3,11.7,9.4,1.1,0.94,1.2,PMM1185,tier1:pmed4_id
PMED4_13521,,ATPase of the AAA+ family (Katherine Huang),21.3,23.8,2.6,1.3,0.86,1.5,PMM1187,tier1:pmed4_id
PMED4_13551,rpsN,30S Ribosomal protein S14 (NCBI),2.8,1.8,23.0,1.12,0.18,6.2,PMM1190,tier1:pmed4_id
PMED4_13561,pnp,polyribonucleotide nucleotidyltransferase (NCBI),3.0,9.2,6.3,1.64,0.08,20.5,PMM1191,tier1:pmed4_id
PMED4_13651,,"Glycosyl transferase, family 2 (NCBI)",3.9,2.2,22.3,1.92,0.96,2.0,PMM1200,tier1:pmed4_id
PMED4_13771,,conserved hypothetical protein (NCBI),5.1,13.2,8.1,1.0,0.68,1.5,PMM1212,tier1:pmed4_id
PMED4_13781,,Glycosyl transferases group 1 (NCBI),15.8,1.8,10.0,1.64,0.88,1.9,PMM1213,tier1:pmed4_id
PMED4_13821,gmhA,putative phosphoheptose isomerase (NCBI),0.2,23.3,23.1,1.3,0.56,2.3,PMM1217,tier1:pmed4_id
PMED4_13831,rfaE,putative ADP-heptose synthase (NCBI),0.0,23.0,22.6,1.34,0.32,4.2,PMM1218,tier1:pmed4_id
PMED4_13961,,conserved hypothetical (NCBI),4.0,4.8,0.8,0.94,0.12,7.8,PMM1231,tier1:pmed4_id
PMED4_13971,,methyltransferase (NCBI),3.9,11.6,7.8,1.06,0.08,13.3,PMM1232,tier1:pmed4_id
PMED4_13991,adhC,Zinc-containing alcohol dehydrogenase superfamily,3.7,13.8,10.1,1.14,0.1,11.4,PMM1234,tier1:pmed4_id
PMED4_14001,,possible N-terminal fragment of transketolase (NCBI),2.6,16.3,13.7,0.96,0.24,4.0,PMM1235,tier1:pmed4_id
PMED4_14011,,unknown (NCBI),3.4,5.4,2.0,0.9,0.16,5.6,PMM1236,tier1:pmed4_id
PMED4_14041,hetA,ABC-type multidrug transport system ATPase and,16.5,24.0,7.0,1.64,0.38,4.3,PMM1239,tier1:pmed4_id
PMED4_14111,,Carbamoyltransferase (NCBI),3.6,12.9,9.3,1.26,0.12,10.5,PMM1246,tier1:pmed4_id
PMED4_14121,,hypothetical protein (NCBI),5.4,12.7,7.4,1.04,0.2,5.2,PMM1247,tier1:pmed4_id
PMED4_14241,,pyridoxal-phosphate-dependent aminotransferase,17.3,13.8,20.6,0.88,0.12,7.3,PMM1258,tier1:pmed4_id
PMED4_14291,argF,Ornithine carbamoyltransferase (Katherine Huang),3.3,18.0,14.8,1.44,2.04,0.7,PMM1263,tier1:pmed4_id
PMED4_14301,,cell division protein FtsH3 (NCBI),4.8,11.0,6.1,2.06,0.22,9.4,PMM1264,tier1:pmed4_id
PMED4_14361,pheS,Phenylalanyl-tRNA synthetase alpha chain (NCBI),0.8,17.3,16.5,0.56,0.44,1.3,PMM1270,tier1:pmed4_id
PMED4_14501,phoH,PhoH-like phosphate starvation-inducible protein (NCBI),23.5,6.5,7.1,2.3,0.4,5.8,PMM1284,tier1:pmed4_id
PMED4_14521,ffh,signal recognition particle protein (SRP54) (NCBI),21.0,10.6,13.5,0.86,0.46,1.9,PMM1286,tier1:pmed4_id
PMED4_14531,,conserved hypothetical protein (NCBI),16.0,21.2,5.2,2.38,0.34,7.0,PMM1287,tier1:pmed4_id
PMED4_14631,trpC,Indole-3-glycerol phosphate synthase (Katherine Huang),2.0,0.8,22.7,0.7,0.16,4.4,PMM1297,tier1:pmed4_id
PMED4_14641,lpd,putative dihydrolipoamide dehydrogenase (NCBI),1.6,21.6,20.1,0.66,0.22,3.0,PMM1298,tier1:pmed4_id
PMED4_14761,ftsZ,Cell division protein FtsZ:Tubulin/FtsZ family (NCBI),16.8,19.9,3.1,4.56,0.42,10.9,PMM1309,tier1:pmed4_id
PMED4_14771,panB,putative Ketopantoate hydroxymethyltransferase (NCBI),14.7,14.0,23.8,1.34,0.18,7.4,PMM1310,tier1:pmed4_id
PMED4_14801,,Clp protease proteolytic subunit (NCBI),17.7,19.7,2.0,1.24,0.16,7.8,PMM1313,tier1:pmed4_id
PMED4_14811,,Clp protease proteolytic subunit (NCBI),15.8,20.0,4.2,1.14,0.32,3.6,PMM1314,tier1:pmed4_id
PMED4_14821,ilvC,Ketol-acid reductoisomerase (NCBI),0.8,14.6,13.8,0.5,0.1,5.0,PMM1315,tier1:pmed4_id
PMED4_14891,himA,Bacterial histone-like DNA-binding protein (NCBI),16.9,20.7,3.8,5.0,0.36,13.9,PMM1321,tier1:pmed4_id
PMED4_14941,,conserved hypothetical protein (NCBI),22.9,5.1,6.2,1.06,0.34,3.1,PMM1326,tier1:pmed4_id
PMED4_14981,,conserved hypothetical protein (NCBI),17.4,17.4,0.0,0.46,0.34,1.4,PMM1330,tier1:pmed4_id
PMED4_15001,pepB,Cytosol aminopeptidase (NCBI),13.7,22.6,9.0,0.74,0.26,2.8,PMM1332,tier1:pmed4_id
PMED4_15031,lpxA,UDP-N-acetylglucosamine acyltransferase (NCBI),22.9,16.4,17.5,0.96,0.36,2.7,PMM1335,tier1:pmed4_id
PMED4_15041,fabZ,Putative (3R)-hydroxymyristoyl-[acyl carrier protein],2.5,7.0,4.0,1.82,1.22,1.5,PMM1336,tier1:pmed4_id
PMED4_15061,,chloroplast outer envelope membrane protein homolog,20.9,1.8,4.9,1.04,0.08,13.0,PMM1338,tier1:pmed4_id
PMED4_15091,nblS,two-component sensor histidine kinase (NCBI),0.0,3.0,3.1,0.5,0.64,0.8,PMM1341,tier1:pmed4_id
PMED4_15131,rpmA,50S ribosomal protein L27 (NCBI),1.9,3.3,1.4,1.84,0.7,2.6,PMM1345,tier1:pmed4_id
PMED4_15181,,Pentapeptide repeats (NCBI),7.1,13.0,5.9,1.68,0.26,6.5,PMM1350,tier1:pmed4_id
PMED4_15221,serA,putative D-3-phosphoglycerate dehydrogenase (PGDH),18.0,17.3,23.2,1.9,0.26,7.3,PMM1354,tier1:pmed4_id
PMED4_16171,,conserved hypothetical protein (NCBI),19.0,21.0,1.8,2.04,0.24,8.5,PMM1412,tier1:pmed4_id
PMED4_16411,pyrR,Phosphoribosyl transferase (NCBI),17.6,6.7,13.1,1.38,1.86,0.7,PMM1433,tier1:pmed4_id
PMED4_16451,groEL,GroEL protein (Chaperonin cpn60) (NCBI),21.6,3.9,6.3,1.28,0.16,8.0,PMM1436,tier1:pmed4_id
PMED4_16461,groES,GroES protein (Chaperonin cpn10) (NCBI),22.7,23.3,0.6,0.66,0.18,3.7,PMM1437,tier1:pmed4_id
PMED4_16471,atpD,"ATP synthase F1, beta subunit (Katherine Huang)",3.8,9.7,5.9,2.28,0.2,11.4,PMM1438,tier1:pmed4_id
PMED4_16481,atpC,"ATP synthase, Epsilon subunit (NCBI)",4.5,10.1,5.6,2.44,0.7,3.5,PMM1439,tier1:pmed4_id
PMED4_16601,atpA,"ATP synthase F1, alpha subunit (Katherine Huang)",2.7,10.0,7.3,2.16,0.2,10.8,PMM1451,tier1:pmed4_id
PMED4_16611,atpH,"ATP synthase, delta (OSCP) subunit (NCBI)",2.4,9.1,6.7,2.02,0.26,7.8,PMM1452,tier1:pmed4_id
PMED4_16631,atpG,ATP synthase B/B' CF(0) (NCBI),3.1,8.1,5.0,2.52,0.3,8.4,PMM1454,tier1:pmed4_id
PMED4_16641,atpE,ATP synthase subunit c (Katherine Huang),3.1,8.1,5.0,2.56,0.48,5.3,PMM1455,tier1:pmed4_id
PMED4_16721,glnB,Nitrogen regulatory protein P-II (NCBI),9.2,14.8,5.5,0.82,0.28,2.9,PMM1463,tier1:pmed4_id
PMED4_16811,BioA,putative diaminopelargonic acid synthase (NCBI),19.4,1.6,6.1,1.2,0.56,2.1,PMM1472,tier1:pmed4_id
PMED4_16891,,conserved hypothetical protein (NCBI),13.7,18.3,4.6,0.54,0.24,2.3,PMM1480,tier1:pmed4_id
PMED4_16931,rpoC2,RNA polymerase beta prime subunit (NCBI),19.7,22.8,3.1,1.18,0.1,11.8,PMM1483,tier1:pmed4_id
PMED4_16951,rpoB,RNA polymerase beta subunit (NCBI),20.2,23.4,3.3,1.34,0.12,11.2,PMM1485,tier1:pmed4_id
PMED4_16971,rpsT,30s Ribosomal protein S20 (NCBI),2.9,12.1,9.1,1.7,0.22,7.7,PMM1487,tier1:pmed4_id
PMED4_17021,nusA,N utilization substance protein A (NCBI),19.0,22.8,3.9,1.82,0.16,11.4,PMM1492,tier1:pmed4_id
PMED4_17101,,putative aminotransferase (NCBI),21.8,22.5,0.6,0.82,0.4,2.1,PMM1500,tier1:pmed4_id
PMED4_17111,rne,S1 RNA binding domain:Ribonuclease E and G (NCBI),1.0,4.1,3.0,1.08,0.3,3.6,PMM1501,tier1:pmed4_id
PMED4_17171,rpsJ,30S ribosomal protein S10 (NCBI),2.4,3.3,0.9,1.66,0.28,5.9,PMM1507,tier1:pmed4_id
PMED4_17191,fusA,Elongation factor G (NCBI),2.4,10.1,7.7,1.52,0.12,12.7,PMM1509,tier1:pmed4_id
PMED4_17211,rpsL,30S ribosomal protein S12 (NCBI),2.4,10.0,7.5,1.4,0.96,1.5,PMM1511,tier1:pmed4_id
PMED4_17221,gltB,"Ferredoxin-dependent glutamate synthase, Fd-GOGAT",15.8,18.0,2.4,1.7,0.5,3.4,PMM1512,tier1:pmed4_id
PMED4_17291,psaL,Photosystem I PsaL protein (subunit XI) (NCBI),6.5,9.0,2.1,1.48,0.2,7.4,PMM1519,tier1:pmed4_id
PMED4_17331,psaB,Photosystem I PsaB protein (NCBI),9.0,7.7,22.7,0.88,0.46,1.9,PMM1523,tier1:pmed4_id
PMED4_17341,psaA,Photosystem I PsaA protein (NCBI),9.5,3.3,17.8,0.92,0.56,1.6,PMM1524,tier1:pmed4_id
PMED4_17441,rplQ,50S ribosomal protein L17 (NCBI),23.8,10.4,10.6,1.5,0.34,4.4,PMM1534,tier1:pmed4_id
PMED4_17451,rpoA,"Bacterial RNA polymerase, alpha chain (NCBI)",23.0,22.1,23.1,1.32,0.08,16.5,PMM1535,tier1:pmed4_id
PMED4_17461,rpsK,30S ribosomal protein S11 (NCBI),0.8,0.3,23.5,1.36,0.16,8.5,PMM1536,tier1:pmed4_id
PMED4_17471,rpsM,30S ribosomal protein S13 (NCBI),2.2,8.9,6.6,1.7,0.28,6.1,PMM1537,tier1:pmed4_id
PMED4_17491,adk,Adenylate kinase (NCBI),1.3,21.8,20.5,1.8,0.38,4.7,PMM1539,tier1:pmed4_id
PMED4_17511,rplO,50S ribosomal protein L15 (NCBI),1.6,7.6,5.9,1.8,0.3,6.0,PMM1541,tier1:pmed4_id
PMED4_17521,rpsE,30S ribosomal protein S5 (NCBI),0.3,1.4,1.1,1.58,0.28,5.6,PMM1542,tier1:pmed4_id
PMED4_17541,rplF,50S ribosomal protein L6 (NCBI),0.5,5.6,5.2,1.3,0.16,8.1,PMM1544,tier1:pmed4_id
PMED4_17551,rpsH,30S ribosomal protein S8 (NCBI),0.9,11.8,11.0,1.52,0.06,25.3,PMM1545,tier1:pmed4_id
PMED4_17561,rplE,50S ribosomal protein L5 (NCBI),0.6,6.9,6.2,1.3,0.36,3.6,PMM1546,tier1:pmed4_id
PMED4_17591,rpsQ,30S Ribosomal protein S17 (NCBI),0.0,10.9,10.6,1.74,0.1,17.4,PMM1549,tier1:pmed4_id
PMED4_17611,rplP,50S ribosomal protein L16 (NCBI),1.2,8.5,7.3,1.82,0.4,4.6,PMM1551,tier1:pmed4_id
PMED4_17631,rplV,50S ribosomal protein L22 (NCBI),0.9,6.1,5.1,1.9,0.34,5.6,PMM1553,tier1:pmed4_id
PMED4_17641,rpsS,30S Ribosomal protein S19 (NCBI),2.5,4.4,2.0,2.62,0.28,9.4,PMM1554,tier1:pmed4_id
PMED4_17651,rplB,50S ribosomal protein L2 (NCBI),0.9,7.3,6.4,1.86,1.42,1.3,PMM1555,tier1:pmed4_id
PMED4_17681,rplC,50S ribosomal protein L3 (NCBI),0.7,6.3,5.6,2.18,0.46,4.7,PMM1558,tier1:pmed4_id
PMED4_17721,recA,RecA bacterial DNA recombination protein (NCBI),16.6,17.8,1.2,3.1,0.36,8.6,PMM1562,tier1:pmed4_id
PMED4_17781,,conserved hypothetical protein (NCBI),16.0,19.7,3.7,3.34,0.36,9.3,PMM1568,tier1:pmed4_id
PMED4_17941,rnd,putative ribonuclease D (NCBI),12.3,22.5,10.2,1.22,0.58,2.1,PMM1584,tier1:pmed4_id
PMED4_18061,icd,Isocitrate dehydrogenase (NCBI),16.7,19.5,2.8,3.6,0.4,9.0,PMM1596,tier1:pmed4_id
PMED4_18111,glgP,phosphorylase (NCBI),16.4,21.1,4.7,4.28,0.56,7.6,PMM1601,tier1:pmed4_id
PMED4_18171,psaC,Photosystem I subunit PsaC (NCBI),8.8,16.7,7.9,1.22,0.1,12.2,PMM1607,tier1:pmed4_id
PMED4_18181,acpP,acyl carrier protein (ACP) (NCBI),3.9,6.3,2.4,1.26,0.82,1.5,PMM1608,tier1:pmed4_id
PMED4_18201,tktA,Transketolase (NCBI),2.8,12.8,10.0,1.7,0.08,21.3,PMM1610,tier1:pmed4_id
PMED4_18211,thiC,ThiC family (NCBI),15.0,18.9,3.5,4.14,0.84,4.9,PMM1611,tier1:pmed4_id
PMED4_18281,lysS,Lysyl-tRNA synthetase (NCBI),20.5,20.0,23.8,1.54,0.24,6.4,PMM1618,tier1:pmed4_id
PMED4_18291,,two-component response regulator (NCBI),3.0,10.0,7.3,0.6,0.18,3.3,PMM1619,tier1:pmed4_id
PMED4_18321,mreB,Rod shape determining protein (NCBI),16.3,19.8,3.5,1.66,0.3,5.5,PMM1622,tier1:pmed4_id
PMED4_18331,ssb,single-stranded DNA-binding protein (NCBI),16.1,0.7,8.7,4.22,0.86,4.9,PMM1623,tier1:pmed4_id
PMED4_18351,sam1,putative adenosylhomocysteinase (NCBI),11.3,16.9,5.7,1.02,0.2,5.1,PMM1625,tier1:pmed4_id
PMED4_18401,mgtE,"MgtE family, putative magnesium transport protein",17.0,2.2,9.1,0.64,0.18,3.6,PMM1630,tier1:pmed4_id
PMED4_18441,gyrB,"DNA gyrase, subunit B (NCBI)",15.6,21.0,5.4,1.26,0.24,5.3,PMM1634,tier1:pmed4_id
PMED4_18491,secA,Preprotein translocase SecA subunit (NCBI),3.0,5.4,2.4,0.72,0.08,9.0,PMM1639,tier1:pmed4_id
PMED4_18601,,conserved hypothetical protein (NCBI),13.8,16.8,3.0,2.02,0.42,4.8,PMM1650,tier1:pmed4_id
PMED4_18621,,Predicted hydrolase of the metallo-beta-lactamase,20.0,1.6,5.6,0.84,0.2,4.2,PMM1652,tier1:pmed4_id
PMED4_18641,asd,aspartate Semialdehyde dehydrogenase (NCBI),1.4,3.5,2.0,0.96,0.2,4.8,PMM1654,tier1:pmed4_id
PMED4_18651,tig,FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase),1.2,5.5,4.3,1.18,0.2,5.9,PMM1655,tier1:pmed4_id
PMED4_18661,clpP2,Clp protease proteolytic subunit (NCBI),15.9,18.9,3.0,1.08,0.26,4.2,PMM1656,tier1:pmed4_id
PMED4_18671,clpX,"Clp protease ATP-binding subunit, ClpX (NCBI)",16.4,20.4,4.0,3.42,0.96,3.6,PMM1657,tier1:pmed4_id
PMED4_18721,rplT,50S ribosomal protein L20 (NCBI),0.9,0.1,23.2,1.3,0.38,3.4,PMM1662,tier1:pmed4_id
PMED4_18751,sqdB,sulfolipid (UDP-sulfoquinovose) biosynthesis protein,5.4,8.4,3.0,1.06,0.08,13.3,PMM1665,tier1:pmed4_id
PMED4_18841,dnaB,DnaB replicative helicase (NCBI),18.5,16.0,21.8,0.98,0.46,2.1,PMM1674,tier1:pmed4_id
PMED4_18991,aspS,Aspartyl-tRNA synthetase (NCBI),1.7,4.4,2.8,0.98,0.14,7.0,PMM1688,tier1:pmed4_id
PMED4_19161,aroE,Shikimate / quinate 5-dehydrogenase (NCBI),17.0,16.6,23.6,1.28,1.4,0.9,PMM1705,tier1:pmed4_id
PMED4_19181,argG,Argininosuccinate synthase (NCBI),18.2,1.5,7.3,1.16,0.56,2.1,PMM1707,tier1:pmed4_id
PMED4_19241,uvrA,"Excinuclease ABC, A subunit, ATP/GTP-binding site",12.1,18.3,6.2,0.86,0.22,3.9,PMM1712,tier1:pmed4_id
PMED4_19261,,possible protein kinase:ABC1 family (NCBI),21.0,12.4,15.7,0.66,0.52,1.3,PMM1714,tier1:pmed4_id
PMED4_19281,thrC,Threonine synthase: Pyridoxal-5'-phosphate-dependent,23.8,22.6,22.7,0.6,0.16,3.8,PMM1716,tier1:pmed4_id
