gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2785712185	341	3	340	0.0e+00	582.2	TIGR00692	L-threonine 3-dehydrogenase
2785712185	341	4	339	4.8e-22	65.4	TIGR01202	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase
2785712187	287	4	282	1.7e-86	276.3	TIGR04239	rhomboid family protease GlpG
2785712190	285	5	283	6.7e-105	337.6	TIGR01474	4-hydroxybenzoate polyprenyl transferase, proteobacterial
2785712190	285	5	284	2.2e-47	148.8	TIGR01475	putative 4-hydroxybenzoate polyprenyltransferase
2785712192	671	2	669	0.0e+00	1085	TIGR01074	ATP-dependent DNA helicase Rep
2785712193	866	439	606	5.2e-44	136	TIGR00254	diguanylate cyclase (GGDEF) domain
2785712196	470	7	461	4.5e-128	413.7	TIGR00931	Na+/H+ antiporter NhaC
2785712197	589	66	521	0.0e+00	482.2	TIGR00842	choline/carnitine/betaine transport
2785712203	697	61	697	8.3e-85	271.6	TIGR01783	TonB-dependent siderophore receptor
2785712212	377	2	373	0.0e+00	510.2	TIGR02351	thiazole biosynthesis protein ThiH
2785712214	69	6	69	1.3e-19	56.6	TIGR01683	thiamine biosynthesis protein ThiS
2785712216	533	21	265	2.7e-42	131.8	TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
2785712216	533	336	526	1.9e-54	170.9	TIGR00693	thiamine-phosphate diphosphorylase
2785712217	636	143	595	0.0e+00	729.7	TIGR00190	phosphomethylpyrimidine synthase
2785712218	391	5	386	5.9e-75	238.4	TIGR00540	heme biosynthesis-associated TPR protein
2785712221	312	10	302	1.2e-116	374.9	TIGR00212	hydroxymethylbilane synthase
2785712222	353	190	353	1.0e-52	164.3	TIGR00254	diguanylate cyclase (GGDEF) domain
2785712224	213	6	190	1.7e-77	245.2	TIGR03263	guanylate kinase
2785712225	90	1	60	3.8e-30	90	TIGR00690	DNA-directed RNA polymerase, omega subunit
2785712226	703	26	697	0.0e+00	844	TIGR00691	(p)ppGpp synthetase, RelA/SpoT family
2785712227	128	3	126	3.0e-54	168.7	TIGR00004	reactive intermediate/imine deaminase
2785712229	690	26	662	0.0e+00	763.4	TIGR00643	ATP-dependent DNA helicase RecG
2785712236	393	6	391	0.0e+00	435.5	TIGR00275	flavoprotein, HI0933 family
2785712237	223	130	139	3.3e-04	7.6	TIGR03304	outer membrane insertion C-terminal signal
2785712241	519	354	518	4.4e-43	133	TIGR00254	diguanylate cyclase (GGDEF) domain
2785712242	294	2	293	7.8e-89	283.6	TIGR03298	transcriptional regulator, ArgP family
2785712247	381	40	371	5.0e-78	248.3	TIGR01730	RND family efflux transporter, MFP subunit
2785712248	1032	1	1032	0.0e+00	1634	TIGR00915	The (Largely Gram-negative Bacterial) Hydrophobe/Amphiphile Efflux-1 (HAE1) Family
2785712257	204	9	198	4.2e-79	250.6	TIGR00505	GTP cyclohydrolase II
2785712258	946	397	520	1.7e-16	47.6	TIGR00229	PAS domain S-box
2785712258	946	520	684	1.7e-40	125.5	TIGR00254	diguanylate cyclase (GGDEF) domain
2785712261	613	20	608	0.0e+00	807.2	TIGR01389	ATP-dependent DNA helicase RecQ
2785712261	613	22	470	0.0e+00	567.4	TIGR00614	ATP-dependent DNA helicase, RecQ family
2785712262	170	35	169	1.3e-16	46.9	TIGR00369	uncharacterized domain 1
2785712263	445	9	445	6.9e-73	231.8	TIGR00400	Mg2+ transporter (mgtE)
2785712264	304	9	262	1.7e-79	253	TIGR00688	rarD protein
2785712265	425	253	413	1.4e-43	134.6	TIGR00254	diguanylate cyclase (GGDEF) domain
2785712266	723	6	721	0.0e+00	1194.2	TIGR01075	DNA helicase II
2785712267	268	82	243	1.6e-73	232.2	TIGR01172	serine O-acetyltransferase
2785712268	502	342	502	2.9e-42	130.3	TIGR00254	diguanylate cyclase (GGDEF) domain
2785712269	246	102	209	1.0e-12	35.8	TIGR01549	haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E
2785712270	306	16	305	5.5e-106	340.2	TIGR02224	tyrosine recombinase XerC
2785712272	276	3	276	1.9e-102	328.3	TIGR00652	diaminopimelate epimerase
2785712273	416	4	413	0.0e+00	528.5	TIGR01048	diaminopimelate decarboxylase
2785712275	355	2	312	8.4e-75	237.9	TIGR00661	conserved hypothetical protein
2785712277	161	1	161	4.1e-81	257.8	TIGR02998	regulator of ribonuclease activity A
2785712277	161	5	154	1.3e-62	197.2	TIGR01935	RraA famliy
2785712280	210	6	200	3.5e-61	192.1	TIGR00421	polyprenyl P-hydroxybenzoate and phenylacrylic acid decarboxylases
2785712281	452	2	447	0.0e+00	759.8	TIGR01081	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
2785712287	139	11	122	1.1e-12	34.5	TIGR00051	acyl-CoA thioester hydrolase, YbgC/YbaW family
2785712292	943	3	925	0.0e+00	1512.9	TIGR00630	excinuclease ABC, A subunit
2785712294	194	122	187	4.2e-14	40.7	TIGR01509	haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED
2785712294	194	7	187	3.4e-52	165	TIGR02009	beta-phosphoglucomutase family hydrolase
2785712299	351	1	348	0.0e+00	538.5	TIGR00209	galactose-1-phosphate uridylyltransferase, family 1
2785712300	379	3	379	0.0e+00	424.2	TIGR00131	galactokinase
2785712301	520	39	441	5.3e-111	357.5	TIGR00813	transporter, SSS family
2785712302	194	2	194	1.8e-64	203.1	TIGR00621	single stranded DNA-binding protein (ssb)
2785712303	317	30	292	2.2e-14	39.4	TIGR02285	conserved hypothetical protein
2785712306	484	40	425	2.7e-62	197.1	TIGR00813	transporter, SSS family
2785712307	914	45	914	0.0e+00	622	TIGR01782	TonB-dependent receptor
2785712308	494	3	493	0.0e+00	722.9	TIGR01311	glycerol kinase
2785712317	582	257	560	1.5e-90	289.1	TIGR02519	pilus (MSHA type) biogenesis protein MshL
2785712323	101	5	28	5.3e-12	31.5	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2785712325	170	7	30	4.2e-12	31.8	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2785712326	153	3	26	4.5e-10	25.4	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2785712327	184	15	37	1.8e-07	17.1	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2785712328	251	9	32	1.7e-11	29.9	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2785712331	347	9	341	0.0e+00	550.4	TIGR00904	cell shape determining protein, MreB/Mrl family
2785712332	300	1	283	1.5e-73	233.4	TIGR00219	rod shape-determining protein MreC
2785712333	158	3	150	1.4e-47	147.6	TIGR03426	rod shape-determining protein MreD
2785712334	196	1	190	9.7e-55	171	TIGR00172	MAF protein
2785712335	488	13	425	0.0e+00	541.5	TIGR00757	ribonuclease, Rne/Rng family
2785712336	1331	9	1298	0.0e+00	806.4	TIGR02099	TIGR02099 family protein
2785712346	474	1	472	0.0e+00	522.7	TIGR02095	glycogen/starch synthase, ADP-glucose type
2785712348	239	48	239	3.3e-73	231.2	TIGR00091	tRNA (guanine-N(7)-)-methyltransferase
2785712350	355	9	286	6.9e-118	379.1	TIGR01084	A/G-specific adenine glycosylase
2785712364	249	1	147	2.2e-12	33.2	TIGR00288	TIGR00288 family protein
2785712380	1035	1	1035	0.0e+00	1508.3	TIGR00914	heavy metal efflux pump, CzcA family
2785712381	292	8	285	1.9e-56	177.4	TIGR01297	cation diffusion facilitator family transporter
2785712394	1048	1	1043	0.0e+00	1436.6	TIGR00914	heavy metal efflux pump, CzcA family
2785712405	966	140	260	2.7e-22	65.4	TIGR00229	PAS domain S-box
2785712413	768	143	259	9.9e-18	50.7	TIGR00229	PAS domain S-box
2785712414	969	144	260	8.5e-20	57.3	TIGR00229	PAS domain S-box
2785712419	223	3	200	7.6e-55	174	TIGR01428	2-haloalkanoic acid dehalogenase, type II
2785712419	223	30	193	2.8e-09	25.4	TIGR01509	haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED
2785712419	223	5	186	2.2e-18	55.1	TIGR01493	Haloacid dehalogenase superfamily, subfamily IA, variant 2 with 3rd motif like haloacid dehalogenase
2785712425	599	441	597	1.3e-18	53.3	TIGR00254	diguanylate cyclase (GGDEF) domain
2785712427	167	51	161	4.0e-12	33.9	TIGR01549	haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E
2785712427	167	8	167	4.9e-15	43.1	TIGR01509	haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED
2785712435	405	1	405	2.3e-124	401.6	TIGR00889	nucleoside transporter
2785712446	462	53	397	4.7e-124	400	TIGR04416	group II intron reverse transcriptase/maturase
2785712447	333	22	331	5.1e-105	336.9	TIGR01123	branched-chain amino acid aminotransferase, group II
2785712448	248	2	246	2.6e-123	396.2	TIGR01258	phosphoglycerate mutase, BPG-dependent, family 1
2785712450	905	18	903	0.0e+00	1352.4	TIGR01341	aconitate hydratase 1
2785712453	103	4	102	2.1e-50	155.3	TIGR01049	ribosomal protein S10, bacterial/organelle
2785712454	212	4	207	4.8e-94	299.9	TIGR03625	50S ribosomal protein uL3, bacterial form
2785712455	201	12	198	3.4e-79	250.6	TIGR03953	50S ribosomal protein L4, bacterial/organelle
2785712457	274	3	274	0.0e+00	440.1	TIGR01171	ribosomal protein L2, bacterial/organellar
2785712458	91	1	91	6.6e-49	150.5	TIGR01050	ribosomal protein S19, bacterial/organelle
2785712459	110	5	107	3.6e-52	161.2	TIGR01044	ribosomal protein L22, bacterial type
2785712460	234	1	211	1.4e-101	324.6	TIGR01009	ribosomal protein S3, bacterial type
2785712461	136	2	126	1.9e-60	188.7	TIGR01164	ribosomal protein L16, bacterial/organelle
2785712462	63	5	60	1.2e-25	75.6	TIGR00012	ribosomal protein L29
2785712463	85	6	77	7.6e-40	121.1	TIGR03635	ribosomal protein uS17, bacterial form
2785712473	284	5	283	2.7e-107	344.6	TIGR00655	formyltetrahydrofolate deformylase
2785712474	217	42	200	2.4e-32	98.3	TIGR02258	2'-5' RNA ligase
2785712475	898	26	898	0.0e+00	751.3	TIGR01970	ATP-dependent helicase HrpB
2785712477	427	51	347	1.9e-116	374.4	TIGR02283	lytic murein transglycosylase
2785712478	783	31	758	0.0e+00	882.5	TIGR02071	penicillin-binding protein 1B
2785712486	415	12	407	2.3e-105	339.8	TIGR00836	ammonium transporter
2785712486	415	9	410	0.0e+00	664.2	TIGR03644	probable ammonium transporter, marine subtype
2785712489	462	53	397	4.7e-124	400	TIGR04416	group II intron reverse transcriptase/maturase
2785712490	563	41	555	0.0e+00	424.5	TIGR00066	gamma-glutamyltranspeptidase
2785712491	308	5	298	2.0e-51	161.2	TIGR01413	Dyp-type peroxidase family
