gene_oid	gene_length	feature_type	start_coord	end_coord
2785712573	1028	cleavage	31	32
2785712582	353	cleavage	22	23
2785712586	180	cleavage	22	23
2785712594	432	cleavage	21	22
2785712600	181	cleavage	28	29
2785712602	393	cleavage	35	36
2785712603	702	cleavage	34	35
2785712613	572	cleavage	27	28
2785712615	643	cleavage	32	33
2785712617	500	cleavage	38	39
2785712624	372	cleavage	23	24
2785712625	265	cleavage	20	21
2785712634	144	cleavage	19	20
2785712653	162	cleavage	19	20
2785712670	234	cleavage	19	20
2785712691	68	cleavage	23	24
2785712706	492	cleavage	19	20
2785712710	200	cleavage	19	20
2785712724	295	cleavage	23	24
2785712728	465	cleavage	30	31
2785712739	457	cleavage	20	21
2785712761	797	cleavage	21	22
2785712764	202	cleavage	23	24
2785712766	360	cleavage	22	23
2785712779	505	cleavage	24	25
2785712783	469	cleavage	37	38
2785712786	406	cleavage	26	27
2785712788	210	cleavage	20	21
2785712789	640	cleavage	24	25
2785712793	181	cleavage	27	28
2785712799	181	cleavage	18	19
2785712803	134	cleavage	28	29
2785712804	399	cleavage	20	21
2785712817	564	cleavage	28	29
2785712828	882	cleavage	30	31
2785712829	252	cleavage	20	21
2785712830	454	cleavage	23	24
2785712834	449	cleavage	35	36
2785712839	408	cleavage	25	26
2785712842	393	cleavage	23	24
2785712847	149	cleavage	20	21
2785712849	212	cleavage	23	24
2785712855	427	cleavage	20	21
2785712856	750	cleavage	20	21
2785712869	215	cleavage	25	26
2785712870	233	cleavage	27	28
2785712878	233	cleavage	21	22
2785712880	121	cleavage	25	26
2785712888	244	cleavage	18	19
2785712891	282	cleavage	19	20
2785712892	271	cleavage	22	23
2785712901	184	cleavage	23	24
2785712909	221	cleavage	21	22
2785712914	455	cleavage	27	28
2785712918	143	cleavage	24	25
2785712919	315	cleavage	18	19
2785712926	108	cleavage	21	22
2785712935	392	cleavage	24	25
2785712937	156	cleavage	24	25
2785712946	492	cleavage	26	27
2785712948	708	cleavage	36	37
2785712961	313	cleavage	20	21
2785712967	648	cleavage	27	28
2785712973	107	cleavage	23	24
2785712979	524	cleavage	28	29
2785712993	254	cleavage	24	25
2785712997	301	cleavage	25	26
2785713000	126	cleavage	24	25
2785713001	309	cleavage	29	30
2785713003	1142	cleavage	21	22
2785713006	515	cleavage	27	28
2785713007	192	cleavage	19	20
2785713021	176	cleavage	17	18
2785713022	122	cleavage	21	22
2785713024	917	cleavage	22	23
2785713025	269	cleavage	26	27
2785713029	108	cleavage	26	27
2785713036	190	cleavage	39	40
2785713037	266	cleavage	26	27
2785713077	610	cleavage	32	33
2785713083	104	cleavage	23	24
2785713092	121	cleavage	22	23
2785713093	247	cleavage	20	21
2785713114	825	cleavage	21	22
2785713115	171	cleavage	25	26
2785713138	239	cleavage	31	32
2785713147	226	cleavage	26	27
2785713148	370	cleavage	21	22
2785713178	251	cleavage	22	23
2785713182	324	cleavage	20	21
2785713183	535	cleavage	28	29
2785713206	807	cleavage	26	27
2785713239	981	cleavage	25	26
2785713240	945	cleavage	31	32
2785713242	85	cleavage	20	21
2785713246	253	cleavage	23	24
2785713247	452	cleavage	23	24
2785713251	421	cleavage	28	29
2785713254	696	cleavage	19	20
2785713278	224	cleavage	25	26
2785713279	616	cleavage	26	27
2785713283	404	cleavage	24	25
2785713286	152	cleavage	31	32
2785713303	212	cleavage	29	30
2785713318	862	cleavage	32	33
2785713321	984	cleavage	31	32
2785713325	290	cleavage	21	22
2785713332	472	cleavage	26	27
2785713347	298	cleavage	28	29
2785713350	555	cleavage	26	27
2785713363	617	cleavage	20	21
2785713364	606	cleavage	24	25
2785713378	1517	cleavage	26	27
2785713385	688	cleavage	28	29
2785713390	418	cleavage	29	30
2785713392	352	cleavage	28	29
2785713395	164	cleavage	21	22
2785713409	587	cleavage	21	22
2785713417	93	cleavage	28	29
2785713432	451	cleavage	21	22
2785713434	264	cleavage	26	27
2785713454	147	cleavage	26	27
2785713455	414	cleavage	23	24
2785713459	362	cleavage	22	23
2785713461	693	cleavage	20	21
2785713476	935	cleavage	29	30
2785713528	218	cleavage	23	24
2785713536	89	cleavage	22	23
2785713552	223	cleavage	30	31
2785713563	356	cleavage	28	29
2785713568	297	cleavage	18	19
2785713570	301	cleavage	27	28
2785713574	161	cleavage	24	25
2785713591	432	cleavage	27	28
2785713606	854	cleavage	32	33
2785713621	331	cleavage	44	45
2785713626	160	cleavage	23	24
2785713630	208	cleavage	23	24
2785713637	92	cleavage	23	24
2785713679	164	cleavage	25	26
2785713680	249	cleavage	25	26
2785713701	378	cleavage	36	37
2785713702	811	cleavage	29	30
2785713704	492	cleavage	21	22
2785713725	401	cleavage	22	23
2785713732	189	cleavage	23	24
2785713742	197	cleavage	18	19
2785713763	583	cleavage	27	28
2785713790	375	cleavage	24	25
2785713796	355	cleavage	36	37
2785713798	776	cleavage	31	32
2785713799	901	cleavage	28	29
2785713810	496	cleavage	21	22
2785713820	849	cleavage	21	22
2785713834	275	cleavage	29	30
2785713858	983	cleavage	23	24
2785713869	132	cleavage	24	25
2785713870	132	cleavage	24	25
2785713875	130	cleavage	23	24
2785713880	622	cleavage	22	23
2785713883	54	cleavage	26	27
2785713885	901	cleavage	27	28
2785713904	861	cleavage	23	24
2785713908	720	cleavage	20	21
2785713913	554	cleavage	19	20
2785713914	139	cleavage	31	32
2785713918	779	cleavage	22	23
2785713926	252	cleavage	18	19
2785713932	368	cleavage	28	29
2785713937	276	cleavage	28	29
2785713939	408	cleavage	20	21
2785713940	731	cleavage	24	25
2785713950	903	cleavage	21	22
2785713988	394	cleavage	29	30
2785713998	205	cleavage	37	38
2785714001	234	cleavage	26	27
2785714058	348	cleavage	25	26
2785714064	300	cleavage	21	22
2785714097	953	cleavage	27	28
2785714099	1019	cleavage	27	28
2785714100	1443	cleavage	21	22
2785714104	650	cleavage	27	28
2785714107	565	cleavage	21	22
2785714129	302	cleavage	35	36
2785714139	162	cleavage	18	19
2785714164	1322	cleavage	23	24
2785714174	243	cleavage	38	39
2785714183	686	cleavage	30	31
2785714184	455	cleavage	23	24
2785714185	348	cleavage	23	24
2785714192	585	cleavage	21	22
2785714204	302	cleavage	24	25
2785714208	707	cleavage	28	29
2785714216	158	cleavage	20	21
2785714235	215	cleavage	22	23
2785714252	133	cleavage	21	22
2785714267	968	cleavage	29	30
2785714271	274	cleavage	25	26
2785714293	103	cleavage	22	23
2785714297	288	cleavage	16	17
2785714299	367	cleavage	17	18
2785714304	487	cleavage	24	25
2785714309	655	cleavage	19	20
2785714314	253	cleavage	32	33
2785714351	284	cleavage	22	23
2785714355	585	cleavage	26	27
2785714358	831	cleavage	21	22
2785714359	184	cleavage	22	23
2785714366	721	cleavage	22	23
2785714373	748	cleavage	23	24
2785714375	720	cleavage	20	21
2785714398	114	cleavage	29	30
2785714408	471	cleavage	25	26
2785714420	406	cleavage	29	30
2785714440	946	cleavage	25	26
2785714457	1390	cleavage	20	21
2785714477	192	cleavage	34	35
2785714478	214	cleavage	28	29
2785714479	231	cleavage	26	27
2785714481	64	cleavage	24	25
2785714504	302	cleavage	27	28
2785714509	199	cleavage	20	21
2785714516	582	cleavage	22	23
2785714521	327	cleavage	21	22
2785714530	311	cleavage	33	34
2785714532	899	cleavage	23	24
2785714533	401	cleavage	24	25
2785714535	396	cleavage	27	28
2785714538	205	cleavage	18	19
2785714539	1339	cleavage	38	39
2785714540	882	cleavage	27	28
2785714543	134	cleavage	17	18
2785714545	288	cleavage	22	23
2785714598	159	cleavage	18	19
2785714599	418	cleavage	28	29
2785714610	1541	cleavage	24	25
2785714618	388	cleavage	23	24
2785714621	401	cleavage	17	18
2785714623	241	cleavage	28	29
2785714624	254	cleavage	25	26
2785714639	917	cleavage	30	31
2785714677	79	cleavage	23	24
2785714682	231	cleavage	20	21
2785714688	190	cleavage	25	26
2785714689	329	cleavage	25	26
2785714690	346	cleavage	26	27
2785714701	275	cleavage	18	19
2785714702	286	cleavage	20	21
2785714706	76	cleavage	27	28
2785714724	142	cleavage	28	29
2785714725	245	cleavage	20	21
2785714732	311	cleavage	31	32
2785714733	288	cleavage	20	21
2785714734	937	cleavage	30	31
2785714739	375	cleavage	25	26
2785714744	254	cleavage	19	20
2785714781	394	cleavage	22	23
2785714799	1356	cleavage	23	24
2785714838	338	cleavage	21	22
2785714888	454	cleavage	32	33
2785714890	492	cleavage	20	21
2785714897	256	cleavage	21	22
2785714901	320	cleavage	24	25
2785714914	462	cleavage	25	26
2785714929	210	cleavage	25	26
2785714932	558	cleavage	38	39
2785714940	184	cleavage	29	30
2785714943	271	cleavage	20	21
2785714944	341	cleavage	19	20
2785714945	839	cleavage	24	25
2785714948	967	cleavage	27	28
2785714952	427	cleavage	25	26
2785714955	687	cleavage	17	18
2785714965	287	cleavage	22	23
2785714969	240	cleavage	29	30
2785714973	447	cleavage	22	23
2785714974	155	cleavage	21	22
2785714980	183	cleavage	26	27
2785714981	353	cleavage	25	26
2785714982	191	cleavage	29	30
2785714987	196	cleavage	22	23
2785714997	345	cleavage	37	38
2785715000	1084	cleavage	22	23
2785715001	536	cleavage	25	26
2785715022	410	cleavage	23	24
2785715023	119	cleavage	24	25
2785715027	213	cleavage	23	24
2785715030	136	cleavage	20	21
2785715031	152	cleavage	25	26
2785715032	122	cleavage	25	26
2785715036	721	cleavage	23	24
2785715042	197	cleavage	21	22
2785715050	396	cleavage	30	31
2785715052	294	cleavage	18	19
2785715061	299	cleavage	21	22
2785715073	850	cleavage	27	28
2785715074	908	cleavage	32	33
2785715079	329	cleavage	27	28
2785715080	429	cleavage	23	24
2785715082	566	cleavage	32	33
2785715094	252	cleavage	20	21
2785715095	267	cleavage	23	24
2785715100	425	cleavage	17	18
2785715147	274	cleavage	30	31
2785715149	416	cleavage	25	26
2785715155	360	cleavage	24	25
2785715164	600	cleavage	24	25
2785715165	265	cleavage	21	22
2785715177	149	cleavage	28	29
2785715180	614	cleavage	26	27
2785715182	181	cleavage	23	24
2785715186	203	cleavage	24	25
2785715211	216	cleavage	26	27
2785715251	754	cleavage	35	36
2785715266	505	cleavage	22	23
2785715267	149	cleavage	25	26
2785715272	134	cleavage	30	31
2785715285	439	cleavage	30	31
2785715298	149	cleavage	20	21
2785715311	208	cleavage	26	27
2785715317	271	cleavage	27	28
2785715330	686	cleavage	24	25
2785715333	530	cleavage	26	27
2785715335	356	cleavage	27	28
2785715369	124	cleavage	24	25
2785715370	118	cleavage	21	22
2785715371	610	cleavage	24	25
2785715379	722	cleavage	23	24
2785715383	248	cleavage	17	18
2785715389	138	cleavage	26	27
2785715394	628	cleavage	19	20
2785715395	185	cleavage	19	20
2785715396	185	cleavage	30	31
2785715404	165	cleavage	23	24
2785715405	595	cleavage	26	27
2785715406	302	cleavage	23	24
2785715407	449	cleavage	39	40
2785715408	327	cleavage	19	20
2785715418	409	cleavage	25	26
2785715423	702	cleavage	20	21
2785715434	836	cleavage	30	31
