ncbi_reference,category,annotated_function,additional_function,calculated_mass,wh7803_avg_nsaf,wh7803_nsaf_a,wh7803_nsaf_b,wh7803_nsaf_c,wh8102_avg_nsaf,wh8102_nsaf_a,wh8102_nsaf_b,wh8102_nsaf_c,wh7803_detection_status,wh8102_detection_status,resolved_locus_tag,resolution_method
YP_167486.1,Prophage, HK97 family major capsid protein ,,,5.763678491483796,5.608733542204089,6.164617806726029,5.517684125521271,3.05596301615866,2.74496382944918,2.53296427498024,3.88996094404656,detected,detected,SPO2261,multi:ncbi_reference
YP_167489.1,Prophage, HK97 family portal protein ,,,1.976303030296408,1.752930103318568,2.298860268934354,1.877118718636302,,,,,detected,not_detected,,unresolved
YP_165142.1,Intracellular functions / unknown," isocitrate dehydrogenase, NADP-dependent ",Citric acid cycle,,1.1431947645416374,0.8574732444425689,1.4843710789498747,1.0877399702324688,0.1694193032846453,0.0,0.508257909853936,0.0,detected,sporadic,SPOA0315,multi:ncbi_reference
YP_165172.1,Intracellular functions / unknown, aldo/keto reductase family oxidoreductase ,Energy production,,0.9568296116297555,1.1268978426460237,0.7225080490400113,1.0210829432032316,,,,,detected,not_detected,SPOA0345,multi:ncbi_reference
YP_165267.1,Intracellular functions / unknown, 3-oxoacyl-(acyl-carrier-protein) synthase ,Fatty acid metabolism,,0.0954198330925812,0.0,0.0,0.2862594992777438,,,,,sporadic,not_detected,SPOA0440,multi:ncbi_reference
YP_165402.1,Intracellular functions / unknown, cytochrome c family protein ,Energy production,,1.933769760349108,2.3362854922563567,1.3481138291492505,2.1169099596417165,,,,,detected,not_detected,SPO0130,multi:ncbi_reference
YP_165589.1,Intracellular functions / unknown, acetyl-CoA acetyltransferase ,Fatty acid metabolism,,0.6312144395647289,0.6603070427972099,0.6350315909806681,0.5983046849163087,,,,,detected,not_detected,SPO0326,multi:ncbi_reference
YP_165609.1,Intracellular functions / unknown," succinyl-CoA synthase, alpha subunit ","Citric acid cycle, energy production",,0.6898675359148964,0.0,1.065616135986932,1.003986471757757,,,,,sporadic,not_detected,,unresolved
YP_165612.1,Intracellular functions / unknown, malate dehydrogenase ,Citric acid cycle,,2.6777733319145853,2.4089519719591177,2.8959266375321486,2.728441386252489,0.9872985863663066,0.0,1.18989999799003,1.77199576110889,detected,sporadic,SPO0349,multi:ncbi_reference
YP_165651.1,Intracellular functions / unknown, aminotransferase ,Amino acid metabolism,,0.425562973710358,0.6508002340865694,0.6258886870445048,0.0,,,,,sporadic,not_detected,SPO0388,multi:ncbi_reference
YP_165974.1,Intracellular functions / unknown," electron transfer flavoprotein, beta subunit ",Energy production,,1.0312224455540375,0.9997801707277172,0.9615102540154656,1.1323769119189298,,,,,detected,not_detected,SPO0720,multi:ncbi_reference
YP_165982.1,Intracellular functions / unknown, elongation factor Tu ,Protein synthesis,,2.0998209031829385,1.7332597169796893,2.4246013485288085,2.1416016440403176,0.7611660340840253,1.34952466057258,0.933973441679496,0.0,detected,sporadic,SPO0728,multi:ncbi_reference
YP_166011.1,Intracellular functions / unknown, beta-ketoadipyl CoA thiolase ,Fatty acid metabolism,,0.4672966543165176,0.4888343050794992,0.4701225435450941,0.4429331143249595,,,,,detected,not_detected,SPO0758,multi:ncbi_reference
YP_166981.1,Intracellular functions / unknown, glutamate dehydrogenase ,Amino acid metabolism,,0.1156310012010937,0.0,0.0,0.3468930036032813,,,,,sporadic,not_detected,SPO1743,multi:ncbi_reference
YP_167460.1,Intracellular functions / unknown," peptidyl-prolyl cis-trans isomerase, cyclophilin-type ","Posttranslational modification, protein folding",,0.3680737914597174,1.1042213743791525,0.0,0.0,,,,,sporadic,not_detected,SPO2234,multi:ncbi_reference
YP_167535.1,Intracellular functions / unknown, aconitate hydratase ,Citric acid cycle,,0.7957854206242505,0.8338107173885038,0.7350693482138465,0.8184761962704015,,,,,detected,not_detected,SPO2312,multi:ncbi_reference
YP_167661.1,Intracellular functions / unknown, nucleoside diphosphate kinase ,"Nucleotide metabolism, energy production",,0.8368654071027922,0.0,1.7066316981696616,0.8039645231387148,,,,,sporadic,not_detected,SPO2444,multi:ncbi_reference
YP_168365.1,Intracellular functions / unknown, F0F1 ATP synthase subunit beta ,Energy production,,1.5704296108023084,1.4665568566436091,1.795079372867979,1.4496526028953374,10.661654386907868,10.562283470417,10.536794852687,10.8858848376196,detected,detected,SPO3162,multi:ncbi_reference
YP_168694.1,Intracellular functions / unknown, elongation factor G ,Transcription,,0.3597142909665818,0.4326508775357905,0.3328717790885221,0.3136202162754329,,,,,detected,not_detected,SPO3499,multi:ncbi_reference
YP_165761.1,Intracellular functions / unknown, 30S ribosomal protein S8 ,Protein synthesis,,,,,,1.0415203567493,0.0,0.0,3.1245610702479,not_detected,sporadic,SPO0499,multi:ncbi_reference
YP_165767.1,Intracellular functions / unknown, ribosomal protein L15 ,Protein synthesis,,,,,,0.38212080683162,0.0,1.14636242049486,0.0,not_detected,sporadic,SPO0505,multi:ncbi_reference
YP_166140.1,Intracellular functions / unknown, chaperonin GroEL ,"Posttranslational modification, protein folding",,,,,,4.71318854758018,4.50234880321464,5.77030912114422,3.86690771838168,not_detected,detected,SPO0887,multi:ncbi_reference
YP_167225.1,Intracellular functions / unknown, fused 50S ribosomal protein L21/unknown domain-containing protein ,Protein synthesis,,,,,,2.1124817149305968,3.64595166429307,2.69149348049872,0.0,not_detected,sporadic,SPO1990,multi:ncbi_reference
YP_168218.1,Intracellular functions / unknown, hypothetical protein SPO3014 ,Unknown,,,,,,4.882231004073266,4.56131991922428,4.20903921508841,5.87633387790711,not_detected,detected,SPO3014,multi:ncbi_reference
YP_168367.1,Intracellular functions / unknown, F0F1 ATP synthase subunit alpha ,Energy production,,,,,,2.5698458537338933,2.88495796509957,2.66214635763826,2.16243323846385,not_detected,detected,SPO3164,multi:ncbi_reference
YP_168384.1,Intracellular functions / unknown, 30S ribosomal protein S4 ,Protein synthesis,,,,,,0.4184737997499699,0.0,0.0,1.25542139924991,not_detected,sporadic,SPO3181,multi:ncbi_reference
YP_168695.1,Intracellular functions / unknown, 30S ribosomal protein S7 ,Protein synthesis,,,,,,0.8253221807591501,0.0,0.0,2.47596654227745,not_detected,sporadic,SPO3500,multi:ncbi_reference
YP_168709.1,Intracellular functions / unknown, 50S ribosomal protein L11 ,Protein synthesis,,,,,,0.9913513585086666,0.0,0.0,2.974054075526,not_detected,sporadic,SPO3514,multi:ncbi_reference
YP_169014.1,Intracellular functions / unknown, 30S ribosomal protein S10 ,Protein synthesis,,,,,,2.0975658010966565,0.0,0.0,6.29269740328997,not_detected,sporadic,SPO3826,multi:ncbi_reference
YP_165168.1,Intracellular functions / unknown, hypothetical protein SPOA0341 ,Unknown,,0.1576078362297065,0.4728235086891196,0.0,0.0,,,,,sporadic,not_detected,SPOA0341,multi:ncbi_reference
YP_165170.1,Intracellular functions / unknown, hypothetical protein SPOA0343 ,Hormone biosynthesis,,4.359246709077591,4.554275275635266,4.671941565122323,3.8515232864751847,,,,,detected,not_detected,SPOA0343,multi:ncbi_reference
