Accession,Peptide count,Unique peptides,Confidence score,Anova (p),Max fold change,Highest mean condition,Lowest mean condition,Description,log2_fold_change,resolved_locus_tag,resolution_method
1::QUEA_PROMA,4,4,165.5,0.001694721,2.354777475,Control,Azaserine,S-adenosylmethionine:tRNA ribosyltransferase-isomerase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=queA PE=3 SV=1,-1.235590732499488,Pro0402,tier1:Description
1::Q7VEL1_PROMA,15,15,806.44,0.001747362,2.928494598,Control,Azaserine,DNA polymerase III subunit beta OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=dnaN PE=4 SV=1,-1.5501592332059078,Pro0001,tier1:Description
1::Q7VDX8_PROMA,3,3,128.36,0.001768116,3.945480306,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0237 PE=4 SV=1,-1.98020093849098,Pro0237,tier1:Description
1::Q7VE49_PROMA,7,7,418.83,0.001797557,2.002973842,Control,Azaserine,"RNA-binding protein, RRM domain OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0165 PE=4 SV=1",-1.002143580280276,Pro0165,tier1:Description
1::Q7VA84_PROMA,4,3,164.76,0.001801437,1.915920159,Control,Azaserine,Uncharacterized conserved protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1581 PE=4 SV=1,-0.93803744175532,Pro1581,tier1:Description
1::TIG_PROMA,19,18,906.02,0.001889911,1.515957861,Control,Azaserine,Trigger factor OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=tig PE=3 SV=1,-0.6002296515490705,Pro1815,tier1:Description
1::Q7V9L8_PROMA,26,25,1299.45,0.001951122,2.409508119,Control,Azaserine,Ribonuclease J OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rnj PE=3 SV=1,-1.2687386623442656,Pro1812,multi:Description
1::DCUP_PROMA,17,17,926.25,0.001971717,1.965409237,Control,Azaserine,Uroporphyrinogen decarboxylase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=hemE PE=3 SV=1,-0.9748297413486544,Pro1079,tier1:Description
1::Q7VBD2_PROMA,6,6,323.03,0.002011293,3.045904859,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1163 PE=4 SV=1,-1.6068708789254806,Pro1163,tier1:Description
1::Q7V9F2_PROMA,44,44,2287.93,0.002021556,2.018109404,Control,Azaserine,UvrABC system protein A OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=uvrA PE=3 SV=1,-1.0130043866989409,Pro1881,tier1:Description
1::Q7VA15_PROMA,3,3,166.32,0.002074444,3.67053519,Control,Azaserine,ATP-dependent Clp protease adapter protein ClpS OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=clpS PE=3 SV=1,-1.8759904335497448,Pro1555,tier1:Description
1::Q7VCF5_PROMA,4,3,212.68,0.002172106,2.825341915,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0785 PE=4 SV=1,-1.4984254690237802,Pro0785,tier1:Description
1::RPIA_PROMA,12,12,768.9,0.002199988,1.86275238,Control,Azaserine,Ribose-5-phosphate isomerase A OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rpiA PE=3 SV=1,-0.897435906223,Pro1644,tier1:Description
1::Q7VDH5_PROMA,26,26,1420.08,0.002252042,2.115195806,Control,Azaserine,Dihydrolipoamide S-acetyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=aceF PE=3 SV=1,-1.0807912213923383,Pro0401,tier1:Description
1::Q7VD82_PROMA,4,3,166.22,0.002263799,1.976568066,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0501 PE=4 SV=1,-0.9829976373178252,Pro0501,tier1:Description
1::Q7VCY0_PROMA,2,2,65.43,0.002421222,4.60164787,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0610 PE=4 SV=1,-2.202150589028841,Pro0610,tier1:Description
1::Q7VAG1_PROMA,6,6,284.33,0.002475818,4.421050738,Control,Azaserine,Fe2+/Zn2+ uptake regulation protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=fur PE=4 SV=1,-2.1443892914150164,Pro0794,tier1:Description
1::Q7VEA1_PROMA,3,3,174.39,0.002518627,2.263424457,Control,Azaserine,Exodeoxyribonuclease 7 small subunit OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=xseB PE=3 SV=1,-1.1785071566718237,Pro0112,tier1:Description
1::Q7VAQ0_PROMA,15,15,846.24,0.002639044,1.707981755,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1407 PE=4 SV=1,-0.7722925638860328,Pro1407,tier1:Description
1::Q7VB19_PROMA,11,11,357.14,0.002697962,1.796800957,Control,Azaserine,1-deoxy-xylulose 5-phosphate synthase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1281 PE=4 SV=1,-0.8454306012498531,Pro1281,tier1:Description
1::Q7VCY5_PROMA,2,2,51.61,0.002814021,1.749995546,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0605 PE=4 SV=1,-0.8073512501879531,Pro0605,tier1:Description
1::RNH_PROMA,3,3,106.46,0.00287861,1.949259013,Control,Azaserine,Ribonuclease H OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rnhA PE=3 SV=1,-0.962925805291994,Pro0226,tier1:Description
1::PANB_PROMA,9,9,526.82,0.002921896,1.987966564,Control,Azaserine,3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=panB PE=3 SV=1,-0.9912934921330728,Pro1384,tier1:Description
1::EFP_PROMA,8,8,350.84,0.002974955,1.733764745,Control,Azaserine,Elongation factor P OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=efp PE=3 SV=1,-0.7939081521655588,Pro0026,tier1:Description
1::Q7VD51_PROMA,6,6,230.29,0.003001518,2.582101686,Control,Azaserine,Aldehyde decarbonylase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0532 PE=3 SV=1,-1.368545816678895,Pro0532,tier1:Description
1::Q7VBG2_PROMA,2,2,76.31,0.003080394,2.493164635,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1133 PE=4 SV=1,-1.317978153690097,Pro1133,tier1:Description
1::Q7VD98_PROMA,12,12,501.48,0.00312973,2.06667445,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0485 PE=4 SV=1,-1.047311148143803,Pro0485,tier1:Description
1::CH602_PROMA,49,48,3617.57,0.003140883,1.780243492,Control,Azaserine,60 kDa chaperonin 2 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=groL2 PE=3 SV=1,-0.8320745786503235,Pro0448,multi:Description
1::Q7VE11_PROMA,3,3,161.45,0.003153612,1.768232849,Control,Azaserine,Glutaredoxin OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=grxC PE=4 SV=1,-0.8223082679296829,Pro0204,tier1:Description
1::Q7VEI5_PROMA,12,12,472.14,0.003161469,1.892395413,Control,Azaserine,4-hydroxythreonine-4-phosphate dehydrogenase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=pdxA PE=3 SV=1,-0.9202135690005954,Pro0028,tier1:Description
1::Q7VEJ8_PROMA,6,6,298.86,0.003338575,2.024956668,Control,Azaserine,Conserved domain OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0015 PE=4 SV=1,-1.017891036130406,Pro0015,tier1:Description
1::RS10_PROMA,10,10,581.19,0.003391683,2.268026142,Control,Azaserine,30S ribosomal protein S10 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rpsJ PE=3 SV=1,-1.1814372693438109,Pro1663,tier1:Description
1::Q7VB97_PROMA,2,1,68.85,0.003532773,5.699296889,Control,Azaserine,Predicted dioxygenase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1200 PE=4 SV=1,-2.51078394781755,Pro1200,tier1:Description
