Accession,Peptide count,Unique peptides,Confidence score,Anova (p),Max fold change,Highest mean condition,Lowest mean condition,Description,log2_fold_change,resolved_locus_tag,resolution_method
1::Q7VAN7_PROMA,27,27,1194.07,0.001066259,1.734314724,Control,Azaserine,Phosphoribosylamine--glycine ligase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=purD PE=3 SV=1,-0.7943657264452931,Pro1421,tier1:Description
1::Q7VDG5_PROMA,3,3,144.7,0.001090332,4.874374497,Control,Azaserine,Thioredoxin family protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=trxA PE=4 SV=1,-2.28521709722646,Pro0272,tier1:Description
1::Q7VBB6_PROMA,11,10,508.62,0.001133228,1.839702077,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1181 PE=4 SV=1,-0.8794721538720377,Pro1181,tier1:Description
1::GSHB_PROMA,13,13,957.05,0.00116016,3.156835048,Control,Azaserine,Glutathione synthetase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=gshB PE=3 SV=1,-1.6584788784368776,Pro0203,tier1:Description
1::Q7VB17_PROMA,5,5,249.66,0.00117195,2.604250636,Control,Azaserine,2OG-Fe(II) dioxygenase superfamily protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1283 PE=4 SV=1,-1.3808683017730314,Pro1283,tier1:Description
1::Q7VD54_PROMA,8,8,437.3,0.001226972,4.238815744,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0529 PE=4 SV=1,-2.083661255613364,Pro0529,tier1:Description
1::ISPT_PROMA,4,4,218.72,0.001228321,2.649652553,Control,Azaserine,Isoprenyl transferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=uppS PE=3 SV=1,-1.405803192533434,Pro1103,tier1:Description
1::Q7VE70_PROMA,23,23,1326.88,0.001247137,3.6913845,Control,Azaserine,Cysteine synthase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=cysK PE=3 SV=1,-1.884162018632612,Pro0143,tier1:Description
1::RS14_PROMA,8,7,319.87,0.001250508,1.736955061,Control,Azaserine,30S ribosomal protein S14 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rpsN PE=3 SV=1,-0.7965604287108689,Pro1306,tier1:Description
1::EFTU_PROMA,36,34,2951.09,0.00125374,2.127055882,Control,Azaserine,Elongation factor Tu OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=tuf PE=3 SV=1,-1.0888579362723665,Pro1664,tier1:Description
