NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment,resolved_locus_tag,resolution_method
glyceraldehyde-3-phosphate_dehydrogenase,WP_049587602.1,G,Carbohydrate_transport_and_metabolism,0.4%,0.4%,0.4,0.4,0.0,MIT1002_02394,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S16_(rpsP),WP_014948832.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.6%,0.4,0.6,-0.5849625007211561,MIT1002_01308,tier1:NCBI_PGAP_accession
DNA-directed_RNA_polymerase_subunit_beta'_(rpoC),WP_039229319.1,K,Transcription,0.3%,0.6%,0.3,0.6,-1.0,MIT1002_03732,tier1:NCBI_PGAP_accession
FMN-dependent_L-lactate_dehydrogenase_LldD_(lldD),WP_015068029.1,C!!!I!!!R,Energy_production_and_conversion!!!Lipid_transport_and_metabolism!!!General_function_prediction_only,0.3%,,0.3,,,MIT1002_03330,tier1:NCBI_PGAP_accession
phosphoglycerate_dehydrogenase_(serA),WP_049586098.1,H,Coenzyme_transport_and_metabolism,0.3%,,0.3,,,MIT1002_02993,tier1:NCBI_PGAP_accession
FKBP-type_peptidyl-prolyl_cis-trans_isomerase_(fkpA),WP_014951335.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.3%,,0.3,,,MIT1002_04007,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S14_(rpsN),WP_014950910.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.3%,,0.3,,,MIT1002_03598,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S10_(rpsJ),WP_010179497.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.9%,,1.9,,MIT1002_00383,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S11_(rpsK),WP_012519215.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,MIT1002_03587,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S15_(rpsO),WP_012518257.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,,MIT1002_01775,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S19_(rpsS),WP_012516961.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.3%,,1.3,,MIT1002_00388,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S20_(rpsT),WP_014950134.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,,MIT1002_02745,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S21_(rpsU),WP_012517258.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,MIT1002_00737,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S5_(rpsE),WP_012519221.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,MIT1002_03594,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S6_(rpsF),WP_014951120.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,,MIT1002_03818,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S7_(rpsG),WP_014951036.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.9%,,1.9,,MIT1002_03730,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S9_(rpsI),WP_014948330.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.3%,,1.3,,MIT1002_00813,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L1_(rplA),WP_014980521.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,,MIT1002_03736,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L13_(rplM),WP_014948329.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,MIT1002_00812,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L14_(rplN),WP_012519228.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,,MIT1002_03601,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L15_(rplO),WP_049586735.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.3%,,0.3,,MIT1002_03592,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L16_(rplP),WP_014997065.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,,MIT1002_00391,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L17_(rplQ),WP_012519212.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,MIT1002_03584,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L19_(rplS),WP_024015986.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.3%,,1.3,,MIT1002_01311,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L2_(rplB),WP_014997064.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.2%,,1.2,,MIT1002_00387,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L20_(rplT),WP_012518092.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,,MIT1002_01606,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L21_(rplU),WP_012517169.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,,MIT1002_00580,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L22_(rplV),WP_014947977.1,J,"Translation,_ribosomal_structure_and_biogenesis",,2.0%,,2.0,,MIT1002_00389,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L23_(rplW),WP_012516959.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,MIT1002_00386,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L24_(rplX),WP_014950912.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.3%,,1.3,,MIT1002_03600,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L25/general_stress_proteinCtc,WP_014976150.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,,MIT1002_01506,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L27_(rpmA),WP_012517170.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.1%,,1.1,,MIT1002_00581,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L29_(rpmC),WP_014947980.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,MIT1002_00392,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L3_(rplC),WP_014947975.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,,MIT1002_00384,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L33_(rpmG),WP_012516577.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,,MIT1002_00055,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L6_(rplF),WP_014950909.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,,MIT1002_03596,tier1:NCBI_PGAP_accession
citrate_synthase,WP_014949444.1,C,Energy_production_and_conversion,,0.5%,,0.5,,MIT1002_01943,tier1:NCBI_PGAP_accession
cold-shock_protein,WP_012519905.1,K,Transcription,,1.3%,,1.3,,MIT1002_03628,tier1:NCBI_PGAP_accession
DNA-directed_RNA_polymerase_subunit_alpha_(rpoA),WP_039226687.1,K,Transcription,,0.4%,,0.4,,MIT1002_03585,tier1:NCBI_PGAP_accession
DNA-directed_RNA_polymerase_subunit_beta_(rpoB),WP_014977618.1,K,Transcription,,0.5%,,0.5,,MIT1002_03733,tier1:NCBI_PGAP_accession
molecular_chaperone_DnaK_(dnaK),WP_014948972.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",,0.5%,,0.5,,MIT1002_01457,tier1:NCBI_PGAP_accession
NADH:ubiquinone_reductase_(Na(+)-transporting)_subunit_F,WP_014950793.1,C,Energy_production_and_conversion,,0.4%,,0.4,,MIT1002_03483,tier1:NCBI_PGAP_accession
peroxiredoxin_C,WP_014948770.1,V,Defense_mechanisms,,0.6%,,0.6,,MIT1002_01241,tier1:NCBI_PGAP_accession
phosphoenolpyruvate_synthase_(ppsA),WP_049586697.1,G,Carbohydrate_transport_and_metabolism,,0.4%,,0.4,,MIT1002_01816,tier1:NCBI_PGAP_accession
transcription_termination/antitermination_protein_NusG_(nusG),WP_014951044.1,K,Transcription,,0.3%,,0.3,,MIT1002_03740,tier1:NCBI_PGAP_accession
translational_GTPase_TypA_(typA),WP_049588246.1,T,Signal_transduction_mechanisms,,0.4%,,0.4,,MIT1002_03181,tier1:NCBI_PGAP_accession
trigger_factor,WP_014950148.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",,0.6%,,0.6,,MIT1002_02761,tier1:NCBI_PGAP_accession
