NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment
elongation_factor_Ts_(tsf),WP_014975850.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.3%,,0.3,,
CsgG/HfaB_family_protein,WP_014999891.1,M,Cell_wall/membrane/envelope_biogenesis,0.3%,0.5%,0.3,0.5,-0.7369655941662062
30S_ribosomal_protein_S1_(rpsA),WP_014998499.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.3%,0.4%,0.3,0.4,-0.41503749927884404
2-oxoglutarate_dehydrogenase_E1_component_(sucA),WP_014998323.1,C,Energy_production_and_conversion,,0.3%,,0.3,
"2,3-diphosphoglycerate-dependent_phosphoglycerate_mutase_(gpmA)",WP_014997060.1,G,Carbohydrate_transport_and_metabolism,,0.4%,,0.4,
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate_N-succinyltransferase_(dapD)",WP_014997565.1,E,Amino_acid_transport_and_metabolism,,0.4%,,0.4,
30S_ribosomal_protein_S10_(rpsJ),WP_010179497.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
30S_ribosomal_protein_S15_(rpsO),WP_012518257.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.3%,,0.3,
30S_ribosomal_protein_S16_(rpsP),WP_014948832.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,
30S_ribosomal_protein_S19_(rpsS),WP_012516961.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.9%,,0.9,
30S_ribosomal_protein_S7_(rpsG),WP_014951036.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
30S_ribosomal_protein_S8_(rpsH),WP_012519224.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
50S_ribosomal_protein_L1_(rplA),WP_014999812.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L17_(rplQ),WP_012519212.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.3%,,0.3,
50S_ribosomal_protein_L20_(rplT),WP_012518092.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.3%,,0.3,
50S_ribosomal_protein_L22_(rplV),WP_014947977.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
50S_ribosomal_protein_L27_(rpmA),WP_012517170.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L29_(rpmC),WP_014947980.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
50S_ribosomal_protein_L6_(rplF),WP_014950909.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
adenylate_kinase,WP_012519076.1,F,Nucleotide_transport_and_metabolism,,0.4%,,0.4,
adenylosuccinate_lyase_(purB),WP_014998221.1,F,Nucleotide_transport_and_metabolism,,0.5%,,0.5,
alanine_dehydrogenase_(ald),WP_014998494.1,E,Amino_acid_transport_and_metabolism,,0.4%,,0.4,
aspartate/tyrosine/aromatic_aminotransferase,WP_014998597.1,E,Amino_acid_transport_and_metabolism,,0.3%,,0.3,
beta-ketoacyl-ACP_synthase_I_(fabB),WP_014949953.1,I!!!Q,"Lipid_transport_and_metabolism!!!Secondary_metabolites_biosynthesis,_transport_and_catabolism",,0.3%,,0.3,
bifunctional_aconitate_hydratase_2/2-methylisocitrate_dehydratase,WP_014997342.1,C,Energy_production_and_conversion,,0.5%,,0.5,
carbonic_anhydrase,WP_014997670.1,P,Inorganic_ion_transport_and_metabolism,,0.3%,,0.3,
dihydrolipoyl_dehydrogenase_(lpdA),WP_014999248.1,C,Energy_production_and_conversion,,0.6%,,0.6,
F0F1_ATP_synthase_subunit_gamma_(atpG),WP_012520217.1,C,Energy_production_and_conversion,,0.4%,,0.4,
isocitrate_dehydrogenase,WP_014997549.1,C!!!E,Energy_production_and_conversion!!!Amino_acid_transport_and_metabolism,,0.3%,,0.3,
ketol-acid_reductoisomerase_(ilvC),WP_015000102.1,E!!!H,Amino_acid_transport_and_metabolism!!!Coenzyme_transport_and_metabolism,,0.4%,,0.4,
NAD(P)/FAD-dependent_oxidoreductase,WP_014999932.1,C,Energy_production_and_conversion,,0.4%,,0.4,
NADP-dependent_isocitrate_dehydrogenase,WP_014998225.1,C,Energy_production_and_conversion,,0.6%,,0.6,
superoxide_dismutase_[Fe]_(sodB),WP_014948764.1,P,Inorganic_ion_transport_and_metabolism,,0.5%,,0.5,
transaldolase_(tal),WP_014999319.1,G,Carbohydrate_transport_and_metabolism,,0.3%,,0.3,
translational_GTPase_TypA_(typA),WP_014999419.1,T,Signal_transduction_mechanisms,,0.3%,,0.3,
