Protein,Gene,ORF,# peptides,Control Mean,Deplete Mean,SD,Ratio of means,log2_fold_change,resolved_locus_tag,resolution_method
ATP synthase subunit beta,atpB,PMN2A_0970,17,1.067804846,0.838552999,0.12697232,0.049326647,-4.341488966923954,PMN2A_0970,locus_tag:ORF
Histone-like bacterial DNA-binding protein,,PMN2A_0892,18,0.833546304,0.685021075,0.084875576,0.038056726,-4.715704737115316,PMN2A_0892,locus_tag:ORF
50S ribosomal protein L7/L12,rplL,PMN2A_1568,21,1.018683656,0.984323838,0.092018822,0.046872564,-4.41511247520292,PMN2A_1568,locus_tag:ORF
Secreted pentapeptide repeats protein precursor,,PMN2A_0921,22,0.867564705,0.803424547,0.040298624,0.036519298,-4.775197156699379,PMN2A_0921,locus_tag:ORF
Photosystem II manganese-stabilizing protein PsbO precursor,psbO,PMN2A_1597,22,1.236092515,1.012557504,0.180212172,0.046025341,-4.441427779287289,PMN2A_1597,locus_tag:ORF
Hypothetical protein,,PMN2A_2181,22,1.046059098,0.948686266,0.094306593,0.043122103,-4.535428651904893,PMN2A_2181,locus_tag:ORF
Elongation factor Tu,tuf,PMN2A_1074,23,1.054450036,0.919804051,0.128798148,0.03999148,-4.644163516549898,PMN2A_1074,locus_tag:ORF
Magnesium chelatase ATPase subunit D,,PMN2A_1654,23,1.015319182,0.880309649,0.077622261,0.038274333,-4.707478953420711,PMN2A_1654,locus_tag:ORF
Thioredoxin,,PMN2A_0691,25,1.105896619,1.260481773,0.062168319,0.050419271,-4.309880931004851,PMN2A_0691,locus_tag:ORF
AbrB family transciptional regulator,,PMN2A_0411,26,1.18368082,1.019295659,0.140630558,0.039203679,-4.672867141913758,PMN2A_0411,locus_tag:ORF
ATP synthase subunit alpha,atpA,PMN2A_0981,27,0.976093912,0.884622583,0.060982615,0.032763799,-4.9317535409552775,PMN2A_0981,locus_tag:ORF
Carboxysome shell protein CsoS1,csoS1,PMN2A_1878,43,0.93668707,1.272513596,0.194540269,0.029593339,-5.078583705579064,PMN2A_1878,locus_tag:ORF
"Flavodoxin, long chain",,PMN2A_0794,44,0.962768066,1.178735276,0.168141476,0.026789438,-5.222191873735064,PMN2A_0794,locus_tag:ORF
Ribulose bisphosphate carboxylase large chain,rbcL,PMN2A_1879,46,0.934277321,1.287658023,0.118031579,0.027992566,-5.158812448994808,PMN2A_1879,locus_tag:ORF
