refseq_locus,log2fc_2h,padj_2h,log2fc_4h,padj_4h
TX50_RS09015,-0.4749316,0.00412325,-0.5978392,9.17132111292875e-05
TX50_RS09020,1.07537648,1.77961823517255e-09,1.53034095,1.15090901115906e-35
TX50_RS09025,0.76774688,0.00130019,0.78540381,1.26477886199792e-05
TX50_RS09030,-0.1264883,0.67060953,-0.2134025,0.30814696
TX50_RS09035,-0.4718596,0.15501587,-0.0744332,0.80150505
TX50_RS09040,0.95936779,1.14312177663385e-05,1.40577184,2.08931695662374e-15
TX50_RS09045,0.29252494,0.27554046,0.25923577,0.27749957
TX50_RS09050,0.0169131,0.95265495,-0.3211659,0.11501333
TX50_RS09055,-0.6629972,0.00160865,-0.7323321,4.02101011243609e-05
TX50_RS09060,0.24202985,0.23920788,0.39903388,0.00256012
TX50_RS09065,0.4296103,0.16718842,0.07974966,0.80150505
TX50_RS09070,0.94080458,2.78081448754986e-06,1.21573111,5.05166442097731e-19
TX50_RS09075,0.65648431,0.0004455,0.59923314,9.30909686833994e-06
TX50_RS09080,-0.7752538,0.00073621,-0.7462092,2.33206653889323e-07
TX50_RS09085,0.28261582,0.19532649,0.5789409,7.08486312918594e-05
TX50_RS09090,-0.7881587,0.04031439,-0.0060075,0.97261991
TX50_RS09095,-1.0250238,1.26163628329952e-07,-0.7094871,1.2991046550913e-10
TX50_RS09100,-0.0383077,0.89811302,-0.4268134,0.04888586
TX50_RS09105,0.24311552,0.16454279,-0.1355244,0.53676623
TX50_RS09110,0.32025152,0.07342575,0.2346728,0.05336344
TX50_RS09120,0.58691627,0.02963981,0.55297268,0.00454663
TX50_RS09125,-0.6495933,0.00761861,-0.8121769,1.45282251848049e-05
TX50_RS09130,0.00346633,0.9901478,-0.9297052,0.00044632
TX50_RS09135,-1.079377,9.24719951642442e-13,-1.6596182,2.62856562381672e-44
TX50_RS09140,-1.7462925,3.57516679793695e-07,-1.462822,1.89546332280158e-26
TX50_RS09145,-0.0440657,0.85598553,0.30660539,0.0596807
TX50_RS09150,-1.3662834,5.28685059866214e-11,-1.4866805,1.0143977835363e-36
TX50_RS09155,-1.890781,7.63991066778612e-15,-2.8305927,2.16972966430337e-40
TX50_RS09160,-1.1016348,2.55675740614324e-06,-1.4051444,7.31450220634984e-27
TX50_RS09190,-1.2061032,0.00024519,-0.6542972,3.30489214070336e-05
TX50_RS09195,-0.5526235,0.0102712,-0.6635844,2.45279713477894e-06
TX50_RS09200,0.16882279,0.61924739,-0.2059278,0.51193544
TX50_RS09205,-1.0454524,1.37514980836479e-06,-1.4154686,4.41957343971976e-20
TX50_RS09210,0.93488793,0.00097916,0.93148916,0.00012133
TX50_RS09215,0.41619058,0.06582332,0.78933119,4.79102238611421e-06
TX50_RS09220,-1.0375583,0.09251033,1.00229351,2.24366272018502e-05
TX50_RS09230,1.04044101,5.0969004557965e-07,0.97589365,4.22407243263681e-11
TX50_RS09240,-0.8312078,0.04031439,-0.9542802,1.15599806239229e-08
TX50_RS09245,0.5684417,0.04754311,-0.1375381,0.31154096
TX50_RS09255,-1.5159171,0.51508088,-0.8316293,0.62037061
TX50_RS09260,1.13799356,3.17379942542712e-09,1.74646776,1.8893593315966e-33
TX50_RS09265,0.16064716,0.74919536,1.27943377,1.38327721051289e-08
TX50_RS09270,0.81606052,0.04722748,1.97914315,1.25060399631911e-34
TX50_RS09275,-0.0482489,0.90903634,0.89680039,1.70715972220283e-05
TX50_RS09285,0.25566939,0.45854251,-0.1359723,0.63663197
TX50_RS09290,1.38244466,6.53137473713072e-16,2.44236234,5.27209917213851e-05
TX50_RS09300,1.06812983,4.98882318150795e-09,1.85526346,2.49094690371574e-37
TX50_RS09315,1.01482551,0.00014768,1.12722958,4.06930514988297e-11
TX50_RS09320,0.63209386,0.54331829,2.07806457,9.27694992516138e-14
TX50_RS09325,1.08594336,0.00034113,1.58678959,9.0052405639595e-15
TX50_RS09330,1.59928043,5.73142640330247e-05,2.75456007,3.61143312540058e-119
TX50_RS09335,0.47935994,0.02076564,0.35164733,0.00115272
TX50_RS09340,0.91074267,3.52007969834327e-05,0.72314673,2.48626812739804e-06
TX50_RS09360,0.44551251,0.12339959,0.91901741,2.98838528338263e-08
TX50_RS09365,0.77596254,0.00412325,0.77201547,0.00313066
TX50_RS09370,-1.0669013,0.03915478,-0.538985,0.19261943
TX50_RS09375,0.66623693,0.33843237,1.41714941,0.01803903
TX50_RS09395,1.13134348,8.34294156975736e-05,1.39019083,3.49442854003238e-08
TX50_RS09400,0.08188394,0.91288355,-0.5758518,0.4795001
TX50_RS09405,-0.7560265,0.00528334,-1.1774053,0.00016021
TX50_RS09410,1.45539347,7.2916040902639e-22,3.11094673,5.51722424558207e-55
TX50_RS09415,0.65204413,0.20013824,0.08208711,0.89128859
TX50_RS09420,-0.5279103,0.61648956,0.5119754,0.68080208
TX50_RS09425,1.39804046,0.00031826,1.31689495,4.97248595690243e-05
TX50_RS09430,-1.1174107,0.02692448,-1.712349,1.15116093048195e-05
TX50_RS09435,0.77596517,0.43972404,0.98023614,0.1316833
TX50_RS09450,2.03849251,1.40039914534171e-18,1.99769909,7.41635388060065e-43
TX50_RS09460,0.2713054,0.45888909,0.32189114,0.40803524
TX50_RS09470,0.45139525,0.42659341,0.71222617,0.01376506
TX50_RS09475,1.60329521,0.00031016,1.80216455,8.6366212435399e-06
TX50_RS09480,5.33340148,1.65852129602633e-119,6.07122707,0.0
TX50_RS09485,0.36362496,0.1454915,0.87576369,2.45070019227204e-05
TX50_RS09495,0.46054907,0.43388223,0.22165558,0.60198193
TX50_RS09500,5.95902258,1.065599623286e-144,6.98484823,1.5107687113452e-49
TX50_RS09505,-0.659852,0.06367386,-0.9553724,0.00149812
TX50_RS09510,-0.5734346,0.14576074,0.066145,0.8536964
TX50_RS09515,0.34436773,0.50783594,1.38270202,0.00604224
TX50_RS09520,-0.9401565,0.00343555,-1.8133682,2.8677337775409e-16
TX50_RS09525,0.8799791,0.01830324,0.17527871,0.53819511
TX50_RS09530,1.2172794,0.00011139,1.0698277,4.57479910120432e-09
TX50_RS09535,-1.6580779,0.00442178,-2.763506,1.17283824667761e-11
TX50_RS09540,0.91535323,0.26338388,0.57976565,0.43023162
TX50_RS09545,2.08369114,5.29452018961187e-08,1.29745158,8.24071050993307e-18
TX50_RS09550,0.6527025,0.15980061,0.23403612,0.51974784
TX50_RS09555,0.49365652,0.09483825,0.72640375,0.00299029
TX50_RS09560,3.47018086,2.01891592785645e-52,4.07011176,2.21445641776019e-112
TX50_RS09565,-0.5340983,0.00522769,-0.2398036,0.34048917
TX50_RS09570,-0.2192212,0.31790575,0.47681418,0.33371456
TX50_RS09575,0.21940797,0.43388223,0.56575494,0.01376586
TX50_RS09580,0.55325266,0.10178256,0.21768187,0.52255348
TX50_RS09585,0.04381339,0.94962318,0.3877853,0.45287642
TX50_RS09590,-0.2946807,0.30058256,-0.3439989,0.03916576
TX50_RS09595,2.17567251,5.40468016797665e-17,3.50177084,4.19998262488029e-100
TX50_RS09600,1.03041397,0.00069923,1.81863991,3.97431054149213e-28
TX50_RS09605,3.02804575,3.35391357368062e-32,3.57233213,9.58533194404924e-155
TX50_RS09610,2.58401557,3.95311001872107e-32,3.15483249,8.05396225517007e-78
TX50_RS09615,0.6394116,0.21254484,-0.0703903,0.7287108
TX50_RS09620,2.66081273,1.26620868827225e-12,2.14650661,1.02198901305314e-11
TX50_RS09625,-0.3860878,0.51986012,-0.8020494,0.12191112
TX50_RS09630,1.07375013,0.00010964,2.16506999,1.22972861986612e-36
TX50_RS09635,0.52682094,0.21731733,0.79710043,0.012678
TX50_RS09640,0.06655771,0.78505248,-0.5268768,0.0043038
TX50_RS09645,-0.558173,0.36067256,-1.1169711,0.0071293
TX50_RS09650,1.34189518,6.73868555566688e-10,2.08941165,1.04895246827363e-20
TX50_RS09655,0.5984726,0.09675847,1.23859467,6.13413841328675e-15
TX50_RS09660,1.23100737,0.00061674,1.98442198,2.78752076646986e-25
TX50_RS09665,0.19342648,0.47443332,-0.1573166,0.45644109
TX50_RS09670,0.19913835,0.60573001,-0.0988679,0.70623798
TX50_RS09675,-0.8368567,0.00642574,-0.7742467,0.00075932
TX50_RS09680,0.10216121,0.79753509,-0.1715271,0.6501498
TX50_RS09685,0.80518433,0.01158263,1.81415717,2.69989545278109e-20
TX50_RS09690,-0.3868816,0.1902095,0.22109912,0.33073512
TX50_RS09695,-0.745666,1.97031285954698e-05,0.09262053,0.53942451
TX50_RS09700,0.79248852,0.00152849,1.34299291,0.00702742
TX50_RS09705,-3.1658161,2.53262247673685e-23,-3.9727621,7.26381603398034e-41
TX50_RS09710,0.15378931,0.76700057,0.67511568,0.0869427
TX50_RS09715,-0.259137,0.62443435,0.39080939,0.32677761
TX50_RS09720,1.77984162,1.58374687555467e-11,1.75535185,7.02054245406638e-12
TX50_RS09725,0.0709306,0.81115881,0.0800363,0.75597521
TX50_RS09730,0.54661039,0.28665166,1.01535026,0.0211383
TX50_RS09735,-0.3260514,0.8009217,0.2588638,0.79188977
TX50_RS09740,3.84895186,4.03111224980561e-17,4.13081537,1.45833717514494e-54
TX50_RS09745,0.30484847,0.56122815,0.46974632,0.25049625
TX50_RS09750,3.96043508,2.82445189106607e-63,4.5809759,1.28572652658611e-157
TX50_RS09755,-1.8636767,6.27444812040194e-11,-2.5253092,1.90378940614286e-21
TX50_RS09760,-2.0991866,0.0768094,0.53998154,0.7369469
TX50_RS09765,-1.5713507,0.04863189,-0.4998713,0.46534095
TX50_RS09770,0.04610246,0.93077409,0.91393881,0.0157979
TX50_RS09775,0.95972455,0.01830304,0.98579701,0.01144902
TX50_RS09780,-0.9782984,0.00103022,-1.1306183,4.29515044836721e-08
TX50_RS09785,-2.1026981,2.54810249466568e-10,-2.0588421,1.76414304210314e-13
TX50_RS09790,0.90696801,0.00451585,1.02893311,8.39706843865211e-05
TX50_RS09795,0.53664086,0.0726383,0.8250702,0.01953693
TX50_RS09800,5.30123646,4.82252303649801e-61,5.38000613,5.92057646404469e-193
TX50_RS09805,2.55686135,3.52687978522004e-08,2.77198335,7.15801479297297e-20
TX50_RS09810,2.65649803,5.45433412712242e-08,2.58228771,5.49764065419415e-19
TX50_RS09815,0.54475236,0.30614896,1.22832705,1.05139473225869e-13
TX50_RS09820,4.72716421,2.34292183899688e-93,4.93706373,5.08945256743341e-126
TX50_RS09825,-1.5168579,1.0921910070887e-06,-1.1863254,2.35423103123045e-05
TX50_RS09830,6.13631298,1.85501691927087e-179,6.78535824,2.35025254008162e-302
TX50_RS09835,1.66995568,5.46291505880533e-05,2.02644978,3.65389169942656e-17
TX50_RS09840,6.90529804,2.54780264262881e-98,8.26244287,0.0
TX50_RS09845,1.45978591,0.00063559,2.88827608,2.88553883752838e-22
TX50_RS09850,0.44358889,0.27292461,0.26599421,0.44937584
TX50_RS09855,0.22297202,0.68261596,-0.1765435,0.73029181
TX50_RS09860,0.79344241,0.27039503,1.95549237,0.00063346
TX50_RS09870,0.61236889,0.01846783,0.74912073,4.7428618143763e-05
TX50_RS09875,-0.3659865,0.37163736,-0.6467946,0.042849
TX50_RS09885,-1.0106455,0.00031324,-0.8008102,0.00253783
TX50_RS09890,-0.4690786,0.12871253,-0.7294203,0.00058261
TX50_RS09895,1.33984133,0.014123,1.59013604,7.40419363833445e-07
TX50_RS09900,0.41332175,0.56519169,-0.3354263,0.42200788
TX50_RS09905,1.26359292,8.96897247912962e-11,1.60245869,3.69503821011299e-19
TX50_RS09910,0.33989768,0.60573001,-0.1560752,0.82164815
TX50_RS09915,0.30667197,0.93169458,0.98388987,0.85923141
TX50_RS09920,3.58927409,3.01473903641402e-22,4.35777439,8.36415577342574e-163
TX50_RS09925,0.89074228,0.00055326,1.21741084,1.6736867775079e-09
TX50_RS09930,-2.2902245,1.75157982891599e-06,-1.0606132,0.00025079
TX50_RS09935,-0.1275784,0.69976524,-0.442296,0.00108504
TX50_RS09940,2.00607524,1.88779015584055e-05,1.7873617,4.95381195313734e-07
TX50_RS09945,1.14137928,0.0017853,1.11630056,0.0012816
TX50_RS09950,-0.2749859,0.55107966,-0.0072544,0.98656207
TX50_RS09955,0.70951999,0.3219386,-0.0374963,0.95428388
TX50_RS09960,2.96048719,1.6401203831601e-53,3.18323792,3.1768427106533e-173
TX50_RS09965,2.28065318,1.8874737215107e-11,1.91314655,1.58348989155978e-23
TX50_RS09970,2.56440351,2.81599403853022e-31,3.38730481,1.08645760220563e-81
TX50_RS09975,1.41475083,0.13516865,1.23739839,0.15437295
TX50_RS09980,0.20856722,0.58460456,-0.0282673,0.93584685
TX50_RS09985,-1.6454066,0.45680137,-1.2594482,0.39706153
