refseq_locus,log2fc_2h,padj_2h,log2fc_4h,padj_4h
TX50_RS07705,-0.8071748,0.02731383,-0.8121496,0.00361764
TX50_RS07710,0.60086929,0.00382809,0.13789639,0.5052787
TX50_RS07715,0.12646751,0.5406445,0.0646841,0.70227214
TX50_RS07720,-0.6789142,0.02780989,-0.9098223,0.00033016
TX50_RS07725,-0.2080609,0.42876754,-0.3922406,0.00108773
TX50_RS07730,-1.2490001,9.9157619453431e-10,-1.4337971,3.67391039293994e-25
TX50_RS07735,-1.9567307,1.54895026814785e-25,-2.0128056,1.63251399843497e-57
TX50_RS07740,-0.5426633,0.00500196,-0.5192657,2.01509212133735e-07
TX50_RS07745,0.60085437,0.05410966,0.18600083,0.13074611
TX50_RS07750,-0.1364099,0.56550127,-0.5709936,0.00031236
TX50_RS07755,0.44592257,0.02026516,0.22236309,0.10319943
TX50_RS07760,-0.1988157,0.3815738,0.19062627,0.19020812
TX50_RS07765,0.65621279,0.00545827,1.18170467,1.4863414095086e-14
TX50_RS07770,0.33139073,0.11062021,0.57765536,0.00023998
TX50_RS07775,-1.1315644,0.00071642,-0.933175,0.00607736
TX50_RS07780,-0.7652574,0.00481374,-0.6867658,0.00014944
TX50_RS07785,-0.7254466,0.00161173,-0.6909523,0.00062261
TX50_RS07790,-1.3405394,0.00217842,-1.7164404,5.4302056725754e-10
TX50_RS07795,-0.5141395,0.10711548,-0.6940036,0.00065617
TX50_RS07800,-0.4645013,0.0726383,-0.8599914,2.24527274002806e-11
TX50_RS07805,-0.4892158,0.07148817,-0.9427285,6.02336883451759e-14
TX50_RS07810,-0.9462752,0.00203889,-1.7175435,4.94758257212854e-25
TX50_RS07815,-0.9626419,0.0006672,-1.5978376,5.23406963264978e-36
TX50_RS07820,-0.9669827,0.00130019,-1.6241059,4.85361995777231e-41
TX50_RS07825,-0.8617505,0.00419212,-1.4241762,2.79291753477987e-28
TX50_RS07830,-1.5436841,7.22763057980331e-05,-2.239899,1.8822558056219e-65
TX50_RS07835,-0.8509292,0.05332841,-1.3688678,3.65092931675619e-22
TX50_RS07840,-0.3080545,0.15751075,-0.0784963,0.72110762
TX50_RS07845,-0.4200032,0.01456349,-0.7090335,8.03820773783182e-07
TX50_RS07850,-1.7103121,2.33393797269455e-12,-1.9815212,1.76192815803883e-18
TX50_RS07855,-0.7310726,0.01044678,-1.013158,0.00010039
TX50_RS07860,1.96678351,1.05824167503331e-16,2.84743261,6.78392833123652e-47
TX50_RS07865,2.1554036,1.14647492077553e-13,2.72589173,8.40351137466745e-18
TX50_RS07870,1.0804308,6.36009793814427e-08,1.31718874,9.96633856863211e-17
TX50_RS07875,-0.2207478,0.25666306,-0.5157646,0.00045642
TX50_RS07880,-0.2101617,0.46270446,-0.3841464,0.01511876
TX50_RS07885,-0.1736141,0.50783594,-0.0735431,0.63011672
TX50_RS07890,-0.0736755,0.75415918,-0.3361616,0.05077616
TX50_RS07895,-0.7517864,0.05874638,-1.2264139,0.00361764
TX50_RS07900,-0.3251189,0.34313093,-0.6000011,0.06975597
TX50_RS07905,-0.2768299,0.41897851,-0.1969098,0.51974784
TX50_RS07910,-0.8478412,3.43912230093759e-05,-0.8745591,6.45043332475741e-08
TX50_RS07915,-1.1481763,0.01400655,-1.2925689,0.0013908
TX50_RS07920,-0.7115553,0.04994251,-0.6556961,0.06617557
TX50_RS07925,0.50365603,0.06331711,0.3961022,0.08999554
TX50_RS07930,-1.5589253,1.10705270526634e-07,-1.4310875,6.0733631067378e-11
TX50_RS07935,-0.9950999,0.01523162,-1.4152364,1.33404725311315e-05
TX50_RS07940,-1.6644373,1.46484622182285e-20,-1.5271448,1.11900374520339e-31
TX50_RS07945,-1.7182592,5.76656392257104e-17,-1.1584751,2.87962793973791e-18
TX50_RS07950,-0.6963595,0.00031471,-1.3026319,1.75812515415749e-13
TX50_RS07955,-0.7976971,6.91108109777009e-05,-1.0967653,1.74265044956433e-12
TX50_RS07960,-2.2530813,2.90614457149153e-22,-2.6816201,1.70677116616229e-33
TX50_RS07965,-1.716067,2.40887611893577e-21,-2.0276104,2.39365969560229e-80
TX50_RS07970,-0.6171654,0.00035922,-0.6112273,1.48850884703084e-09
TX50_RS07975,-1.633506,8.57125845895957e-20,-1.8016956,2.61398912037179e-60
TX50_RS07980,-0.7536666,3.26770887085389e-05,-0.8967586,6.0524306559132e-11
TX50_RS07985,0.29866608,0.15052789,0.43315351,0.0099015
TX50_RS07990,-0.9249822,5.58521435749157e-07,-1.1075353,4.58852569409746e-14
TX50_RS07995,-0.4663405,0.00799302,-0.7974254,1.78183296466795e-09
TX50_RS08000,-0.706037,0.00330667,-1.0644537,1.5274268352534e-07
TX50_RS08005,0.18981342,0.41781821,-0.1688111,0.23004448
TX50_RS08010,-0.589314,0.00068634,-0.895687,5.3022534322738e-10
TX50_RS08015,-1.4169804,4.57269764248941e-09,-1.757659,1.14492147046306e-18
TX50_RS08020,0.49294276,0.00660591,0.56626239,3.11406051926957e-07
TX50_RS08025,-0.4889568,0.0988621,-0.5282533,0.02711222
TX50_RS08030,-0.4088886,0.02112012,-0.4854863,0.00042644
TX50_RS08035,0.94599064,1.38630046703785e-05,0.749144,8.94829284050719e-06
TX50_RS08040,-1.675432,2.40717241584647e-29,-1.7198932,3.27915661615987e-42
TX50_RS08045,0.14389747,0.52783627,-0.1349951,0.3952185
TX50_RS08050,-0.2631254,0.18889365,-0.4011692,0.00559447
TX50_RS08055,-0.3262526,0.13766898,-0.051798,0.70471499
TX50_RS08060,-0.2195958,0.39638181,-0.4123454,0.04084227
TX50_RS08065,0.50365309,0.04265575,0.24272252,0.1658412
TX50_RS08070,-0.5579267,0.00500075,-0.8237022,3.40277140775293e-08
TX50_RS08075,-1.1814273,1.12337907102063e-08,-1.186102,6.46227959856401e-16
TX50_RS08080,-1.4823894,8.83717771415459e-23,-1.5718771,1.82646606457654e-31
TX50_RS08085,0.00221602,0.99004921,-0.039177,0.7860982
TX50_RS08090,-0.6821861,1.54596146774416e-05,-0.7701136,8.77704060596956e-10
TX50_RS08095,-0.5182033,0.0019614,-0.459997,6.0095812244149e-05
TX50_RS08100,-1.0697686,2.25807147503145e-13,-1.279322,3.12259626203835e-21
TX50_RS08105,-0.9674094,2.66253966601665e-10,-1.2669325,5.61862349115004e-26
TX50_RS08110,-1.3717065,4.47322732520307e-05,-1.5010051,3.61379535280482e-37
TX50_RS08115,0.40480539,0.24713805,-0.6436583,0.08519037
TX50_RS08120,0.86468321,0.00056668,1.15566252,3.27519498659348e-16
TX50_RS08125,0.69348663,0.06606283,1.02660716,0.00022753
TX50_RS08130,0.27247216,0.77687748,1.34457767,0.0784391
TX50_RS08135,0.15432117,0.67207291,0.83446853,0.00143664
TX50_RS08140,1.20074873,4.88758147581803e-08,0.53228824,0.00048998
TX50_RS08145,1.51926226,1.2382932800953e-08,1.34988922,6.84519841708021e-25
TX50_RS08150,1.73762612,3.42469394178619e-07,1.48697112,3.79419868550012e-28
