refseq_locus,log2fc_2h,padj_2h,log2fc_4h,padj_4h,resolved_locus_tag,resolution_method
TX50_RS03440,1.30627535,3.38510133604706e-10,1.37270156,3.01812347927388e-27,PMM0649,tier1:refseq_locus
TX50_RS03445,0.184719,0.5900013,-0.1070685,0.7250193,PMM0650,tier1:refseq_locus
TX50_RS03450,0.83562141,0.00064754,1.41217909,1.89936086843317e-13,PMM0651,tier1:refseq_locus
TX50_RS03455,0.0836484,0.85665482,0.99569651,1.20545499970578e-05,PMM0652,tier1:refseq_locus
TX50_RS03460,-0.4143871,0.29765591,-0.5131935,0.14669194,PMM0653,tier1:refseq_locus
TX50_RS03465,-1.3590372,1.02747667348702e-05,-1.4485268,2.27430315322777e-07,PMM0654,tier1:refseq_locus
TX50_RS03470,-1.8019108,0.00087789,-2.2846135,6.29290352785428e-05,PMM0655,tier1:refseq_locus
TX50_RS03475,-1.3939922,1.36963868659617e-05,-2.1822782,7.22310342953059e-10,PMM0656,tier1:refseq_locus
TX50_RS03480,-3.0239919,6.93662950180079e-37,-3.0483752,8.723008175280121e-35,PMM1854,tier1:refseq_locus
TX50_RS03485,0.40945018,0.18568534,-0.038423,0.89763565,PMM1855,tier1:refseq_locus
TX50_RS03490,0.60250821,0.10563672,0.87817754,0.00038338,PMM0657,tier1:refseq_locus
TX50_RS03495,-0.6813878,0.05686903,-0.170555,0.5052787,PMM0658,tier1:refseq_locus
TX50_RS03500,0.79348784,0.07607809,1.39753143,6.76109632928346e-07,,unresolved
TX50_RS03505,1.80149009,1.95663669471588e-05,1.08463666,6.26002394607445e-13,PMM0659,tier1:refseq_locus
TX50_RS03510,1.34016846,3.52295164373148e-06,1.121346,1.00467406436005e-08,PMM1859,tier1:refseq_locus
TX50_RS03515,1.94643359,7.71261601599502e-16,1.94368191,1.16391085449211e-19,PMM0660,tier1:refseq_locus
TX50_RS03520,-0.1320856,0.74757368,0.43790279,0.00593548,PMM0661,tier1:refseq_locus
TX50_RS03525,0.43508945,0.20664101,0.57887975,0.08150747,PMM0662,tier1:refseq_locus
TX50_RS03530,-0.3790781,0.0567567,-0.3358216,0.05372649,PMM0663,tier1:refseq_locus
TX50_RS03535,-0.2473639,0.24939615,-0.2794217,0.10181101,PMM0664,tier1:refseq_locus
TX50_RS03540,-0.5376278,0.02146424,-0.5811165,0.00248533,PMM0665,tier1:refseq_locus
TX50_RS03545,-0.4330317,0.22892821,0.5872934,0.05892295,PMM0666,tier1:refseq_locus
TX50_RS03550,0.19056411,0.65498132,0.76257564,0.01688574,PMM0667,tier1:refseq_locus
TX50_RS03555,-0.6499137,0.06508085,-0.5344509,0.10769733,PMM0668,tier1:refseq_locus
TX50_RS03560,-0.20747,0.51562888,-0.4384026,0.15603974,PMM0669,tier1:refseq_locus
TX50_RS03565,0.43550803,0.06207645,0.70010007,7.36497498905103e-05,PMM0670,tier1:refseq_locus
TX50_RS03570,-0.2623478,0.41080319,-0.6239839,0.01124535,PMM0671,tier1:refseq_locus
TX50_RS03575,-0.4445779,0.17109489,-0.3541628,0.18997109,PMM0672,tier1:refseq_locus
TX50_RS03580,-0.3410597,0.29139897,-0.7853087,3.70308558431559e-06,PMM0673,tier1:refseq_locus
TX50_RS03585,0.59391955,0.00972949,0.75043873,9.25721110668588e-09,PMM0674,tier1:refseq_locus
TX50_RS03590,-0.688987,0.15393681,0.00402333,0.99173574,PMM0675,tier1:refseq_locus
TX50_RS03595,1.04144127,9.66569873267622e-12,1.06587266,1.2168423446030599e-18,PMM0676,tier1:refseq_locus
TX50_RS03600,0.32721073,0.09192021,0.34427063,0.01471576,PMM0677,tier1:refseq_locus
TX50_RS03605,0.35882894,0.12575783,0.81506278,3.76871817126918e-10,PMM0678,tier1:refseq_locus
TX50_RS03610,-1.0978621,0.00023123,-1.5986134,2.2642217805059902e-14,PMM0679,tier1:refseq_locus
TX50_RS03615,-1.3306663,3.1960180653666e-08,-1.458107,1.63087328479704e-19,PMM0680,tier1:refseq_locus
TX50_RS03620,0.28333682,0.27658043,0.66386014,0.00040046,PMM0681,tier1:refseq_locus
TX50_RS03625,-0.8891511,5.52672584286334e-05,-1.0719659,4.61178179993004e-11,PMM0682,tier1:refseq_locus
TX50_RS03630,0.43863875,0.02261688,0.84872407,8.770931880014831e-09,PMM0683,tier1:refseq_locus
TX50_RS03635,1.23146151,0.00019843,2.39913833,1.74475588305268e-49,PMM0684,tier1:refseq_locus
TX50_RS03645,1.63093046,1.72029177199022e-10,1.9790186,1.8060875364577e-22,PMM0687,tier1:refseq_locus
TX50_RS03650,0.54703212,0.26999415,1.00048061,0.00061569,PMM1865,tier1:refseq_locus
TX50_RS03655,1.04359338,1.5149715540541e-05,1.0545669,1.71397047993401e-08,PMM0688,tier1:refseq_locus
TX50_RS03660,1.47426059,9.52219184605075e-08,1.46248411,1.49987705749485e-11,PMM1867,tier1:refseq_locus
TX50_RS03665,5.14763552,2.32532919707311e-43,5.33656987,3.55840533044834e-28,PMM1868,tier1:refseq_locus
TX50_RS03675,-2.322186,6.48360381621757e-12,-2.1163026,6.99730982041618e-10,PMM0690,tier1:refseq_locus
TX50_RS03680,0.87421711,0.00533038,0.84351188,2.2751210698283597e-11,PMM0691,tier1:refseq_locus
TX50_RS03685,1.3048633,0.00041412,1.629709,2.1454070093101604e-09,PMM0692,tier1:refseq_locus
TX50_RS03690,0.29311931,0.8090253,-0.3745807,0.74923856,PMM1871,tier1:refseq_locus
TX50_RS03695,0.22652069,0.74919536,-1.6722702,0.05366565,PMM1872,tier1:refseq_locus
TX50_RS03700,-0.0764684,0.83086794,0.11120873,0.70782405,PMM0693,tier1:refseq_locus
TX50_RS03705,0.04705888,0.91123543,0.07184379,0.79227812,PMM0694,tier1:refseq_locus
TX50_RS03710,-0.249166,0.39836371,-0.2442041,0.42676098,PMM0695,tier1:refseq_locus
TX50_RS03715,-1.1664312,0.00017154,-1.206939,1.09189807436599e-05,PMM0696,tier1:refseq_locus
TX50_RS03720,-0.4242194,0.17416071,-0.7575669,0.00189791,PMM0697,tier1:refseq_locus
TX50_RS03725,-1.4508402,2.1120962599183e-08,-1.8719036,3.2838521130597097e-12,PMM0698,tier1:refseq_locus
TX50_RS03730,-1.1991366,0.00044515,-1.7879639,3.4469064319448105e-09,PMM0699,tier1:refseq_locus
TX50_RS03735,1.51401243,4.75954710058936e-07,0.94774539,0.00086899,PMM0700,tier1:refseq_locus
TX50_RS03745,0.05932065,0.82973046,-0.1437673,0.45497723,PMM0701,tier1:refseq_locus
TX50_RS03750,1.98691733,4.673461257344051e-19,2.34388708,2.46282290529858e-45,PMM0702,tier1:refseq_locus
TX50_RS03755,-1.3353712,7.78220500434927e-07,-1.2105385,6.34865823632369e-07,PMM0703,tier1:refseq_locus
TX50_RS03760,-0.0175775,0.95713796,0.25907492,0.22732999,PMM0704,tier1:refseq_locus
TX50_RS03765,0.74890709,0.03183686,0.88857184,0.00065617,PMM0705,tier1:refseq_locus
TX50_RS03770,-0.0267298,0.93686381,-0.0092795,0.97128062,PMM0706,tier1:refseq_locus
TX50_RS03775,-0.1433379,0.75589941,0.46972223,0.19643707,PMM0707,tier1:refseq_locus
TX50_RS03780,-0.1881817,0.37009528,0.01817105,0.90644923,PMM0708,tier1:refseq_locus
TX50_RS03785,-0.5148077,0.01817324,0.26627075,0.03154647,PMM0709,tier1:refseq_locus
TX50_RS03790,0.17082629,0.33843237,-0.4132497,0.06714283,PMM0710,tier1:refseq_locus
TX50_RS03795,0.17997042,0.67525344,-0.5693611,0.07044114,PMM0711,tier1:refseq_locus
TX50_RS03800,0.05730483,0.79894126,0.18782535,0.19429584,PMM0712,tier1:refseq_locus
TX50_RS03805,1.36583385,7.99532445015158e-09,1.71862286,6.636475884085481e-31,PMM0713,tier1:refseq_locus
TX50_RS03810,0.17595735,0.56519169,0.83164709,2.78769459349196e-05,PMM0714,tier1:refseq_locus
TX50_RS03815,-0.7378415,0.15224296,0.04645634,0.90159286,TX50_RS03815,locus_tag:refseq_locus
TX50_RS03820,1.57891575,0.44504286,1.33892104,0.68858514,PMM0715,tier1:refseq_locus
TX50_RS03825,0.65703857,0.02091657,1.17302386,1.4073939157471598e-11,PMM0716,tier1:refseq_locus
TX50_RS03830,-0.7714265,0.23265069,0.78555527,0.10753563,PMM0717,tier1:refseq_locus
TX50_RS03835,-0.4845483,0.79937964,-1.4123619,0.48974487,PMM0718,tier1:refseq_locus
TX50_RS03840,0.21526728,0.67222316,-0.1487891,0.73688585,PMM0719,tier1:refseq_locus
TX50_RS03845,0.97756951,0.06016052,2.38209392,2.33147111655179e-10,PMM1880,tier1:refseq_locus
TX50_RS03850,1.31035994,0.48865421,0.81417418,0.58406259,PMM0720,tier1:refseq_locus
TX50_RS03855,-0.6972579,0.00466586,-1.0094187,3.05684698011593e-07,PMM0721,tier1:refseq_locus
TX50_RS03860,0.82327781,0.00677182,0.7722273,8.72858731593552e-05,PMM0722,tier1:refseq_locus
TX50_RS03865,0.53086194,0.01021006,0.71563927,4.18076991746324e-06,PMM0723,tier1:refseq_locus
TX50_RS03870,-0.6825815,0.00344626,-0.5878476,0.00471217,PMM0724,tier1:refseq_locus
TX50_RS03875,0.59382071,0.00217842,1.12117118,4.70707482833912e-16,PMM0725,tier1:refseq_locus
TX50_RS03880,1.53774935,2.0978944659813402e-09,2.54492665,6.2053395965607e-73,PMM0726,tier1:refseq_locus
TX50_RS03885,0.00188582,0.99665367,0.343519,0.23389083,PMM0727,tier1:refseq_locus
TX50_RS03890,-0.5860749,0.00249055,-0.7483941,8.4964812061103e-06,PMM0728,tier1:refseq_locus
TX50_RS03895,-1.1690332,0.0004319,-1.0177748,0.00149518,PMM0729,tier1:refseq_locus
TX50_RS03900,-0.4420636,0.15461675,-0.6940823,0.0040036,PMM0730,tier1:refseq_locus
TX50_RS03905,0.11904387,0.76423867,-1.2520015,4.30205418051415e-07,PMM0731,tier1:refseq_locus
TX50_RS03910,1.81211491,0.00011049,2.20347073,3.1633675754235304e-20,PMM0732,tier1:refseq_locus
TX50_RS03915,-0.0822924,0.8090253,0.20951965,0.38241633,PMM0733,tier1:refseq_locus
TX50_RS03920,1.46753386,3.89478066925625e-08,1.65707338,5.13414127480292e-16,PMM0734,tier1:refseq_locus
TX50_RS03925,0.67546399,0.14793156,0.39982219,0.29768443,PMM0735,tier1:refseq_locus
TX50_RS03935,0.46493421,0.10901137,0.58665097,0.01381908,PMM1883,tier1:refseq_locus
TX50_RS03940,0.34761237,0.69976524,0.28339819,0.71216036,PMM1885,tier1:refseq_locus
TX50_RS03945,0.86174144,4.81561054668222e-05,1.14908332,3.23646931653623e-07,PMM0736,tier1:refseq_locus
TX50_RS03950,0.9207896,0.00180461,1.30814521,4.39493697153447e-07,PMM0737,tier1:refseq_locus
TX50_RS03955,0.67082731,0.0405317,-0.028218,0.94165838,PMM0738,tier1:refseq_locus
TX50_RS03965,-0.6673366,0.05277264,-0.769004,0.00364833,PMM0739,tier1:refseq_locus
TX50_RS03970,-0.1978493,0.58728931,-0.6218673,0.00054581,PMM0740,tier1:refseq_locus
TX50_RS03975,-0.2240546,0.43712147,-0.6704319,1.52703074037474e-07,PMM0741,tier1:refseq_locus
TX50_RS03980,-0.7488917,0.00289392,-0.713159,3.26942237146693e-08,PMM0742,tier1:refseq_locus
TX50_RS03985,-0.8795239,1.29014436727229e-05,-0.8488248,2.55489492368384e-13,PMM0743,tier1:refseq_locus
TX50_RS03990,-0.1155674,0.74695617,-0.1105816,0.69301839,PMM0744,tier1:refseq_locus
TX50_RS03995,0.58594024,0.01522258,0.62978505,3.83180511177777e-05,PMM0745,tier1:refseq_locus
TX50_RS04000,0.79645321,4.48384262145872e-06,0.912496,1.3874983325202601e-09,PMM0746,tier1:refseq_locus
TX50_RS04005,-0.4161167,0.05390368,-0.1799033,0.2766983,PMM0747,tier1:refseq_locus
TX50_RS04010,-0.7533655,0.00276473,-0.6115941,0.00037761,PMM0748,tier1:refseq_locus
TX50_RS04015,-1.0945601,4.20807344669912e-10,-1.3370482,5.33296014343638e-19,PMM0749,tier1:refseq_locus
TX50_RS04020,-0.167722,0.43934488,-0.1407357,0.40718675,PMM0750,tier1:refseq_locus
TX50_RS04025,-0.6605993,8.05526013118034e-05,-0.7668135,1.59678978056628e-08,PMM0752,tier1:refseq_locus
TX50_RS04030,0.26897241,0.14337968,0.3957161,0.00321188,PMM0753,tier1:refseq_locus
TX50_RS04035,-0.3880812,0.06868122,-0.5271752,0.00341596,PMM0754,tier1:refseq_locus
TX50_RS04040,-0.6823209,0.00304424,-0.6812954,0.00026815,PMM0755,tier1:refseq_locus
TX50_RS04045,0.08124042,0.76951449,-0.151601,0.54293231,PMM0756,tier1:refseq_locus
TX50_RS04050,-0.5231808,0.09059432,-0.5104441,0.03894906,PMM0757,tier1:refseq_locus
TX50_RS04055,-0.3642617,0.09940699,-0.0760206,0.583224,PMM0758,tier1:refseq_locus
