Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts),resolved_locus_tag,resolution_method
MIT9313,Q7V5C8,Q7V5C8_PROMM Possible serine protease OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1636 PE=4 SV=1,serine protease,Periplasm,O,8.15e-08,4.31e-07,2.403147613,PMT1636,tier1:Protein ID
MIT9313,Q7V5G0,Q7V5G0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1600 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,5.31e-08,1.59e-07,1.583011804,PMT1600,tier1:Protein ID
MIT9313,Q7V803,Q7V803_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0573 PE=4 SV=1,Lipopolysaccharide export system protein LptA,Unknown,S,2.99e-09,8.38e-09,1.48483141,PMT0573,tier1:Protein ID
MIT9313,Q7V5N7,Q7V5N7_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1513 PE=4 SV=1,hypothetical protein,Outer membrane,S,4.49e-09,1.17e-08,1.379861851,PMT1513,tier1:Protein ID
MIT9313,Q7V7H0,Q7V7H0_PROMM Carboxyl-terminal processing protease OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0776 PE=3 SV=1,peptidase S41,Unknown,M,1.27e-08,2.98e-08,1.226256653,PMT0776,tier1:Protein ID
MIT9313,Q7V465,Q7V465_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2102 PE=4 SV=1,putative secreted protein,Outside cytoplasm,S,1.65e-08,3.61e-08,1.135024283,PMT2102,tier1:Protein ID
MIT9313,Q7V8F8,Q7V8F8_PROMM Cell wall hydrolase/autolysin OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0394 PE=4 SV=1,,Unknown,M,4.49e-09,9.7e-09,1.111373015,PMT0394,tier1:Protein ID
MIT9313,Q7V4S1,Q7V4S1_PROMM Conserved hypothetical OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1874 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,7.18e-08,1.32e-07,0.87594307,PMT1874,tier1:Protein ID
MIT9313,Q7V504,Q7V504_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1778 PE=4 SV=1,hypothetical protein,Inner membrane,S,3.74e-09,6.83e-09,0.869172112,PMT1778,tier1:Protein ID
MIT9313,Q7V6M0,Q7V6M0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1134 PE=4 SV=1,hypothetical protein,Periplasm,S,6.73e-09,1.17e-08,0.79489935,PMT1134,tier1:Protein ID
MIT9313,Q7TV82,Q7TV82_PROMM Possible Penicillin amidase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0038 PE=4 SV=1,penicillin amidase,Outside cytoplasm,S,1.65e-08,2.42e-08,0.558831992,PMT0038,tier1:Protein ID
MIT9313,Q7V4B6,Q7V4B6_PROMM Conserved hypothetical OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2044 PE=4 SV=1,hypothetical protein,Inner membrane,S,2.24e-09,3.31e-09,0.558831991,PMT2044,tier1:Protein ID
MIT9313,Q7V5N6,Q7V5N6_PROMM Sulfatase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1515 PE=4 SV=1,hypothetical protein,Outside cytoplasm,P,3.22e-08,4.25e-08,0.40309618,PMT1515,tier1:Protein ID
MIT9313,Q7V6Q3,Q7V6Q3_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1093 PE=4 SV=1,putative membrane protein,Outside cytoplasm,S,9.5e-08,1.2e-07,0.33833163,PMT1093,tier1:Protein ID
MIT9313,Q7V5N4,"Q7V5N4_PROMM Possible ABC transporter, solute binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1517 PE=4 SV=1",ABC transporter substrate-binding protein,Periplasm,E,1.14e-07,1.34e-07,0.227443567,PMT1517,tier1:Protein ID
MIT9313,Q7V5X2,Q7V5X2_PROMM Chloroplast outer envelope membrane protein homolog OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1413 PE=4 SV=1,chloroplast outer envelope membrane protein,Outer membrane,M,1.58e-07,1.83e-07,0.216244427,PMT1413,tier1:Protein ID
MIT9313,Q7V9E3,Q7V9E3_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0006 PE=4 SV=1,pilus assembly protein TadD,Unknown,S,1.05e-08,1.15e-08,0.129988693,PMT0006,tier1:Protein ID
MIT9313,Q7V426,Q7V426_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2147 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,1.87e-08,1.85e-08,-0.01463487,PMT_2147,tier1:Protein ID
MIT9313,Q7V422,Q7V422_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2153 PE=4 SV=1,hypothetical protein,Outer membrane,S,6.43e-08,5.86e-08,-0.134078422,PMT2153,tier1:Protein ID
MIT9313,Q7V4U8,Q7V4U8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1841 PE=4 SV=1,LPS-assembly protein LptD,Unknown,S,2.47e-08,2.23e-08,-0.14927874,PMT1841,tier1:Protein ID
MIT9313,Q7V9A1,Q7V9A1_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0053 PE=4 SV=1,hypothetical protein,Unknown,S,7.48e-09,5.95e-09,-0.330136696,PMT0053,tier1:Protein ID
MIT9313,Q7V8A8,Q7V8A8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0454 PE=4 SV=1,peptidase,Unknown,O,2.99e-09,2.2e-09,-0.441168008,PMT0454,tier1:Protein ID
MIT9313,Q7V5E9,Q7V5E9_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1613 PE=4 SV=1,hypothetical protein,Unknown,S,5.24e-09,3.75e-09,-0.482988184,PMT1613,tier1:Protein ID
MIT9313,Q7TUW4,Q7TUW4_PROMM Possible Ribosomal L29e protein family OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1054 PE=4 SV=1,hypothetical protein,Outside cytoplasm,J,5.24e-09,3.53e-09,-0.570451025,PMT1054,tier1:Protein ID
