Compound Name,Analytical Fraction,MIT9312 cells,MIT9313 cells,MIT9312 vesicles,MIT9313 vesicles,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,metabolite_id,resolution_method
GMP,HILICNeg,"0.0014 (0.00054), n=3","0.00044 (0.00035), n=3",nd,nd,,,,,kegg.compound:C00144,name_match
Guanine,HILICPos,"0.026 (0.0056), n=3","0.0053 (0.0036), n=3",nd,nd,,,,,kegg.compound:C00242,name_match
Guanosine,HILICPos,"0.0019 (0.00081), n=3","0.00023 (0.00028), n=3",nd,nd,,,,,kegg.compound:C00387,name_match
Histidine,HILICPos,"0.012 (0.0014), n=3","0.019 (NA), n=1",nd,nd,,,,,kegg.compound:C00135,name_match
Homocystine,HILICPos,"0.00012 (4.2e-05), n=3","0.00014 (0.00011), n=3",nd,nd,,,,,kegg.compound:C01817,name_match
Homoserine,HILICPos,"0.0042 (0.00054), n=3","0.022 (0.017), n=3",nd,nd,,,,,kegg.compound:C00263,name_match
Ketoglutaric Acid,HILICNeg,nd,"0.014 (0.0028), n=2",nd,nd,,,,,kegg.compound:C00026,name_match
L-Pyroglutamic acid,HILICNeg,"0.028 (0.0024), n=3",nd,nd,nd,,,,,kegg.compound:C01879,name_match
Lysine,HILICPos,"0.0033 (0.0011), n=2","0.0092 (NA), n=1",nd,nd,,,,,kegg.compound:C00047,name_match
Methionine,HILICPos,"0.0021 (0.00037), n=3","6e-04 (0.00053), n=3",nd,nd,,,,,kegg.compound:C01733,name_match
Methionine Sulfoxide,HILICPos,"0.0024 (0.00029), n=3","0.00094 (0.0012), n=3",nd,nd,,,,,kegg.compound:C02989,name_match
Methylthioadenosine,RPAqPos,"0.0025 (0.00083), n=3","0.03 (0.036), n=3",nd,nd,,,,,kegg.compound:C00170,name_match
N(e)-Acetyl-Lysine,HILICPos,"0.002 (8.1e-05), n=3","0.0035 (0.0026), n=3",nd,nd,,,,,kegg.compound:C02727,name_match
NAD,HILICNeg,"0.0023 (0.00026), n=3","0.0037 (0.0028), n=3",nd,nd,,,,,kegg.compound:C00003,name_match
NADP,HILICNeg,"0.00022 (NA), n=1","0.0018 (NA), n=1",nd,nd,,,,,kegg.compound:C00006,name_match
Orotic Acid,HILICNeg,"0.0013 (NA), n=1",nd,nd,nd,,,,,kegg.compound:C00295,name_match
Phenylalanine,RPAqPos,"0.0072 (0.0018), n=3","0.04 (0.048), n=3",nd,nd,,,,,kegg.compound:C02057,name_match
Phosphoglyceric Acid,HILICNeg,nd,"0.04 (NA), n=1",nd,nd,,,,,chebi:24346,name_match
Proline,HILICPos,"0.022 (0.0055), n=3","0.06 (0.048), n=3",nd,nd,,,,,kegg.compound:C00148,name_match
Pyridoxal Phosphate,RPAqPos,"0.00013 (2.3e-05), n=3","0.00038 (0.00051), n=3",nd,nd,,,,,kegg.compound:C00018,name_match
Riboflavin Monophosphate,HILICPos,"0.00034 (2.6e-05), n=3","0.0031 (0.0029), n=3",nd,nd,,,,,kegg.compound:C00061,name_match
Ribose 5 phosphate,HILICNeg,"0.0016 (6e-04), n=3","0.00035 (3e-04), n=3",nd,nd,,,,,mnx:MNXM507439,name_match
Serine,HILICPos,"0.0056 (0.0017), n=3","0.0037 (0.003), n=3",nd,nd,,,,,mnx:MNXM499385,name_match
