"Supplementary Table S7. Targeted metabolites detected in cells and vesicles from Prochlorococcus strains MIT9312 and MIT9313. Values represent average relative biovolume-normalized peak areas with standard deviations (in parentheses), with the number of replicates where the compound was observed in a total of 3 biological replicates for each sample. Analytical fractions examined were reverse phase (RP)-organic-positive (RPOrg), RP-aqueous-positive (RPAq), hydrophilic interaction liquid chromatography (HILIC)-aqueous-positive (HILICPos), and HILIC-aqueous-negative (HILICNeg); for further details see Methods and Supplementary Table S8. nd = not detected.",,,,,,,,,
,,,,,,,,,
Compound Name,Analytical Fraction,MIT9312 cells,MIT9313 cells,MIT9312 vesicles,MIT9313 vesicles,,,,
Sucrose,HILICNeg,"0.39 (0.0069), n=3","1.7 (1.2), n=3",nd,nd,,,,
Sulfoacetic Acid,HILICNeg,"0.0014 (0.00027), n=3","0.0025 (0.0017), n=3",nd,nd,,,,
Thiamine monophosphate,RPAqPos,"1.8e-05 (6.9e-06), n=2","3.1e-05 (2.2e-05), n=3",nd,nd,,,,
Threonine,HILICPos,"0.0042 (0.00054), n=3","0.022 (0.017), n=3",nd,nd,,,,
trans Hydroxyl proline,HILICPos,"0.00015 (2.5e-05), n=3","0.0013 (0.001), n=3",nd,nd,,,,
trans Retinal,RPOrgPos,"0.00013 (1.7e-05), n=3","0.0015 (0.001), n=3","0.0032 (0.00022), n=2","0.0021 (0.00065), n=3",,,,
Tryptophan,RPAqPos,"0.0043 (0.0014), n=3","0.027 (0.034), n=3","0.012 (NA), n=1",nd,,,,
Tyrosine,HILICPos,"0.0062 (0.00084), n=3","0.015 (0.011), n=3",nd,nd,,,,
UDP-glucosamine,HILICNeg,"0.0025 (0.00038), n=3","0.0056 (0.0043), n=3",nd,nd,,,,
UDP-glucose,HILICNeg,"0.00014 (7.4e-05), n=3","0.00093 (0.00082), n=3",nd,nd,,,,
Uridine,HILICNeg,"0.0025 (0.00081), n=3",nd,nd,nd,,,,
Vitamin B2,RPAqPos,"2.4e-06 (4.5e-08), n=2","2.8e-05 (1.5e-05), n=2",nd,nd,,,,
Vitamin B3,RPAqPos,"0.0014 (6e-04), n=3",nd,nd,nd,,,,
Vitamin B5,RPAqPos,"5.6e-05 (1.7e-05), n=3","0.00079 (0.00089), n=3",nd,nd,,,,
Vitamin K1,RPOrgPos,"2.5e-05 (1.7e-05), n=3","5.8e-05 (4.9e-05), n=3","0.0033 (0.0014), n=3","0.032 (0.01), n=3",,,,
Xanthine,RPAqPos,"4.6e-05 (2.2e-05), n=3","2.4e-05 (NA), n=1",nd,nd,,,,
